Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,_1,Models,Triple,5G bands,_1_1,Features_1,Charging,Price,Dual,Build,Protection,SAR,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,Phonebook,Call records,Messaging,Games,Java,Single_1,128GB 4GB RAM,64GB 3GB RAM,32GB 3GB RAM,Audio quality,Dual or Triple,64GB 6GB RAM,GPRS,EDGE,Stand-by,SAR EU,64GB 4GB RAM,Talk time,Infrared port,32GB 4GB RAM,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
maxwest,Maxwest Astro 6,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-60.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2015, June. Released 2015, September",Discontinued,166 x 84 x 8.8 mm (6.54 x 3.31 x 0.35 in),150 g (5.29 oz),Dual SIM (dual stand-by),,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~71.2% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~184 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,,LED flash,720p,"8 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3000 mAh, removable","White, Black, Blue, Red",,,,,,,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,Up to 380 h (3G),,,Up to 15 h (3G),,,,,,,,,
maxwest,Maxwest Astro X5,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2015, June. Released 2015, July",Discontinued,143.7 x 72.8 x 9.4 mm (5.66 x 2.87 x 0.37 in),154 g (5.43 oz),Dual SIM (dual stand-by),,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDHC,4GB 512MB RAM,,LED flash,720p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2100 mAh, removable","White, Black, Blue, Rose Red",,,,,,,,,,,,,,,,,,,,,,,,,VGA,,,,,,,,,Up to 170 h (3G),,,Up to 12 h (3G),,,,,,,,,
maxwest,Maxwest Astro 3.5,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-35.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2015, August. Released 2015, September",Discontinued,118.6 x 62 x 11 mm (4.67 x 2.44 x 0.43 in),125 g (4.41 oz),Dual SIM (dual stand-by),,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~49.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDHC,512MB 256MB RAM,,LED flash,720p,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1400 mAh, removable","White, Black, Pink, Blue, Gold",,,,,,,,,,,,,,,,,,,,,,,,,VGA,,,,,,,,,Up to 170 h (3G),,,Up to 4 h 30 min (3G),,,,,,,,,
maxwest,Maxwest Blade,https://fdn2.gsmarena.com/vv/bigpic/maxwest-blade.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"2015, June. Released 2015, June",Discontinued,103.2 x 52.8 x 11.1 mm (4.06 x 2.08 x 0.44 in),76 g (2.68 oz),Dual SIM (dual stand-by),No,TFT,"2.4 inches, 17.8 cm2 (~32.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,312 MHz,,microSDHC,8MB 8MB RAM,,,No,VGA,,Yes,No,No,2.0,No,,Stereo FM radio,microUSB 1.1,,"Li-Ion 800 mAh, removable","White, Black, Red, Blue",MP3/AAC/WAV player MP4/H.264/H.263 player Organizer Photo viewer Predictive text input,,,,,,,,,,,,,,,,,,,Yes,Yes,"SMS, MMS, IM",No,No,,,,,,,,Class 33,No,Up to 200 h,,,Up to 8 h,,,,,,,,,
maxwest,Maxwest Nitro 5,https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900,,HSPA 21.1/5.76 Mbps,"2015, June. Released 2015, July",Discontinued,145.6 x 72 x 9.6 mm (5.73 x 2.83 x 0.38 in),155 g (5.47 oz),Dual SIM (dual stand-by),,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.7% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 4.4.2 (KitKat),Spreadtrum SC7731,Quad-core 1.2 GHz Cortex-A7,Mali-400,microSDHC,4GB 512MB RAM,,LED flash,1080p@25fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.1,"Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2000 mAh, removable","Silver, Black, Gray",,,,,,,,,,,,,,,,,,,,,,,,,VGA,,,,,,,,,Up to 170 h (3G),,,Up to 12 h (3G),,,,,,,,,
maxwest,Maxwest Astro 4.5,https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-45.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2015, July. Released 2015, July",Discontinued,134.3 x 66.7 x 10 mm (5.29 x 2.63 x 0.39 in),131 g (4.62 oz),Dual SIM (dual stand-by),HSDPA 850 / 1700 / 1900,"TFT capacitive touchscreen, 256K colors","4.5 inches, 55.8 cm2 (~62.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.2 GHz Cortex-A7,Mali-400,microSDHC,4GB 512MB RAM,,LED flash,720p,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1700 mAh, removable","White, Black, Gold, Gray, Blue",,,,,,,,,,,,,,,,,,,,,,,,,VGA,,,,,,,,,Up to 190 h (3G),,,Up to 5 h (3G),,,,,,,,,
maxwest,Maxwest Nitro Phablet 71,https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-71.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, February",Discontinued,192 x 102 x 9.8 mm (7.56 x 4.02 x 0.39 in),321 g (11.32 oz),"Dual SIM, (Dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~70.4% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.2 GHz Cortex-A7,Mali-400,microSDHC,4GB 512MB RAM,,LED flash,1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",3.0,"Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2800 mAh, removable","White, Black, Blue, Dark Blue, Golden, Gray, Pink, Red",,,,,,,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,Up to 350 h,,,Up to 14 h,,,,,,,,,
maxwest,Maxwest Nitro 5.5,https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 1700,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, February",Discontinued,156.2 x 78.8 x 8.7 mm (6.15 x 3.10 x 0.34 in),174 g (6.14 oz),"Dual SIM, (Dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~67.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~200 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.2 GHz Cortex-A7,Mali-400,microSDHC,4GB 512MB RAM,,LED flash,720p@30fps,"8 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2200 mAh, removable","White, Black, Blue, Pink, Yellow",,,,,,,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,Up to 350 h,,,Up to 14 h,,,,,,,,,
maxwest,Maxwest Astro 5,https://fdn2.gsmarena.com/vv/bigpic/Maxwest-Astro-5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2014, November. Released 2014, December",Discontinued,142.8 x 73.4 x 9.3 mm (5.62 x 2.89 x 0.37 in),154 g (5.43 oz),Dual SIM (dual stand-by),,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,4GB 512MB RAM,,LED flash,1080p@25fps,"8 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable","White, Black, Blue, Rose Red",,,,,,,,,,,,,,,,,,,,,,,,,1.3 MP,,,,,,,,,Up to 170 h (3G),,,Up to 12 h (3G),,,,,,,,,
maxwest,Maxwest MX-110,https://fdn2.gsmarena.com/vv/bigpic/maxwest-mx-110.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"2014, November. Released 2014, December",Discontinued,110 x 47 x 14.3 mm (4.33 x 1.85 x 0.56 in),63.7 g (2.22 oz),Dual SIM (Mini-SIM),No,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~19.7% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),,,,,microSDHC (dedicated slot),"32MB RAM, 32MB ROM",,,Yes,VGA,,Yes,No,No,2.0,No,,Stereo FM radio; built-in antenna,microUSB,,"Li-Ion 800 mAh, removable","White, Black, Red, Baby blue, Dark Blue, Hot pink, Yellow",MP3/AAC/WMA/WAV player MP4/H.264/WMV player Predictive text input,,,,,,,,,,,,,,,,,,,200 entries,Yes,"SMS, MMS, IM",Yes,No,,,,,,,,Yes,No,Up to 800 h,,,Up to 8 h,,,,,,,,,
