Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC,Build,Quad,Dual,Features_1,Charging,Models,Performance,Display,Camera,Loudspeaker_1,Battery life,Triple,Protection,128GB 4GB RAM,SAR,64GB 4GB RAM,Dual_1,SAR EU
karbonn,Karbonn Titanium X,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-x.jpg,GSM / HSPA,GSM 900 / 1800,HSDPA 2100,HSPA,"2014, January. Released 2014, January",Discontinued,143.9 x 70.5 x 9.9 mm (5.67 x 2.78 x 0.39 in),143 g (5.04 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Android 4.2.2 (Jelly Bean),Quad-core 1.5 GHz Cortex-A7,microSDHC (dedicated slot),16GB 1GB RAM,"13 MP, AF",Yes,5 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,"Li-Ion 2300 mAh, non-removable",Up to 240 h,Up to 6 h,Black,About 200 EUR,Mediatek MT6589T (28 nm),PowerVR SGX544MP2,"Dual-LED flash, HDR, panorama",,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A16,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a16.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2014, January. Released 2014, January",Discontinued,-,-,,Dual SIM,"TFT capacitive touchscreen, 16M colors","3.9 inches, 43.3 cm2","480 x 800 pixels, 5:3 ratio (~239 ppi density)",,Android 4.2 (Jelly Bean),Dual-core 1.3 GHz,microSDHC,4GB 512MB RAM,5 MP,Yes,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 1350 mAh, removable",,,Black,About 60 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A12+,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a12-plus.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2013, October. Released 2013, October",Discontinued,-,-,,Dual SIM,IPS LCD capacitive touchscreen,"4.0 inches, 45.5 cm2","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.2 (Jelly Bean),Dual-core 1.3 GHz,microSDHC (dedicated slot),4GB 512MB RAM,"5 MP, AF",Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,Li-Ion 1400 mAh battery,,,Black/White,About 60 EUR,,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn Titanium S5 Plus,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s5-plus.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100,HSPA 21.1/5.76 Mbps,"2013, December. Released 2013, December",Discontinued,138 x 70.5 x 7.9 mm (5.43 x 2.78 x 0.31 in),104.5 g (3.70 oz),,Dual SIM (Mini-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~70.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,Android 4.2.2 (Jelly Bean),Quad-core 1.3 GHz,microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",Yes,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 1800 mAh, removable",,,"Black, White",About 120 EUR,,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn S7 Titanium,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s7.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2013, November. Released 2013, December",Discontinued,143.5 x 72 x 9.3 mm (5.65 x 2.83 x 0.37 in),-,,Dual SIM,"Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Android 4.2 (Jelly Bean),Quad-core 1.5 GHz,microSDHC (dedicated slot),16GB 1GB RAM,"13 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",FM radio,Proprietary,"Accelerometer, gyro, proximity, compass",,,Li-Ion 2000 mAh battery,Up to 200 h,Up to 4 h,Black,About 180 EUR,,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn S9 Titanium,https://fdn2.gsmarena.com/vv/bigpic/karbonn-s9.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2013, July. Released 2013, July",Discontinued,-,176.5 (6.21 oz),,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Android 4.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,microSDHC (dedicated slot),16GB 1GB RAM,"13 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot, DLNA",Yes,"Yes, with A-GPS",FM radio,Proprietary,"Accelerometer, proximity",,,Li-Ion 2600 mAh battery,,,White,About 170 EUR,Mediatek MT6589 (28 nm),PowerVR SGX544,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A10,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a10.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2013, July. Released 2013, July",Discontinued,-,-,,Dual SIM,IPS LCD capacitive touchscreen,"3.9 inches, 43.3 cm2","480 x 800 pixels, 5:3 ratio (~239 ppi density)",,Android 4.1 (Jelly Bean),Dual-core 1.0 GHz Cortex-A9,microSDHC (dedicated slot),512MB 512MB RAM,"5 MP, AF",Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",FM radio,Proprietary,"Accelerometer, proximity",,,Li-Ion 1400 mAh battery,,,Black,About 70 EUR,Mediatek MT6577 (40 nm),PowerVR SGX531u,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A5,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a5.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2013, July. Released 2013, July",Discontinued,-,-,,Dual SIM,"TFT capacitive touchscreen, 256K colors","3.2 inches, 30.5 cm2","320 x 480 pixels, 3:2 ratio (~180 ppi density)",,Android 2.3 (Gingerbread),1.0 GHz,microSDHC (dedicated slot),512MB 256MB RAM,3.15 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,"Yes, with A-GPS",FM radio,Proprietary,Accelerometer,,,Li-Ion 1200 mAh battery,,,Black,About 50 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A37,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a37.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100,HSPA 7.2/0.384 Mbps,2013. Released 2013,Discontinued,197 x 124 x 12.3 mm (7.76 x 4.88 x 0.48 in),335 g (11.82 oz),,Dual SIM,TFT capacitive touchscreen,"7.0 inches, 139.5 cm2 (~57.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)",,Android 4.1 (Ice Cream Sandwich),Dual-core 1.0 GHz,microSDHC (dedicated slot),4GB 512MB RAM,2 MP,Yes,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",FM radio,Proprietary,Accelerometer,,,Li-Ion 3000 mAh battery,Up to 240 h,Up to 8 h,Black/White,About 100 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A34,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a34.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2013. Released 2013,Discontinued,197 x 124 x 12.3 mm (7.76 x 4.88 x 0.48 in),335 g (11.82 oz),,Dual SIM,TFT capacitive touchscreen,"7.0 inches, 139.5 cm2 (~57.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)",,Android 4.0 (Ice Cream Sandwich),1.0 GHz Cortex-A9,microSDHC (dedicated slot),4GB 512MB RAM,2 MP,Yes,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",FM radio,Proprietary,Accelerometer,,,Li-Ion 3000 mAh battery,Up to 240 h,Up to 8 h,Gray/White,About 90 EUR,Mediatek MT6515,PowerVR SGX531,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A25,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a25.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2013. Released 2013,Discontinued,146 x 78.6 x 10.5 mm (5.75 x 3.09 x 0.41 in),150 g (5.29 oz),,Dual SIM,Capacitive touchscreen,"5.0 inches, 71.2 cm2 (~62.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",,Android 4.0 (Ice Cream Sandwich),Dual-core 1.0 GHz,microSDHC (dedicated slot),114MB,5 MP,Yes,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,FM radio,Proprietary,"Accelerometer, proximity",,,Li-Ion 2000 mAh battery,Up to 300 h,Up to 6 h,White/Black,About 80 EUR,,,LED flash,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50 W/kg (head)
karbonn,Karbonn A7 Star,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a7.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2013. Released 2013,Discontinued,113 x 66 x 10.4 mm (4.45 x 2.60 x 0.41 in),-,,Dual SIM,Capacitive touchscreen,"4.5 inches, 55.8 cm2 (~74.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Android 4.0 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,microSDHC (dedicated slot),164MB,5 MP,Yes,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,FM radio,Proprietary,"Accelerometer, proximity",,,"Li-Ion 1400 mAh, removable",Up to 135 h,Up to 5 h,White/Black,About 70 EUR,Mediatek MT6517,PowerVR SGX531u,LED flash,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99 W/kg (head)
karbonn,Karbonn A4+,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a4plus.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2013. Released 2013,Discontinued,123 x 63 x 10.5 mm (4.84 x 2.48 x 0.41 in),87.5 g without battery (3.07 oz),,Dual SIM,IPS LCD capacitive touchscreen,"4.0 inches, 45.5 cm2 (~58.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",No,Android 4.0 (Ice Cream Sandwich),Dual-core 1.0 GHz,microSDHC (dedicated slot),90MB,3.15 MP,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,FM radio,Proprietary,"Accelerometer, proximity",,,Li-Ion 1250 mAh battery,Up to 125 h,Up to 5 h,White/Black,About 50 EUR,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94 W/kg (head)
karbonn,Karbonn A2+,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a2plus.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2013. Released 2013,Discontinued,124 x 63.6 x 12.4 mm (4.88 x 2.50 x 0.49 in),110 g (3.88 oz),,Dual SIM,Capacitive touchscreen,"4.0 inches, 45.5 cm2 (~57.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.0 (Ice Cream Sandwich),,microSDHC (dedicated slot),180MB,3.15 MP,Yes,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,FM radio,Proprietary,"Accelerometer, proximity",,,Li-Ion 1750 mAh battery,Up to 120 h,Up to 3 h 30 min,White/Black,About 50 EUR,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63 W/kg (head)
karbonn,Karbonn A27 Retina,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a27-retina.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100,HSPA 7.2/0.384 Mbps,"2013, March. Released 2013, March",Discontinued,133.6 x 66 x 9.1 mm (5.26 x 2.60 x 0.36 in),126.5 g (4.44 oz),,Dual SIM (Mini-SIM),IPS LCD capacitive touchscreen,"4.3 inches, 51.0 cm2 (~57.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",,Android 4.1 (Jelly Bean),Dual-core 1.2 GHz,microSDHC (dedicated slot),4GB 512MB RAM,"8 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Yes,"Yes, with A-GPS",FM radio,Proprietary,Accelerometer,,,Li-Ion 1800 mAh battery,Up to 180 h,Up to 4 h,Black,About 160 EUR,,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00 W/kg (head)
