Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,_1,Models,Triple,5G bands,_1_1,Features_1,Charging,Price,Dual,Build,Protection,SAR,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,Phonebook,Call records,Messaging,Games,Java,Single_1,128GB 4GB RAM,64GB 3GB RAM,32GB 3GB RAM,Audio quality,Dual or Triple,64GB 6GB RAM,GPRS,EDGE,Stand-by,SAR EU,64GB 4GB RAM,Talk time,Infrared port,32GB 4GB RAM,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
mitsubishi,Mitsubishi m21i,https://fdn2.gsmarena.com/vv/bigpic/mim21i.gif,GSM,GSM 900 / 1800,,,,2003,Discontinued,"115 x 47 x 19 mm, 85 cc (4.53 x 1.85 x 0.75 in)",95 g (3.35 oz),Mini-SIM,Downloadable wallpapers Customizable softkeys,"CSTN, 4096 colors",,128 x 141 pixels,,,,,No,,,,,,,Yes,No,No,No,No,,No,,,Removable Li-Ion 900 mAh battery,3 - Quartz gold ; Frozen silver ;Marine blue,150 SMS messages SMS templates Detailed call logs,,,,Business card exchange via IrDA Predictive text input Organizer,,,,,,,,,,,,,,,"255 x 6 fields, Photo call",,"SMS, Email (melody attachments)",2 - Rayman Bowling and Rayman Garden,No,,,,,,,,Class 8,No,Up to 350 h,,,Up to 4 h,Yes,,,iMode,,"Vibration; Downloadable polyphonic ringtones, composer",,Yes,Yes
mitsubishi,Mitsubishi M320,https://fdn2.gsmarena.com/vv/bigpic/mim320.gif,GSM,GSM 900 / 1800,,,,"2002, Q4",Discontinued,116 x 47 x 20 mm (4.57 x 1.85 x 0.79 in),95 g (3.35 oz),Mini-SIM,Downloadable wallpapers Customizable softkeys,"CSTN, 4096 colors",,128 x 141 pixels,,,,,No,,,,,,,Yes,No,No,No,No,,No,,,Removable Li-Ion 900 mAh battery,3 - Quartz gold ; Frozen silver ;Marine blue,20 voice dial records 150 SMS messages SMS templates Detailed call logs,,,,Business card exchange via IrDA Voice dial Voice memo Predictive text input Organizer Customizable front panel,,,,,,,,,,,,,,,255 x 6 fields,,SMS,Yes,No,,,,,,,,Class 8,No,Up to 350 h,,,Up to 4 h,Yes,,,"WAP 1.2.1 color image viewer (GIF, PNG, JPG)",,"Vibration; Downloadable polyphonic ringtones, composer",,Yes,Yes
mitsubishi,Mitsubishi Trium Eclipse,https://fdn2.gsmarena.com/vv/bigpic/miecli.gif,GSM,GSM 900 / 1800,,,,"2001, Q3",Discontinued,"123 x 48 x 29 mm, 100 cc (4.84 x 1.89 x 1.14 in)",110 g (3.88 oz),Mini-SIM,"Picture menu Softkey Icons, menu, wallpaper personalisation","CSTN, 256 colors",,120 x 143 pixels,,,,,No,,,,,,,Yes,No,No,No,No,,No,,,Removable Li-Ion battery,,20 voice dial slots 2 min voice memo Detailed call duration reports,,,,Business card exchange via IrDA Voice dial Voice memo Predictive text input Organizer Scratchpad,,,,,,,,,,,,,,,250 x 5 fields,"10 dialed, 10 received, 10 missed calls",SMS,"2 - Rayman Bowling, Rayman Garden",No,,,,,,,,Class 8,No,180 h,,,3 h,Yes,,,WAP 1.2.1,,"Vibration; Downloadable polyphonic, monophonic ringtones",,Yes,Yes
mitsubishi,Mitsubishi Trium Sirius,https://fdn2.gsmarena.com/vv/bigpic/misiri.gif,GSM,GSM 900 / 1800,,,,Mid 2001,Discontinued,104 x 53 x 22 mm (4.09 x 2.09 x 0.87 in),75 g (2.65 oz),Mini-SIM,Picture menu Softkey,Monochrome graphic,,5 x 13 to 25 chars,,,,,No,,,,,,,Yes,No,No,No,No,,No,,,Removable NiMH battery,,20 voice dial slots 20 sec voice memo Detailed call duration reports,,,,Voice dial Voice memo Business card exchange via IrDA Predictive text input Organizer Scratchpad Active flip,,,,,,,,,,,,,,,250 x 5 fields,"10 dialed, 10 received, 10 missed calls",SMS,2,No,,,,,,,,Class 2,No,120 h,,,3 h,Yes,,,WAP 1.1,,Vibration; Monophonic ringtones,8,Yes,Yes
mitsubishi,Mitsubishi Trium Neptune,https://fdn2.gsmarena.com/vv/bigpic/minept.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,120 x 50 x 28 mm (4.72 x 1.97 x 1.10 in),120 g (4.23 oz),Mini-SIM,Picture menu Softkey,Monochrome graphic,,5 x 13 to 25 chars,,,,,No,,,,,,,Yes,No,No,No,No,,No,,,Removable NiMH 800 mAh battery,3,Detailed call duration reports,,,,Predictive text input Scratchpad Currency converter Active flip,,,,,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,,,,,,,No,No,130 h,,,3 h,,,,WAP 1.1,,Vibration; Monophonic ringtones,8,Yes,Yes
mitsubishi,Mitsubishi Trium Mars,https://fdn2.gsmarena.com/vv/bigpic/mimars.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,120 x 50 x 28 mm (4.72 x 1.97 x 1.10 in),120 g (4.23 oz),Mini-SIM,Picture menu Softkey,Monochrome graphic,,5 x 13 to 25 chars,,,,,No,,,,,,,Yes,No,No,No,No,,No,,,Removable NiMH 800 mAh battery,3,Detailed call duration reports,,,,Predictive text input Scratchpad Currency converter,,,,,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,,,,,,,No,No,130 h,,,3 h,,,,WAP 1.1,,Vibration; Monophonic ringtones,8,Yes,Yes
mitsubishi,Mitsubishi Trium Geo-@,https://fdn2.gsmarena.com/vv/bigpic/migeo2b.gif,GSM,GSM 900 / 1800,,,,1999,Discontinued,"132 x 49 x 29 mm, 140 cc (5.20 x 1.93 x 1.14 in)",149 g (5.26 oz),Mini-SIM,Picture menu Softkey,Monochrome graphic,,5 x 13 to 25 chars,,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable NiMH 900 mAh battery,2 - Wine red & Dark grey,Detailed call duration reports,,,,Scratchpad Currency converter,,,,,,,,,,,,,,,100,"10 dialed, 5 received, 5 missed calls",SMS,Yes,No,,,,,,,,No,No,150 h,,,3 h,,,,WAP,,Vibration; Monophonic ringtones,8,Yes,Yes
mitsubishi,Mitsubishi Trium Mondo,https://fdn2.gsmarena.com/vv/bigpic/mimondb.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,139.5 x 84 x 19 mm (5.49 x 3.31 x 0.75 in),200 g (7.05 oz),Mini-SIM,Detailed call duration reports,"Monochrome resistive touchscreen, 16 shades",,"240 x 320 pixels, 4:3 ratio",Microsoft Windows PocketPC,,64-bit NEC VR4131 166 MHz,,No,,,,,,,Yes,No,No,No,No,,No,,,Removable NiMH battery,,No,,,,Predictive text input Calculator PDA compatible MP3 reader,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,100 h,,,2 h 30 min,Yes,,,WAP 1.1,,Vibration; Monophonic ringtones,8,Yes,Yes
mitsubishi,Mitsubishi Trium xs,https://fdn2.gsmarena.com/vv/bigpic/mixsb.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,120 x 50 x 28 mm (4.72 x 1.97 x 1.10 in),120 g (4.23 oz),Mini-SIM,Picture menu Softkey,Monochrome graphic,,5 x 13 to 25 chars,,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable NiMH battery,3,Detailed call duration reports,,,,Predictive text input Calculator Scratchpad Currency converter,,,,,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,,,,,,,No,No,130 h,,,3 h,,,,WAP 1.1,,Vibration; Monophonic ringtones,8,Yes,Yes
mitsubishi,Mitsubishi Trium fx,https://fdn2.gsmarena.com/vv/bigpic/mifxb.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,120 x 50 x 28 mm (4.72 x 1.97 x 1.10 in),120 g (4.23 oz),Mini-SIM,Picture menu Softkey,Monochrome graphic,,5 x 13 to 25 chars,,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable Li-Ion battery,3,Detailed call duration reports,,,,Predictive text input Calculator Scratchpad Currency converter,,,,,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,,,,,,,No,No,130 h,,,3 h,,,,WAP 1.1,,Vibration; Monophonic ringtones,8,Yes,Yes
mitsubishi,Mitsubishi Trium Cosmo,https://fdn2.gsmarena.com/vv/bigpic/micosmb.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,"103 x 51 x 16 mm, 72 cc (4.06 x 2.01 x 0.63 in)",69 g (2.43 oz),Mini-SIM,Picture menu Softkey,Monochrome graphic,,5 x 13 to 25 chars,,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable Li-Ion 540 mAh battery,2,Detailed call duration reports,,,,Predictive text input for 5 languages Calculator Auto On/Off switch Scratchpad Currency converter,,,,,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,,,,,,,No,No,80 h,,,3 h,,,,,,Vibration; Monophonic ringtones,8,Yes,Yes
mitsubishi,Mitsubishi Trium Aria,https://fdn2.gsmarena.com/vv/bigpic/miariab.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,"123 x 40 x 23 mm, 90 cc (4.84 x 1.57 x 0.91 in)",90 g (3.17 oz),Mini-SIM,Picture menu Softkey,Monochrome graphic,,5 x 13 to 25 chars,,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable Li-Ion 580 mAh battery,2,Detailed call duration reports,,,,Predictive text input for 5 languages Organizer Auto On/Off switch Scratchpad,,,,,,,,,,,,,,,200,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,,,,,,,No,No,75 h,,,2 h,,,,,,Vibration; Monophonic ringtones,8,Yes,Yes
mitsubishi,Mitsubishi Trium Geo,https://fdn2.gsmarena.com/vv/bigpic/migeob.gif,GSM,GSM 900 / 1800,,,,1999,Discontinued,"132 x 49 x 29 mm, 140 cc (5.20 x 1.93 x 1.14 in)",149 g (5.26 oz),Mini-SIM,Picture menu Softkey,Monochrome graphic,,5 x 13 to 25 chars,,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable NiMH 900 mAh battery,3,Detailed call duration reports,,,,Scratchpad Currency converter,,,,,,,,,,,,,,,100,"10 dialed, 5 received, 5 missed calls",SMS,No,No,,,,,,,,No,No,150 h,,,3 h,,,,,,Vibration; Monophonic ringtones,8,Yes,Yes
mitsubishi,Mitsubishi Trium Astral,https://fdn2.gsmarena.com/vv/bigpic/miastrb.gif,GSM,GSM 900 / 1800,,,,1999,Discontinued,"132 x 49 x 29 mm, 140 cc (5.20 x 1.93 x 1.14 in)",149 g (5.26 oz),Mini-SIM,Picture menu Softkey,Monochrome graphic,,5 x 13 to 25 chars,,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable NiMH 900 mAh battery,3,Detailed call duration reports,,,,Scratchpad Currency converter,,,,,,,,,,,,,,,100,"10 dialed, 5 received, 5 missed calls",SMS,No,No,,,,,,,,No,No,150 h,,,3 h,,,,,,Monophonic ringtones,8,No,No
mitsubishi,Mitsubishi Trium Galaxy,https://fdn2.gsmarena.com/vv/bigpic/migalab.gif,GSM,GSM 900 / 1800,,,,1999,Discontinued,"132 x 49 x 29 mm, 140 cc (5.20 x 1.93 x 1.14 in)",149 g (5.26 oz),Mini-SIM,Picture menu Softkey,Monochrome graphic,,5 x 13 to 25 chars,,,,,No,,,,,,,No,No,No,No,No,,No,,,Removable NiMH 900 mAh battery,3,Detailed call duration reports,,,,Scratchpad Currency converter,,,,,,,,,,,,,,,100,"10 dialed, 5 received, 5 missed calls",SMS,No,No,,,,,,,,No,No,150 h,,,3 h,,,,,,Monophonic ringtones,8,No,No
