Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types
wnd,WND Wind Van Gogh 2100,https://fdn2.gsmarena.com/vv/bigpic/wind-atom-van-gogh.gif,GSM,GSM 900 / 1800 / 1900,"Downloadable wallpapers, screensavers",,,,,"2007, October",Cancelled,98 x 47.5 x 16.3 mm (3.86 x 1.87 x 0.64 in),75 g (2.65 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),No,,,,,microSD,128MB,,,No,2 MP,,,Yes,No,Built-in detachable Bluetooth earpiece MP3/AAC player MP4/3gp player Voice memo Predictive text input,No,"1.2, A2DP",No,,FM radio,1.1,,Removable Li-Ion 820 mAh battery,,"Silver-Gray, Silver-Fuchsia",,,,,,,,,,,,,,,,,,,Up to 150 h,,Up to 3 h,,,Class 10,No,,,"1000 entries, Photocall","50 received, 50 dialed, 50 missed calls","SMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MIDI, MP3 ringtones"
wnd,WND Wind DUO 2300,https://fdn2.gsmarena.com/vv/bigpic/wind-duo-2300.gif,GSM,GSM 900 / 1800 / 1900,"Downloadable wallpapers, screensavers",,,,,"2007, October",Cancelled,99.5 x 47.5 x 18 mm (3.92 x 1.87 x 0.71 in),120 g (4.23 oz),,Dual SIM (Mini-SIM),"TFT, 256K colors","1.9 inches, 11.2 cm2 (~23.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~211 ppi density)",Call register and phonebooks are shared between faces Both sides have a 128MB internal memory,,,,,microSD on both sides,,,,No,"2 MP, on each side",,,Yes,No,MP3/AAC player MP4/3gp player Voice memo Predictive text input,No,"1.2, A2DP",No,,No,1.1,,Removable Li-Ion 930 mAh battery,,"White-gold, Yellow-gold",,,,,,,,,,,,,,,,,,,Up to 180 h,,Up to 3 h,,,Class 10,No,,,"1000 entries on each side, Photocall","20 received, 20 dialed, 20 missed calls","SMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MIDI, MP3 ringtones"
wnd,WND Wind DUO 2200,https://fdn2.gsmarena.com/vv/bigpic/wind-duo-2200.gif,GSM,GSM 900 / 1800 / 1900,"Downloadable wallpapers, screensavers",,,,,"2007, October",Discontinued,98 x 47.5 x 17.3 mm (3.86 x 1.87 x 0.68 in),95 g (3.35 oz),,Dual SIM (Mini-SIM),"TFT, 256K colors","1.8 inches, 10.0 cm2 (~21.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~222 ppi density)",Call register and phonebooks are shared between faces,,,,,microSD (dedicated slot) on both sides,,,,No,"2 MP, on each side",,,Yes,No,MP3/AAC player MP4/3gp player Voice memo Predictive text input,No,"1.2, A2DP",No,,No,1.1,,Removable Li-Ion 930 mAh battery,,"Black-silver, Gold-silver, Fuschia-silver",,,,,,,,,,,,,,,,,,,Up to 180 h,,Up to 3 h,,,Class 10,No,,,"1000 entries on each side, Photocall","20 received, 20 dialed, 20 missed calls","SMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MIDI, MP3 ringtones"
wnd,WND Wind DUO 2100,https://fdn2.gsmarena.com/vv/bigpic/wind-duo-2100.gif,GSM,GSM 900 / 1800 / 1900,Downloadable theme,,,,,"2007, October",Cancelled,98 x 47.5 x 17.3 mm (3.86 x 1.87 x 0.68 in),93 g (3.28 oz),,Dual SIM (Mini-SIM),"TFT, 65K colors","1.8 inches, 10.0 cm2 (~21.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~222 ppi density)",Call register and phonebooks are shared between faces,,,,,microSD on both sides,128MB,,,No,2 MP,,,Yes,No,MP3/AAC player MP4/3gp player Voice memo Predictive text input,No,"1.2, A2DP",No,,No,Proprietary,,Removable Li-Ion 930 mAh battery,,"Black, Gray",,,,,,,,,,,,,,,,,,,Up to 180 h,,Up to 3 h,,,Class 10,No,,,"1000 entries on each side, Photocall","20 received, 20 dialed, 20 missed calls","SMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MIDI, MP3 ringtones"
wnd,WND Wind DUO 2000,https://fdn2.gsmarena.com/vv/bigpic/wind-duo-2000.gif,GSM,GSM 900 / 1800 / 1900,Downloadable themes,,,,,"2007, March",Discontinued,97 x 48 x 17 mm (3.82 x 1.89 x 0.67 in),100 g (3.53 oz),,Dual SIM (Mini-SIM),"OLED, 65K colors","1.5 inches, 7.1 cm2 (~15.2% screen-to-body ratio)",128 x 160 pixels (~137 ppi density),No,,,,,No,,,,,,,,Yes,No,MP3 player Voice memo,No,1.2,No,,No,Proprietary,,Removable Li-Po 1660 mAh battery,,"Silver, Black, Dark gray",,,,,,,,,,,,,,,,,,,Up to 160 h,,Up to 3 h,,,Class 10,No,,,"1000 entries each side, Photocall","50 received, 50 dialed, 50 missed calls",SMS,Yes + downloadable,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MIDI, MP3 ringtones"
