Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM
razer,Razer Phone 2,https://fdn2.gsmarena.com/vv/bigpic/razer-phone2-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps","2018, October","Available. Released 2018, October",158.5 x 79 x 8.5 mm (6.24 x 3.11 x 0.33 in),220 g (7.76 oz),Nano-SIM,"IGZO IPS LCD capacitive touchscreen, 16M colors","5.72 inches, 90.2 cm2 (~72.0% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~513 ppi density)",microSDXC (dedicated slot),,,"8 MP, f/2.0","Dual-LED dual-tone flash, panorama, HDR","4K@30/60fps, 1080p@30/30/60/120fps, stereo sound rec.",,1080p@30/60fps,"Yes, with Dolby Atmos stereo speakers (THX-certified amplifiers)",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",No,Type-C 1.0 reversible connector,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,CDMA 800 & TD-SCDMA,"Li-Po 4000 mAh, non-removable",,,,"Mirror back, Rugged satin",About 850 EUR,,,IP67 dust/water resistant (up to 1m for 30 mins) RGB Illuminated Razer Chroma Logo on the back,64GB 8GB RAM,,24-bit/192kHz audio,"Corning Gorilla Glass 5, oleophobic coating",,,"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)",Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 26, 28, 29, 30, 32, 38, 39, 40, 41, 48, 66, 71",Qualcomm SDM845 Snapdragon 845 (10 nm),Adreno 630,,,Fast charging 18W Quick Charge 4+ Fast wireless charging 15W,,,,,,Yes,,,,,,"Glass front (Gorilla Glass 5), aluminum back, aluminum frame","12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.6, 1/3.1"", 1.0µm, 2x optical zoom",,AnTuTu: 286076 (v7)GeekBench: 9110 (v4.4)GFXBench: 22fps (ES 3.1 onscreen),"Contrast ratio: 948 (nominal), 2.932 (sunlight)",Photo / Video,Voice 78dB / Noise 78dB / Ring 86dB,Endurance rating 70h,,,,,Noise -93.4dB / Crosstalk -92.8dB,,
razer,Razer Phone,https://fdn2.gsmarena.com/vv/bigpic/razer-phone.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2017, November","Available. Released 2017, November",158.5 x 77.7 x 8 mm (6.24 x 3.06 x 0.31 in),197 g (6.95 oz),Nano-SIM,"IGZO IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~72.7% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)",microSDXC (dedicated slot),,,"8 MP, f/2.0","Dual-LED dual-tone flash, panorama, HDR",4K@30fps,,1080p@30fps,"Yes, with Dolby Atmos stereo speakers (THX-certified amplifiers)",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",No,Type-C 1.0 reversible connector,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,Wide Colour Gamut 120Hz refresh rate 380 nits max brightness (advertised),"Li-Po 4000 mAh, non-removable",,,,Black,About 750 EUR,,,24-bit/192kHz audio,64GB 8GB RAM,,,Corning Gorilla Glass 3,,,"Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie)",Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 66",Qualcomm MSM8998 Snapdragon 835 (10 nm),Adreno 540,,,Fast charging 18W Quick Charge 4+,,,,,,Yes,,,,,,"Glass front (Gorilla Glass 3), aluminum back, aluminum frame","12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, Dual pixel PDAF 12 MP, f/2.6, 1/3.4"", 1.0µm, 2x optical zoom,  PDAF",,"AnTuTu: 190271 (v7), 291142 (v8)GeekBench: 6728 (v4.4), 1752 (v5.1)GFXBench: 15fps (ES 3.1 onscreen)","Contrast ratio: 871 (nominal), 2.328 (sunlight)",Photo / Video,Voice 69dB / Noise 75dB / Ring 90dB,Endurance rating 62h,,,,,Noise -80.3dB / Crosstalk -75.3dB,,
