Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM,5G bands,Triple_1,256GB 8GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,64GB 6GB RAM,128GB 6GB RAM,512GB 8GB RAM
benq,BenQ M7,https://fdn2.gsmarena.com/vv/bigpic/benq-m7.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2007, Q4",Cancelled,105 x 47.5 x 16.8 mm (4.13 x 1.87 x 0.66 in),93 g (3.28 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2 (~24.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,Qualcomm 6250A,,,microSD,50MB,MP3/AAC/AAC/eAAC+/XMF player MP4/3GP player Voice memo,,,480p,2 MP,,,Yes,No,No,1.1,"Yes, with A-GPS",No,1.1,,Removable Li-Ion 920 mAh battery,,Charcoal with crimson trim,,,,,,,,,VGA videocall camera,,,,,,,,,Up to 400 h,Up to 5 h,,Yes,Yes,"SMS, MMS, EMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ E72,https://fdn2.gsmarena.com/vv/bigpic/benq-e72.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2007, August",Discontinued,108 x 46 x 13 mm (4.25 x 1.81 x 0.51 in),90 g (3.17 oz),,Mini-SIM,"TFT, 65K colors","2.0 inches, 12.4 cm2 (~24.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Microsoft Windows Mobile 6.0,TI OMAP V1030,260 MHz,,microSD (dedicated slot),128MB 64MB RAM,Wallpapers,,,Yes,2 MP,,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP",No,No,2.0,,Removable Li-Ion 900 mAh battery,,Bright red,,About 120 EUR,,,No,MP3/AAC/AAC+/WAV/WMA player MP4/WMV/3GP player Voice memo,,,,,,,Class 10,Yes,,,,Up to 180 h,Up to 4 h,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML, Email, MSN","Vibration; Downloadable polyphonic, MP3, MIDI, Flash ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ C30,https://fdn2.gsmarena.com/vv/bigpic/benq-c30.gif,GSM,GSM 900 / 1800,,,,"2007, September",Cancelled,108 x 47.3 x 14.4 mm (4.25 x 1.86 x 0.57 in),77 g (2.72 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~20.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSD,,Wallpapers,,,Yes,VGA,,,Yes,No,No,No,No,FM radio,1.1,,Removable Li-Ion 650 mAh battery,,Vibrant grey,,,,,No,"E-book reader Health management MP3, AAC, WAV player Voice memo",,,,,,,Class 12,No,,,,Up to 250 h,Up to 4 h,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3, AAC, WAV, AMR, MIDI ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ T51,https://fdn2.gsmarena.com/vv/bigpic/benq-t51.gif,GSM,GSM 900 / 1800 / 1900,,,,"2007, August",Cancelled,86.4 x 45.3 x 20.8 mm (3.40 x 1.78 x 0.82 in),85.5 g (3.00 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~26.1% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),,,,,microSD,23MB,"Second external mono OLED display 128 x 32 pixels, 1 inch Wallpapers",,,Yes,2 MP,,,No,No,No,1.2,No,FM radio,1.1,,Removable Li-Ion 750 mAh battery,,"Burnished graphite, Peach essence",,,,,No,Webcam funciton Predictive text input Stopwatch Organizer,,,,,,,Class 10,No,,,,Up to 150 h,Up to 3 h 30 min,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Polyphonic(64), MP3, MIDI, iMelody ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ T33,https://fdn2.gsmarena.com/vv/bigpic/benq-t33.gif,GSM,GSM 900 / 1800 / 1900,,,,"2007, August",Cancelled,92 x 48 x 19 mm (3.62 x 1.89 x 0.75 in),85 g (3.00 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~23.1% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),,,,,microSD,23MB,Wallpapers,,,Yes,2 MP,,,No,No,No,"1.2, A2DP",No,FM radio,1.1,,Removable Li-Ion 750 mAh battery,,Black Rock,,,,,No,MP3 player Webcam function Predictive text input Stopwatch Organizer,,,,,,,Class 10,No,,,,Up to 150 h,Up to 3 h 30 min,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3, MIDI, Flash ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ EL71,https://fdn2.gsmarena.com/vv/bigpic/benq-el71.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, February",Discontinued,90 x 46.3 x 16.5 mm (3.54 x 1.82 x 0.65 in),94 g (3.32 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 30 x 40 mm, 12.4 cm2 (~29.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,,microSD (dedicated slot),16MB,Wallpapers,,LED flash,Yes,1.3 MP,,,No,No,No,"1.2, A2DP",No,No,2.0,,Removable Li-Ion 570 mAh battery,,Vibrant grey,,,,,No,MP3/AAC/WAV player Predictive text input Stopwatch Organizer Voice memo,,,,,,,Class 10,Class 10,,,,Up to 280 h,Up to 4 h,,"1000 x 20 fields, Photo call","100 dialed, 100 received, 100 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,"WAP 2.0/xHTML, Email","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ M580,https://fdn2.gsmarena.com/vv/bigpic/benq-m580.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, Q1",Discontinued,88 x 44 x 22 mm (3.46 x 1.73 x 0.87 in),95 g (3.35 oz),,Mini-SIM,"CSTN, 65K colors","1.8 inches, 29 x 35 mm, 10.2 cm2 (~26.3% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,No,2MB,Second external mono OLED display 96 x 32 pixels Wallpapers,,,No,VGA,,,No,No,No,1.2,No,No,No,,Removable Li-Ion 870 mAh battery,,"Mercury Silver, Ebony Black, Pearl White",,,,,No,Predictive text input Stopwatch Organizer,,,,,,,Class 10,No,,,,Up to 155 h,Up to 5 h 30 min,,500 entries,"10 dialed, 10 received, 10 missed calls","SMS, MMS",2 + downloadable,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0/xHTML,Polyphonic(40) ringtones,,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ U700,https://fdn2.gsmarena.com/vv/bigpic/bqu700.gif,GSM,GSM 900 / 1800 / 1900,,,,"2005, Q1",Cancelled,97 x 46 x 27 mm (3.82 x 1.81 x 1.06 in),135 g (4.76 oz),,Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,,,,,miniSD,,Wallpapers Downloadable pictures,,LED flash,Yes,1.3 MP,,,No,No,No,No,No,No,Proprietary,,Removable Li-Ion 1000 mAh battery,,,,,,,No,MP3/MP4 player iTap Photo editor Organizer,,,,,,,Class 10,No,,,Yes,Up to 200 h,Up to 4 h,,500 entries,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS, EMail",Yes,Yes,,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ Z2,https://fdn2.gsmarena.com/vv/bigpic/bqz2.gif,GSM,GSM 900 / 1800 / 1900,,,,"2005, Q1",Discontinued,66 x 66 x 20 mm (2.60 x 2.60 x 0.79 in),106 g (3.74 oz),,Mini-SIM,"TFT, 256K colors","1.5 inches, 27 x 27 mm, 7.3 cm2 (~16.7% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,miniSD,60MB,Wallpapers Downloadable pictures,,LED flash,No,1.3 MP,,,Yes,No,No,No,No,FM radio,Proprietary,,Removable Li-Ion 1000 mAh battery,,"Vanilla White, Berry Blue, Wasabi Green, Bubblegum Pink",,,,,No,MP3 player Changeable front and back covers iTap Voice memo Organizer,,,,,,,Class 10,No,,,,Up to 150 h,Up to 5 h,,500 entries,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,Yes,,,,,,,,,WAP 2.0/xHTML,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",,,,,,,,,,,,,,,,,,,,,,,,,
benq,BenQ M315,https://fdn2.gsmarena.com/vv/bigpic/benq-m315.gif,GSM,GSM 900 / 1800 / 1900,,,,"2005, Q1",Discontinued,102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in),86 g (3.03 oz),,Mini-SIM,"CSTN, 65K colors","1.5 inches, 27 x 27 mm, 7.3 cm2 (~16.2% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,,Wallpapers,,,No,CIF,,,No,No,No,1.1,No,No,Proprietary,,Removable Li-Ion 760 mAh battery,,Express Silver,,,,,300 SMS messages 20 CIF(352 x 288) photos,iTap Stopwatch Organizer,,,,,,,Class 10,No,,,,Up to 140 h,Up to 5 h,,500 entries,"10 dialed, 10 received, 10 missed calls","SMS, MMS","Eda Mouse, Cherry Boy",No,,,,,,,,,WAP 2.0/xHTML,"Polyphonic(16) - SMAF, iMelody, Midi ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
