Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm
sagem,Sagem my600X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my600x.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,"Yes, 384 kbps","2006, September",Discontinued,110 x 48 x 16 mm (4.33 x 1.89 x 0.63 in),99 g (3.49 oz),Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~19.3% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),miniSD,Yes,"20 dialed, 20 received, 20 missed calls",VGA,,Yes,Videocall camera,,No,No,No,Yes,No,No,Proprietary,,"SMS, MMS, Email",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",MP3/AAC player  Predictive text input Organizer Voice memo,Removable Li-Ion battery,Up to 350 h,Up to 4 h,,White,,,,,16MB,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,
sagem,Sagem my600V,https://fdn2.gsmarena.com/vv/bigpic/sagem-my600v.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,"Yes, 384 kbps","2006, October",Discontinued,110 x 48 x 16 mm (4.33 x 1.89 x 0.63 in),100 g (3.53 oz),Mini-SIM,"TFT, 256K colors","1.9 inches, 11.4 cm2 (~21.5% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),miniSD,1000 entries,"20 dialed, 20 received, 20 missed calls",VGA,,Yes,CIF videocall camera,,No,No,No,Yes,No,No,Proprietary,,"SMS, MMS, Email",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",Video telephony MP3/AAC player  Predictive text input Organizer Voice memo,Removable Li-Ion 1000 mAh battery,Up to 350 h,Up to 2 h 40 min,,Black,,,,,16MB,Vibration; Downloadable polyphonic ringtones,,,,,,,,
sagem,Sagem my511X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my511x.gif,GSM,GSM 900 / 1800 / 1900,,,"2007, September",Discontinued,107 x 46 x 10 mm (4.21 x 1.81 x 0.39 in),90 g (3.17 oz),Mini-SIM,"TFT, 65K colors","1.9 inches, 11.4 cm2 (~23.1% screen-to-body ratio)",128 x 160 pixels (~108 ppi density),microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",1.3 MP,,Yes,,,No,No,No,Yes,No,No,miniUSB,,"SMS, EMS,MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 200 h,Up to 3 h,,"Black, Blue",About 140 EUR,Class 10,No,MP3/AAC player Predictive text input Organizer,32MB,Vibration; Downloadable polyphonic ringtones,,,,,,,,
sagem,Sagem my501X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my501x.gif,GSM,GSM 900 / 1800 / 1900,,,"2006, March",Discontinued,100 x 46 x 16.5 mm (3.94 x 1.81 x 0.65 in),90 g (3.17 oz),Mini-SIM,"TFT, 256K colors","1.9 inches, 11.4 cm2 (~24.7% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),miniSD,Yes,"20 dialed, 20 received, 20 missed calls",1.3 MP,,Yes,,,No,No,No,Yes,No,No,miniUSB,,"SMS, EMS,MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 250 h,Up to 3 h 30 min,,"Black, Silver, White",,Class 10,No,MP3/AAC player Predictive text input Organizer,32MB,Vibration; Downloadable polyphonic ringtones,,,,,,,,
sagem,Sagem my501C,https://fdn2.gsmarena.com/vv/bigpic/sagem-my501c.gif,GSM,GSM 900 / 1800,,,"2006, August",Discontinued,93 x 44.6 x 23.6 mm (3.66 x 1.76 x 0.93 in),99 g (3.49 oz),Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~24.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSD (dedicated slot),Yes,"20 received, dialed and missed calls",1.3 MP,,Yes,,,No,No,No,Yes,No,No,Proprietary,,"SMS, MMS, Email",WAP 1.2,Yes,Yes,"Second external OLED, 256 colors display Downloadable wallpapers",Removable Li-Ion battery,Up to 250 h,Up to 3 h 30 min,,"Silver, Red",About 140 EUR,Yes,No,No,32MB,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",MP3/AAC player Predictive text input Calculator Currency converter SyncML,,,,,,,
sagem,Sagem my500X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my500x.gif,GSM,GSM 900 / 1800 / 1900,,,"2006, March",Discontinued,100 x 46 x 16.5 mm (3.94 x 1.81 x 0.65 in),90 g (3.17 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,miniSD,Yes,"20 dialed, 20 received, 20 missed calls",1.3 MP,,Yes,,,No,No,No,No,No,No,Proprietary,,"SMS, EMS,MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion 850 mAh battery,Up to 350 h,Up to 4 h,,,,Class 10,No,MP3/AAC player Predictive text input Organizer,32MB,Vibration; Downloadable polyphonic ringtones,,,,,,,,
sagem,Sagem my411X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my411x.gif,GSM,GSM 900 / 1800 / 1900,,,"2007, May",Discontinued,103.2 x 45.2 x 14.2 mm (4.06 x 1.78 x 0.56 in),85 g (3.00 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,microSD (dedicated slot),"12 fields, Photo call","20 dialed, 20 received, 20 missed calls",VGA,,Yes,,,No,No,No,1.2,No,No,No,,"SMS, EMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",Mirror effect on display and keypad,Removable Li-Ion battery,Up to 240 h,Up to 4 h,,Black,About 110 EUR,Class 10,No,No,,Vibration; Downloadable polyphonic ringtones,MP3/AAC player Predictive text input Organizer,,,,,,,
sagem,Sagem my405X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my405x.gif,GSM,GSM 900 / 1800 / 1900,,,"2006, March",Discontinued,105 x 46 x 15.5 mm (4.13 x 1.81 x 0.61 in),90 g (3.17 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,No,Yes,"20 dialed, 20 received, 20 missed calls",VGA,,No,,,No,No,No,No,No,No,miniUSB 1.1,,"SMS, EMS, MMS",WAP 2.0/xHTML,2,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 300 h,Up to 3 h,,"Silver, Black",,Class 10,No,MP3 player Predictive text input Calculator Diary assistant Voice memo Currency converter,64MB,Vibration; Downloadable polyphonic ringtones,,,,,,,,
sagem,Sagem my401X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my401x.gif,GSM,GSM 900 / 1800 / 1900,,,"2006, Q1",Discontinued,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),85 g (3.00 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,No,"12 fields, Photo call","20 dialed, 20 received, 20 missed calls",VGA,,Yes,,,No,No,No,1.2,No,No,No,,"SMS, EMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",200 SMS messages,Removable Li-Ion battery,Up to 300 h,Up to 4 h,,Silver,,Class 10,No,No,3.2MB,Vibration; Downloadable polyphonic ringtones,MP3/AAC player Predictive text input Organizer,,Yes,,,,,
sagem,Sagem my401Z,https://fdn2.gsmarena.com/vv/bigpic/sagem-my401z.gif,GSM,GSM 900 / 1800 / 1900,,,"2007, July",Discontinued,90 x 46 x 21 mm (3.54 x 1.81 x 0.83 in),90 g (3.17 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,microSD (dedicated slot),"12 fields, Photo call","20 dialed, 20 received, 20 missed calls",VGA,,Yes,,,No,No,No,1.2,No,No,No,,"SMS, EMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 240 h,Up to 3 h 30 min,,Silver,,Class 10,No,MP3/AAC player Predictive text input Organizer,37MB,Vibration; Downloadable polyphonic ringtones,,,,,,,,
sagem,Sagem my401C,https://fdn2.gsmarena.com/vv/bigpic/sagem-my401c.gif,GSM,GSM 900 / 1800 / 1900,,,"2007, March",Discontinued,86 x 43.3 x 18.5 mm (3.39 x 1.70 x 0.73 in),82 g (2.89 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,microSD (dedicated slot),"12 fields, Photo call","20 dialed, 20 received, 20 missed calls",VGA,,Yes,,,No,No,No,1.2,No,No,miniUSB 1.1,,"SMS, EMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 250 h,Up to 3 h 30 min,,"Silver, Red, Blue/White, Red/White",About 120 EUR,Class 10,No,MP3/AAC player Predictive text input Organizer,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,
sagem,Sagem my400V,https://fdn2.gsmarena.com/vv/bigpic/sagem-my400v.gif,GSM,GSM 900 / 1800,,,"2007, February",Cancelled,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),85 g (3.00 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,No,"12 fields, Photo call","20 dialed, 20 received, 20 missed calls",VGA,,Yes,,,No,No,No,No,No,No,No,,"SMS, EMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion 850 mAh battery,Up to 350 h,Up to 4 h,,,,Class 10,No,Predictive text input Organizer,,Vibration; Downloadable polyphonic ringtones,,,Yes,,,,,
sagem,Sagem my400X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my400x.gif,GSM,GSM 900 / 1800,,,"2006, Q1",Discontinued,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),85 g (3.00 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,No,"12 fields, Photo call","20 dialed, 20 received, 20 missed calls",VGA,,Yes,,,No,No,No,No,No,No,No,,"SMS, EMS, MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",200 SMS messages,Removable Li-Ion 850 mAh battery,Up to 350 h,Up to 4 h,,Silver,,Class 10,No,No,3.2MB,Vibration; Downloadable polyphonic ringtones,Predictive text input Organizer,,Yes,,,,,
sagem,Sagem my302X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my302x.gif,GSM,GSM 900 / 1800 / 1900,,,"2005, Q4",Discontinued,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),88 g (3.10 oz),Mini-SIM,"CSTN, 65K colors","1.7 inches, 9.3 cm2 (~19.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~106 ppi density)",No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,No,No,No,1.2,No,No,,,"SMS, EMS,MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0","Dust, shock and splash resistant",Removable Li-Ion battery,Up to 350 h,Up to 4 h,,Silver,,Class 10,No,No,3.2MB,Vibration; Downloadable polyphonic ringtones,Organizer SyncML Predictive text input,,Yes,,,,,
sagem,Sagem my301X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my301x.gif,GSM,GSM 900 / 1800 / 1900,,,"2005, Q4",Discontinued,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),88 g (3.10 oz),Mini-SIM,"CSTN, 65K colors","1.7 inches, 9.3 cm2 (~19.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~106 ppi density)",No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,No,No,No,1.2,No,No,,,"SMS, EMS,MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 350 h,Up to 4 h,,,,Class 10,No,Predictive text input Organizer SyncML,3.2MB,Vibration; Downloadable polyphonic ringtones,,,Yes,,,,,
sagem,Sagem my300X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my300x.gif,GSM,GSM 900 / 1800,,,"2005, Q4",Discontinued,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),88 g (3.10 oz),Mini-SIM,"CSTN, 65K colors","1.7 inches, 9.3 cm2 (~19.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~106 ppi density)",No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,No,No,No,No,No,No,,,"SMS, EMS,MMS",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion 850 mAh battery,Up to 350 h,Up to 4 h,,"Blue, Silver, Red",,Class 10,No,Predictive text input Organizer SyncML,3.2MB,Vibration; Downloadable polyphonic ringtones,,,Yes,,,,,
sagem,Sagem my300C,https://fdn2.gsmarena.com/vv/bigpic/sagem-my300c.gif,GSM,GSM 900 / 1800,,,"2007, March",Discontinued,79.2 x 43.5 x 21.7 mm (3.12 x 1.71 x 0.85 in),79 g (2.79 oz),Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",No,"Yes, Photo call","20 dialed, 20 received, 20 missed calls",VGA,,No,,,Yes,No,No,No,No,No,Proprietary,,"SMS, MMS",WAP 2.0/xHTML,mySudoku,"Yes, MIDP 2.0",No,Removable Li-Ion battery,,,,"Black, Silver, Red",About 80 EUR,Class 10,No,Predictive text input Organizer,3MB,Vibration; Downloadable polyphonic ringtones,,,,1.25 W/kg (head),,,,
sagem,Sagem my215x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my215x.gif,GSM,GSM 900 / 1800,,,"2007, January",Discontinued,103 x 44.5 x 15 mm (4.06 x 1.75 x 0.59 in),69 g (2.43 oz),Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,No,No,No,No,No,No,Proprietary,,SMS,No,2 embedded,No,No,Removable Li-Ion 680 mAh battery,Up to 255 h,Up to 3 h 50 min,,,About 80 EUR,No,No,MP3/iMelody/Midi/AAC player Predictive text input Organizer,256MB,"Vibration; Polyphonic(32) ringtones, composer",,,,,,,,
sagem,Sagem my210x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my210x.jpg,GSM,GSM 900 / 1800,,,"2007, October. Released 2007, October",Discontinued,103 x 44.5 x 15.4 mm (4.06 x 1.75 x 0.61 in),69 g (2.43 oz),Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,No,No,No,No,No,No,miniUSB,,SMS,No,2 embedded,No,No,Removable Li-Ion battery,Up to 255 h,Up to 3 h 50 min,,"Black, Blue, White, Green",,No,No,Predictive text input Organizer,,"Vibration; Polyphonic(32) ringtones, composer",,,,,,,,
sagem,Sagem my200x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my200x.gif,GSM,GSM 900 / 1800,,,"2006, February",Discontinued,104 x 43 x 15.5 mm (4.09 x 1.69 x 0.61 in),76 g (2.68 oz),Mini-SIM,"CSTN, 4096 colors",,101 x 80 pixels,No,250 entries,"20 dialed, 20 received, 20 missed calls",,,,,,Yes,No,No,No,No,No,No,,"SMS, EMS(my201x only),MMS(my202x only)",WAP 1.2  (my201x only),1 embedded,No,240 KB shared memory (my201x) 470B shared memory (my202x),Removable Li-Ion battery,Up to 255h,Up to 3 h 50 min,,,,Yes (my202x only),No,No,,"Vibration; Polyphonic(8) ringtones, composer",Predictive text input Organizer,,,,,,,
sagem,Sagem my200C,https://fdn2.gsmarena.com/vv/bigpic/sagem-my200c.gif,GSM,GSM 900 / 1800,,,"2007, February",Discontinued,74 x 42 x 21 mm (2.91 x 1.65 x 0.83 in),85 g (3.00 oz),Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",No,"100 numbers, 15 groups","20 dialed, 10 received, 10 missed calls",,,,,,No,No,No,No,No,No,,,"SMS, EMS, MMS",Yes,mySudoku,No,No,Removable Li-Ion 680 mAh battery,Up to 240 h,Up to 4 h,,"Black, Red, Silver, White & Pink",About 70 EUR,Yes,No,Predictive text input Organizer,240 KB,Vibration; Downloadable polyphonic ringtones,,,,1.10 W/kg (head),,,,
sagem,Sagem my150X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my150x.jpg,GSM,GSM 900 / 1800,,,"2006, February",Discontinued,107 x 47 x 10 mm (4.21 x 1.85 x 0.39 in),65 g (2.29 oz),Mini-SIM,Monochrome graphics,"1.8 inches, 9.5 cm2 (~18.8% screen-to-body ratio)",101 x 64 pixels (~66 ppi density),No,100 entries,20 redail list,,,,,,Yes,No,No,No,No,No,No,,SMS,No,1 embedded,No,Blue glow backlight,Removable Li-Ion battery,Up to 240 h,Up to 3 h,,"Silver/Black, Pink/Black",About 60 EUR,No,No,No,,"Vibration; Polyphonic(8) ringtones, composer",Predictive text input Organizer,,,,,,,
sagem,Sagem my101X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my101x.jpg,GSM,GSM 900 / 1800,,,"2006, February",Discontinued,104.2 x 42.6 x 15.3 mm (4.10 x 1.68 x 0.60 in),76 g (2.68 oz),Mini-SIM,Monochrome graphics,,101 x 64 pixels,No,100 entries,20 redail list,,,,,,Yes,No,No,No,No,No,No,,SMS,No,1 embedded,No,Backlight keypad amber(my101X) and green (my100X),Removable Li-Ion battery,Up to 255 h,Up to 3 h 50 min,,"Black, White",,No,No,No,,"Vibration; Polyphonic(8) ringtones, composer",Predictive text input Organizer,,,,,,,
sagem,Sagem my100X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my100x.gif,GSM,GSM 900 / 1800,,,"2006, February",Discontinued,104 x 42 x 15.5 mm (4.09 x 1.65 x 0.61 in),76 g (2.68 oz),Mini-SIM,Monochrome graphics,,101 x 64 pixels,No,100 entries,20 redail list,,,,,,Yes,No,No,No,No,No,No,,SMS,No,1 embedded,No,Backlight keypad amber(my101X) and green (my100X),Removable Li-Ion 720 mAh battery,Up to 255h,Up to 3 h 50 min,,,,No,No,No,,"Vibration; Polyphonic(8) ringtones, composer",Predictive text input Organizer,,,,,,,
sagem,Sagem VS4,https://fdn2.gsmarena.com/vv/bigpic/sagem-vs4.gif,GSM,GSM 900 / 1800 / 1900,,,"2005, June",Discontinued,111 x 46.8 x 14.7 mm (4.37 x 1.84 x 0.58 in),90 g (3.17 oz),Mini-SIM,"CSTN, 65K colors","1.7 inches, 27.3 x 32.6 mm, 9.1 cm2 (~17.5% screen-to-body ratio)",128 x 160 pixels (~121 ppi density),No,1000 entries,"20 received, dialed and missed calls",,,,,,Yes,No,No,No,No,No,Proprietary,,SMS,WAP,No,No,No,Removable Li-Ion 850 mAh battery,Up to 166 h,Up to 4 h,,Silver,,Class 8,No,Predictive text input Reminder,4MB,Vibration; Polyphonic(16) ringtones,,,,,,,,
sagem,Sagem VS3,https://fdn2.gsmarena.com/vv/bigpic/sagem-vs3.gif,GSM,GSM 900 / 1800,,,"2005, Q4",Discontinued,85 x 42 x 23 mm (3.35 x 1.65 x 0.91 in),76 g (2.68 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,No,1000 entries,"20 received, dialed and missed calls",,,,,,Yes,No,No,No,No,No,Proprietary,,"SMS, MMS",WAP,No,No,Second external STN mono display (96 x 55 pixels),Removable Li-Ion 730 mAh battery,Up to 240 h,Up to 4 h,,Silver,,Class 8,No,No,4MB,Vibration; Polyphonic(16) ringtones,Predictive text input Reminder,,,,,,,
sagem,Sagem VS2,https://fdn2.gsmarena.com/vv/bigpic/sagem-vs2.gif,GSM,GSM 900 / 1800 / 1900,,,"2005, Q2",Discontinued,118.7 x 47.5 x 20.3 mm (4.67 x 1.87 x 0.80 in),125 g (4.41 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,No,1000 entries,"20 received, dialed and missed calls",,,,,,Yes,No,No,No,No,No,Proprietary,,"SMS, MMS",,No,No,No,Removable Li-Ion 920 mAh battery,Up to 300 h,Up to 4 h,,Black,,Class 8,No,Predictive text input Remainder,4MB,Vibration; Polyphonic(16) ringtones,,,,,,,,
sagem,Sagem VS1,https://fdn2.gsmarena.com/vv/bigpic/sagem-vs1.gif,GSM,GSM 900 / 1800 / 1900,,,"2005, Q2",Discontinued,123.5 x 52.5 x 24.8 mm (4.86 x 2.07 x 0.98 in),125 g (4.41 oz),Mini-SIM,65K colors,,128 x 160 pixels,No,1000 entries,"20 received, dialed and missed calls",,,,,,Yes,No,No,No,No,No,Proprietary,,"SMS, MMS",,No,No,No,Removable Li-Ion 920 mAh battery,Up to 300 h,Up to 4 h,,Silver,,Class 8,No,Predictive text input Remainder,4MB,Vibration; Polyphonic(16) ringtones,,,,,,,,
sagem,Sagem MY V-85,https://fdn2.gsmarena.com/vv/bigpic/sagem-myv85.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2005, Q4",Discontinued,112 x 20 x 46 mm (4.41 x 0.79 x 1.81 in),120 g (4.23 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,microSD (dedicated slot),"Yes, Photocall","20 dialed, 20 received, 20 missed calls",1.3 MP,,QCIF,VGA videocall camera,,No,No,No,Yes,No,No,Proprietary,,"SMS, EMS, MMS, EMail",WAP 2.0/xHTML,Yes + downloadable,"Yes, MIDP 2.0",MP3 player Predictive text input Calculator Photo editor,Removable Li-Ion battery,Up to 300 h,Up to 4 h,,Graphite,,,,,8MB,Vibration; Downloadable polyphonic ringtones,,,Yes,,,,,
sagem,Sagem MY V-76,https://fdn2.gsmarena.com/vv/bigpic/sagem-myv76.gif,GSM,GSM 900 / 1800 / 1900,,,"2005, July",Discontinued,110 x 19 x 47 mm (4.33 x 0.75 x 1.85 in),104 g (3.67 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,microSD (dedicated slot),"Yes, Photocall","20 dialed, 20 received, 20 missed calls",1.3 MP,LED flash,Yes,,,No,No,No,1.2,No,No,,,"SMS, EMS, MMS",WAP 2.0/xHTML,Yes + downloadable,"Yes, MIDP 2.0",No,Removable Li-Ion 920 mAh battery,Up to 350 h,Up to 4 h,,Silver,,Class 10,No,MP3 player Calculator Photo editor Voice memo Predictive text input,8MB,Vibration; Downloadable polyphonic ringtones,,,Yes,,,,,
sagem,Sagem MY V-56,https://fdn2.gsmarena.com/vv/bigpic/sagem-myv56.gif,GSM,GSM 900 / 1800 / 1900,,,"2004, Q4",Discontinued,106 x 19 x 46 mm (4.17 x 0.75 x 1.81 in),97 g (3.42 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,No,"In shared memory, Photo call","20 dialed, 20 received, 20 missed calls",VGA,,No,,,Yes,No,No,No,No,No,,,"SMS, MMS",WAP 2.0/xHTML,Yes + downloadable,Yes,Animated screensavers Color backgrounds Downloadable logos,Removable Li-Ion 920 mAh battery,Up to 370 h,Up to 4 h 50 min,,Silver,,Class 10,No,No,4MB,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",Predictive text input Organizer Voice dial/memo Exchangeable cover,,Yes,,,,,
sagem,Sagem myW-7,https://fdn2.gsmarena.com/vv/bigpic/sagem-myw7.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2006, February",Discontinued,"112 x 46 x 20 mm, 93 cc (4.41 x 1.81 x 0.79 in)",119 g (3.84 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",1.3 MP,,Yes,VGA videocall camera,,Yes,No,No,Yes,No,No,Proprietary,,"SMS, EMS, MMS, Email",WAP 2.0/xHTML,Yes + downloadable,"Yes, MIDP 2.0",Video telephony & streaming MP3/AAC player  Predictive text input Organizer Voice memo,Removable Li-Ion 1100 mAh battery,Up to 300 h,Up to 4 h,,Silver,,,,,6MB,Vibration; Downloadable polyphonic ringtones,,,Yes,,,,,
sagem,Sagem myMobileTV,https://fdn2.gsmarena.com/vv/bigpic/sagem-mymobiletv.gif,GSM,GSM 900 / 1800 / 1900,,,"2006, February",Discontinued,"115 x 47 x 20.8 mm, 107 cc (4.53 x 1.85 x 0.82 in)",125 g (4.41 oz),Mini-SIM,"TFT, 256K colors",,"240 x 320 pixels, 4:3 ratio",microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",1.3 MP,,Yes,,,Yes,No,No,No,No,No,Proprietary (optional),,"SMS, EMS, MMS, EMail, Instant Messaging",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 350 h,Up to 5 h,,Black,,Class 10,No,DVB-H TV receiver MP3 player  Predictive text input Organizer Voice memo,40MB,Vibration; Downloadable polyphonic ringtones,,,Yes,,,,,
sagem,Sagem MY C2-3,https://fdn2.gsmarena.com/vv/bigpic/sagem-myc2-3.gif,GSM,GSM 900 / 1800,,,"2005, Q4",Discontinued,"73 x 42 x 21 mm, 70 cc (2.87 x 1.65 x 0.83 in)",75 g (2.65 oz),Mini-SIM,"CSTN, 4096 colors",,"101 x 80 pixels, 6 lines",No,"255 entries, contact groups","20 received, dialed and missed calls",,,,,,Yes,No,No,No,No,No,,,"SMS, EMS, MMS",WAP 1.2,,No,Downloadable wallpapers,Removable Li-Ion 700 mAh battery,Up to 240 h,Up to 3 h,,,,Class 10,No,Message templates,240 KB,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",Predictive text input Calculator Currency converter,,,,,,,
sagem,Sagem myZ-5,https://fdn2.gsmarena.com/vv/bigpic/sagem-myz5.gif,GSM,GSM 900 / 1800 / 1900,,,"2006, February",Discontinued,85 x 42 x 23 mm (3.35 x 1.65 x 0.91 in),85 g (3.00 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,No,Yes,"20 dialed, 20 received, 20 missed calls",VGA,,Yes,,,Yes,No,No,No,No,No,Proprietary,,"SMS, EMS, MMS",WAP 2.0/xHTML,2,"Yes, MIDP 2.0",Screensavers and wallpapers Downloadable logos and applications,Removable Li-Ion battery,Up to 240 h,Up to 3 h,,,,Class 10,No,No,3.7MB,"Vibration; Downloadable polyphonic, MP3 ringtones",Predictive text input Organizer,,,,,,,
sagem,Sagem MY C5-3,https://fdn2.gsmarena.com/vv/bigpic/sagem-myc5-3.gif,GSM,GSM 900 / 1800,,,"2006, October",Discontinued,82 x 43 x 23 mm (3.23 x 1.69 x 0.91 in),85 g (3.00 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,No,"500 x 10 fields, Photo call, 15 groups","20 dialed, 10 received, 10 missed calls",VGA,,Yes,,,No,No,No,No,No,No,,,"SMS, EMS, MMS",WAP 2.0/xHTML,Yes  + downloadable,"Yes, MIDP 2.0",Second external display B/W (96 x 64 pixels),Removable Li-Ion 700 mAh battery,Up to 240 h,Up to 3 h,,,About 110 EUR,Yes,No,100 short messages,3MB,"Vibration; Downloadable polyphonic, MP3 ringtones",Predictive text input Organizer Photo editor,,,,,,,
