Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC,Build,Quad,Dual,Features_1,Charging,Models,Performance,Display,Camera,Loudspeaker_1,Battery life,Triple,Protection,128GB 4GB RAM,SAR,64GB 4GB RAM,Dual_1,SAR EU,Clock,Alarm,Audio quality,5G bands,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,128GB 6GB RAM 
lenovo,Lenovo Tab 4 10 Plus,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-4-10.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, February","Available. Released 2017, July",247 x 173 x 7 mm (9.72 x 6.81 x 0.28 in),475 g (1.05 lb),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~69.2% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",CDMA 800 & TD-SCDMA - China,Android 7.1 (Nougat),Octa-core 2.0 GHz Cortex-A53,microSDXC (dedicated slot),"16GB 3GB RAM, 64GB 4GB RAM","8 MP, AF",1080p@30fps,5 MP,,"Yes, dual speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"3.0 (Verizon/ATT) or 2.0 (all other), Type-C 1.0 reversible connector","Fingerprint (front-mounted), accelerometer",,"1, 3, 7, 38, 39, 40, 41 - China","Li-Po 7000 mAh, non-removable",,,"Aurora Black, Sparkling White",About 270 EUR,Qualcomm MSM8953 Snapdragon 625 (14 nm) - Wi-Fi/LTEQualcomm APQ8053 - Wi-Fi only,Adreno 506,LED flash,,eMMC 5.1,,,,,,,,,,"1, 2, 3, 4, 5, 7, 8, 20, 38, 40 - Global",,,"Glass front, glass back, aluminum frame",,,,Charging 10W,TB-X704F,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Tab 4 10,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-4-10.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, February","Available. Released 2017, July",247 x 171 x 8.3 mm (9.72 x 6.73 x 0.33 in),500 g (1.10 lb),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~70.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",CDMA 800 & TD-SCDMA - China,Android 7.1 (Nougat),Quad-core 1.4 GHz Cortex-A53,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","5 MP, AF",1080p@30fps,2 MP,,"Yes, dual speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,Accelerometer,,"1, 3, 38, 39, 40, 41 - China","Li-Po 7000 mAh, non-removable",,,"Black, White",About 180 EUR,Qualcomm MSM8917 Snapdragon 425 (28 nm) (Wi-Fi/LTE model)Qualcomm APQ8017 (Wi-Fi only model),Adreno 306,,,eMMC 5.1,,,,,,,,,,"1, 2, 3, 4, 5, 7, 8, 20, 38, 40 - Global",,,"Glass front, plastic back, plastic frame",,,,Charging 10W,TB-X304L,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Tab 4 8 Plus,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-4-8-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (TB-8704X/TB-8704N only),HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, February","Available. Released 2017, July",210 x 123 x 7 mm (8.27 x 4.84 x 0.28 in),300 g (10.58 oz),,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~71.8% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)",CDMA 800 & TD-SCDMA - China,Android 7.0 (Nougat),Octa-core 2.0 GHz Cortex-A53,microSDXC (uses shared SIM slot),"16GB 3GB RAM, 64GB 4GB RAM","8 MP, AF",1080p@30fps,5 MP,,"Yes, dual speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"3.0 (TB-8704V) or 2.0 (all other), Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, proximity (8704X/8704N only)",,"1, 3, 7, 38, 39, 40, 41 - China","Li-Po 4850 mAh, non-removable",,,"Aurora Black, Sparkling White",About 200 EUR,Qualcomm MSM8953 Snapdragon 625 (14 nm) - Wi-Fi/LTEQualcomm APQ8053 - Wi-Fi only,Adreno 506,LED flash,,eMMC 5.1,,,,,,,,,,"1, 2, 3, 4, 5, 7, 8, 20, 38, 40 - Global",,,,,,,Charging 10W,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Tab 4 8,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-4-8-.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, February 27","Available. Released 2017, September 15",211 x 124 x 8.2 mm (8.31 x 4.88 x 0.32 in),310 g (10.93 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~70.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",CDMA 800 & TD-SCDMA - China,Android 7.0 (Nougat),Quad-core 1.4 GHz Cortex-A53,microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 2GB RAM","5 MP, AF",1080p@30fps,2 MP,,"Yes, dual speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, proximity (LTE model only)",,"1, 3, 38, 39, 40, 41 - China","Li-Po 4850 mAh, non-removable",,,"Black, White",About 170 EUR,Qualcomm MSM8917 Snapdragon 425 (28 nm) (Wi-Fi/LTE model)Qualcomm APQ8017 (Wi-Fi only model),Adreno 306,,,eMMC 5.1,,,,,,,,,,"1, 3, 5, 7, 8, 20, 38, 40 - Global",,,,,,,,"TB-8504X, TB-8504F",,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Tab3 8 Plus,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab3-8.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2017, March","Available. Released 2017, March",210 x 125 x 8.9 mm (8.27 x 4.92 x 0.35 in),329 g (11.61 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~70.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)",eMMC 5.1,Android 6.0.1 (Marshmallow),Octa-core 2.0 GHz Cortex-A53,microSDXC (dedicated slot),16GB 3GB RAM,"8 MP, AF",1080p@30fps,5 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",No,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",,MP3/WAV/WMA/AAC player MP4/H.264 player Document viewer Photo viewer/editor,"Li-Po 4250 mAh, non-removable",,,"Black, White",About 170 EUR,Qualcomm MSM8953 Snapdragon 625 (14 nm),Adreno 506,"HDR, panorama",,,,,,,,,,,,LTE (unspecified),,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo ZUK Edge,https://fdn2.gsmarena.com/vv/bigpic/lenovo-zuk-edge-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/50 Mbps","2016, December","Available. Released 2017, January",142.9 x 74.5 x 7.7 mm (5.63 x 2.93 x 0.30 in),160 g (5.64 oz),,"Dual SIM (Nano-SIM, dual stand-by)","TDDI capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~78.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",24-bit/192kHz audio,"Android 7.0 (Nougat), ZUI 2.5",Quad-core (2x2.35 GHz Kryo & 2x1.6 GHz Kryo),No,"64GB 4GB RAM, 64GB 6GB RAM","13 MP, f/2.2, 1.34µm, PDAF","4K@30fps, 1080p@30fps","8 MP, f/2.2, 1/4"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO",FM radio,"3.1, Type-C 1.0 reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, heart rate, altimeter",,,"Li-Ion 3100 mAh, non-removable",,,"Ceramic White, Titanium Black",About 450 EUR,Qualcomm MSM8996 Snapdragon 821 (14 nm),Adreno 530,"LED flash, panorama, HDR",,,,,,,,,,,,"1, 2, 3, 4, 5, 7, 8, 20, 38, 39, 40, 41",,,,,,,Fast charging 18W Quick Charge 3.0,ZUK Z2151,,,,,,,Corning Gorilla Glass (unspecified version),,,,,,,,,,,,,
lenovo,Lenovo A6600 Plus,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6600.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, September","Available. Released 2016, October",141 x 71 x 8.8 mm (5.55 x 2.80 x 0.35 in),142 g (5.01 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","1, 3, 7 - Asia-Pacific",Android 6.0 (Marshmallow),Quad-core 1.0 GHz Cortex-A53,microSDHC (dedicated slot),16GB 2GB RAM,"8 MP, AF",720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Po 2300 mAh, removable",Up to 400 h (3G),Up to 6 h (3G),"Black, White",About 130 EUR,Mediatek MT6735P (28 nm),Mali-T720MP2,LED flash,,,,,,,,,,,,"1, 3, 5 - India",,,"Glass front, plastic back, plastic frame",,,,,"A6600d40, A6600a40",,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo A6600,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6600.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, September","Available. Released 2016, October",141 x 71 x 8.8 mm (5.55 x 2.80 x 0.35 in),142 g (5.01 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","1, 3, 7 - Asia-Pacific",Android 6.0 (Marshmallow),Quad-core 1.0 GHz Cortex-A53,microSDHC (dedicated slot),16GB 1GB RAM,"8 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Po 2300 mAh, removable",Up to 400 h (3G),Up to 6 h (3G),"Black, White",About 110 EUR,Mediatek MT6735P (28 nm),Mali-T720MP2,LED flash,,,,,,,,,,,,"1, 3, 5 - India",,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo B,https://fdn2.gsmarena.com/vv/bigpic/lenovo-b.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, October","Available. Released 2016, October",132.5 x 66 x 9.9 mm (5.22 x 2.60 x 0.39 in),144 g (5.08 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","4.5 inches, 57.6 cm2 (~65.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~207 ppi density)",,Android 6.0 (Marshmallow),Quad-core 1.0 GHz Cortex-A53,microSDHC,8GB 1GB RAM,5 MP,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,"Li-Ion 2000 mAh, removable",Up to 170 h (3G),Up to 11 h (3G),"Black, White, Gold",About 80 EUR,Mediatek MT6735 (28 nm),Mali-T720MP2,LED flash,,,,,,,,,,,,"1, 3, 5, 7, 8, 20, 38, 40, 41",,,,,,,,"A2016a40, A2016b30",,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo A Plus,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a-plus-A1010.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"2016, September","Available. Released 2016, September",133 x 66 x 9.9 mm (5.24 x 2.60 x 0.39 in),146 g (5.15 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~63.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,microSDHC (dedicated slot),8GB 1GB RAM,"5 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,"Li-Po 2000 mAh, removable",,,"Onyx Black, Pearl White",About 70 EUR,Mediatek MT6580 (28 nm),Mali-400MP2,LED flash,,,,,,,,,,,,,,,,,,,,A1010a20,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo P2,https://fdn2.gsmarena.com/vv/bigpic/lenovo-p2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2016, September","Available. Released 2016, November",153 x 76 x 8.3 mm (6.02 x 2.99 x 0.33 in),177 g (6.24 oz),,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",eMMC 5.1,"Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",Octa-core 2.0 GHz Cortex-A53,microSDXC (uses shared SIM slot),"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM","13 MP, f/2.0, 21mm (ultrawide), 1/3.1"", 1.12µm, PDAF","4K@30fps, 1080p@30fps","5 MP, f/2.2",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio; recording,"microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,,"Li-Ion 5100 mAh, non-removable",Up to 768 h (3G),Up to 79 h (3G),"Champagne gold, Graphite gray",About 240 EUR,Qualcomm MSM8953 Snapdragon 625 (14 nm),Adreno 506,"Dual-LED dual-tone flash, HDR, panorama",,,,,,,,,,,,"1, 3, 4, 5, 7, 8, 20, 28, 38, 40",,Yes,"Glass front (Gorilla Glass 3), aluminum back, aluminum frame",,,,Fast charging 18W,P2a42,GFXBench: 3.7fps (ES 3.1 onscreen),"Contrast ratio: Infinite (nominal), 3.316 (sunlight)",Photo / Video,Voice 67dB / Noise 72dB / Ring 86dB,Endurance rating 149h,,Corning Gorilla Glass 3,,,,,,,,Noise -92.6dB / Crosstalk -92.4dB,,,,,
lenovo,Lenovo K6 Note,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k6-note.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, September","Available. Released 2016, December",151 x 76 x 8.4 mm (5.94 x 2.99 x 0.33 in),169 g (5.96 oz),,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",HSDPA 850 / 1700(AWS) / 1900 / 2100 - LATAM,Android 6.0 (Marshmallow),Octa-core 1.4 GHz Cortex-A53,microSDXC (uses shared SIM slot),"32GB 3GB RAM, 32GB 4GB RAM","16 MP, PDAF",1080p@30fps,8 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,"1, 2, 3, 4, 5, 7, 8, 28 - LATAM","Li-Po 4000 mAh, non-removable",Up to 600 h (2G) / Up to 600 h (3G),Up to 46 h (2G) / Up to 31 h (3G),"Silver, Gold, Dark Grey",About 250 EUR,Qualcomm MSM8937 Snapdragon 430 (28 nm),Adreno 505,"Dual-LED dual-tone flash, HDR, panorama",,eMMC 5.1,,,,,,,,,,"1, 3, 5, 7, 8, 20, 38, 40, 41",,,"Glass front, aluminum/plastic back, aluminum frame",,,,,K53a48,GFXBench: 2.4fps (ES 3.1 onscreen),"Contrast ratio: 65125 (nominal), 2.544 (sunlight)",Photo / Video,Voice 63dB / Noise 69dB / Ring 71dB,Endurance rating 91h,,,,,,,,,,Noise-92.7dB / Crosstalk -86.8dB,,,,,
lenovo,Lenovo K6 Power,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k6-power.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, September","Available. Released 2016, November",141.9 x 70.3 x 9.3 mm (5.59 x 2.77 x 0.37 in),145 g (5.11 oz),,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",eMMC 5.1,"Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat)",Octa-core 1.4 GHz Cortex-A53,microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 3GB RAM","13 MP, PDAF",1080p@30fps,8 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,"Li-Po 4000 mAh, non-removable",Up to 649 h (3G),Up to 50 h (2G) / Up to 33 h (3G),"Silver, Gold, Dark Grey",About 170 EUR,Qualcomm MSM8937 Snapdragon 430 (28 nm),Adreno 505,"LED flash, HDR, panorama",,,,,,,,,,,,"1, 3, 5, 7, 8, 20, 38, 40, 41",,,"Glass front, aluminum back, aluminum frame",,,,,K33a42,GFXBench: 2.4fps (ES 3.1 onscreen),,,,,,,,,,,,,,,,,,,
lenovo,Lenovo K6,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, September","Available. Released 2016, November",141.9 x 70.3 x 8.2 mm (5.59 x 2.77 x 0.32 in),140 g (4.94 oz),,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",eMMC 5.1,Android 6.0 (Marshmallow),Octa-core 1.4 GHz Cortex-A53,microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 2GB RAM","13 MP, AF",1080p@30fps,8 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,,"Li-Ion 3000 mAh, non-removable",,,"Silver, Gold, Dark Grey",About 200 EUR,Qualcomm MSM8937 Snapdragon 430 (28 nm),Adreno 505,"LED flash, HDR, panorama",,,,,,,,,,,,LTE (unspecified),,,,,,,,"K33a48, K33b36",,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Yoga Tab 3 10,https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-tablet-3-10.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - EMEA,"HSPA 42.2/5.76 Mbps, LTE",2016,Available. Released 2016,253 x 185 x 9.5 mm (9.96 x 7.28 x 0.37 in),655 g (Wi-Fi)/ 665 g (3G/LTE) (1.40 lb),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~63.2% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Built-in 3-stage kickstand Splash and dust resistant,Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A7,microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, AF",720p@30fps,Rotating main camera module,720p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",No,microUSB 2.0,Accelerometer,,eMMC 4.5,"Li-Ion 8400 mAh, non-removable",,,Black,About 180 EUR,Qualcomm MSM8909 Snapdragon 210 (28 nm) - 3G/LTE modelQualcomm APQ8009 (28 nm) - Wi-Fi model,Adreno 304,,,,,,,,,,,,,"1, 3, 4, 5, 7, 8, 19, 20, 38, 40 - EMEA",,,,,,,,YT3-X50M,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Yoga Tab 3 Plus,https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-tab3-plusr.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100 - EMEA,"HSPA 42.2/5.76 Mbps, LTE","2016, September","Available. Released 2016, December",247 x 179 mm,637 g (Wi-Fi)/ 644 g (3G/LTE) (1.40 lb),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~66.9% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~299 ppi density)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - ROW,"Android 6.0.1 (Marshmallow), upgradable to 7.1.1 (Nougat)",Octa-core 2.0 GHz Cortex-A53 - 3G/LTE modelOcta-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53) - Wi-Fi model,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, AF",1080p@30fps,5 MP,,"Yes, with stereo speakers (4 speakers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector","Accelerometer, compass",,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 21, 25, 26, 28, 30, 41 - ROW","Li-Ion 9300 mAh, non-removable",,Up to 18 h (3G),Black,About 300 EUR,Qualcomm MSM8953 Snapdragon 625 (14 nm) - 3G/LTE modelQualcomm MSM8976 Snapdragon 652 (28 nm) - Wi-Fi model,Adreno 506 - 3G/LTE modelAdreno 510 - Wi-Fi model,"HDR, panorama",,eMMC 5.1,,,,,,,,,,"1, 2, 3, 5, 7, 8, 20, 38, 39, 40, 41 - EMEA",,,,,,,Fast charging 18W,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Vibe A,https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-a.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"2016, July","Available. Released 2016, July",124.5 x 64 x 10.6 mm (4.90 x 2.52 x 0.42 in),132 g (4.66 oz),,"Dual SIM (Mini-SIM, dual stand-by)",TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~57.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,microSDHC (dedicated slot),4GB 512MB RAM,5 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,"Li-Po 1700 mAh, removable",,,"Onyx Black, Pearl White",About 50 EUR,Spreadtrum SC7731G,Mali-400MP2,LED flash,,,,,,,,,,,,,,,,,,,,A1000m,,,,,,,,,,,,,,,,,,,,
