Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser
yezz,Yezz 4.5EL LTE,https://fdn2.gsmarena.com/vv/bigpic/yezz-4.5el-lte.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.0,HSDPA 850 / 1900 - AM45EL133,"4, 7, 17",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, November","Available. Released 2016, December",136.5 x 66 x 8.8 mm (5.37 x 2.60 x 0.35 in),130 g (4.59 oz),,Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Android 6.0 (Marshmallow),Mediatek MT6737M (28 nm),Quad-core 1.1 GHz Cortex-A53,Mali-T720MP2,microSDHC,8GB 1GB RAM,,"LED flash, HDR, panorama",1080p@30fps,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,Accelerometer,Li-Ion 1700 mAh battery,,Black,,,,,,,,,,,,,,,2 MP,,,,Up to 250 h (3G),,Up to 7 h (3G),,,,,,,,,,,,
yezz,Yezz 5M,https://fdn2.gsmarena.com/vv/bigpic/yezz-5m.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 - AM5M2L043,,,HSPA 21.1/5.76 Mbps,"2016, November","Available. Released 2016, December",143.7 x 72.4 x 9.5 mm (5.66 x 2.85 x 0.37 in),114 g (4.02 oz),,Dual SIM (Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 6.0 (Marshmallow),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC (dedicated slot),8GB 1GB RAM,,"LED flash, panorama",720p@30fps,8 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Ion 2300 mAh battery,,Black,,,,,,,,,,,,,,,5 MP,,,,Up to 300 h,,Up to 9 h,,,,,,,,,,,,
yezz,Yezz C21,https://fdn2.gsmarena.com/vv/bigpic/yezz-c21.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM21A003,No,,,,,"2016, July","Available. Released 2016, August",113 x 48.5 x 14.6 mm (4.45 x 1.91 x 0.57 in),70 g (2.47 oz),,Dual SIM (Mini-SIM),"TFT, 256K colors","1.8 inches, 10.2 cm2 (~18.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),MP3/WAV player,,Spreadtrum SC6531DA,321 Mhz,,microSDHC (dedicated slot),4MB 4MB RAM,,,Yes,VGA,,,Yes,No,,No,2.1,No,,Stereo FM radio,microUSB 2.0,,"Li-Ion 600 mAh, removable",,"Black, White, Red, Blue",,,,,,,,,,,,,,,,,,,Up to 180 h,,Up to 3 h,,,Up to 48 kbps,No,,,Yes,Yes,SMS,No,No,
yezz,Yezz Andy 5EI3 (2016),https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5ei3.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100 - AM5E047,,,HSPA 21.1/5.76 Mbps,"2016, June","Available. Released 2016, August",145.5 x 74.8 x 8.9 mm (5.73 x 2.94 x 0.35 in),153 g (5.40 oz),,Dual SIM (Mini-SIM/ Micro-SIM),"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~63.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 6.0 (Marshmallow),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC (dedicated slot),8GB 512MB RAM,,"LED flash, panorama",720p@30fps,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.0, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,Accelerometer,Li-Ion 2000 mAh battery,,"Black, Blue, Red, Gun Metal, White, Silver, Pink",,,,,,,,,,,,,,,2 MP,,,,Up to 333 h (3G),,Up to 8 h (3G),,,,,,,,,,,,
yezz,Yezz Andy 5E3,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5E3.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 - AM5E3043,HSDPA 850 / 1700 / 1900 - AM5E054,,,HSPA 21.1/5.76 Mbps,"2016, June","Available. Released 2016, August",145.5 x 74.8 x 8.9 mm (5.73 x 2.94 x 0.35 in),153 g (5.40 oz),,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)","TN capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~63.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",HSDPA 850 / 2100 - AM5E3062,Android 6.0 (Marshmallow),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC (dedicated slot),8GB 512MB RAM,,,720p@30fps,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.0, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2000 mAh, removable",,"Black, Blue, Red, Gun Metal, White, Silver, Pink",,,,,,,,,,,,,,,2 MP,,,,Up to 333 h (3G),,Up to 8 h (3G),,,,,,,,,,,,
yezz,Yezz Andy 4.7T,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-47t.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 850 / 900 / 1900 / 2100 - SIM 1 & SIM 2,,,HSPA 42.2/11.5 Mbps,"2016, April","Available. Released 2016, May",135.8 x 67.2 x 7.2 mm (5.35 x 2.65 x 0.28 in),120 g (4.23 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~66.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,Android 4.4 (KitKat),Qualcomm MSM8212 Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 302,microSDXC (dedicated slot),8GB 1GB RAM,,"LED flash, panorama, HDR",720p@30fps,"8 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 1780 mAh, removable",,"Blue, Red, White",,,Asahi Dragontrail Glass,,,,,,,,,,,,2 MP,,,,Up to 480 h (2G) / Up to 350 h (3G),,Up to 16 h (2G) / Up to 7 h 30 min (3G),,,,,,,,,,,,
yezz,Yezz Andy 5M LTE,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5m-lte.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 - AM5ML133,"2, 4, 7, 17 - AM5ML133",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2016, January","Available. Released 2016, March",143 x 70.4 x 8.3 mm (5.63 x 2.77 x 0.33 in),142 g (5.01 oz),,Dual SIM (Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 5.1 (Lollipop),Mediatek MT6735P (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,microSDXC (dedicated slot),8GB 1GB RAM,,"LED flash, panorama",720p@30fps,13 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2200 mAh, removable",,Black,,,,,,,,,,,,,,,5 MP,,,,Up to 220 h (2G) / Up to 183 h (3G),,Up to 13 h 40 min (2G) / Up to 9 h 10 min (3G),,,,,,,,,,,,
yezz,Yezz CC40,https://fdn2.gsmarena.com/vv/bigpic/yezz-cc40.jpg,GSM / HSPA,GSM 850 / 1900,No,HSDPA 850 / 1900 - CC40007,,,HSPA 7.2/5.76 Mbps,"2016, March","Available. Released 2016, May",107.4 x 46 x 14.4 mm (4.23 x 1.81 x 0.57 in),82.5 g (2.89 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~20.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),Video Player Music Player Organizer,,,,,microSDHC (dedicated slot),128MB 64MB RAM,,,Yes,VGA,,,Yes,Yes,,No,2.1,No,,Stereo FM radio,microUSB 2.0,No,"Li-Ion 800 mAh, removable",,Black,,,,,,,,,,,,,,,,,,,Up to 160 h (2G) / Up to 130 h (3G),,Up to 6 h (2G) / Up to 4 h (3G),,,,,,,Yes,Yes,"SMS, MMS",No,MIDP 2.0,
yezz,Yezz Andy 5.5M LTE VR,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-55m-lte-vr-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 - AM55ML194,"2, 4, 7, 17 - AM55ML194",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2016, January","Available. Released 2016, March",157.4 x 78 x 9 mm (6.20 x 3.07 x 0.35 in),165 g (5.82 oz),,Dual SIM (Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~67.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720,microSDXC (dedicated slot),8GB 1GB RAM,,"LED flash, panorama",720p@30fps,13 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, gyro, proximity","Li-Ion 2400 mAh, removable",,Black,,,,,,,,,,,,,,,5 MP,,,,Up to 240 h (2G) / Up to 200 h (3G),,Up to 17 h 40 min (2G) / Up to 15 h (3G),,,,,,,,,,,,
yezz,Yezz Monte Carlo 55 LTE VR,https://fdn2.gsmarena.com/vv/bigpic/yezz-monte-carlo-55vr.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Includes VR viewer headset,HSDPA 850 / 900 / 1900 / 2100 - MCM55TL142,"2, 3, 7, 20 - MCM55TL142",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2015, December","Available. Released 2016, March",152 x 77.9 x 7 mm (5.98 x 3.07 x 0.28 in),165 g (5.82 oz),,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,microSDXC (uses shared SIM slot),8GB 1GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"20 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, LE","Yes, with A-GPS, GLONASS",,Stereo FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","Li-Po 3000 mAh, non-removable",,Black,,,,,,,,,,,,,,,8 MP,,,,Up to 300 h (2G) / Up to 250 h (3G),,Up to 22 h 10 min (2G) / Up to 18 h 30 min (3G),,,,,,,,,,,,
