Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC,Build,Quad,Dual,Features_1,Charging,Models,Performance,Display,Camera,Loudspeaker_1,Battery life,Triple,Protection,128GB 4GB RAM,SAR,64GB 4GB RAM,Dual_1
inq,iNQ Cloud Touch,https://fdn2.gsmarena.com/vv/bigpic/inq-cloud-touch.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 1900 / 2100,HSPA 7.2/5.76 Mbps,"2011, February. Released 2011, April",Discontinued,114 x 62 x 13 mm (4.49 x 2.44 x 0.51 in),122 g (4.30 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~51.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",No,Android 2.2 (Froyo),600 MHz ARM 11,"microSDHC (dedicated slot), 4 GB included",512MB,"5 MP, AF",Yes,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",Stereo FM radio,microUSB 2.0,"Accelerometer, proximity, compass",WAP2.0 / xHTML,MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input,Removable Li-Ion 1300 mAh battery,Up to 245 h (3G),Up to 6 h 30 min (3G),"Black, White, Red",About 380 EUR,Qualcomm MSM7227 Snapdragon S1,Adreno 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inq,iNQ Cloud Q,https://fdn2.gsmarena.com/vv/bigpic/inq-cloud-q.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 1900 / 2100,HSPA,"2011, February",Cancelled,-,-,QWERTY,Mini-SIM,"TFT resistive touchscreen, 256K colors","2.6 inches, 19.2 cm2","400 x 240 pixels, 5:3 ratio (~179 ppi density)",No,Android 2.2 (Froyo),600 MHz ARM 11,"microSDHC (dedicated slot), 4 GB included",4MB,"5 MP, AF",Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP","Yes, with A-GPS",No,microUSB 2.0,Accelerometer,WAP2.0 / xHTML,MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input,Removable Li-Ion 1300 mAh battery,Up to 200 h,Up to 4 h,"Black, White, Red",,Qualcomm MSM7227 Snapdragon S1,Adreno 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inq,iNQ Chat 3G,https://fdn2.gsmarena.com/vv/bigpic/inq-chat-3g.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,HSPA 3.6/0.384 Mbps,"2009, October. Released 2009, December",Discontinued,114.5 x 61 x 12.8 mm (4.51 x 2.40 x 0.50 in),122 g (4.30 oz),QWERTY,Mini-SIM,"TFT, 256K colors",", -","320 x 240 pixels, 4:3 ratio",Home screen widgets,,,microSDHC (dedicated slot),100MB,"3.15 MP, AF",Yes,,,Yes,No,No,"2.0, A2DP",Yes,No,miniUSB 2.0,,WAP2.0 / xHTML,No,Removable Li-Ion 1150 mAh battery,-,-,"Black, Red",About 110 EUR,,,,,"Facebook, Windows Live, Skype, Twitter applications and integration MP3/WAV/eAAC+ player MP4/H.263/H.264 player Organizer Voice memo Predictive text input",,,,,"1000 entries, Photocall","30 received, dialed and missed calls","SMS, MMS, Email, IM, Push GMail",Yes,"Yes, MIDP 2.0",,,,,,,,,,,,,,,,,,,,
inq,iNQ Mini 3G,https://fdn2.gsmarena.com/vv/bigpic/inq-mini-3g.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,HSPA 3.6/0.384 Mbps,"2009, September. Released 2009, September",Discontinued,102.9 x 45.8 x 12.8 mm (4.05 x 1.80 x 0.50 in),90 g (3.17 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~31.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",No,,,microSDHC (dedicated slot),50MB,2 MP,Yes,,,Yes,No,No,"2.0, A2DP",No,No,miniUSB 2.0,,WAP2.0 / xHTML,"Facebook, Skype, Twitter applications and integration MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input",Removable Li-Ion 1150 mAh battery,Up to 260 h,Up to 3 h 30 min,"Black, Red",,,,,,,,,,,"1000 entries, Photocall","30 received, dialed and missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,,,,,,,,,,,,
inq,iNQ iNQ1,https://fdn2.gsmarena.com/vv/bigpic/inq1.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 2100,HSPA 3.6/0.384 Mbps,"2009, February. Released 2009, May",Discontinued,97 x 47.6 x 14.4 mm (3.82 x 1.87 x 0.57 in),110 g (3.88 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~32.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",No,,,microSDHC (dedicated slot),50MB,3.15 MP,Yes,,,Yes,No,No,"2.0, A2DP",No,No,miniUSB 2.0,,WAP2.0 / xHTML,"Facebook, Skype, Twitter applications and integration MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input",Removable Li-Ion 1150 mAh battery,Up to 330 h,Up to 5 h 20 min,Gray,,,,,,,,,,,"1000 entries, Photocall","30 received, dialed and missed calls","SMS, MMS, Email, IM",Yes,"Yes, MIDP 2.0",,,,,,,,,,,,,,,,,,,,
