Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality
dell,Dell Venue,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-ofic.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,HSDPA 850 / 1900 / 2100,HSDPA 900 / 1700 / 2100,,HSPA 7.2/5.76 Mbps,"2010, December. Released 2010, December",Discontinued,121 x 64 x 12.9 mm (4.76 x 2.52 x 0.51 in),164 g (5.78 oz),Mini-SIM,MP3/eAAC+/WAV/WMA9 player MP4/H.264/WMV9 player Organizer Quick Office document viewer/editor Voice memo/dial Predictive text input,"AMOLED capacitive touchscreen, 16M colors","4.1 inches, 47.8 cm2 (~61.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~228 ppi density)",Corning Gorilla Glass,Android 2.2 (Froyo),Qualcomm QSD8250 Snapdragon S1,1.0 GHz Scorpion,Adreno 200,microSDHC (dedicated slot),1GB 512MB RAM,"8 MP, AF",LED flash,720p,,,Yes,Yes,"Wi-Fi 802.11 b/g, hotspot",Yes,"Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1400 mAh battery,Black,About 390 EUR,,,,,,,,,,,,,,,,,,,,"HTML, Adobe Flash",,,,,,,
dell,Dell XCD35,https://fdn2.gsmarena.com/vv/bigpic/dell-xcd35-new.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,No,HSDPA 2100,MP4/H.264 player MP3/WAV/eAAC+ player Organizer Voice memo Predictive text input,,HSPA 7.2/0.384 Mbps,"2010, November. Released 2010, December",Discontinued,114 x 56 x 12.2 mm (4.49 x 2.20 x 0.48 in),120 g (4.23 oz),Mini-SIM,,"TFT capacitive touchscreen, 256K colors","3.5 inches, 34.9 cm2 (~54.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)",,Android 2.1 (Eclair),,600 MHz ARM 11,,microSDHC (dedicated slot),"256MB RAM, 512MB","3.15 MP, AF",,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP, EDR","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1250 mAh battery,Black,About 280 EUR,Up to 240 h,Up to 4 h,,,,,,,,,,,,,,,,,,HTML,,,,,,,
dell,Dell XCD28,https://fdn2.gsmarena.com/vv/bigpic/dell-xcd28.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,No,HSDPA 2100,MP4/H.264 player MP3/WAV/eAAC+ player Organizer Document viewer  Voice memo Predictive text input,,HSPA 7.2/0.384 Mbps,"2010, November. Released 2010, November",Discontinued,102 x 55 x 14.5 mm (4.02 x 2.17 x 0.57 in),100 g (3.53 oz),Mini-SIM,,"TFT resistive touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~43.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Android 2.1 (Eclair),Qualcomm MSM7227 Snapdragon S1,600 MHz ARM 11,Adreno 200,"microSDHC (dedicated slot), 2 GB included","256MB RAM, 256MB","3.15 MP, AF",,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP, EDR","Yes, with A-GPS",,,"Stereo FM radio, RDS",microUSB 2.0,,Removable Li-Ion 1100 mAh battery,Black,About 180 EUR,,,,,,,,,,,,,,,,,,,,HTML,,,,,,,
dell,Dell Smoke,https://fdn2.gsmarena.com/vv/bigpic/dell-smoke.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,MP3/WAV/eAAC+/WMA player MP4/H.264 player Organizer Document viewer/editor Voice memo/dial,HSDPA 850 / 1900 / 2100,,,HSPA 14.4/5.76 Mbps,Not officially announced yet,Cancelled,120 x 59.8 x 10.5 mm (4.72 x 2.35 x 0.41 in),-,Mini-SIM,,"TFT touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~33.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Android 2.2 (Froyo),Qualcomm MSM7230,800 MHz Scorpion,Adreno 205,microSDHC,,"5 MP, AF",,Yes,Yes,,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP",A-GPS,,,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1170 mAh battery,Black,,Up to 576 h (3G),Up to 6 h (3G),,,,,,,,,,,,,,,,QWERTY,,"HTML, Adobe Flash",,,,,,,
dell,Dell Flash,https://fdn2.gsmarena.com/vv/bigpic/dell-flash.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 850 / 1900 / 2100,No,,HSPA 14.4/5.76 Mbps,"Not officially announced yet. Released Exp. release 2009, Q4",Discontinued,117 x 58 x 11 mm (4.61 x 2.28 x 0.43 in),110 g (3.88 oz),Mini-SIM,TV-Out MP3/WAV/eAAC+/WMA player MP4/H.264 player Organizer Document viewer Voice memo,"TFT touchscreen, 256K colors","3.5 inches, 34.9 cm2 (~51.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)",,Android 2.2 (Froyo),Qualcomm MSM7230,800 MHz Scorpion,Adreno 205,microSDXC,"512MB RAM, 512MB","5 MP, AF",,Yes,,,Yes,Yes,"Wi-Fi 802.11 b/g, DLNA & UPnP","3.0, A2DP",A-GPS,,,No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1300 mAh battery,"Black, White",,Up to 725 h,Up to 12 h,,,,,,,,,,,,,,,,QWERTY,,"HTML, Adobe Flash",,,,,,,
dell,Dell Venue Pro,https://fdn2.gsmarena.com/vv/bigpic/dell-venue-pro.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,No,HSDPA 900 / 1700 / 2100,Document viewer/editor MP4/H.264/WMV player MP3/WAV/WMA/eAAC+ player Organizer Voice memo Predictive text input,,HSPA 7.2/5.76 Mbps,"2010, October. Released 2010, November",Discontinued,122 x 63.5 x 15.2 mm (4.80 x 2.5 x 0.60 in),192.8 g (6.77 oz),Mini-SIM,,"AMOLED capacitive touchscreen, 16M colors","4.1 inches, 47.8 cm2 (~61.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~228 ppi density)",Corning Gorilla Glass,Microsoft Windows Phone 7,Qualcomm QSD8250 Snapdragon S1,1.0 GHz Scorpion,Adreno 200,microSDHC (dedicated slot) - not user accessible,"8GB 512MB RAM, 16GB 512MB RAM","5 MP, AF",LED flash,720p,,,Yes,Yes,Wi-Fi 802.11 b/g/n,"2.1, A2DP","Yes, with A-GPS",,,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1400 mAh battery,Black,About 220 EUR,Up to 400 h,Up to 7 h,,,,,,,,,,,,,,,,QWERTY,,HTML,,,,,,,
dell,Dell Streak,https://fdn2.gsmarena.com/vv/bigpic/dell-streak-official.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSDPA 900 / 2100,MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player QuickOffice document viewer Photo viewer/editor Organizer Voice memo/dial Predictive text input,,HSPA 7.2/5.76 Mbps,"2010, May. Released 2010, June",Discontinued,152.9 x 79.1 x 10 mm (6.02 x 3.11 x 0.39 in),220 g (7.76 oz),Mini-SIM,,"TFT capacitive touchscreen, 16M colors","5.0 inches, 71.2 cm2 (~58.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",Corning Gorilla Glass,"Android OS 1.6 (Donut), upgradable to 2.2 (Froyo)",Qualcomm QSD8250 Snapdragon S1,1.0 GHz Scorpion,Adreno 200,microSDHC (dedicated slot),16GB 512MB RAM,"5 MP, f/2.8, AF",Dual-LED flash,480p@20fps; 720p (via SW update),VGA,,Yes,Yes,"Wi-Fi 802.11 b/g, hotspot (charges may apply)","2.0, A2DP","Yes, with A-GPS",,,No,2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1530 mAh battery,"Black, Red, white",About 190 EUR,Up to 400 h,Up to 9 h 48 min,,,,,,,,,,,,,,,,,,"HTML, Adobe Flash",,,,,Photo,Voice 70dB / Noise 75dB / Ring 80dB,Noise -84.7dB / Crosstalk -82.5dB
dell,Dell Aero,https://fdn2.gsmarena.com/vv/bigpic/dell-aero.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 850 / 1900 / 2100,No,,HSPA 3.6/0.384 Mbps,"2010, March. Released 2010, August",Discontinued,"122 x 57.9 x 11.7 mm, 68.6 cc (4.80 x 2.28 x 0.46 in)",104 g (3.67 oz),Mini-SIM,MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player QuickOffice document viewer Photo viewer/editor Organizer Voice memo Predictive text input,"TFT capacitive touchscreen, 256K colors","3.5 inches, 33.8 cm2 (~47.8% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)",Corning Gorilla Glass,Android 1.5 (Cupcake),,Marvell PXA310 624 MHz,,"microSDHC (dedicated slot), 2 GB included",,"5 MP, AF",LED flash,CIF@30fps,,,Yes,No,Wi-Fi 802.11 b/g,"2.0, A2DP","Yes, with A-GPS",,,No,miniUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1000 mAh battery,Black,About 230 EUR,Up to 400 h,Up to 5 h,,,,,,,,,,,,,,,,,,"HTML, Adobe Flash Lite",,,,,,,
dell,Dell Mini 3i,https://fdn2.gsmarena.com/vv/bigpic/dell-mini-3i.jpg,GSM,GSM 850 / 900 / 1800 / 1900,No,,MP4/H.264/WMV player MP3/e-AAC+/WMA player Organizer Voice memo,,,"2009, November. Released 2009, December",Discontinued,122 x 58.4 x 11.7 mm (4.80 x 2.30 x 0.46 in),102 g (3.60 oz),Mini-SIM,,"TFT capacitive touchscreen, 256K colors","3.5 inches, 33.8 cm2 (~47.4% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)",,OPhone OS,,,,"microSDHC (dedicated slot), 4 GB included",256MB,"3.15 MP, AF",,Yes,,,Yes,No,No,"2.0, A2DP","Yes, with A-GPS",,,No,miniUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1000 mAh battery,"Passion Red, Oiled Bronze",About 230 EUR,Up to 423 h,Up to 7 h 20 min,,,,,,,,,,,,Class 12,Class 12,,,,,HTML,,,,,,,
dell,Dell Mini 3iX,https://fdn2.gsmarena.com/vv/bigpic/dell-mini-3ix-official.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,No,HSDPA 850 / 1900 / 2100,MP4/H.264/WMV player MP3/e-AAC+/WMA player Voice memo Predictive text input,,HSPA 3.6/0.384 Mbps,"2009, November. Released 2009, December",Discontinued,120 x 59.9 x 11.7 mm (4.72 x 2.36 x 0.46 in),108 g (3.81 oz),Mini-SIM,,"TFT capacitive touchscreen, 256K colors","3.5 inches, 33.8 cm2 (~47.0% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)",,Android 1.5 (Cupcake),,,,"microSDHC (dedicated slot), 2 GB included",256MB,"3.15 MP, AF",LED flash,Yes,,,Yes,No,Wi-Fi 802.11 b/g,"2.1, A2DP","Yes, with A-GPS",,,No,miniUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1000 mAh battery,Oiled Bronze and Ocean Blue,About 230 EUR,Up to 400 h,Up to 5 h,,,,,,,,,,,,,,,,,,HTML,,,,,,,
