Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality,Triple,Dual_1,Battery life,Performance,Display,64GB 6GB RAM,64GB 4GB RAM,128GB 4GB RAM,Music play,32GB 4GB RAM,4GB,Quad,256GB 8GB RAM,128GB 8GB RAM,256GB 6GB RAM,Triple_1,64GB 3GB RAM
honor,Honor X10 5G,https://fdn2.gsmarena.com/vv/bigpic/honor-x10-5g.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1xEV-DO,"1, 2, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat12 600/50 Mbps, 5G 2.3 Gbps DL","2020, May 20","Available. Released 2020, May 26",163.7 x 76.5 x 8.8 mm (6.44 x 3.01 x 0.35 in),203 g (7.16 oz),"Dual SIM (Nano-SIM, dual stand-by)",90Hz refresh rate,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.63 inches, 106.1 cm2 (~84.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~397 ppi density)",Aluminosilicate glass,"Android 10, Magic UI 3.1, no Google Play Services",Kirin 820 5G (7nm),Octa-core (1x2.36 GHz Cortex-A76 & 3x2.22 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55),Mali-G57 (6-core),"NM (Nano Memory), up to 256GB (uses shared SIM slot)","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","Motorized pop-up 16 MP, f/2.2, 24mm (wide), 1/3.06"", 1.0µm","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, 720p@960fps, gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4300 mAh, non-removable","Blue, Orange, Black, Silver",$ 306.99,,,,,,,,,Glass front (Aluminosilicate glass),,,Fast charging 22.5W Reverse charging,TEL-TN00,,,,HDR,,,,,,,"1, 3, 38, 41, 77, 78, 79, 80, 84 SA/NSA",,,,"40 MP, f/1.8, 26mm (wide), 1/1.7"", PDAF 8 MP, f/2.4, 17mm, 120˚ (ultrawide) 2 MP, f/2.4, (depth)",,,,,$ 306.99,,,,,,,,,,,
honor,Honor V6,https://fdn2.gsmarena.com/vv/bigpic/honor-v6.jpg,LTE / 5G,N/A,Stylus support,N/A,,LTE,"LTE-A, 5G","2020, May 19","Available. Released 2020, June 15",245.2 x 154.9 x 7.8 mm (9.65 x 6.10 x 0.31 in),480 g (1.06 lb),No,,"IPS LCD capacitive touchscreen, 16M colors","10.4 inches, 307.9 cm2 (~81.1% screen-to-body ratio)","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)",,"Android 10, Magic UI 3.1, no Google Play Services",Kirin 985 5G (7 nm),Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55),Mali-G77 (8-core),microSDXC,"64GB 6GB RAM, 128GB 6GB RAM, 256GB 8GB RAM","13 MP, f/1.8, (wide), AF","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.2, (wide)",1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, GLONASS, BDS",,,No,"2.0, Type-C 1.0 reversible connector","Accelerometer, proximity, compass","Li-Po 7250 mAh, non-removable","Green, Silver, Black",About 280 EUR,,,,,,,,,,,,,"KRJ-W09, KRJ-AN00",No,No,,HDR,,,,,,,SA/NSA,,,,,,,,,,,,,,,,,,,,
honor,Honor 9A,https://fdn2.gsmarena.com/vv/bigpic/honor-9a.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps","2020, April 29","Available. Released 2020, May 04",159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),185 g (6.53 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 95.8 cm2 (~81.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~278 ppi density)",,"Android 10, Magic UI 3.1, no Google Play Services",Mediatek MT6762R Helio P22 (12 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),64GB 3GB RAM,"8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Yes (market/region dependent),,FM radio; built-in antenna,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable","Black, Blue, Green",About 150 EUR,,,,,,,,,"Glass front, plastic back, plastic frame",,,,MOA-LX9N,,,,HDR,,,,,,,,,-26.2 LUFS (Good),,"13 MP, f/1.8, (wide), PDAF 5 MP, f/2.2, (ultrawide) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,
honor,Honor 9C,https://fdn2.gsmarena.com/vv/bigpic/honor-9c.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 20, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A","2020, April 29","Available. Released 2020, May 04",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm2 (~82.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)",,"Android 10, EMUI 10.1, no Google Play Services",Kirin 710A (14 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC (dedicated slot),64GB 4GB RAM,"8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,,No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable","Black, Blue",About 160 EUR,,,,,,,,,,,,,AKA-L29,,,,HDR,,,,,,,,,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, 120˚ (ultrawide) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,
honor,Honor 9S,https://fdn2.gsmarena.com/vv/bigpic/honor-9s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE","2020, April 29","Available. Released 2020, May 04",146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in),144 g (5.08 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"Capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~73.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,"Android 10, Magic UI 3.1, no Google Play Services",Mediatek MT6762R Helio P22 (12 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),32GB 2GB RAM,"8 MP, f/2.0, (wide), AF","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 3020 mAh, non-removable","Black, Blue, Red",About 90 EUR,,,,,,,,,,,,,DUA-LX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor,Honor 9X Lite,https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-9x-lite.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2020, April 17","Available. Released 2020, May 14",160.4 x 76.6 x 7.8 mm (6.31 x 3.02 x 0.31 in),188 g (6.63 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.2 cm2 (~84.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~397 ppi density)",,"Android 9.0 (Pie), EMUI 9.1, Google Play Services",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC (dedicated slot),128GB 4GB RAM,"8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Yes (market/region dependent),,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 3750 mAh, non-removable","Emerald Green, Midnight Black",$ 156.68 / € 159.99 / £ 169.00,,,,,,,,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 2 MP, f/2.4, (depth)",,Charging 10W,"JSN-L21, JSN-L22, JSN-L23",,,,,,,,,,,,,,,,,,,,,,$ 183.00,,,,,,,,,
honor,Honor 30 Pro+,https://fdn2.gsmarena.com/vv/bigpic/honor-30-pro-plus.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Water-repellent coating,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,90Hz refresh rate,"1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, April 15","Available. Released 2020, April 21",160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in),190 g (6.70 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",UFS,"OLED capacitive touchscreen, 16M colors","6.57 inches, 106.0 cm2 (~89.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)",,"Android 10, Magic UI 3, no Google Play Services",Kirin 990 5G (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55),Mali-G76 MP16,"NM (Nano Memory), up to 256GB (uses shared SIM slot)","256GB 8GB RAM, 256GB 12GB RAM",,"LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60fps, 1080p@1920fps; gyro-EIS",,"4K, 1080p; gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC",Yes,Yes,No,"3.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Titanium silver, Emerald Green, Midnight Black",$ 759.99,,,,,,,,,"Glass front, glass back, aluminum frame","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm 8 MP, f/2.2, (ultrawide)",,Fast charging 40W Fast wireless charging 27W Reverse charging 5W,EBG-AN10,,,,HDR,,,,,,,"1, 3, 41, 77, 78, 79 SA/NSA",Photo / Video,-23.8 LUFS (Very good),,,,Endurance rating 99h,AnTuTu: 510031 (v8) GeekBench: 3191 (v5.1) GFXBench: 37fps (ES 3.1 onscreen),Contrast ratio: Infinite (nominal),,,,,,,"50 MP, f/1.9, 23mm (wide), 1/1.28"", 2.44µm, omnidirectional PDAF, Laser AF, OIS 8 MP, f/3.4, 125mm (Periscope telephoto), PDAF, OIS, 5x optical zoom 16 MP, f/2.2, 18mm (ultrawide), AF 2 MP, (depth)",$ 759.99,,,,
honor,Honor 30 Pro,https://fdn2.gsmarena.com/vv/bigpic/honor-30-pro.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP54 splash proof,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,UFS,"1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, April 15","Available. Released 2020, April 21",160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in),186 g (6.56 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"OLED capacitive touchscreen, 16M colors","6.57 inches, 106.0 cm2 (~89.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)",,"Android 10, Magic UI 3, no Google Play Services",Kirin 990 5G (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55),Mali-G76 MP16,"NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 8GB RAM, 256GB 8GB RAM",,"LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60fps, 1080p@1920fps; gyro-EIS",,"4K, 1080p; gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC",Yes,Yes,No,"3.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Titanium silver, Emerald Green, Midnight Black, Icelandic Frost, Neon purple",$ 659.99,,,,,,,,,"Glass front, glass back, aluminum frame","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm 8 MP, f/2.2, (ultrawide)",,Fast charging 40W Reverse charging 5W,EBG-AN00,,,,HDR,,,,,,,"1, 3, 41, 77, 78, 79 SA/NSA",,,,,,,,,,,,,,,"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, Laser AF, OIS 8 MP, f/3.4, 125mm (Periscope telephoto), PDAF, OIS, 5x optical zoom 16 MP, f/2.2, 18mm (ultrawide) 2 MP, (depth)",$ 799.99,$ 659.99,,,
honor,Honor 30,https://fdn2.gsmarena.com/vv/bigpic/honor-30.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 19, 26, 34, 38, 39, 40, 41 - China",HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"1, 3, 41, 77, 78, 79 SA/NSA - China","1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 19, 20, 26, 34, 38, 39, 40, 41 - International","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, April 15","Available. Released 2020, April 21",160.3 x 74.2 x 8.1 mm (6.31 x 2.92 x 0.32 in),185 g (6.53 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",UFS,"OLED capacitive touchscreen, 16M colors","6.53 inches, 102.9 cm2 (~86.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~403 ppi density)",,"Android 10, Magic UI 3, no Google Play Services",Kirin 985 5G (7 nm),Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55),Mali-G77,"NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS",,"4K, 1080p; gyro-EIS",Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",Yes,,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Titanium silver, Emerald Green, Midnight Black, Icelandic Frost, Neon purple",$ 319.99,,,,,,,,,,,$ 319.99,Fast charging 40W Reverse charging 5W,BMH-AN10,,,,HDR,,,,,,,"1, 3, 38, 41, 77, 78, 79 SA/NSA - International",,,,,,,,,,,,,,,"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF 8 MP, f/3.4, 125mm (Periscope telephoto), PDAF, OIS, 5x optical zoom 8 MP, f/2.4, 17mm (ultrawide) 2 MP, (depth)",$ 669.99,$ 409.99,,,
honor,Honor 20e,https://fdn2.gsmarena.com/vv/bigpic/honor-20e.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2020, April 16","Available. Released 2020, April 27",154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in),164 g (5.78 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.21 inches, 94.7 cm2 (~83.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)",,"Android 9.0 (Pie), EMUI 9.1, Google Play Services",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC (uses shared SIM slot),64GB 4GB RAM,"8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30/60fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",Yes,,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 3400 mAh, non-removable","Midnight Black, Phantom Blue",About 180 EUR,,,,,,,,,"Glass front, plastic back, plastic frame",,,Charging 10W,,,,,HDR,,,,,,,,,,,"24 MP, f/1.8, PDAF 8 MP, f/2.4, 120˚ (ultrawide) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,
honor,Honor Play 4T Pro,https://fdn2.gsmarena.com/vv/bigpic/honor-play-4t-pro.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,UFS 2.1,"1, 3, 5, 8, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A","2020, April 09","Available. Released 2020, April 09",157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"OLED capacitive touchscreen, 16M colors","6.3 inches, 95.8 cm2 (~83.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~418 ppi density)",,"Android 10, Magic UI 2, no Google Play Services",Kirin 810 (7 nm),Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55),Mali-G52 MP6,"NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 6GB RAM, 128GB 8GB RAM","16 MP, f/2.0, (wide)","LED flash, HDR, panorama","4K@30fps, 1080p@30fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable","Black, Blue, Green",About 200 EUR,,,,,,,,,,,,Fast charging 22.5W,"AQM-AL10, AQM-TL10",,,,HDR,,,,,,,,,,,"48 MP, f/1.8, 27mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, 17mm (ultrawide) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,
honor,Honor Play 4T,https://fdn2.gsmarena.com/vv/bigpic/honor-play-4t.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 8, 34, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A","2020, April 09","Available. Released 2020, April 14",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm2 (~82.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)",,"Android 10, Magic UI 3, no Google Play Services",Kirin 710A (14 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC (uses shared SIM slot),128GB 6GB RAM,"8 MP, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,,No,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable","Black, Blue, Green",About 160 EUR,,,,,,,,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 2 MP, f/2.4, (depth)",,Charging 10W,"AKA-AL10, AKA-TL10",,,,HDR,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor,Honor 8A 2020,https://fdn2.gsmarena.com/vv/bigpic/honor-8a-2020-uk.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 7, 8, 20, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps","2020, April 10","Available. Released 2020, April 15",156.3 x 73.5 x 8.2 mm (6.15 x 2.89 x 0.32 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 91.0 cm2 (~79.2% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,"Android 9.0 (Pie), EMUI 9",Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),64GB 3GB RAM,"13 MP, f/1.8, PDAF","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3020 mAh, non-removable","Black, Blue",About 150 EUR,,,,,,,,,,,,,,,,,HDR,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor,Honor 8A Prime,https://fdn2.gsmarena.com/vv/bigpic/honor-8a-prime.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 5, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps","2020, March 30","Available. Released 2020, March 30",156.3 x 73.5 x 8.2 mm (6.15 x 2.89 x 0.32 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 91.0 cm2 (~79.2% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,"Android 9.0 (Pie), EMUI 9",Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),64GB 3GB RAM,"13 MP, f/1.8, PDAF","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Yes,,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 3020 mAh, non-removable","Black, Blue, Green",About 110 EUR,,,,,,,,,,,,,JAT-LX1,,,,HDR,,,,,,,,,,,,,,,,,,,,,,,,,,,
