Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,256GB 8GB RAM,Quad,Models,128GB 4GB RAM,Dual,64GB 4GB RAM,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,SAR,32GB 3GB RAM,32GB 2GB RAM,Protection,256GB 12GB RAM,SAR EU,Audio quality,Infrared port,Dual_1,Talk time,Stand-by,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Alert types,Languages,Clock,Alarm
nec,NEC Terrain,https://fdn2.gsmarena.com/vv/bigpic/nec-terrain.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant,HSDPA 850 / 1900 / 2100,,"4, 17",,"HSPA, LTE","2013, June. Released 2013, June",Discontinued,127.5 x 64.5 x 14.5 mm (5.02 x 2.54 x 0.57 in),171.8 g (6.07 oz),,Yes,,"TFT capacitive touchscreen, 16M colors","3.1 inches, 29.8 cm2 (~36.2% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~258 ppi density)",Android 4.0 (Ice Cream Sandwich),Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,microSDHC (dedicated slot),8GB 1GB RAM,"5 MP, AF",LED flash,720p@30fps,VGA,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 1900 mAh, removable",,Black,About 330 EUR,,,,,,,,,,,,,,,,,Corning Gorilla Glass 2,,,,,,Up to 10 h,Up to 348 h,,,QWERTY,,,,,,,,,,,
nec,NEC e121,https://fdn2.gsmarena.com/vv/bigpic/nec-e121.gif,GSM,GSM 900 / 1800 / 1900,Downloadable pictures,,No,,,,"2005, Q4",Discontinued,106 x 44 x 12.4 mm (4.17 x 1.73 x 0.49 in),95 g (3.35 oz),,Mini-SIM,Predictive text input Organizer Voice memo,"CSTN, 65K colors","1.8 inches, 29 x 35 mm, 10.2 cm2 (~21.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,No,3.6MB,VGA,,No,,,,Yes,No,No,No,No,,No,Proprietary,,Removable Li-Ion 800 mAh battery,,Silver,,,,,,,,,,,,,,,,,,,,,,,,Up to 2 h 30 min,Up to 150 h,Class 10,No,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,WAP 2.0/xHTML,Vibration; Downloadable polyphonic ringtones,,,
nec,NEC e122,https://fdn2.gsmarena.com/vv/bigpic/nec-e122.gif,GSM,GSM 900 / 1800 / 1900,Downloadable pictures,,No,,,,"2005, Q4",Discontinued,102.5 x 43 x 18 mm (4.04 x 1.69 x 0.71 in),90 g (3.17 oz),,Mini-SIM,Predictive text input Organizer,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,2.5MB,VGA,,No,,,,No,No,No,No,No,,No,Proprietary,,Removable Li-Ion 720 mAh battery,,"Silver, Black",,,,,,,,,,,,,,,,,,,,,,,,Up to 3 h,Up to 180 h,Class 10,No,,"250 entries, Photocall","20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,No,,WAP 2.0/xHTML,Vibration; Downloadable polyphonic ringtones,,,
nec,NEC e949/L1,https://fdn2.gsmarena.com/vv/bigpic/nec-l1-e949.gif,GSM,GSM 900 / 1800 / 1900,Second external mono OLED display (96x39 pixels),,No,,,,"2005, Q2",Discontinued,102 x 47.9 x 11.9 mm (4.02 x 1.89 x 0.47 in),96 g (3.39 oz),,Mini-SIM,MP3/AAC/MP4 player Predictive text input Organizer Voice memo Currency convertor SyncML,"TFT, 65K colors","1.9 inches, 30 x 37 mm, 11.4 cm2 (~23.3% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,,No,25MB,1.3 MP,,Yes,,,,No,No,No,1.2,No,,No,Proprietary,,Removable Li-Ion 600 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Up to 2 h 20 min,Up to 140 h,Class 10,No,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS, Email",Yes + downloadable,"Yes, MIDP 2.0",,WAP 2.0/xHTML,Vibration; Downloadable polyphonic ringtones,,,
nec,NEC N600i,https://fdn2.gsmarena.com/vv/bigpic/nec-n600i.gif,GSM / UMTS,GSM 900 / 1800 / 1900,Second external B/W STN display (30 x 120 pixels) Incoming LED indicator Downloadable pictures,UMTS 2100,MP3 player Predictive text input Organizer,,,"Yes, 384 kbps","2005, Q3",Discontinued,94.4 x 47.5 x 24.5 mm (3.72 x 1.87 x 0.96 in),113 g (3.99 oz),,Mini-SIM,,"TFT, 65K colors","2.0 inches, 30 x 40 mm, 12.4 cm2 (~27.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,,microSD (dedicated slot),20MB,1.3 MP,LED flash,Yes,VGA videocall camera,,,Yes,No,No,1.1,No,,No,Proprietary,,Removable Li-Ion 1000 mAh battery,,Silver,,,,,,,,,,,,,,,,,,,,,,,,Up to 3 h 20 min,Up to 200 h,,,,"500 entries, Photocall","20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS, Email",Yes + downloadable,"Yes, DoJa 2.5",,i-mode,Vibration; Downloadable polyphonic ringtones,,,
nec,NEC e540/N411i,https://fdn2.gsmarena.com/vv/bigpic/nec-n411i-e540.gif,GSM,GSM 900 / 1800 / 1900,Second external 4096 colors STN display (128 x 128 pixels) Incoming LED indicator Downloadable pictures,,400 short messages 400 emails,,,,"2005, Q1",Discontinued,93 x 46 x 24 mm (3.66 x 1.81 x 0.94 in),95 g (3.35 oz),,Mini-SIM,MP3 player Predictive text input SyncML  Organizer Voice memo/dial,"TFT, 65K colors","1.9 inches, 30 x 37 mm, 11.4 cm2 (~26.6% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,,No,26MB,1.3 MP,,Yes,,,,No,No,No,1.2,No,,No,Proprietary,,Removable Li-Ion 850 mAh battery,,Silver,,,,,,,,,,,,,,,,,,,,,,Yes,,Up to 3 h,Up to 200 h,Class 10,No,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS, Email",Yes + downloadable,"Yes, DoJa 1.5",,"WAP 2.0/xHTML, iMode (N411i only)",Vibration; Downloadable polyphonic ringtones,,,
nec,NEC N401i,https://fdn2.gsmarena.com/vv/bigpic/nec-n401i.gif,GSM,GSM 900 / 1800 / 1900,Second external 4096 colors LCD display (30 x 120 pixels) Incoming LED indicator Downloadable pictures,,No,,,,"2005, Q1",Discontinued,"90 x 44 x 23 mm, 85 cc (3.54 x 1.73 x 0.91 in)",90 g (3.17 oz),,Mini-SIM,MP3 player Predictive text input Organizer Voice memo/dial,65K colors,"1.9 inches, 30 x  37 mm, 11.4 cm2 (~28.7% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),,,,,No,22MB,VGA,LED flash,Yes,,,,No,No,No,No,No,,No,Proprietary,,Removable Li-Ion 850 mAh battery,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Up to 3 h 20 min,Up to 200 h,Yes,No,,"500 entries, Photocall","20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS, EMail",Yes + downloadable,"Yes, DoJa 1.5",,iMode,Vibration; Downloadable polyphonic ringtones,,,
nec,NEC N343i,https://fdn2.gsmarena.com/vv/bigpic/nec-n343i.gif,GSM,GSM 900 / 1800 / 1900,Downloadable pictures,,No,,,,"2005, Q2",Discontinued,109 x 43 x 12.7 mm (4.29 x 1.69 x 0.5 in),95 g (3.35 oz),,Mini-SIM,Predictive text input Organizer,"CSTN, 65K colors",,128 x 160 pixels,,,,,No,1.3MB,VGA,,Yes,,,,No,No,No,No,No,,No,Proprietary,,Removable Li-Ion 800 mAh battery,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 3 h,Up to 200 h,Class 10,No,,255 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS, EMail",Yes + downloadable,"Yes, DoJa 1.5",,iMode,Vibration; Downloadable polyphonic ringtones,,,
nec,NEC N900iG,https://fdn2.gsmarena.com/vv/bigpic/nen900g.gif,GSM / UMTS,GSM 900 / 1800 / 1900,Second external 65K colors TFT display (90 x 120 pixels) Downloadable pictures,UMTS 2100,CIF videocall camera,,,"Yes, 384 kbps","2004, Q4",Discontinued,103 x 50 x 28 mm (4.06 x 1.97 x 1.10 in),132 g (4.66 oz),,Mini-SIM,Bar-code reader Predictive text input Organizer,"TFT, 65K colors",,"240 x 320 pixels, 4:3 ratio",,,,,miniSD,,1.3 MP,,Yes,,,,No,No,No,No,No,,No,Proprietary,,Removable Li-Ion battery,,Ocean Blue,,,,,,,,,,,,,,,,,,,,,,Yes,,Up to 2 h,Up to 150 h,,,,"700 entries, Photo call","20 dialed, 20 received, 20 missed calls","SMS, MMS, EMail",Yes + downloadable,Yes,,"WAP 2.0/xHTML, iMode",Vibration; Downloadable polyphonic ringtones,,,
nec,NEC N200,https://fdn2.gsmarena.com/vv/bigpic/nen200.gif,GSM,GSM 900 / 1800,Wallpapers Downloadable pictures,,No,,,,"2005, Q1",Discontinued,70 x 51 x 18.6 mm (2.76 x 2.01 x 0.73 in),70 g (2.47 oz),,Mini-SIM,Predictive text input Organizer Voice memo,"TFT, 65K colors",,128 x 160 pixels,,,,,No,,VGA,,Yes,,,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 2 h,Up to 110 h,Yes,No,,300 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS",Yes,No,,WAP 2.0/xHTML,Vibration; Downloadable polyphonic ringtones,,,
nec,NEC N160,https://fdn2.gsmarena.com/vv/bigpic/nen160.gif,GSM,GSM 900 / 1800,"Second external 65K colors display, (96 x 64 pixels) Downloadable pictures",,No,,,,"2004, Q4",Discontinued,82.5 x 45 x 22.6 mm (3.25 x 1.77 x 0.89 in),80 g (2.82 oz),,Mini-SIM,Predictive text input Organizer,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,30MB,VGA,,Yes,,,,No,No,No,No,No,,No,,,Removable Li-Ion 720 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",4,Yes,,WAP 1.2.1,Vibration; Downloadable polyphonic ringtones,,,
