Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality,Triple,Dual_1
gigabyte,Gigabyte GSmart Guru (White Edition),https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-white.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,HSDPA 900 / 2100,,,HSPA 42.2/11.5 Mbps,"2014, August. Released 2014, August",Discontinued,147 x 72.1 x 8.5 mm (5.79 x 2.84 x 0.33 in),165 g (5.82 oz),Micro-SIM,,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Android 4.2.2 (Jelly Bean),Mediatek MT6589T (28 nm),Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544,No,32GB 2GB RAM,"13 MP, AF",LED flash,Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 3000 mAh, removable",White,,Up to 300 h,Up to 12 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart T4 (Lite Edition),https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-t4-lite.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 2100,,,HSPA 21.1/5.76 Mbps,"2014, July. Released 2014, July",Discontinued,124.5 x 64 x 10.3 mm (4.90 x 2.52 x 0.41 in),115 g (4.06 oz),Dual SIM (Mini-SIM),,"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~57.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.2.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),4GB 512MB RAM,5 MP,,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",3.0,"Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1300 mAh, removable",Black,,Up to 150 h,Up to 4 h 30 min,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Arty A3,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-a3.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2014, July. Released 2014, July",Discontinued,145 x 73.2 x 9.4 mm (5.71 x 2.88 x 0.37 in),165 g (5.82 oz),Dual SIM (Mini-SIM),,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",LED flash,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",Black,,Up to 300 h,Up to 8 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Mika M2,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-m2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2014, June. Released 2014, June",Discontinued,145 x 72.8 x 8.5 mm (5.71 x 2.87 x 0.33 in),150 g (5.29 oz),Dual SIM (Mini-SIM),,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (dedicated slot),8GB 1GB RAM,"13 MP, AF",LED flash,Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",Black,About 190 EUR,Up to 300 h,Up to 8 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart T4,https://fdn2.gsmarena.com/vv/bigpic/GSmart-T4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2014, April. Released 2014, April",Discontinued,126 x 62 x 9.8 mm (4.96 x 2.44 x 0.39 in),121 g (4.27 oz),Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~58.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),4GB 512MB RAM,"8 MP, AF",LED flash,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",3.0,"Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1400 mAh, removable","Black, White",About 100 EUR,Up to 150 h,Up to 4 h 30 min,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Saga S3,https://fdn2.gsmarena.com/vv/bigpic/GSmart-Saga-S3.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2014, April. Released 2014, April",Discontinued,168 x 83 x 8.5 mm (6.61 x 3.27 x 0.33 in),190 g (6.70 oz),Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~71.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",,Android 4.2 (Jelly Bean),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, AF",LED flash,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3000 mAh, non-removable",Black,,Up to 255 h,Up to 12 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Rey R3,https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-Rey-R3.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2014, March. Released 2014, March",Discontinued,136 x 66 x 10.5 mm (5.35 x 2.60 x 0.41 in),138 g (4.87 oz),Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~62.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Android 4.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",LED flash,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1800 mAh, removable",Black,,Up to 320 h,Up to 8 h,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Guru,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,HSDPA 900 / 2100,,,HSPA 42.2/5.76 Mbps,"2013, October. Released 2013, November",Discontinued,-,-,Yes,,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Android 4.2 (Jelly Bean),Mediatek MT6589T (28 nm),Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544,No,32GB 2GB RAM,"13 MP, AF",LED flash,Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2500 mAh, removable",Black,About 440 EUR,Up to 250 h,Up to 10 h 30 min,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Alto A2,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-alto-a2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2013, October. Released 2013, November",Discontinued,-,-,Dual SIM,,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 4.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),4GB 1GB RAM,5 MP,LED flash,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",3.0,"Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable","Black, White",,Up to 150 h,Up to 3 h 30 min,,,,,,,,,,,,,,,,,,,,,,,,,,,
gigabyte,Gigabyte GSmart Roma R2,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-r2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2013, October. Released 2013, October",Discontinued,-,-,Dual SIM,,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),4GB 1GB RAM,5 MP,LED flash,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",3.0,"Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1400 mAh, removable","Black, White, Blue, Red",About 140 EUR,Up to 220 h,Up to 3 h 30 min,,,,,,,,,,,,,,,,,,,,,,,,,,,
