Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser
xolo,XOLO Era,https://fdn2.gsmarena.com/vv/bigpic/xolo-era.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, July. Released 2015, July",Discontinued,143 x 73.2 x 9.4 mm (5.63 x 2.88 x 0.37 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 4.4.2 (KitKat),Spreadtrum 7731,Quad-core 1.2 GHz,Mali-400,microSDHC,8GB 1GB RAM,,"LED flash, panorama, HDR",Yes,8 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot",2.1,"Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2100 mAh, removable",,Black,,About 60 EUR,,,,,,,,,,,,,2 MP,,,,Up to 511 h (2G) / Up to 523 h (3G),,Up to 24 h 30 min (2G) / Up to 10 h (3G),,,,,,,,,,,,
xolo,XOLO Cube 5.0,https://fdn2.gsmarena.com/vv/bigpic/xolo-cube-5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, June. Released 2015, June",Discontinued,143 x 71 x 6.9 mm (5.63 x 2.80 x 0.27 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 5.0 (Lollipop),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 2GB RAM,,"LED flash, panorama, HDR",Yes,"8 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2100 mAh, removable",,"Black, White, Gold",,,,,,,,,,,,,,,5 MP,,,,Up to 656 h (2G) / Up to 477 h (3G),,Up to 26 h (2G) / Up to 10 h (3G),,,,,0.79 W/kg (head)     1.19 W/kg (body),,,,,,,
xolo,XOLO Prime,https://fdn2.gsmarena.com/vv/bigpic/xolo-prime.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, May. Released 2015, May",Discontinued,135 x 68 x 9.5 mm (5.31 x 2.68 x 0.37 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~60.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Android 5.0 (Lollipop),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,,"LED flash, panorama, HDR",720p,"5 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1800 mAh, removable",,"Black, Blue, Red",,About 80 EUR,,,,,,,,,,,,,VGA,,,,Up to 500 h (2G) / Up to 400 h (3G),,Up to 21 h (2G) / Up to 10 h (3G),,,,,0.89 W/kg (head)     0.71 W/kg (body),,,,,,,
xolo,XOLO LT2000,https://fdn2.gsmarena.com/vv/bigpic/xolo-2000.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 850 / 900 / 2100,"3, 40",,"HSPA 42.2/7.2 Mbps, LTE","2015, January. Released 2015, February",Discontinued,152.4 x 75 x 9.3 mm (6.00 x 2.95 x 0.37 in),-,,Dual SIM (Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~73.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDHC,8GB 1GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"8 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2920 mAh, removable",,Black,,,,,,,,,,,,,,,2 MP,,,,Up to 760 h (2G) / Up to 693 h (3G),,Up to 30 h (2G) / Up to 17 h 20 min (3G),,,,,0.28 W/kg (head)     0.30 W/kg (body),,,,,,,
xolo,XOLO A1010,https://fdn2.gsmarena.com/vv/bigpic/xolo-1010.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2015, March. Released 2015, March",Discontinued,143.7 x 72 x 8.8 mm (5.66 x 2.83 x 0.35 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400MP2,microSDHC,4GB 512MB RAM,,"LED flash, panorama, HDR",Yes,"5 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2500 mAh, removable",,"Black, White",,About 80 EUR,,,,,,,,,,,,,VGA,,,,Up to 961 h (2G) / Up to 842 h (3G),,Up to 28 h (2G) / Up to 15 h (3G),,,,,,,,,,,,
xolo,XOLO Win Q1000,https://fdn2.gsmarena.com/vv/bigpic/xolo-q1000.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, February. Released 2015, February",Discontinued,143 x 71.3 x 8.8 mm (5.63 x 2.81 x 0.35 in),-,,Dual SIM,IPS LCD capacitive touchscreen,"5.0 inches, 68.9 cm2 (~67.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Microsoft Windows Phone 8.1,Qualcomm MSM8212 Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 302,microSDHC,8GB 1GB RAM,,LED flash,Yes,"8 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2200 mAh, removable",,"Black, White, Yellow",,About 120 EUR,,,,,,,,,,,,,2 MP,,,,Up to 530 h (2G) / Up to 500 h (3G),,Up to 32 h (2G) / Up to 12 h (3G),,,,,0.69 W/kg (head)     0.78 W/kg (body),,,,,,,
xolo,XOLO 8X-1020,https://fdn2.gsmarena.com/vv/bigpic/xolo-8x-1020.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, February. Released 2015, February",Discontinued,143 x 71.3 x 8.8 mm (5.63 x 2.81 x 0.35 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 4.4.2 (KitKat),Mediatek MT6592M (28 nm),Octa-core 1.4 GHz Cortex-A7,Mali-450MP4,microSDHC,8GB 1GB RAM,,"Dual-LED flash, panorama, HDR",Yes,"8 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 2500 mAh, non-removable",,Black,,About 120 EUR,,,,,,,,,,,,,5 MP,,,,Up to 657 h (2G) / Up to 700 h (3G),,Up to 30 h (2G) / Up to 17 h (3G),,,,,0.73 W/kg (head)     0.71 W/kg (body),,,,,,,
xolo,XOLO Q700 Club,https://fdn2.gsmarena.com/vv/bigpic/xolo-700.jpg,GSM / HSPA,GSM 900 / 1800 / 850 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, January",Discontinued,134.6 x 67 x 10.8 mm (5.30 x 2.64 x 0.43 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,,"LED flash, panorama, HDR",Yes,"5 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",,"Black, White",,,,,,,,,,,,,,,VGA,,,,Up to 600 h (2G) / Up to 550 h (3G),,Up to 21 h (2G) / Up to 9 h (3G),,,,,,,,,,,,
xolo,XOLO Q520s,https://fdn2.gsmarena.com/vv/bigpic/xolo-520s.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 2100,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, January",Discontinued,-,-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,4GB 512MB RAM,,"LED flash, panorama, HDR",Yes,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 1820 mAh, removable",,"Black, White",,,,,,,,,,,,,,,VGA,,,,Up to 610 h (2G) / Up to 527 h (3G),,Up to 19 h (2G) / Up to 11 h (3G),,,,,,,,,,,,
xolo,XOLO Q900s Plus,https://fdn2.gsmarena.com/vv/bigpic/xolo-q900s-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 2100,,,HSPA 42.2/5.76 Mbps,"2014, June. Released 2014, July",Discontinued,135.8 x 67.2 x 7.2 mm (5.35 x 2.65 x 0.28 in),100 g (3.53 oz),,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~66.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,Android 4.4.2 (KitKat),Qualcomm MSM8212 Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 302,microSDHC,8GB 1GB RAM,,"LED flash, panorama",720p,"8 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 1800 mAh, removable",,"Black, White",,,Asahi Dragontrail Glass,,,,,,,,,,,,2 MP,,,,Up to 263 h (2G) / Up to 246 h (3G),,Up to 23 h (2G) / Up to 14 h (3G),Up to 30 h,,,,,,,,,,,
