Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,256GB 8GB RAM,Quad,Models,128GB 4GB RAM,Dual,64GB 4GB RAM,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,SAR,32GB 3GB RAM,32GB 2GB RAM,Protection,256GB 12GB RAM,SAR EU,Audio quality,Infrared port,Dual_1,Talk time,Stand-by,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Alert types,Languages,Clock,Alarm
neonode,Neonode N2,https://fdn2.gsmarena.com/vv/bigpic/neonode-n2.gif,GSM,GSM 850 / 900 / 1800 / 1900,No,,MP3/WMA/MPEG/WMV player Calculator Task manager Stereo sound in headphones,,,,"2007, February",Discontinued,77 x 47 x 14.7 mm (3.03 x 1.85 x 0.58 in),70 g (2.47 oz),,Mini-SIM,,"TFT touchscreen, 65K colors","2.0 inches, 12.6 cm2 (~34.8% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,"miniSD, 1 GB included",,2 MP,,No,,,,Yes,No,No,Yes,No,,No,Proprietary,,Removable Li-Ion battery,,Black,About 410 EUR,,,,,,,,,,,,,,,,,,,,,,,Up to 4 h,Up to 200 h,Yes,No,,"Yes, Photo call",,"SMS, MMS",Yes,No,,"WAP 2.0/xHTML, HTML","Vibration; Polyphonic, MP3 ringtones",,,
neonode,Neonode N1m,https://fdn2.gsmarena.com/vv/bigpic/neonode-n1m.gif,GSM,GSM 900 / 1800 / 1900,4-way navigation buttons,,No,,,,"2005, Q1",Discontinued,88 x 52 x 21 mm (3.46 x 2.05 x 0.83 in),94 g (3.32 oz),,Mini-SIM,MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Predictive text input Calculator Task manager,"TFT touchscreen, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm2 (~33.3% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),Microsoft Windows CE.NET,,,,"SD, up to 1 GB, 64 MB included",,1 MP,,No,,,,Yes,No,No,No,No,,No,Proprietary,,Removable Li-Ion 1100 mAh battery,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 3 h,Up to 100 h,Class 10,No,,,,,,,,"WAP 2.0/xHTML, HTML","Vibration; Polyphonic, MP3 ringtones",,,
neonode,Neonode N1,https://fdn2.gsmarena.com/vv/bigpic/nnn1.gif,GSM,GSM 900 / 1800,262K colors in picture view mode 4-way navigation buttons,,No,,,,2003,Discontinued,88 x 52 x 21 mm (3.46 x 2.05 x 0.83 in),86 g (3.03 oz),,Mini-SIM,Win MediaPlayer 7.x TV remote control function Music player/recorder,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm2 (~33.3% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),Microsoft Windows CE.NET,,,,"SD/MMC, up to 1 GB, 64 MB included",16MB RAM,VGA,,QCIF,,,,Yes,No,No,No,No,,No,"2.0, USB On-The-Go",,Removable Li-Ion 1100 mAh battery,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Up to 3 h,Up to 250 h,Yes,No,,,,,,,,"WAP 2.0/xHTML, HTML (IE 5.5)",Monophonic ringtones,,Yes,Yes
