Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM,5G bands,Triple_1,256GB 8GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,64GB 6GB RAM,128GB 6GB RAM,512GB 8GB RAM
at&t,AT&T Quickfire,https://fdn2.gsmarena.com/vv/bigpic/quickfire.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,,HSPA 3.6/0.384 Mbps,"2008, November. Released 2008, November",Discontinued,109 x 56 x 18 mm (4.29 x 2.20 x 0.71 in),136 g (4.80 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~39.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,,,microSD (dedicated slot),29MB,No,,,Yes,1.3 MP,,,Yes,No,No,"1.2, A2DP","Yes, with A-GPS",No,Proprietary,,Removable Li-Ion 1200 mAh battery,,"Gray, Green, Orange",,,,,MP3/eAAC+/WMA player MP4/H.263 player Organizer Voice memo/dial/commands Predictive text input,,,,,,,,,,,,,Up to 288 h,Up to 3 h,,"Yes, Photocall",Yes,"SMS, MMS, Email, IM",Yes,"Yes, MIDP 2.0",,,,,,,1.10 W/kg (head)     0.99 W/kg (body),QWERTY,WAP 2.0/xHTML,,,,,,,,,,,,,,,,,,,,,,,,,,
at&t,AT&T SMT5700,https://fdn2.gsmarena.com/vv/bigpic/att-5700.jpg,GSM,GSM 850 / 1800 / 1900,,,,"2007, November",Discontinued,112 x 60 x 14 mm (4.41 x 2.36 x 0.55 in),,,Mini-SIM,"TFT, 65K colors",,"320 x 240 pixels, 4:3 ratio",Microsoft Windows Mobile 5.0 PocketPC,TI OMAP V1030,260 MHz,,microSD (dedicated slot),,No,,,Yes,2 MP,,,Yes,No,No,"1.2, A2DP",No,No,Proprietary,,Removable Li-Ion battery,,Gray,,,,,Pocket Office  MP3/MP4 player Voice dial Predictive text input,,,,,,,,Class 10,Class 10,,,,,,,,,,,,,,,,,,,QWERTY,WAP 2.0/xHTML,,,,,,,,,,,,,,,,,,,,,,,,,,
at&t,AT&T Mustang,https://fdn2.gsmarena.com/vv/bigpic/att-mustang.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900,,HSPA 1.8 Mbps,"2007, October. Released 2007, October",Discontinued,102 x 50 x 19.9 mm (4.02 x 1.97 x 0.78 in),110 g (3.88 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~29.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Windows Mobile 6 Standard,,Marvell Bulverde 416 MHz,,microSD (dedicated slot),"64MB RAM, 128MB ROM",Dual slide design,,,Yes,1.3 MP,,,Yes,Yes,No,"1.2, A2DP",No,No,1.1,,Removable Li-Po 1320 mAh battery,,Black,,,,,No,Pocket Office  Voice memo MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player File manager,,,,,,,,,,,,Up to 240 h,Up to 3 h,,,,,,,,,,,,,,QWERTY,"WAP 2.0/xHTML, HTML (PocketIE)",,,,,,,,,,,,,,,,,,,,,,,,,,
at&t,AT&T 8525,https://fdn2.gsmarena.com/vv/bigpic/att-8525.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,,HSPA 1.8 Mbps,"2006, June",Discontinued,113 x 58 x 22 mm (4.45 x 2.28 x 0.87 in),176 g (6.21 oz),,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 6 Professional,,400 MHz Samsung,,microSDHC (dedicated slot),"64MB RAM, 128MB ROM",Handwriting recognition,,LED flash,Yes,2 MP,,,Yes,No,Wi-Fi 802.11b/g,"2.0, A2DP",No,No,1.1,,Removable Li-Po 1350 mAh battery,,"Silver, Black",,,,,No,Pocket Office  Voice memo MP3/AAC player,,,,,,,,,,,Yes,Up to 250 h,Up to 5 h,,,,,,,,,,,,,,QWERTY,"WAP 2.0/xHTML, HTML (PocketIE)",,,,,,,,,,,,,,,,,,,,,,,,,,
