Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Dual,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Colors,Price,Build,Dual_1,Features_1,Charging,GPRS,EDGE,Phonebook,Call records,_1,Alert types,Messaging,Browser,Clock,Alarm,Games,Java,_1_1,Stand-by,Talk time,Protection,NFC,Single_1,Models,SAR EU,Music play,Infrared port,Languages,Keyboard,SAR,5G bands,Quad,128GB 6GB RAM,Triple,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life 
htc,HTC Desire 820G+ dual sim,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-820g-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,,HSPA,"2015, May. Released 2015, June",Discontinued,157.7 x 78.7 x 7.7 mm (6.21 x 3.10 x 0.30 in),154.5 g (5.47 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~67.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 4.4.2 (KitKat), Sense UI 6",Mediatek MT6592 (28 nm),Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,microSDHC (dedicated slot),16GB 1GB RAM,,,"LED flash, HDR, panorama",1080p@30fps,"13 MP, f/2.2, 28mm (wide), AF",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 2600 mAh, non-removable","Marble White, Dovetail gray",About 180 EUR,,,,,,,,,,,,,,,,,,Up to 600 h (2G) / Up to 560 h (3G),Up to 32 h (2G) / Up to 12 h (3G),,,"8 MP, f/2.3","Desire 820G PLUS dua, Desire_820G_PLUS_dua",,,,,,,,,,,,,,,,
htc,HTC Desire 326G dual sim,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-326g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2015, April. Released 2015, June",Discontinued,139.7 x 69.6 x 9.7 mm (5.5 x 2.74 x 0.38 in),146 g (5.15 oz),"Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~57.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 4.4.2 (KitKat),Spreadtrum SC7731G,Quad-core 1.2 GHz,,microSDHC (dedicated slot),8GB 1GB RAM,,,LED flash,1080p@30fps,"8 MP, AF",720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable","White Birch, Black Onyx",About 130 EUR,,,,,,,,,,,,,,,,,,Up to 524 h (2G) / Up to 386 h (3G),Up to 20 h (2G) / Up to 11 h (3G),,,2 MP,,,,,,,,,,,,,,,,,
htc,HTC One M9+,https://fdn2.gsmarena.com/vv/bigpic/htc-one-m9-plus-new.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 28, 38, 39, 40, 41","HSPA 42.2/21.1 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2015, April. Released 2015, May",Discontinued,151 x 72 x 9.6 mm (5.94 x 2.83 x 0.38 in),168 g (5.93 oz),Nano-SIM,"Super LCD3 capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~68.6% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~565 ppi density)","Android 5.2 (Lollipop), upgradable to 6 (Marshmallow), Sense UI 7",Mediatek MT6795T Helio X10 (28 nm),Octa-core 2.2 GHz Cortex-A53,PowerVR G6200,microSDXC (dedicated slot),32GB 3GB RAM,eMMC 5.0,"20 MP, f/2.2, 28mm (wide), 1/2.4"", 1.2µm 2.1 MP, AF","Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@60fps, 720p@120fps, HDR, stereo sound rec.","4 MP, f/2.0, 27mm (wide), 1/3"", 2µm",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP, aptX","Yes, with A-GPS, GLONASS, BDS","Stereo FM radio, RDS","microUSB 2.0 (MHL 2 TV-out), USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Po 2840 mAh, non-removable","Gunmetal Gray, Silver Gold, Amber Gold",About 300 EUR,,,HDR,,,,,,,,,,,,,,,Up to 598 h (2G) / Up to 626 h (3G),Up to 23 h (2G) / Up to 13 h (3G),To be confirmed,Yes (market/operator dependent),,One M9PLUS,,,Yes,,,,,,,,,,,,,
htc,HTC One M8s,https://fdn2.gsmarena.com/vv/bigpic/htc-one-m8s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100 - EMEA,"3, 5, 7, 8, 20 - EMEA","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, April. Released 2015, May",Discontinued,146.4 x 70.6 x 9.6 mm (5.76 x 2.78 x 0.38 in),160 g (5.64 oz),Nano-SIM,"Super LCD3 capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Android 5 (Lollipop), Sense UI 7",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM",HSDPA 850 / 900 / 2100 - Germany,"13 MP, f/2.0, 28mm (wide), AF 2 MP, (depth)","Dual-LED dual-tone flash, HDR, panorama","1080p@60fps, 720p@120fps, HDR, stereo sound rec.","5 MP, f/2.8, 34mm (standard)",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP, aptX","Yes, with A-GPS, GLONASS","Stereo FM radio, RDS","microUSB 2.0 (MHL TV-out), USB On-The-Go","Accelerometer, gyro, proximity, compass, barometer","Li-Po 2840 mAh, non-removable","Gunmetal Gray, Glacial Silver, Amber Gold",About 330 EUR,,,HDR,,,,,,eMMC 4.5,,,,,,,,,Up to 753 h (3G),Up to 20 h (3G),To be confirmed,Yes (market/operator dependent),,One M8s,,,,,,,,,,,,,,,,
htc,HTC One E9+,https://fdn2.gsmarena.com/vv/bigpic/htc-one-e9plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 28, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, March. Released 2015, May",Discontinued,156.5 x 76.5 x 7.5 mm (6.16 x 3.01 x 0.30 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~69.7% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","Android 5 (Lollipop), upgradable to 6 (Marshmallow), Sense UI 7",Mediatek MT6795M Helio X10 (28 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR G6200,microSDXC (dedicated slot),32GB 3GB RAM,eMMC 5.0,,"LED flash, panorama, HDR",4K@30fps,"20 MP, f/2.2, 28mm (wide), AF",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, hotspot","4.1, A2DP, aptX","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Po 2800 mAh, non-removable","Meteor Gray, Classic Rose Gold, Gold Sepia",About 320 EUR,,,HDR,,,,,,,,,,,,,,,Up to 590 h (2G) / Up to 617 h (3G),Up to 21 h 30 min (2G) / Up to 14 h 20 min (3G),Corning Gorilla Glass 4,Yes,"13 MP, f/2.0, 27mm (wide) or 4 MP, f/2.0, 27mm (wide), 1/3"", 2µm","One E9PLUS dual sim, E9pw",,,,,,,,,,,Basemark OS II 2.0: 1227Basemark X: 9639,"Contrast ratio: 1657 (nominal),  2.305 (sunlight)",Photo / Video,Voice 61dB / Noise 62dB / Ring 66dB,,Endurance rating 59h
htc,HTC One E9,https://fdn2.gsmarena.com/vv/bigpic/htc-one-e9.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA,LTE (unspecified),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, May. Released 2015, May",Discontinued,156.5 x 76.5 x 7.5 mm (6.16 x 3.01 x 0.30 in),147 g (5.19 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~69.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 5 (Lollipop), upgradable to 6 (Marshmallow), Sense UI 7",Mediatek MT6795M Helio X10 (28 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR G6200,microSDXC (dedicated slot),16GB 2GB RAM,eMMC 5.0,,"LED flash, panorama, HDR",Yes,"13 MP, f/2.2, 28mm (wide), AF",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, hotspot","4.1, A2DP, aptX","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Po 2800 mAh, non-removable","Black, White",About 320 EUR,,,HDR,,Yes,Yes,,,,,,,,,,,,,,To be disclosed,Yes,"4 MP, f/2.0, 27mm (wide), 1/3"", 2µm",One E9 dual sim,,,,,,,,,,,,,,,,
htc,HTC One M9,https://fdn2.gsmarena.com/vv/bigpic/htc-one-m9-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA 42.2/21.1 Mbps, LTE-A Cat6 300/50 Mbps","2015, March 01. Released 2015, March 09",Discontinued,144.6 x 69.7 x 9.6 mm (5.69 x 2.74 x 0.38 in),157 g (5.54 oz),Nano-SIM,"Super LCD3 capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Android 5.0 (Lollipop), upgradable to 7.0 (Nougat), Sense UI 7",Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,microSDXC (dedicated slot),32GB 3GB RAM,eMMC 5.0,,"Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@60fps, 720p@120fps, HDR, stereo sound rec.","20 MP, f/2.2, 28mm (wide), 1/2.4"", 1.2µm, AF",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP, aptX","Yes, with A-GPS, GLONASS","Stereo FM radio, RDS","microUSB 2.0 (MHL 3.0 TV-out), USB On-The-Go","Accelerometer, gyro, proximity, compass","Li-Po 2840 mAh, non-removable","Gunmetal Gray, Amber Gold, Silver/Rose gold, Gold/Pink, Pink",About 360 EUR,"Glass front (Gorilla Glass 3), aluminum back, aluminum frame",,HDR,Fast charging 18W Quick Charge 2.0,,,,,24-bit/192kHz audio,,,,,,,,,Up to 391 h (2G) / Up to 402 h (3G),Up to 25 h 20 min (2G) / Up to 21 h 50 min (3G),Corning Gorilla Glass 3,Yes,"4 MP, f/2.0, 27mm (wide), 1/3"", 2µm","One M9, M9u, 0PJA2, HTC6535LVW, M9pw, M9, 0PJA10",,,Yes,,,,,,,,Basemark OS II 2.0: 1365Basemark X: 19848,"Contrast ratio: 1221:1 (nominal), 2.334 (sunlight)",Photo / Video,Voice 65dB / Noise 64dB / Ring 76dB,Noise -94.8dB / Crosstalk -93.7dB,Endurance rating 62h
htc,HTC Desire 820s dual sim,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-820q.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, March. Released 2015, March",Discontinued,157.7 x 78.7 x 7.7 mm (6.21 x 3.10 x 0.30 in),155 g (5.47 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~67.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 4.4.4 (KitKat), Sense UI 6",Mediatek MT6752 (28 nm),Octa-core 1.7 GHz Cortex-A53,Mali-T760MP2,microSDHC (dedicated slot),16GB 2GB RAM,TD-SCDMA,,"LED flash, HDR, panorama",1080p@30fps,"13 MP, AF",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 2600 mAh, non-removable","Marble White, Milkyway Gray, Monarch Orange, Santorini White, Tuxedo Gray",About 370 EUR,,,,,,,,,,,,,,,,,,Up to 560 h (3G),Up to 12 h 10 min (3G),,,8 MP,"Desire 820s dual sim, Desire 820ts, D820ys",,,,,,,,,,,,,,,,
htc,HTC Desire 626G+,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-626g-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100 - SIM 1 & SIM 2,,HSPA 21.1/5.76 Mbps,"2015, April. Released 2015, April",Discontinued,146.9 x 70.9 x 8.2 mm (5.78 x 2.79 x 0.32 in),138 g (4.87 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6592 (28 nm),Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,microSDHC (dedicated slot),8GB 1GB RAM,,,"LED flash, panorama",1080p@30fps,"13 MP, f/2.2, 28mm (wide), AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, aptX","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 2000 mAh, non-removable","White Birch, Purple Fire, Blue Lagoon",About 250 EUR,,,,,,,,,,,,,,,,,,Up to 521 h (2G) / Up to 458 h (3G),Up to 22 h 40 min (2G) / Up to 12 h 40 min (3G),,,"5 MP, f/2.8, 34mm (standard)","Desire 626GPLUS dual, Desire_626GPLUS_dual",,,,,,,,,,,,,,,,
htc,HTC Desire 626,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-626.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 28","HSPA, LTE","2014, February. Released 2015, March",Discontinued,146.9 x 70.9 x 8.2 mm (5.78 x 2.79 x 0.32 in),140 g (4.94 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.4 (KitKat),Mediatek MT6752Qualcomm Snapdragon 410 (28 nm),Octa-core 1.7 GHz Cortex-A53Quad-core 1.2 GHz Cortex-A53,Mali-T760MP2Adreno 306,microSDHC (dedicated slot),"16GB 1GB RAM, 16GB 2GB RAM",eMMC 4.5,,"LED flash, panorama",1080p@30fps,"13 MP, f/2.2, AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP, aptX","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2000 mAh, non-removable","Black, White",About 180 EUR,,,,,,,,,,,,,,,,,,Up to 800 h (2G) / Up to 761 h (3G),Up to 20 h 30 min (2G) / Up to 30 h (3G),,,5 MP,"Desire 626 dual sim, D626q, Desire 626, D626ph, D626x, D626w",,,,,,,,,,,,,,,,
htc,HTC Desire 526G+ dual sim ,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-526Gplus-dual-sim.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, January",Discontinued,139.8 x 69.8 x 9.9 mm (5.50 x 2.75 x 0.39 in),154 g (5.43 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD, capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~62.4% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)",Android 4.4.2 (KitKat),,Octa-core 1.7 GHz - 526G+ modelQuad-core 1.3 GHz - 526G model,,microSDHC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM",,,LED flash,1080p@30fps,"8 MP, f/2.2, AF",720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, aptX","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable","Glacier blue, Stealth black, Lacquer black, Fervor red - 526G+Glacier blue, Stealth black - 526G",About 160 EUR,,,,,,,,,,,,,,,,,,Up to 622 h (3G),Up to 15 h (3G),,,2 MP,"Desire 526GPLUS dual, Desire 526G dual sim, Desire_526G_dual_sim, D526h",,,,,,,,,,,,,,,,
htc,HTC Desire 826 dual sim,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-826r.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 38, 39, 40, 41 - HK, India","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, January. Released 2015, March",Discontinued,158 x 77.5 x 8 mm (6.22 x 3.05 x 0.31 in),183 g (6.46 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super LCD3 capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~68.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 5.0.1 (Lollipop), upgradable to 6.0.1 (Marshmallow), Sense UI",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDXC (dedicated slot),16GB 2GB RAM,"TD-SCDMA - HK, India",,"LED flash, HDR","1080p@30fps, 720p@60fps","13 MP, f/2.2, AF",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP, aptX","Yes, with A-GPS, GLONASS/ BDS (market dependant)",FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 2600 mAh, non-removable","White Birch, Blue Lagoon, Marshmallow White, Dark Grey, Purple Fire",About 200 EUR,,,HDR,,,,,,eMMC 4.5,,,,,,,,,Up to 626 h (2G) / Up to 687 h (3G),Up to 22 h (2G) / Up to 19 h (3G),,,"4 MP, f/2.0, 27mm (wide), 1/3"", 2µm (HK model) 13 MP (India model)","Desire 826 dual sim, D826y",,,,,,,,,,,,,,,,
htc,HTC Desire 320,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-320.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 - North America,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, January",Discontinued,132 x 67.8 x 10.5 mm (5.20 x 2.67 x 0.41 in),145 g (5.11 oz),Micro-SIM,TFT capacitive touchscreen,"4.5 inches, 55.8 cm2 (~62.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 4.4.2 (KitKat),,Quad-core 1.3 GHz,,microSDHC (dedicated slot),"4GB 512MB (NA), 8GB 1GB RAM (EU)",HSDPA 900 / 2100 - EU,,LED flash,1080p@30fps,"5 MP or 8 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio (EU model only),microUSB 2.0,Accelerometer,"Li-Ion 2100 mAh, removable","Meridian Gray, White",About 80 EUR,,,,,,,,,,,,,,,,,,Up to 690 h (3G),Up to 12 h (3G),,,VGA,,,,,,,,,,,,,,,,,
htc,HTC Desire 620G dual sim,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-620g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,"2014, December. Released 2014, December",Discontinued,150.1 x 72.7 x 9.6 mm (5.91 x 2.86 x 0.38 in),160 g (5.64 oz),"Dual SIM (Micro-SIM, dual stand-by)","Super LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~63.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 4.4.4 (KitKat), Sense UI",Mediatek MT6592 (28 nm),Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,microSDHC (dedicated slot),8GB 1GB RAM,,,"LED flash, panorama",1080p@30fps,"8 MP, f/2.4, AF",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, aptX","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2100 mAh, removable","Marble White, Milkyway Gray, Saffron Gray, Santorini White, Tangerine White, Tuxedo Gray",About 190 EUR,,,,,,,,,,,,,,,,,,Up to 525 h (3G),Up to 19 h (3G),,,5 MP,"Desire 620G dual sim, Desire_620G_dual_sim",,,,,,,,,,,,,,,,
htc,HTC Desire 620,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-620.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2014, December. Released 2014, December",Discontinued,150.1 x 72.7 x 9.6 mm (5.91 x 2.86 x 0.38 in),160 g (5.64 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Super LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~63.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 4.4.4 (KitKat), Sense UI",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC (dedicated slot),8GB 1GB RAM,HSDPA 850 / 900 / 2100 - Sweden,,"LED flash, panorama",1080p@30fps,"8 MP, f/2.4, AF",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP, aptX","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2100 mAh, removable","Blue, Black, Gray, White",About 180 EUR,,,,,,,,,"3, 7, 8, 20 - Sweden",,,,,,,,eMMC 4.5,Up to 525 h (3G),Up to 20 h (3G),,,5 MP,D620h,,,,,,,,,,,,,,,,
htc,HTC Nexus 9,https://fdn2.gsmarena.com/vv/bigpic/htc-nexus-9.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2014, October. Released 2014, November",Discontinued,228.2 x 153.7 x 8 mm (8.98 x 6.05 x 0.31 in),425 g (Wi-Fi) / 436 g (3G/LTE) (14.99 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.9 inches, 257.7 cm2 (~73.5% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~281 ppi density)","Android 5.0 (Lollipop), upgradable to 7.1.1 (Nougat)",Nvidia Tegra K1,Dual-core 2.3 GHz Denver,Kepler DX1,No,"16GB (Wi-Fi)/ 32GB (LTE), 2GB RAM","2, 3, 5, 6, 13 - T-Mobile",,LED flash,"1080p@30fps, stereo sound rec.","8 MP, AF",720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP, aptX","Yes, with A-GPS, GLONASS",No,microUSB 2.0,"Accelerometer, gyro, compass","Li-Po 6700 mAh, non-removable","Indigo Black, Lunar White, Sand",About 300 EUR,,,,,,,,,,,,,,,,,,Up to 720 h (3G),Up to 9 h 30 min (multimedia) (3G),Corning Gorilla Glass 3,Yes,1.6 MP,,,,,,,,,,,,Basemark OS II 2.0: 1540Basemark X: 28244,,Photo / Video,,,
htc,HTC Desire 816G dual sim,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-816-dual-sim1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,"2014, September. Released 2014, October",Discontinued,156.6 x 78.7 x 8 mm (6.17 x 3.10 x 0.31 in),158 g (5.57 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super LCD2 capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~67.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 4.4.2 (KitKat), Sense UI 6",Mediatek MT6582 - India model,Quad-core 1.3 GHz Cortex-A7 - India modelOcta-core 1.7 GHz - SEA model,Mali-400MP2 - India model,microSDHC (dedicated slot),"8GB (IN), 16GB (SEA), 1GB RAM",,,"LED flash, HDR","1080p@30fps, 720p@60fps","13 MP, f/2.2, AF",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, aptX","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 2600 mAh, non-removable","Black, White",About 260 EUR,,,,,,,,,,,,,,,,,,Up to 460 h (3G),Up to 10 h (3G),,,5 MP,"Desire 816G dual sim, Desire 816, Desire_816G_dual_sim, D816h",,,,,,0.33 W/kg (head)     0.24 W/kg (body),,,,,,,,,,
