Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC,Build,Quad,Dual,Features_1,Charging,Models,Performance,Display,Camera,Loudspeaker_1,Battery life,Triple,Protection,128GB 4GB RAM,SAR,64GB 4GB RAM,Dual_1,SAR EU,Clock,Alarm
lava,Lava Z90,https://fdn2.gsmarena.com/vv/bigpic/lava-z90.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, September","Available. Released 2017, September",148.5 x 73.1 x 8.1 mm (5.85 x 2.88 x 0.32 in),159 g (5.61 oz),,"Hybrid Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",eMMC 5.0,Android 7.0 (Nougat),Quad-core 1.3 GHz Cortex-A53,microSDXC (uses shared SIM slot),32GB 3GB RAM,"8 MP, f/2.0",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,"Li-Ion 2750 mAh, non-removable",,,"Blue, Gold",About 10750 INR,Mediatek MT6737 (28 nm),Mali-T720MP2,LED flash,,,,,,,,,,,,"1, 3, 5, 40, 41",,,,,"8 MP, f/2.0, AF 2 MP, (depth)",LED flash,,Z90,,,,,,,Corning Gorilla Glass 3,,,,,,,
lava,Lava Z80,https://fdn2.gsmarena.com/vv/bigpic/lava-z80.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, September","Available. Released 2017, September",148.5 x 73.1 x 8.1 mm (5.85 x 2.88 x 0.32 in),136.8 g (4.83 oz),,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~63.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",eMMC 5.0,Android 7.0 (Nougat),Quad-core 1.3 GHz Cortex-A53,microSDXC (uses shared SIM slot),16GB 3GB RAM,"8 MP, f/2.0",720p@30fps,"5 MP, f/2.0, 1/4"", 1.4µm",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,"Li-Po 2500 mAh, removable",,,Black,About 9000 INR,Mediatek MT6737 (28 nm),Mali-T720MP2,LED flash,,,,,,,,,,,,"1, 3, 5, 40, 41",,,,,,LED flash,,Z80,,,,,,,,,,,,,,
lava,Lava Z60,https://fdn2.gsmarena.com/vv/bigpic/lava-z60.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, September","Available. Released 2017, September",143.6 x 72.3 x 9.1 mm (5.65 x 2.85 x 0.36 in),149 g (5.26 oz),,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",eMMC 5.0,Android 7.0 (Nougat),Quad-core 1.1 GHz Cortex-A53,microSDXC,16GB 1GB RAM,"5 MP, f/2.0, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Po 2500 mAh, non-removable",,,"Gold, Black",About 6500 INR,Mediatek MT6737M (28 nm),Mali-T720MP2,LED flash,,,,,,,,,,,,"1, 3, 5, 40, 41",,,,,,LED flash,,Z60,,,,,,,,,,,,,,
lava,Lava A97 2GB+,https://fdn2.gsmarena.com/vv/bigpic/lava-a972.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, June","Available. Released 2017, June",145 x 72 x 9.2 mm (5.71 x 2.83 x 0.36 in),160 g (5.64 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 7.0 (Nougat),Quad-core 1.3 GHz,microSDHC,16GB 2GB RAM,"8 MP, AF",720p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",Stereo FM radio with RDS; recording,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 2350 mAh, removable",,,"Gold, Silver, Blue",About 7700 INR,Spreadtrum SC9832,Mali-400,"LED flash, HDR, panorama",,,,,,,,,,,,"3, 5, 40",,,,,,LED flash,,,,,,,,,,,,,,,,
lava,Lava A44,https://fdn2.gsmarena.com/vv/bigpic/lava-a44.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA,"2017, June","Available. Released 2017, June",123 x 63.7 x 10.1 mm (4.84 x 2.51 x 0.40 in),141 g (4.97 oz),,"Dual SIM (Micro-SIM, dual stand-by)",TN capacitive touchscreen,"4.0 inches, 44.1 cm2 (~56.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~245 ppi density)",eMMC 5.0,Android 7.0 (Nougat),Quad-core 1.1 GHz Cortex-A53,microSDHC,8GB 1GB RAM,5 MP,Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.1,"Yes, with A-GPS",Stereo FM radio with RDS; recording,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 1500 mAh, removable",,,Black,About 5400 INR,Mediatek MT6737M (28 nm),Mali-T720MP1,LED flash,,,,,,,,,,,,"3, 5, 40",,,,,,LED,,A44,,,,,,,Scratch-resistant glass,,,,,,,
lava,Lava A77,https://fdn2.gsmarena.com/vv/bigpic/lava-a77.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, May","Available. Released 2017, May",135 x 67.2 x 9.5 mm (5.31 x 2.65 x 0.37 in),140 g (4.94 oz),,"Dual SIM (Micro-SIM, dual stand-by)","TN capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.5% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Android 6.0 (Marshmallow),Quad-core 1.3 GHz,microSDHC (dedicated slot),8GB 1GB RAM,5 MP,Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",Stereo FM radio with RDS; recording,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 2000 mAh, removable",,,"Gold, Silver, Blue",About 6099 INR,Spreadtrum SC9832,Mali-400,"LED flash, HDR, panorama",,,,,,,,,,,,"3, 5, 40",,,,,,LED flash,,,,,,,,,,,,,,,,
lava,Lava Z25,https://fdn2.gsmarena.com/vv/bigpic/lava-z25.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2017, March","Available. Released 2017, March",151.5 x 76.4 x 8.5 mm (5.96 x 3.01 x 0.33 in),163 g (5.75 oz),,"Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",eMMC 5.1,Android 6.0 (Marshmallow),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),microSDXC (uses shared SIM slot),32GB 4GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",1080p@30fps,"8 MP, f/2.0",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",,,"Li-Ion 3020 mAh, non-removable",,,"Champagne Gold, Gray",About 250 EUR,Mediatek MT6750 (28 nm),Mali-T860MP2,Dual-LED flash,,,,,,,,,,,,"3, 5, 40",,,,,,LED flash,,,,,,,,,,,,,,,,
lava,Lava Z10,https://fdn2.gsmarena.com/vv/bigpic/lava-z10-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2017, March","Available. Released 2017, March",143.2 x 71 x 8.4 mm (5.64 x 2.80 x 0.33 in),148 g (5.22 oz),,"Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",eMMC 5.0,Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,microSDXC (uses shared SIM slot),"16GB 2GB RAM, 16GB 3GB RAM","8 MP, f/2.0, 1/3.2"", 1.4µm, AF",720p@30fps,"5 MP, 1/4"", 1.4µm",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,"Li-Ion 2620 mAh, non-removable",,,"Gold, Black/White",About 160 EUR,Mediatek MT6737 (28 nm),Mali-T720MP2,"LED flash, panorama",,,,,,,,,,,,"3, 5, 40",,,,,,LED flash,,,,,,,,,,,,,,,,
lava,Lava X28 Plus,https://fdn2.gsmarena.com/vv/bigpic/lava-x28-plus.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2017, February","Available. Released 2017, February",155 x 78 x 9 mm (6.10 x 3.07 x 0.35 in),175 g (6.17 oz),,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Android 6.0 (Marshmallow),Quad-core 1.3 GHz,microSDHC,8GB 1GB RAM,"8 MP, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 2600 mAh, removable",,,Black/Gold,,,,"LED flash, panorama",,,,,,,,,,,,"3, 5, 40",,,,,,LED flash,,,,,,,,,,,,,,,,
lava,Lava A73,https://fdn2.gsmarena.com/vv/bigpic/lava-a73n.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","2017, February","Available. Released 2017, February",145.5 x 72.8 x 9.3 mm (5.73 x 2.87 x 0.37 in),-,,Dual SIM,TN capacitive touchscreen,"5.0 inches, 68.9 cm2 (~65.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 6.0 (Marshmallow),Quad-core 1.2 GHz,microSDHC,8GB 1GB RAM,5 MP,720p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,"Li-Ion 2000 mAh, removable",,,Dark Gray,,,,LED flash,,,,,,,,,,,,,,,,,,LED flash,,,,,,,,,,,,,,,,
