Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Colors,5G bands,Build,_1_1,Protection,Triple,Features_1,NFC,Charging,Models,SAR EU,Price,128GB 6GB RAM,256GB 8GB RAM,Quad,SAR,128GB 8GB RAM,Performance,Camera,Loudspeaker_1,Battery life,Display,128GB 12GB RAM,512GB 12GB RAM,256GB 12GB RAM,512GB 8GB RAM,8GB 1GB RAM,Dual,32GB 3GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 4GB RAM,64GB 6GB RAM,128GB 4GB RAM,512GB 16GB RAM,Audio quality,16GB 2GB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,Triple_1,32GB 4GB RAM,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,16GB 3GB RAM,Infrared port,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Clock,Alarm,Languages 
samsung,Samsung Galaxy S5 Plus,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s5-g900f.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 5, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2014, October","Available. Released 2014, November",142 x 72.5 x 8.1 mm (5.59 x 2.85 x 0.32 in),145 g (5.11 oz),Micro-SIM,IP67 dust/water resistant (up to 1m for 30 mins),"Super AMOLED capacitive touchscreen, 16M colors","5.1 inches, 71.7 cm2 (~69.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~432 ppi density)","Android 4.4.2 (KitKat), TouchWiz UI",Qualcomm APQ8084 Snapdragon 805 (28 nm),Quad-core 2.5 GHz Krait 450,Adreno 420,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","16 MP, 1/2.6"", 1.12µm, PDAF","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, 720p@120fps, HDR, stereo sound rec.",2 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, LE, aptX","Yes, with A-GPS, GLONASS, BDS",No,"microUSB 3.0 (MHL 2.1 TV-out), USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, gesture, heart rate",eMMC 5.0,"Li-Ion 2800 mAh, removable","Charcoal Black, Copper Gold, Electric Blue, Shimmery White",,,ANT+ S-Voice natural language commands and dictation Air gestures,Corning Gorilla Glass 3,,Dual video call,Yes,Qi wireless charging - market dependent,SM-G901F,0.61 W/kg (head)     0.38 W/kg (body),About 380 EUR,,,,1.09 W/kg (head)     1.29 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 20 h (3G),Up to 75 h,,,,Yes,,,,,,,,,,,
samsung,Samsung Galaxy Pocket 2,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-pocket-2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,"2014, September. Released 2014, September",Discontinued,109.9 x 60.8 x 11.7 mm (4.33 x 2.39 x 0.46 in),107 g (3.77 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",HSDPA 850 / 2100,"TFT capacitive touchscreen, 256K colors","3.3 inches, 33.7 cm2 (~50.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~121 ppi density)",Android 4.4.2 (KitKat),Spreadtrum SC7715,1.0 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),4GB 512MB RAM,2 MP,,240p@15fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS","FM radio, RDS, recording",microUSB 2.0,,No,Removable Li-Ion 1200 mAh battery,White,,,MP3/eAAC/WAV/Flac player MP4/H.263 player Photo/video editor,,,,,,"SM-G110B, SM-G110B, SM-G110H, SM-G110M",0.59 W/kg (head)     0.40 W/kg (body),About 100 EUR,,,,1.53 W/kg (head)     1.21 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 5 h (3G),Up to 21 h,,,,,,,,,,,,,,,
samsung,Samsung Galaxy V,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-v1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA,"2014, September. Released 2014, September",Discontinued,121.4 x 62.9 x 10.7 mm (4.78 x 2.48 x 0.42 in),123 g (4.34 oz),"Dual SIM (Micro-SIM, dual stand-by)",,"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~59.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),,1.2 GHz,,microSDXC (dedicated slot),4GB 512MB RAM,3.15 MP,LED flash,480p@24fps,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,Accelerometer,,"Li-Ion 1500 mAh, removable","White, Black",,"Glass front, plastic back, plastic frame",,,,,,,,0.68 W/kg (head)     0.68 W/kg (body),About 80 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 8 h (3G),Up to 29 h,,,,,,,,,,,,,,,
samsung,Samsung Galaxy Grand Prime Duos TV,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-gran-prime-duos-tv-sm-g530bt.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,,HSPA,"2014, October. Released 2014, October",Discontinued,144.7 x 72.4 x 8.6 mm (5.70 x 2.85 x 0.34 in),152 g (5.36 oz),"Dual SIM (Micro-SIM, dual stand-by)",eMMC 4.5,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 4.4.2 (KitKat),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC (dedicated slot),8GB 1GB RAM,"8 MP, AF",LED flash,1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",TV tuner,"Li-Ion 2600 mAh, removable","Black, White",,,,,,,,,SM-G530BT,0.53 W/kg (head)     0.37 W/kg (body),About 150 EUR,,,,0.56 W/kg (head)     1.02 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 17 h (3G),,,,,,,,,,,,,,,,
samsung,Samsung Galaxy Grand Prime,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-grand-prime-sm-g530h.jpg,GSM / HSPA / LTE,"GSM 850 / 900 / 1800 / 1900 - G530F, G530FZ, G530Y","HSDPA 850 / 900 / 1900 / 2100 - G530F, G530H, G530FZ, G530Y, G531F","1, 3, 5, 7, 8 - G530F","HSPA, LTE Cat4 150/50 Mbps","2014, September 30. Released 2014, October",Discontinued,144.8 x 72.1 x 8.6 mm (5.70 x 2.84 x 0.34 in),156 g (5.50 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - G530H, G530FZ/DS","TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)","Android 4.4.4 (KitKat), upgradable to 5.0.2/5.1.1 (Lollipop)Android 5.1 (Lollipop) - G531F",Qualcomm MSM8916 Snapdragon 410 (28 nm)Spreadtrum SC7730 (Value Edition),Quad-core 1.2 GHz Cortex-A53Quad-core 1.3 GHz Cortex-A7 (Value Edition),Adreno 306Mali-400 (Value Edition),microSDXC (dedicated slot),8GB 1GB RAM,"8 MP, f/2.4, AF","LED flash, panorama",1080p@30fps,"5 MP, f/2.2",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",HSDPA 850 / 1700(AWS) / 1900 - G530T (T-Mobile),"Li-Ion 2600 mAh, removable","White, Gray, Gold",,"Glass front, plastic back, plastic frame",eMMC 4.5,,,,"Yes (G530F, G530FZ models)",,"SM-G5306W, SM-G5308W, SM-G5309W, SM-G530BT, SM-G530F, SM-G530FQ, SM-G530FZ, SM-G530FZ, SM-G530H, SM-G531F, SM-G531H, SM-G530T, SM-G530W, SM-G530Y, SM-G530AZ, SM-G531Y, SM-G530T1, SM-G531M, SM-G530A, SM-G530M",0.28 W/kg (head)     0.33 W/kg (body),About 140 EUR,,,,,,Basemark OS II 2.0: 520Basemark X: 1904,Photo / Video,Voice 63dB / Noise 60dB / Ring 68dB,,"Contrast ratio: 756 (nominal), 1.935 (sunlight)",,,,,,,,,,,,,,Noise -95.0dB / Crosstalk -93.9dB,,,,,,,,,,Up to 17 h (3G),Up to 75 h,,,,,,,,,,,,,,,
samsung,Samsung Galaxy Ace Style LTE G357,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-ace-style-lte.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 7, 8, 20","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2014, September. Released 2014, September",Discontinued,128.9 x 65.8 x 9.1 mm (5.07 x 2.59 x 0.36 in),126 g (4.44 oz),Micro-SIM,eMMC 4.5,"Super AMOLED capacitive touchscreen, 16M colors","4.3 inches, 52.6 cm2 (~62.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)",Android 4.4.4 (KitKat),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC (dedicated slot),8GB 1GB RAM,"5 MP, AF","LED flash, panorama",720p@30fps,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS","Stereo FM radio, RDS, recording",microUSB 2.0,"Accelerometer, proximity",,"Li-Ion 1900 mAh, removable","White, Gray",,,,,,,Yes,,"SM-G357FZ, SM-G357FZ",0.64 W/kg (head)     0.67 W/kg (body),About 200 EUR,,,,1.45 W/kg (head)     1.38 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 285 h (3G),Up to 11 h (3G),Up to 54 h,,,,,,,,,,,,,,,
samsung,Samsung Galaxy Note Edge,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note-edge1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 28 - SM-N915G","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat6 300/50 Mbps or Cat4 150/50 Mbps","2014, September","Available. Released 2014, November",151.3 x 82.4 x 8.3 mm (5.96 x 3.24 x 0.33 in),174 g (6.14 oz),Micro-SIM,"1, 2, 3, 4, 5, 7, 8, 20 - SM-N915FY","Super AMOLED capacitive touchscreen, 16M colors","5.6 inches, 96.2 cm2 (~77.2% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~524 ppi density)","Android 4.4.4 (KitKat), upgradable to 6.0 (Marshmallow)",Qualcomm APQ8084 Snapdragon 805 (28 nm),Quad-core 2.7 GHz Krait 450,Adreno 420,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 3GB RAM","16 MP, f/2.2, 31mm (standard), 1/2.6"", 1.12µm, AF, OIS","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, stereo sound rec.","3.7 MP, f/1.9",1440p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS",No,"microUSB 2.0 (MHL 3 TV-out), USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, UV, heart rate, SpO2","1, 2, 3, 4, 5, 7, 17, 20 - SM-N915A","Li-Ion 3000 mAh, removable","Black, White",,"Glass front (Gorilla Glass 3), plastic back, aluminum frame",ANT+ S-Voice natural language commands and dictation Air gestures,Corning Gorilla Glass 3,,,Yes,Fast charging 15W Quick Charge 2.0,"SM-N9150, SM-N915A, SM-N915D, SM-N915F, SM-N915FY, SM-N915G, SM-N915K, SM-N915L, SM-N915P, SM-N915R4, SM-N915S, SM-N915T, SM-N915V, SM-N915W8, SM-N915X, SC-01G",0.24 W/kg (head)     0.33 W/kg (body),About 300 EUR,,,,,,Basemark OS II 2.0: 1255Basemark X: 17108,Photo / Video,Voice 72dB / Noise 75dB / Ring 70dB,Endurance rating 68h,"Contrast ratio: Infinite (nominal), 3.799 (sunlight)",,,,,,,,,,,,,,Noise -95.9dB / Crosstalk -93.3dB,,,,,,,,,,Up to 18 h (3G),Up to 67 h,,,,Yes,,,,,,,,,,,
samsung,Samsung Galaxy Note 4 Duos,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note-4-duos-sm-n9100.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 38, 39, 40, 41 - Hong Kong","HSPA, LTE","2014, October","Available. Released 2014, October",153.5 x 78.6 x 8.5 mm (6.04 x 3.09 x 0.33 in),175 g (6.17 oz),"Dual SIM (Micro-SIM, dual stand-by)",Stylus,"Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~74.2% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)","Android 4.4.4 (KitKat), upgradable to 6.0.1 (Marshmallow)",Qualcomm APQ8084 Snapdragon 805 (28 nm),Quad-core 2.7 GHz Krait 450,Adreno 420,microSDXC (dedicated slot),16GB 3GB RAM,"16 MP, f/2.2, 31mm (standard), 1/2.6"", 1.12µm, AF, OIS","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, stereo sound rec.","3.7 MP, f/1.9, 22mm (wide)",1440p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS",No,"microUSB 2.0 (MHL 3 TV-out), USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, gesture, UV, heart rate, SpO2",eMMC 5.0,"Li-Ion 3000 mAh, removable","Frosted white, Charcoal black, Bronze Gold, Blossom Pink",,,ANT+ S-Voice natural language commands and dictation Air gestures,Corning Gorilla Glass 4,,HDR,Yes,Fast charging 15W Quick Charge 2.0,"SM-N9100, SM-N9100",0.20 W/kg (head)     0.27 W/kg (body),About 300 EUR,,,,0.33 W/kg (head)     1.09 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 381 h (3G),,,,,,Yes,,,,,,,,,,,
samsung,Samsung Galaxy Note 4 (USA),https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note-4-cdma.jpg,GSM / CDMA / HSPA / EVDO / LTE,CDMA 800 / 1900,CDMA2000 1xEV-DO,"2, 4, 5, 12, 17","HSPA, LTE-A Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps","2014, Q4","Available. Released 2014, Q4",153.5 x 78.6 x 8.5 mm (6.04 x 3.09 x 0.33 in),176 g (6.21 oz),Micro-SIM,GSM 850 / 900 / 1800 / 1900,"Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 88.5 cm2 (~73.4% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~518 ppi density)","Android 4.4.4 (KitKat), upgradable to 6.0.1 (Marshmallow)",Qualcomm APQ8084 Snapdragon 805 (28 nm),Quad-core 2.7 GHz Krait 450,Adreno 420,microSDXC (dedicated slot),32GB 3GB RAM,"16 MP, f/2.2, 31mm (standard), 1/2.6"", 1.12µm, AF, OIS","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, stereo sound rec.","3.7 MP, f/1.9, 22mm (wide)",1440p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",No,"microUSB 2.0 (MHL 3 TV-out), USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, gesture, UV, heart rate, SpO2",HSDPA 850 / 900 / 1900 / 2100,"Li-Ion 3220 mAh, removable","Frosted white, Charcoal black, Bronze Gold, Blossom Pink",,,ANT+ S-Voice natural language commands and dictation Air gestures,Corning Gorilla Glass 4,,HDR,Yes,Fast charging 15W Quick Charge 2.0,"SM-N910A, SM-N910T, SM-N910V, SM-N910M, SM-N910P, SM-N910R4, SM-N910W8, SM-N910T3",,About 250 EUR,,,,0.88 W/kg (head)     1.40 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 212 h (3G),Up to 31 h 20 min (3G),Up to 80 h,,,,Yes,,,,,,,,,,,
samsung,Samsung Galaxy Note 4,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note-4-new.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 17, 20 - N910F, N910C","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps (Exynos 5433)HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps (Snapdragon 805)","2014, September 03","Available. Released 2014, October",153.5 x 78.6 x 8.5 mm (6.04 x 3.09 x 0.33 in),176 g (6.21 oz),Micro-SIM,HSDPA 850 / 1700 / 1900 / 2100 - N910W8,"Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 88.5 cm2 (~73.4% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~518 ppi density)","Android 4.4.4 (KitKat), upgradable to 6.0.1 (Marshmallow)",Qualcomm APQ8084 Snapdragon 805 (28 nm)Exynos 5433,Quad-core 2.7 GHz Krait 450 - Snapdragon 805Octa-core (4x1.3 GHz Cortex-A53 & 4x1.9 GHz Cortex-A57) - Exynos 5433,Adreno 420 (Snapdragon 805)Mali-T760 MP6 (Exynos 5433),microSDXC (dedicated slot),32GB 3GB RAM,"16 MP, f/2.2, 31mm (standard), 1/2.6"", 1.12µm, AF, OIS","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, stereo sound rec.","3.7 MP, f/1.9, 22mm (wide)",1440p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS",No,"microUSB 2.0 (MHL 3 TV-out), USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, gesture, UV, heart rate, SpO2","1, 2, 3, 4, 5, 7, 8, 28, 38, 40 - N910G","Li-Ion 3220 mAh, removable","Frosted white, Charcoal black, Bronze Gold, Blossom Pink",,"Glass front (Gorilla Glass 4), plastic back, aluminum frame",ANT+ S-Voice natural language commands and dictation Air gestures,Corning Gorilla Glass 4,,HDR,Yes,Fast charging 15W Quick Charge 2.0,"SM-N910C, SM-N910S, SM-N910H, SM-N910F, SM-N910G, SM-N910U, SM-N910K, SM-N916S, SM-N910L, SM-N916L, SM-N916K, SM-N910T3",0.37 W/kg (head)     0.38 W/kg (body),About 350 EUR,,,,0.37 W/kg (head)     0.88 W/kg (body),,Basemark OS II 2.0: 1328Basemark X: 18684,Photo / Video,Voice 79dB / Noise 74dB / Ring 89dB,Endurance rating 90h,"Contrast ratio: Infinity (nominal), 4.033 (sunlight)",,,,,,,,,,,,,,Noise -96.6dB / Crosstalk -94.2dB,,,,,,,,,,Up to 20 h (3G),Up to 82 h,,,,Yes,,,,,,,,,,,
samsung,Samsung Galaxy Tab Active LTE,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-active.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2014, September. Released 2014, December",Discontinued,213.1 x 126.2 x 9.7 mm (8.39 x 4.97 x 0.38 in),393 g (13.86 oz),Micro-SIM,IP67 dust/water resistant (up to 1m for 30 mins) Stylus,"LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~69.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)","Android 4.4.2 (KitKat), TouchWiz UI",Qualcomm Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),16GB 1.5GB RAM,"3.15 MP, AF",LED flash,720p@30fps,1.2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,microUSB 2.0,"Accelerometer, gyro, compass",eMMC 4.5,"Li-Ion 4450 mAh, removable",Titanium Green,,,ANT+,,,,Yes,,SM-T365,,About 350 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 11 h (multimedia) (2G) / Up to 31 h (3G),Up to 128 h,,,,,,,,,,,,,,,
samsung,Samsung Galaxy Tab Active,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-active.jpg,No cellular connectivity,N/A,,,,"2014, September. Released 2014, December",Discontinued,213.1 x 126.2 x 9.7 mm (8.39 x 4.97 x 0.38 in),393 g (13.86 oz),No,IP67 dust/water resistant (up to 1m for 30 mins) Stylus,"LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~69.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)","Android 4.4.2 (KitKat), TouchWiz UI",Qualcomm Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),16GB 1.5GB RAM,"3.15 MP, AF",LED flash,720p@30fps,1.2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,microUSB 2.0,"Accelerometer, gyro, compass",eMMC 4.5,"Li-Ion 4450 mAh, removable",Titanium Green,,,,,,,Yes,,SM-T360,,About 300 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,
samsung,Samsung Galaxy Mega 2,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-mega-2-r.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20 - SM-G750F","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2014, September. Released 2014, September",Discontinued,163.6 x 84.9 x 8.6 mm (6.44 x 3.34 x 0.34 in),194 g (6.84 oz),Micro-SIM,"1, 3, 7, 38, 39, 40, 41 - SM-G7508Q","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~71.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Android 4.4.3 (KitKat),Exynos 4415 (SM-G750F)Qualcomm MSM8916 Snapdragon 410 (28 nm) (SM-G7508),Quad-core 1.5 GHz (SM-G750F)Quad-core 1.2 GHz Cortex-A53 (SM-G7508),Mali-400MP4 (SM-G750F)Adreno 306 (SM-G7508),microSDXC (dedicated slot),16GB 1.5GB RAM,"8 MP, AF","LED flash, panorama, HDR",1080p@30fps,2.1 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","1, 2, 3, 4, 5, 7, 17, 29 - SM-G750A","Li-Ion 2800 mAh, removable","White, Black",,,eMMC 4.5,,,,Yes,,"SM-G750F, SM-G7508, SM-G7508Q, SM-G750H, SM-G750A",0.21 W/kg (head)     0.37 W/kg (body),About 340 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samsung,Samsung Gear S,https://fdn2.gsmarena.com/vv/bigpic/samsung-gear-s-new.jpg,GSM / HSPA,GSM 900 / 1800,HSDPA 900 / 2100,,HSPA,"2014, August. Released 2014, October",Discontinued,58.1 x 39.9 x 12.5 mm (2.29 x 1.57 x 0.49 in),67 g (2.36 oz),Nano-SIM,GSM 850 / 1900,"Super AMOLED capacitive touchscreen, 16M colors","2.0 inches, 12.4 cm2 (~53.4% screen-to-body ratio)","360 x 480 pixels, 4:3 ratio (~300 ppi density)",Tizen-based wearable platform,Qualcomm MSM8928 Snapdragon 400 (28 nm),Dual-core 1.0 GHz Cortex-A7,Adreno 305,No,4GB 512MB RAM,,,,,,Yes,No,Wi-Fi 802.11 b/g/n,"4.1, A2DP, LE","Yes, with A-GPS, GLONASS",No,microUSB 2.0,"Accelerometer, gyro, proximity, compass, heart rate, barometer, UV light",HSDPA 850 / 1900,"Li-Ion 300 mAh, non-removable","Charcoal Black, Frost White",,,S-Voice natural language commands and dictation MP3/M4A/AAC/WAV player Photo/video viewer Voice memo/dial/commands,Corning Gorilla Glass 3,,,,,"SM-R750, SM-R750A, SM-R750B, SM-R750C, SM-R750P, SM-R750R4, SM-R750T, SM-R750V, SM-R750W, SM-N910A, SM-N910V, SM-N915P, SM-N910T",0.56 W/kg (head)     0.65 W/kg (body),About 300 EUR,,,,0.81 W/kg (head)     1.07 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 96 h (mixed usage),,,,,,,,,,,,,,,,,
samsung,Samsung Gear 2 Neo,https://fdn2.gsmarena.com/vv/bigpic/samsung-gear-2-neo.jpg,No cellular connectivity,N/A,,,,"2014, February. Released 2014, May",Discontinued,58.7 x 37.9 x 9.9 mm (2.31 x 1.49 x 0.39 in),55 g (1.94 oz),No,No,"Super AMOLED capacitive touchscreen, 16M colors","1.63 inches, 8.6 cm2 (~38.5% screen-to-body ratio)","320 x 320 pixels, 1:1 ratio (~278 ppi density)",Tizen-based wearable platform,Exynos 3250 Dual,Dual-core 1.0 GHz Cortex-A7,Mali-400MP2,No,4GB 512MB RAM,,,,,,Yes,No,No,"4.0, LE",No,No,No,"Accelerometer, gyro, heart rate",MP3 player Photo viewer S-Voice Voice memo/dial/commands,"Li-Ion 300 mAh, non-removable","Mocha Gray, Wild Orange, Charcoal Black",,,,,,,,,SM-R3810,,About 170 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,Up to 72 h (mixed usage),,,,,,Yes,,,,,,,,,,,
