Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages,8GB 1GB RAM,512GB 12GB RAM,256GB 6GB RAM,Dual_1
o2,O2 XDA Star,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-star.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,HSPA 3.6/0.384 Mbps,"2007, October",Cancelled,107 x 55 x 15.8 mm (4.21 x 2.17 x 0.62 in),120 g (4.23 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.6 inches, 20.9 cm2 (~35.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",microSD,,,2 MP,,Yes,CIF videocall camera,,Yes,No,No,2.0,No,No,miniUSB,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,TouchFLO finger swipe navigation Handwriting recognition,Removable Li-Ion 1120 mAh battery,Up to 250 h,Up to 5 h,,Black,,,,Pocket Office  Voice memo MP3/AAC player,"96MB RAM, 128MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,Microsoft Windows Mobile 6.0 Professional,400 MHz ARM 11,,,,Qualcomm MSM7200,Adreno 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Half-QWERTY,,,,,
o2,O2 Cocoon,https://fdn2.gsmarena.com/vv/bigpic/o2-cocoon.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,"Yes, 384 kbps","2007, June",Discontinued,94 x 49 x 21 mm (3.70 x 1.93 x 0.83 in),114 g (4.02 oz),Mini-SIM,"TFT, 256K colors","2.28 inches, 16.1 cm2 (~35.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~175 ppi density)",microSD (dedicated slot),"1000 entries, Photocall","20 dialed, 20 received, 20 missed calls","2 MP, AF",LED flash,Yes,Videocall camera,,Yes,Yes,No,"2.0, A2DP",No,"Stereo FM radio, RDS",2.0,,"SMS, MMS, Email","WAP 2.0/xHTML, HTML","Tetris, Ice Hockey, Sims2 + downloadable",Yes,Hidden LED display on front shell,Removable Li-Ion battery,Up to 350 h,Up to 5 h,,White,,,,MP3/AAC/AAC+ player Predictive text input Organizer,2GB,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voice 65dB / Noise 65dB / Ring 78dB,,,,,,Noise -80.1dB / Crosstalk -79.6dB,,,,,,,,
o2,O2 XDA Flame,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-flame.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2007, February",Discontinued,126 x 74 x 17.5 mm (4.96 x 2.91 x 0.69 in),190 g (6.70 oz),Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","3.6 inches, 40.1 cm2 (~43.0% screen-to-body ratio)","480 x 640 pixels, 4:3 ratio (~222 ppi density)",microSD (dedicated slot),,,"2 MP, AF",LED flash,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11b/g,2.0,No,"Stereo FM radio, RDS","miniUSB, USB On-The-Go",,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Handwriting recognition,Removable Li-Po 1620 mAh battery,Up to 200 h,Up to 6 h,,Silver,About 280 EUR,,,Pocket Office   Voice memo MP3/AAC player TV-out,"128MB RAM, 2GB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",,,Yes,,Microsoft Windows Mobile 5.0 PocketPC,Intel XScale PXA 270 520 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,O2 XDA Atom Life,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-atom-life.gif,GSM / HSPA,GSM 900 / 1800 / 1900,HSDPA 1900 / 2100,HSPA,"2007, January",Discontinued,106 x 58 x 18 mm (4.17 x 2.28 x 0.71 in),145 g (5.11 oz),Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.7 inches, 22.6 cm2 (~36.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~148 ppi density)",miniSD,,,2 MP,LED flash,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11b/g,1.2,No,"Stereo FM radio, RDS",miniUSB,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Handwriting recognition,Removable Li-Po 1530 mAh battery,Up to 200 h,Up to 4 h,,Silver,About 250 EUR,,,Pocket Office   Voice memo MP3/AAC player,"64MB RAM, 1GB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",,,Yes,,Microsoft Windows Mobile 5.0 PocketPC,Intel XScale PXA 270 620 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,O2 XDA Zinc,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-zinc.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2006, December",Discontinued,109 x 58 x 22.6 mm (4.29 x 2.28 x 0.89 in),175 g (6.17 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~38.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",miniSD,,,2 MP,LED flash,Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11b/g,Yes,No,No,miniUSB,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Handwriting recognition,Removable Li-Ion 1300 mAh battery,Up to 220 h,Up to 5 h,,Silver,About 240 EUR,,,Pocket Office  Voice memo MP3/AAC player,"64MB RAM, 128MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",,,Yes,,Microsoft Windows Mobile 5.0 PocketPC,Intel XScale PXA 270 520 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,,,,,
o2,O2 XDA Graphite,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-graphite.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2006, December",Discontinued,109.5 x 46.9 x 18 mm (4.31 x 1.85 x 0.71 in),105 g (3.70 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 15.0 cm2 (~29.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSD (dedicated slot),,,2 MP,LED flash,Yes,VGA videocall camera,,"Yes, with stereo speakers",No,Wi-Fi 802.11b/g,1.2,No,No,miniUSB,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Video telephony MP3/WMA/WAV/AMR-NB/AAC player Predictive text input Organizer Voice memo,Removable Li-Ion 1100 mAh battery,Up to 200 h,Up to 4 h,,,About 290 EUR,,,,"64MB RAM, 128MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",,,,,Microsoft Windows Mobile 5.0 Smartphone,Intel XScale PXA 270 416 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,O2 XDA Orbit,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-orbit.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, September",Discontinued,108 x 58 x 16.8 mm (4.25 x 2.28 x 0.66 in),129 g (4.55 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~38.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSD (dedicated slot),,,2 MP,,QCIF,,,Yes,No,Wi-Fi 802.11b/g,2.0,"Yes, CoPilot Live Navigator",FM radio,Proprietary,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Handwriting recognition,Removable Li-Ion battery,Up to 200 h,Up to 5 h,,"Silver, Black",,Class 10,Class 10,No,"64MB RAM, 128MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  Voice memo MP3/AAC player,,,,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,,,,TI OMAP 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,O2 Cosmo,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-cosmo.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, September",Discontinued,111 x 62 x 13 mm (4.37 x 2.44 x 0.51 in),130 g (4.59 oz),Mini-SIM,"TFT, 65K colors","2.4 inches, 50 x 37 mm, 17.8 cm2 (~25.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),,,1.3 MP,,Yes,,,Yes,No,Wi-Fi 802.11b,2.0,No,No,miniUSB,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,HTC JOGGR touch-sensitive navigation bar,Removable Li-Ion battery,Up to 200 h,Up to 4 h,,,,Class 10,Class 10,No,"64MB RAM, 128MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones, composer",MP3/AAC player Pocket Office  Predictive text input Organizer,,Yes,,Microsoft Windows Mobile 5.0 Smartphone,200 MHz ARM926EJ-S,,,,TI OMAP 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,,,,,
o2,O2 XDA Stealth,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-stealth.gif,GSM,GSM 900 / 1800 / 1900,,,"2006, September",Discontinued,110 x 53 x 22.5 mm (4.33 x 2.09 x 0.89 in),140 g (4.94 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.4 inches, 17.8 cm2 (~30.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",miniSD,,,"2 MP, AF",LED flash,Yes,,,Yes,No,Wi-Fi 802.11b/g,1.2,No,No,miniUSB,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,Handwriting recognition,Removable Li-Po 1300 mAh battery,Up to 150 h,Up to 4 h 30 min,,Silver,About 250 EUR,Class 10,No,No,"64MB RAM, 192MB ROM","Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Predictive text input Voice dial,,Yes,,Microsoft Windows Mobile 5.0 PocketPC,Intel XScale PXA 272 416 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2,O2 Jet,https://fdn2.gsmarena.com/vv/bigpic/o2-jet.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, October",Discontinued,117 x 47 x 20 mm (4.61 x 1.85 x 0.79 in),121 g (4.27 oz),Mini-SIM,"TFT, 65K colors","2.0 inches, 12.6 cm2 (~22.9% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,Yes,No,No,2.0,No,No,miniUSB,,"SMS, MMS, Email",WAP,Yes+ downloadable,Yes,No,Removable Li-Ion battery,Up to 540 h,Up to 9 h 50 min,,Black,,Yes,No,Predictive text input Organizer Stopwatch,56MB,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
