Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,GPRS,EDGE,NFC,Quad,Triple,128GB 6GB RAM,Infrared port,256GB 8GB RAM,Dual,Dual_1,64GB 3GB RAM,64GB 4GB RAM,32GB 2GB RAM,SAR EU,128GB 4GB RAM,128GB 8GB RAM,4GB,Five,Performance,Display,Camera,Loudspeaker_1,Battery life,512GB 8GB RAM,256GB 6GB RAM,32GB 3GB RAM,Protection,Audio quality,16GB 2GB RAM,Phonebook,Call records,Messaging,Games,Java,64GB 6GB RAM,Stand-by,32GB 4GB RAM,Talk time,Music play,SAR,Keyboard,Browser 
huawei,Huawei P30 lite New Edition,https://fdn2.gsmarena.com/vv/bigpic/huawei-p30-lite-new-edition.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 4, 7, 8, 20, 38",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 400/50 Mbps","2020, January 14","Available. Released 2020, January 14",152.9 x 72.7 x 7.4 mm (6.02 x 2.86 x 0.29 in),152.9 g (5.40 oz),"Glass front, glass back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)",UFS 2.1,"IPS LCD capacitive touchscreen, 16M colors","6.15 inches, 93.6 cm2 (~84.2% screen-to-body ratio)",1080 x 2312 pixels (~415 ppi density),,"Android 9.0 (Pie), EMUI 9.1",Kirin 710 (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC (uses shared SIM slot),256GB 6GB RAM,"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","LED flash, HDR, panorama",1080p@30fps (gyro-EIS),,Panorama,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3340 mAh, non-removable",Fast charging 18W,"Peacock Blue, Midnight Black, Pearl White, Breathing Crystal",Marie-L21BX,€ 247.00 / $ 362.73 / £ 210.00,,,Yes,,"48 MP, f/1.8, 27mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, 120˚, 17mm (ultrawide) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,€ 247.00,,,,,,,,,,,,,,,,,
huawei,Huawei Y7p,https://fdn2.gsmarena.com/vv/bigpic/huawei-y7p-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 34, 38, 39, 40, 41 - ART-L29",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 400/50 Mbps","2020, February 07","Available. Released 2020, February 07",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Glass front, plastic back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","1, 2, 3, 4, 5, 7, 8, 28, 34, 38, 39, 40, 41 - ART-L28","IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm2 (~82.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)",,"Android 9.0 (Pie), EMUI 9, no Google Play Services",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC (uses shared SIM slot),64GB 4GB RAM,"8 MP, f/2.0","LED flash, HDR, panorama",1080p@30fps,,HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable",Charging 10W,"Aurora Blue, Midnight Black","ART-L28, ART-L29",$ 146.99,,,,,"48 MP, f/1.8, 27mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth)",,,,,,,$ 146.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei nova 7i,https://fdn2.gsmarena.com/vv/bigpic/huawei-p40-lite.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 800 / 850 / 900 / 1700(AWS) / 2100,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 28, 34, 38, 39, 40, 41 - JNY-L21A, JNY-L01A, JNY-L21B",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/75 Mbps","2020, January 30","Available. Released 2020, February 14",159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),183 g (6.46 oz),"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 101.4 cm2 (~83.5% screen-to-body ratio)",1080 x 2310 pixels (~398 ppi density),"1, 2, 3, 4, 5, 7, 8, 18, 19, 28, 34, 38, 39, 40, 41 - JNY-L22A, JNY-L02A, JNY-L22B","Android 10, EMUI 10, no Google Play Services",Kirin 810 (7 nm),Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55),Mali-G52 MP6,"NM (Nano Memory), up to 256GB (uses shared SIM slot)",128GB 8GB RAM,"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm","LED flash, HDR, panorama",1080p@30fps,,HDR,1080p@30fps,Yes,Yes,UFS 2.1,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS",Unspecified,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 4200 mAh, non-removable","Fast charging 40W, 70% in 30 min (advertised)","Midnight Black, Crush Green, Sakura Pink","JNY-L22B, JNY-L21A, JNY-L01A, JNY-L21B, JNY-L22A, JNY-L02A, JNY-LX2",£ 325.05,,,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,,,,,,,,£ 325.05,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei Y6s (2019),https://fdn2.gsmarena.com/vv/bigpic/huawei-y6s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSDPA 850 / 900 / 1900 / 2100 - JAT-L29, JAT-LX1, JAT-LX1 NFC","1, 3, 5, 7, 8, 20, 38, 40, 41 - JAT-L29",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, January 30","Available. Released 2020, May",156.3 x 73.5 x 8 mm (6.15 x 2.89 x 0.31 in),150 g (5.29 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - JAT-LX3,"IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 91.0 cm2 (~79.2% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","1, 3, 5, 7, 8, 20 - JAT-LX1 NFC, JAT-LX1","Android 9.0 (Pie), EMUI 9.1",Mediatek MT6765 Helio P35 (12nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 3GB RAM","13 MP, f/1.8, PDAF","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0",,1080p@30fps,Yes,Yes,eMMC 5.1,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","FM Radio, built-in antenna",microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 3020 mAh, non-removable",,"Orchid Blue, Starry Black","JAT-LX3, JAT-L29, JAT-LX1, JAT-L41",€ 118.90 / $ 292.59 / £ 109.99,,,Yes (JAT-LX1 NFC only),,,,,,,,,,,,,,,,,,,,,,,€ 118.90,,,,,,,,,,,,,,,,
huawei,Huawei P smart Pro 2019,https://fdn2.gsmarena.com/vv/bigpic/huawei-y9s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20",,"HSPA 42.2/5.76 Mbps, LTE-A","2019, December","Available. Released 2019, December",163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in),206 g (7.27 oz),"Glass front, glass back, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)",UFS 2.1,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches, 106.6 cm2 (~84.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)",,"Android 9.0 (Pie), EMUI 9.1",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC (uses shared SIM slot),128GB 6GB RAM,"Motorized pop-up 16 MP, f/2.2","LED flash, HDR, panorama",1080p@30fps,,HDR,1080p@60fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",Charging 10W,"Midnight Black, Breathing Crystal",,About 290 EUR,,,,,,,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, 13mm (ultrawide) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei nova 6 5G,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-6-5g.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 26, 34, 38, 39, 40, 41","1, 3, 41, 77, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G (2+ Gbps DL)","2019, December","Available. Released 2019, December",162.7 x 75.8 x 9 mm (6.41 x 2.98 x 0.35 in),212 g (7.48 oz),"Glass front, glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",UFS 3.0,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm2 (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)",,"Android 10, EMUI 10",Kirin 990 (7 nm),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55),Mali-G76 MP16,No,"128GB 8GB RAM, 256GB 8GB RAM",,"Panorama, HDR, LED flash","4K@30/60fps, 1080p@30fps, 720p@960fps, (gyro-EIS)",,HDR,4K@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4200 mAh, non-removable","Fast charging 40W, 70% in 30 min (advertised)","Black, Blue, Red, Provence","WLZ-AN00, WLZ-TN00",,,,Yes,,"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, Laser AF 8 MP, f/2.4, 80mm (telephoto), 1/4.0"", PDAF, OIS, 3x optical zoom 8 MP, f/2.4, 16mm (ultrawide)",,,,"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm, PDAF 8 MP, f/2.2, 17mm (ultrawide)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei nova 6,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 34, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2019, December","Available. Released 2019, December",162.6 x 75.7 x 8.6 mm (6.40 x 2.98 x 0.34 in),197 g (6.95 oz),"Glass front, glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",UFS 3.0,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm2 (~84.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)",,"Android 10, EMUI 10, no Google Play Services",Kirin 990 (7 nm),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55),Mali-G76 MP16,No,128GB 8GB RAM,,"Panorama, HDR, LED flash","4K@30/60fps, 1080p@30fps, 720p@960fps, (gyro-EIS)",,HDR,4K@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4100 mAh, non-removable","Fast charging 40W, 70% in 30 min (advertised)","Black, Blue, Red, Provence","WLZ-AL10, WLZ-TL10",$ 429.99,,,Yes,,"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, Laser AF 8 MP, f/2.4, 80mm (telephoto), 1/4.0"", PDAF, OIS, 3x optical zoom 8 MP, f/2.4, 16mm (ultrawide)",,,,"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm 8 MP, f/2.2, 17mm (ultrawide)",,,,,,,$ 429.99,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei nova 6 SE,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-6-se.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 2100,"1, 3, 4, 5, 8, 19, 34, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/75 Mbps","2019, December","Available. Released 2019, December",159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),183 g (6.46 oz),"Glass front, plastic back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 101.4 cm2 (~83.5% screen-to-body ratio)",1080 x 2310 pixels (~398 ppi density),UFS 2.1,"Android 10, EMUI 10, no Google Play Services",Kirin 810 (7 nm),Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55),Mali-G52 MP6,"NM (Nano Memory), up to 256GB (uses shared SIM slot)",128GB 8GB RAM,"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm","LED flash, HDR, panorama",1080p@30fps,,HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Unspecified,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4200 mAh, non-removable",Fast charging 40W,"Black, Emerald Green, Light Pink/Blue","JNY-AL10, JNY-TL10",About 280 EUR,,,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei MatePad Pro,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 4, 5, 8, 19, 34, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2019, November 25","Available. Released 2019, December 12",246 x 159 x 7.2 mm (9.69 x 6.26 x 0.28 in),460 g (1.01 lb),"Glass front, aluminum back, aluminum frame",Nano-SIM,Stylus support (magnetic),"IPS LCD capacitive touchscreen, 16M colors","10.8 inches, 338.2 cm2 (~86.5% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~280 ppi density)",540 nits typ. brightness (advertised),"Android 10, EMUI 10, no Google Play Services",Kirin 990 (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55),Mali-G76 MP16,"NM (Nano Memory), up to 256GB (dedicated slot)","128GB 6GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","13 MP, f/1.8, PDAF","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","8 MP, f/2.0",HDR,1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,Tuned by Harman Kardon,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS (LTE model only)",No,"3.1, Type-C 1.0 reversible connector, USB On-The-Go","Accelerometer, gyro, proximity, compass","Li-Po 7250 mAh, non-removable",Fast charging 40W Fast wireless charging 15W Reverse wireless charging 7.5W,"Gray, White, Green, Orange","MRX-AL09, MRX-AL19, MRX-W09, MRX-W19",About 450 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei Mate X,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-x-.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41","41, 77, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A Cat21 1400/200 Mbps, 5G (2+ Gbps DL)","2019, February","Available. Released 2019, November",Unfolded: 161.3 x 146.2 x 5.4 mmFolded: 161.3 x 78.3 x 11 mm,295 g (10.41 oz),"Plastic front, aluminum back, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","Folded cover display: 6.6"", AMOLED, 1148 x 2480 pixels (19.5:9)","Foldable OLED capacitive touchscreen, 16M colors","8.0 inches, 205.0 cm2 (~86.9% screen-to-body ratio)",2200 x 2480 pixels (~414 ppi density),UFS 2.1,"Android 9.0 (Pie), EMUI 9.1",Kirin 980 (7 nm),Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),Mali-G76 MP10,"NM (Nano Memory), up to 256GB (uses shared SIM slot)",512GB 8GB RAM,,"Leica optics, dual-LED dual-tone flash, panorama, HDR","4K@30fps, 1080p@30fps",,,,Yes,No,No - uses main camera,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"3.1, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 4500 mAh, non-removable","Fast charging 55W, 85% in 30 min (advertised) Huawei SuperCharge",Interstellar Blue,TAH-AN00,About 2150 EUR,,,Yes,"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF 8 MP, f/2.4, 52mm (telephoto), 2x optical zoom 16 MP, f/2.2, 17mm (ultrawide) TOF 3D, (depth)",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei Y9s,https://fdn2.gsmarena.com/vv/bigpic/huawei-y9s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 28, 38, 40, 41 - International",,"HSPA 42.2/5.76 Mbps, LTE-A","2019, November 08","Available. Released 2019, November 08",163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in),206 g (7.27 oz),"Glass front, glass back, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)",UFS 2.1,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches, 106.6 cm2 (~84.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)",,"Android 9.0 (Pie), EMUI 9.1",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,microSDXC (uses shared SIM slot),128GB 6GB RAM,"Motorized pop-up 16 MP, f/2.2","LED flash, HDR, panorama",1080p@30fps,,HDR,1080p@60fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",Charging 10W,"Midnight Black, Breathing Crystal, Phantom Purple","STK-L21, STK-LX3, STK-L22","$ 204.21 / £ 304.67 / ₹ 19,990",,,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, 13mm (ultrawide) 2 MP, f/2.4, (depth)",£ 304.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei nova 5z,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-5z.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 2100,"1, 3, 4, 5, 8, 19, 34, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2019, October","Available. Released 2019, November",156.1 x 73.9 x 8.3 mm (6.15 x 2.91 x 0.33 in),178 g (6.28 oz),"Glass front, plastic back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 96.2 cm2 (~83.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)",UFS 2.1,"Android 9.0 (Pie), EMUI 9.1",Kirin 810 (7 nm),Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55),Mali-G52 MP6,"NM (Nano Memory), up to 256GB (uses shared SIM slot)","64GB 6GB RAM, 128GB 6GB RAM","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","LED flash, HDR, panorama","4K@30fps, 1080p@30fps",,HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",Fast charging 20W,"Black, Aurora, Emerald Green","SPN-AL00, SPN-TL00",About 200 EUR,,,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,Huawei Enjoy 10s,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-10s.jpg,GSM / CDMA / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 8, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE","2019, October 28","Available. Released 2019, November",157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),163 g (5.75 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA,"OLED capacitive touchscreen, 16M colors","6.3 inches, 95.8 cm2 (~83.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~418 ppi density)",600 nits max brightness (advertised),"Android 9.0 (Pie), EMUI 9.1",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,"NM (Nano Memory), up to 256GB (uses shared SIM slot)",64GB 6GB RAM,"16 MP, f/2.0","LED flash, HDR, panorama",1080p@30fps,,HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable",Charging 10W,"Breathing Crystal, Midnight Black, Emerald Green","AQM-AL00, AQM-TL00",About 200 EUR,,,,,"48 MP, f/1.8, 27mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.4, 120˚ (ultrawide) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
