Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Stand-by,Talk time,Colors,SAR EU,Features,Single_1,Video_1,Music play,3G bands,Speed,Price,Keyboard,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1,Browser,Protection,Camera,Loudspeaker_1,Audio quality,Display,Battery life,Models,Infrared port,Alert types,Clock,Alarm,4G bands,5G bands,Build,Triple,Features_1,NFC,Charging,Performance,Quad,256GB 8GB RAM,128GB 4GB RAM,64GB 3GB RAM,128GB 6GB RAM,64GB 6GB RAM,Dual,64GB 4GB RAM,32GB 3GB RAM,Languages
sewon,Sewon SGD-102,https://fdn2.gsmarena.com/vv/bigpic/swsgd102.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in),80 g (2.82 oz),Mini-SIM,"CSTN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Second external mono LCD display 4-way navi key,No,No,No,No,No,No,,,No,Removable Li-Ion 550 mAh battery,Up to 110 h,Up to 3 h,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,,No,,Predictive text input Calculator Memo,,,,,,,,,,Vibration; Polyphonic(16) ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SGD-101,https://fdn2.gsmarena.com/vv/bigpic/swsgd101.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in),80 g (2.82 oz),Mini-SIM,"CSTN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Second external mono LCD display 4-way navi key,No,No,No,No,No,No,,,No,Removable Li-Ion 550 mAh battery,Up to 110 h,Up to 3 h,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,,No,,Predictive text input Calculator Memo,,,,,,,,,,Vibration; Polyphonic(16) ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SG-2890CD,https://fdn2.gsmarena.com/vv/bigpic/sw2890cd.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in),80 g (2.82 oz),Mini-SIM,"CSTN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Second external mono LCD display 4-way navi key,No,No,No,No,No,No,,,No,Removable Li-Ion battery,Up to 110 h,Up to 3 h,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,,No,,Predictive text input Calculator Memo,,,,,,,,,,Vibration; Polyphonic(16) ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SG-2320CD,https://fdn2.gsmarena.com/vv/bigpic/sw2320cd.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),Mini-SIM,"CSTN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Second external mono LCD display,No,No,No,No,No,No,,,No,Removable Li-Ion 550 mAh battery,Up to 100 h,Up to 3 h,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,,No,,Predictive text input Calculator Memo,,,,,,,,,,Vibration; Polyphonic(16) ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SG-2300CD,https://fdn2.gsmarena.com/vv/bigpic/sw2300cd.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),Mini-SIM,"CSTN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Second external mono LCD display,No,No,No,No,No,No,,,No,Removable Li-Ion 550 mAh battery,Up to 100 h,Up to 3 h,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,,No,,Predictive text input Calculator Memo,,,,,,,,,,Vibration; Polyphonic(16) ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SG-2200CD,https://fdn2.gsmarena.com/vv/bigpic/sw2200cd.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),Mini-SIM,"CSTN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Second external mono LCD display,No,No,No,No,No,No,,,No,Removable Li-Ion 550 mAh battery,Up to 100 h,Up to 3 h,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,,No,,Predictive text input Calculator Memo,,,,,,,,,,Vibration; Polyphonic(16) ringtones,,,,,,,,,,,,,,,,,,,,"English, Chinese"
sewon,Sewon SG-2880CS,https://fdn2.gsmarena.com/vv/bigpic/sw2880cs.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),Mini-SIM,"STN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Blue backlight Downloadable logos,Yes,No,No,No,No,No,,,No,Removable Li-Ion 700 mAh battery,Up to 180 h,Up to 3 h,"Pearl White, Prime Gray Blue,  Oriental Gold",,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,Predictive text input Calculator Memo,WAP,,,,,,,,,Vibration; Downloadable monophonic ringtones,,,,,,,,,,,,,,,,,,,,
sewon,Sewon SG-2100CS,https://fdn2.gsmarena.com/vv/bigpic/sw2100cs.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),Mini-SIM,"STN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Blue backlight Downloadable logos,Yes,No,No,No,No,No,,,No,Removable Li-Ion 700 mAh battery,Up to 180 h,Up to 3 h,"Pearl White, Prime Gray Blue,  Oriental Gold",,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,Predictive text input Calculator Memo,WAP,,,,,,,,,Vibration; Downloadable monophonic ringtones,,,,,,,,,,,,,,,,,,,,
sewon,Sewon SG-2000CS,https://fdn2.gsmarena.com/vv/bigpic/sw2000cs.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),Mini-SIM,"STN, 256 colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Downloadable logos,Yes,No,No,No,No,No,,,No,Removable Li-Ion 700 mAh battery,Up to 180 h,Up to 3 h,"Pearl White, Prime Gray Blue,  Oriental Gold",,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,Predictive text input Calculator Memo,WAP,,,,,,,,,Vibration; Downloadable monophonic ringtones,,,,,,,,,,,,,,,,,,,,
sewon,Sewon SG-P100,https://fdn2.gsmarena.com/vv/bigpic/swp100.gif,GSM,GSM 900 / 1800,Yes,No,"2004, Q1",Discontinued,88 x 44 x 21 mm (3.46 x 1.73 x 0.83 in),82 g (2.89 oz),Mini-SIM,"STN, 256 colors",,101 x 80 pixels,,,,,No,,,,4-way navi key Downloadable logos,No,No,No,No,No,No,,,No,Removable Li-Ion battery,Up to 150 h,Up to 3 h,,,,,,,,,,,100,"10 dialed, 10 received, 10 missed calls","SMS, EMS 4.2",Yes,No,,Predictive text input Calculator Memo,WAP 1.2,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
sewon,Sewon SG-5000,https://fdn2.gsmarena.com/vv/bigpic/sw5000.gif,GSM,GSM 900 / 1800,No,No,2002,Discontinued,82 x 45 x 22 mm (3.23 x 1.77 x 0.87 in),90 g (3.17 oz),Mini-SIM,"Grayscale graphic, 4 shades",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Second external display 4-way navi key Downloadable animations,No,No,No,No,No,No,,,No,Removable Li-Ion 900 mAh battery,Up to 75 h,Up to 3 h,Black,,,,,,,,,,250,"10 dialed, 10 received, 10 missed calls","SMS, EMS 4.2",Yes,No,,Predictive text input Calculator,WAP 1.2,,,,,,,,,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
sewon,Sewon SG-4500,https://fdn2.gsmarena.com/vv/bigpic/sw4500.gif,GSM,GSM 900 / 1800,Yes,No,2002,Discontinued,80 x 46 x 24 mm (3.15 x 1.81 x 0.94 in),85 g (3.00 oz),Mini-SIM,"STN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Second external display 4-way navi key,No,No,No,No,No,No,,,No,Removable Li-Ion 900 mAh battery,90 h - 150 h,1 h 30 - 6 h,"Crystal White, Gold, Astral Blue, Dark Blue",,,,,,,,,,250,"10 dialed, 10 received, 10 missed calls","SMS, EMS 4.2",Yes,No,,Predictive text input Calculator,WAP 1.2,,,,,,,,,Vibration; Polyphonic(16) ringtones,,,,,,,,,,,,,,,,,,,,
sewon,Sewon SG-2200,https://fdn2.gsmarena.com/vv/bigpic/sw2200.gif,GSM,GSM 900 / 1800,No,No,2002,Discontinued,68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),Mini-SIM,"Grayscale graphics, 4 shades",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Second external display Blue backlight Fixed icons Soft keys,No,No,No,No,No,No,,,No,Removable Li-Ion 700 mAh battery,120 h - 180 h,1 h 30 - 6 h 30 min,"Crystal White, Gold, Astral Blue, Dark Blue",,,,,,,,,,200,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,Predictive text input Calculator,WAP,,,,,,,,,Vibration; Polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
sewon,Sewon SG-2000,https://fdn2.gsmarena.com/vv/bigpic/sw2000.gif,GSM,GSM 900 / 1800,No,No,2002,Discontinued,68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),Mini-SIM,"Grayscale graphics, 4 shades",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,Second external display Blue backlight Fixed icons Soft keys,No,No,No,No,No,No,,,No,Removable Li-Ion 700 mAh battery,100 h - 150 h,1 h 30 - 6 h 30 min,"Pearl White, Prime Gray Blue, Metallic Silver, Oriental Gold",,,,,,,,,,200,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,Predictive text input Calculator,WAP,,,,,,,,,Vibration; Polyphonic(16) ringtones,,,,,,,,,,,,,,,,,,,,
sewon,Sewon SG-1000,https://fdn2.gsmarena.com/vv/bigpic/sw1000.gif,GSM,GSM 900 / 1800,No,No,,Discontinued,88 x 44 x 25 mm (3.46 x 1.73 x 0.98 in),89 g (3.14 oz),Mini-SIM,Monochrome graphic,,"112 x 48 pixels, 4 lines, 21:9 ratio",,,,,No,,,,128 x 64 pixels for Chinese Fixed icons Soft keys,No,No,No,No,No,No,,,No,Removable Li-Ion 730 mAh battery,Up to 120 h,Up to 2 h,"Metallic Silver, Champaign Bronze, Metallic Champaign Gold",,,,,,,,,,255,"10 dialed, 10 received, 10 missed calls",SMS,No,No,,Predictive text input,WAP,,,,,,,,,"Monophonic ringtones, composer",,,,,,,,,,,,,,,,,,,,
