Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages
vodafone,Vodafone Tab Prime 7,https://fdn2.gsmarena.com/vv/bigpic/vodafone-tab-prime-7.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA,LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, August",259.2 x 155.8 x 8 mm (10.20 x 6.13 x 0.31 in),439 g (15.49 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~73.2% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",,Android 6.0 (Marshmallow),Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (dedicated slot),16GB 2GB RAM,,,Yes,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,No,microUSB 2.0,Accelerometer,"Li-Po 5830 mAh, non-removable",,Silver,,About 190 EUR,,,,,,,,,,,,,2 MP,,,,,,,,Yes,Yes,Yes,1.44 W/kg (head),,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart Turbo 7,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-turbo-7.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,HSDPA,LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, August",140.6 x 72.4 x 9.5 mm (5.54 x 2.85 x 0.37 in),167.9 g (5.93 oz),,Micro-SIM,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 6.0 (Marshmallow),Mediatek MT6735M (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,microSDHC,8GB 1GB RAM,,LED flash,Yes,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,No,microUSB 2.0,Accelerometer,"Li-Ion 2000 mAh, non-removable",,"Silver, Dark Grey","VFD 500, VFD 502",About 60 EUR,,,,,,,,,,,,,2 MP,,,,,,,,,Yes,Yes,1.67 W/kg (head),,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart ultra 7,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-ultra-7.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20, 28",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, June","Available. Released 2016, June",152.2 x 78.1 x 8.7 mm (5.99 x 3.07 x 0.34 in),150 g (5.29 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Android 6.0.1 (Marshmallow),Mediatek MT6755M (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC (dedicated slot),16GB 2GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"13 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.1, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2960 mAh, non-removable",,"Silver, Dark Grey",VFD 700,About 160 EUR,,,,,,,,,,,,,5 MP,,,,,,,,,,,0.54 W/kg (head),,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart Platinum 7,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-platinum-7.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 5.1,HSDPA,LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2016, June","Available. Released 2016, June",154 x 75.7 x 7 mm (6.06 x 2.98 x 0.28 in),155 g (5.47 oz),,Nano-SIM,"AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.5% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",Hi-Fi audio,Android 6.0.1 (Marshmallow),Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),Adreno 510,microSDXC (dedicated slot),32GB 3GB RAM,,"LED flash, panorama, HDR",4K@30fps,"16 MP, f/2.0, 1/2.6"", 1.12µm, PDAF",LED flash,1080p@30fps,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",Yes,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable","Fast charging 18W, 50% in 30 min (advertised) Quick Charge 3.0",Black,VFD 900,About 380 EUR,Corning Gorilla Glass (unspecified version),,,,,,,,,,,,8 MP,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart prime 7,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-prime-7.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900,eMMC 4.5,HSDPA 900 / 2100,"1, 3, 7, 8, 20",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, May","Available. Released 2016, May",144 x 72.1 x 8 mm (5.67 x 2.84 x 0.31 in),128 g (4.52 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 69.4 cm2 (~66.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~293 ppi density)",,Android 6.0.1 (Marshmallow),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSDXC (dedicated slot),8GB 1GB RAM,,LED flash,1080p@30fps,"8 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",Yes,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2540 mAh, non-removable",,"Graphite Black, Boron White",,About 100 EUR,,,,,,,,,,,,,5 MP,,,,Up to 499 h (3G),,Up to 9 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart first 7,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-first-7.jpg,GSM / HSPA,GSM 900 / 1800,No,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2016, May","Available. Released 2016, May",114.4 x 62.8 x 12 mm (4.50 x 2.47 x 0.47 in),110 g (3.88 oz),,Mini-SIM,TFT TN capacitive touchscreen,"3.5 inches, 36.5 cm2 (~50.8% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Android 5.1 (Lollipop),Spreadtrum SC7731G,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC (dedicated slot),4GB 512MB RAM,,,720p@30fps,2 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP",A-GPS only,,FM radio,microUSB 2.0,No,"Li-Ion 1400 mAh, removable",,"Volcano Black, Tech White",VFD 200,About 30 EUR,,,,,,,,,,,,,,,,,,,Up to 5 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart speed 6,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-speed-6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20",,"HSPA, LTE Cat4 150/50 Mbps","2015, September. Released 2015, October",Discontinued,132.2 x 65.1 x 10 mm (5.20 x 2.56 x 0.39 in),146 g (5.15 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~64.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Android 5.1 (Lollipop),Mediatek MT6735M (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,microSDHC (dedicated slot),8GB 1GB RAM,,LED flash,720p,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, compass","Li-Ion 1780 mAh, non-removable",,"Silver, Anthracite",VF-795,About 70 EUR,,,,,,,,,,,,,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart ultra 6,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-ultra-6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 4.5,HSDPA,"3, 7, 20",,"HSPA, LTE","2015, June. Released 2015, June",Discontinued,154 x 77 x 8.4 mm (6.06 x 3.03 x 0.33 in),159 g (5.61 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"Android 5.0.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.1 GHz Cortex-A53),Adreno 405,microSDXC (dedicated slot),16GB 2GB RAM,,LED flash,1080p@30fps,"13 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3000 mAh, non-removable",,"Gray, Silver",Smart ultra 6,About 170 EUR,,,,,,,,,,,,,5 MP,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Tab Prime 6,https://fdn2.gsmarena.com/vv/bigpic/vodafone-tab-prime-6.jpg,GSM / HSPA / LTE,GSM 900 / 1800,eMMC 4.5,HSDPA 900 / 2100,"1, 3, 7, 8, 20",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, May. Released 2015, May",Discontinued,244 x 146 x 8 mm (9.61 x 5.75 x 0.31 in),406 g (14.32 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","9.6 inches, 267.2 cm2 (~75.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~157 ppi density)",,Android 5.0 (Lollipop),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.3 GHz Cortex-A53,Adreno 306,microSDHC (dedicated slot),16GB 1GB RAM,,,Yes,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.1, A2DP, LE","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity","Li-Ion 4600 mAh, non-removable",,Black,,About 210 EUR,,,,,,,,,,,,,2 MP,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
vodafone,Vodafone Smart prime 6,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-prime.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,eMMC 4.5,HSDPA,LTE (unspecified),,"HSPA, LTE","2015, May. Released 2015, May",Discontinued,141.7 x 71.9 x 9 mm (5.58 x 2.83 x 0.35 in),155 g (5.47 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 5.0.2 (Lollipop),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC (dedicated slot),8GB 1GB RAM,,LED flash,1080p@30fps,"8 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2500 mAh, non-removable",,"Gray, Silver",,About 110 EUR,,,,,,,,,,,,,2 MP,,,,Up to 915 h (3G),,Up to 18 h (3G),,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
