Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages
unnecto,Unnecto Drone X,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-x1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, January",Discontinued,115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in),152 g (5.36 oz),,Dual SIM (dual stand-by),"IPS LCD capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm2 (~52.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Android 4.4.2 (KitKat),,1.2 GHz,Mali-400,microSDHC,512MB 256MB RAM,,LED flash,Yes,3.15 MP,,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,Li-Ion 1100 mAh battery,,"Black, White, Blue",,,,,,,,,,,,,,,VGA,,,,Up to 150 h (3G),,Up to 8 h (2G) / Up to 10 h (3G),Up to 24 h,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Air 5.5,https://fdn2.gsmarena.com/vv/bigpic/unnecto-air-551.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, February",Discontinued,153 x 76 x 8.5 mm (6.02 x 2.99 x 0.33 in),156 g (5.50 oz),,Dual SIM (dual stand-by),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Android 4.4.2 (KitKat),,Quad-core 1.3 GHz,Mali-450MP4,microSDHC,8GB 1GB RAM,,"LED flash, HDR",1080p@60fps,"13 MP, AF",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go",Accelerometer,Li-Ion 2100 mAh battery,,"Black, White, Gray",,,,,,,,,,,,,,,5 MP,,,,Up to 120 h (3G),,Up to 8 h (3G),Up to 24 h,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Air 5.0,https://fdn2.gsmarena.com/vv/bigpic/unnecto-air-51.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, February",Discontinued,143.5 x 71.6 x 7.9 mm (5.65 x 2.82 x 0.31 in),127.6 (4.52 oz),,Dual SIM (dual stand-by),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 4.4.2 (KitKat),,Quad-core 1.3 GHz,Mali-450MP4,microSDHC,8GB 1GB RAM,,"LED flash, HDR",1080p@60fps,"12 MP, AF",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go",Accelerometer,Li-Ion 1900 mAh battery,,"Black, White, Gray",,,,,,,,,,,,,,,3 MP,,,,Up to 120 h (3G),,Up to 8 h (3G),Up to 24 h,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Air 4.5,https://fdn2.gsmarena.com/vv/bigpic/unnecto-air-451.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, February",Discontinued,133.9 x 66 x 8.3 mm (5.27 x 2.60 x 0.33 in),110.6 g (3.92 oz),,Dual SIM (dual stand-by),"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Android 4.4.2 (KitKat),,Quad-core 1.3 GHz,Mali-450MP4,microSDHC,8GB 1GB RAM,,"LED flash, HDR",1080p@60fps,"8 MP, AF",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go",Accelerometer,Li-Ion 1700 mAh battery,,"Black, White, Gray",,,,,,,,,,,,,,,3 MP,,,,Up to 120 h (3G),,Up to 8 h (3G),Up to 24 h,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Rush,https://fdn2.gsmarena.com/vv/bigpic/unnecto-rush.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,,,HSPA 21.1/11.5 Mbps,"2014, September. Released 2014, September",Discontinued,148 x 74 x 9 mm (5.83 x 2.91 x 0.35 in),180 g (6.35 oz),,Dual SIM (dual stand-by),"Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~62.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 4.4.2 (KitKat),,Quad-core 1.3 GHz,Mali-400,microSDHC,4GB 512MB RAM,,LED flash,Yes,8 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR","Yes, with A-GPS",,FM radio,microUSB,"Accelerometer, proximity",Li-Ion 2000 mAh battery,,"Black, White, Blue",,,,,,,,,,,,,,,VGA,,,,Up to 750 h (3G),,Up to 15 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Quattro Z,https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-z.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2014, June. Released 2014, June",Discontinued,125.5 x 65 x 9.4 mm (4.94 x 2.56 x 0.37 in),110 g (3.88 oz),,Dual SIM (dual stand-by),IPS LCD capacitive touchscreen,"4.0 inches, 45.5 cm2 (~55.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.2.2 (Jelly Bean),,Dual-core 1.2 GHz,Mali-400,microSDHC,4GB 512MB RAM,,LED flash,Yes,8 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB,,Li-Ion 1500 mAh battery,,"Black, White, Blue",,,,,,,,,,,,,,,VGA,,,,Up to 600 h,,Up to 11 h,,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Drone Z,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-z.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2014, June. Released 2014, June",Discontinued,116 x 61 x 11.5 mm (4.57 x 2.40 x 0.45 in),100 g (3.53 oz),,Dual SIM (dual stand-by),Capacitive touchscreen,"3.5 inches, 36.5 cm2 (~51.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Android 4.2.2 (Jelly Bean),,Dual-core 1.0 GHz,,microSDHC,512MB 256MB RAM,,,Yes,3.15 MP,,,Yes,Yes,,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB,,Li-Ion 1200 mAh battery,,"Black, White, Grey",,,,,,,,,,,,,,,VGA,,,,Up to 450 h (3G),,Up to 9 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Quattro,https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 2100 - SIM 1,,,HSPA 7.2/5.76 Mbps,"2012, March. Released 2012, June",Discontinued,123 x 65 x 11.5 mm (4.84 x 2.56 x 0.45 in),140 g (4.94 oz),,Dual SIM (dual stand-by),TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~57.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 2.3 (Gingerbread),,,,"microSDHC (dedicated slot), 8 GB included",512MB RAM,,,Yes,3.15 MP,,,Yes,Yes,,Wi-Fi 802.11 b/g/n,"2.1, EDR",Yes,,FM radio,microUSB,,Li-Ion 1400 mAh battery,,Black,,,,,,,,,,,,,,,VGA,,,,Up to 170 h,,Up to 3 h,,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Blaze,https://fdn2.gsmarena.com/vv/bigpic/unnecto-blaze.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,No,,,,,"2012, March. Released 2012, April",Discontinued,114 x 62.5 x 11.5 mm (4.49 x 2.46 x 0.45 in),131.5 g (4.62 oz),,Dual SIM (dual stand-by),TFT resistive touchscreen,"3.5 inches, 3.50, 36.5 cm2 (~51.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",MP3/MP4 player Organizer Voice memo,,,,,"microSDHC (dedicated slot), 2 GB included",1GB 512MB RAM,,LED flash,Yes,2 MP,,,Yes,Yes,,Wi-Fi 802.11 b/g,"2.1, EDR",No,,FM radio,microUSB,,Li-Ion 1100 mAh battery,,"Black, White",,,,,,,,,,,,,,,,,,,Up to 180 h,,Up to 4 h,,,Class 12,Class 32,,,1000 entries,Yes,"SMS, MMS, Email, Push Email, IM",Yes,"Yes, MIDP 2.0",,,,,,,,,,,,,,,
unnecto,Unnecto Drone,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,,,"2012, February. Released 2012, April",Discontinued,102.6 x 56.4 x 12.4 mm (4.04 x 2.22 x 0.49 in),117 g (4.13 oz),,Dual SIM (dual stand-by),TFT resistive touchscreen,"3.2 inches, 3.20, 29.1 cm2 (~50.4% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)",,Android 2.2 (Froyo),,,,microSDHC (dedicated slot),4GB 2GB RAM,,LED flash,Yes,2 MP,,,Yes,Yes,,Wi-Fi 802.11 b/g/n,"2.1, A2DP, EDR",No,,FM radio,microUSB,,Li-Ion 800 mAh battery,,"Black/black, black/silver, black/white",,,,,,,,,,,,,,,VGA,,,,Up to 100 h,,Up to 4 h,,,Class 12,Yes,,,,,,,,,,,,,,,,,,,,,,
