Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1,Features_1,_1_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,Models,NFC
acer,Acer Liquid Jade Primo,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-primo-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2015, September","Available. Released 2016, April",156.5 x 75.9 x 8.4 mm (6.16 x 2.99 x 0.33 in),150 g (5.29 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 1700(AWS) / 1900 / 2100 - USA,"AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Microsoft Windows 10,Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),microSDXC (uses shared SIM slot),32GB 3GB RAM,"21 MP, f/2.2, AF","4K@30fps, 1080p@30fps","8 MP, f/2.2",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE, EDR","Yes, with A-GPS",FM radio,"3.1, Type-C 1.0 reversible connector","Accelerometer, gyro, proximity, compass","Li-Po 2870 mAh, non-removable",Up to 20 h (3G),Black,About 220 EUR,HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan,LTE 800 / 1800 / 2100 / 2600 - Europe,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Adreno 418,"Dual-LED flash, HDR, panorama",LTE 900 / 1800 / 2600 - Taiwan,,Microsoft Continuum support,Up to 330 h (3G),,,Photo / Video,,,Endurance rating 56h,Corning Gorilla Glass (unspecified version),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acer,Acer Liquid Z320,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September. Released 2015, November",Discontinued,136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142 g (5.01 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",eMMC 4.5,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 5.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.0 GHz Cortex-A7,microSDXC (dedicated slot),8GB 1GB RAM,"5 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2000 mAh, removable",,Pure White,About 90 EUR,HSDPA,,HSPA 42.2/5.76 Mbps,Adreno 304,LED flash,,,,,,,,,,,,,,
acer,Acer Liquid Z630S,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2015, September. Released 2015, September",Discontinued,156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in),165 g (5.82 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),32GB 3GB RAM,"8 MP, AF",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Po 4000 mAh, removable (15.2 Wh)",,"Black, Gold",,HSDPA 900 / 1900 / 2100,LTE (unspecified),"HSPA, LTE",Mali-T720MP3,"LED flash, HDR, panorama",,,,,,,,,,,,,,
acer,Acer Liquid Z630,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September. Released 2015, September",Discontinued,156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in),165 g (5.82 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),"8GB 1GB RAM, 16GB 2GB RAM","8 MP, AF",Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Ion 4000 mAh, removable",Up to 22 h,Black,About 200 EUR,HSDPA,LTE (unspecified),"HSPA, LTE",Mali-T720MP2,"LED flash, HDR, panorama",,,,Up to 1030 h,,,,,,,,,,
acer,Acer Liquid Z530S,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September. Released 2015, November",Discontinued,144 x 70.3 x 8.9 mm (5.67 x 2.77 x 0.35 in),145 g (5.11 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),32GB 3GB RAM,"8 MP, AF",Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2420 mAh, removable",,"Black, White",,HSDPA,LTE (unspecified),"HSPA, LTE",Mali-T720MP3,"LED flash, HDR, panorama",,,,,,,,,,,,,,
acer,Acer Liquid Z530,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September. Released 2015, October",Discontinued,144 x 70.3 x 8.9 mm (5.67 x 2.77 x 0.35 in),145 g (5.11 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),"8GB 1GB RAM, 16GB 2GB RAM","8 MP, AF",Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2420 mAh, removable",,"Black, White",About 150 EUR,HSDPA,LTE (unspecified),"HSPA, LTE",Mali-T720MP2,"LED flash, HDR, panorama",,,,,,,,,,,,,,
acer,Acer Liquid M330,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September. Released 2015, November",Discontinued,136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142 g (5.01 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",eMMC 4.5,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Microsoft Windows 10,Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.0 GHz Cortex-A7,microSDXC (dedicated slot),8GB 1GB RAM,"5 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",,"Mystic Black, Pure White",,HSDPA,LTE (unspecified),"HSPA, LTE",Adreno 304,LED flash,,,,,,,,,,,,,,
acer,Acer Liquid M320,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September. Released 2015, November",Discontinued,136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142 g (5.01 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",eMMC 4.5,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Microsoft Windows 10,Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,microSDXC (dedicated slot),8GB 1GB RAM,"5 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",,"Mystic Black, Pure White",,HSDPA,,HSPA 42.2/5.76 Mbps,Adreno 304,LED flash,,,,,,,,,,,,,,
acer,Acer Iconia Tab 10 A3-A30,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a30-new.png,No cellular connectivity,N/A,No,No,"2015, April. Released 2015, June",Discontinued,260 x 176 x 9.7 mm (10.24 x 6.93 x 0.38 in),540 g (1.19 lb),No,,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~64.6% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 5.0 (Lollipop),Intel Atom Z3735F,Quad-core 1.33 GHz,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",5 MP,1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP",A-GPS only,No,microUSB 2.0,Accelerometer,"Li-Ion 5910 mAh, non-removable (22 Wh)",Up to 7 h 30 min (multimedia),Black,About 250 EUR,,,,,,,,,,,,,,,,"Corning Gorilla Glass 4, oleophobic coating",,,Yes
