Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1,Features_1,_1_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,Models,NFC
acer,Acer Iconia One 8 B1-820,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-one-8-b1-820.jpg,No cellular connectivity,N/A,No,No,"2015, April. Released 2015, May",Discontinued,213.9 x 127.7 x 9.5 mm (8.42 x 5.03 x 0.37 in),355 g (12.52 oz),No,,IPS LCD capacitive touchscreen,"8.0 inches, 185.6 cm2 (~67.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Android 5.0 (Lollipop),Intel Atom Z3735G,Quad-core 1.33 GHz,microSDHC (dedicated slot),"16GB 1GB RAM, 32GB 1GB RAM",5 MP,1080p@30fps,VGA,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS, GLONASS",No,microUSB 2.0,Accelerometer,"Li-Ion 4550 mAh, non-removable (17.2 Wh)",Up to 8 h 30 min (multimedia),"Black, White",About 180 EUR,,,,,,,,,,,,,,,,,,,
acer,Acer Iconia Tab A3-A20,https://fdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg,No cellular connectivity,N/A,No,No,"2014, October. Released 2014, October",Discontinued,256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in),508 g (1.12 lb),No,,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~67.8% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",Android 4.4 (KitKat),Mediatek MT8127 (28 nm),Quad-core 1.3 GHz Cortex-A7,microSDXC (dedicated slot),16GB 1GB RAM,"5 MP, AF",720p,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",A-GPS only,No,microUSB 2.0,Accelerometer,"Li-Po 5910 mAh, non-removable (A3-A20-K1AY)",Up to 9 h (multimedia),"Black, White",About 190 EUR,,,,Mali-450MP4,,,,,,,,,,,,"Corning Gorilla Glass 4, oleophobic coating",,,
acer,Acer Iconia Tab A3-A20FHD,https://fdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg,No cellular connectivity,N/A,No,No,"2014, October. Released 2014, October",Discontinued,256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in),508 g (1.12 lb),No,,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~67.8% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 4.4 (KitKat),Mediatek MT8127 (28 nm),Quad-core 1.5 GHz Cortex-A7,microSDXC (dedicated slot),32GB 2GB RAM,"5 MP, AF",720p,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",A-GPS only,No,microUSB 2.0,Accelerometer,"Li-Po 5910 mAh, non-removable (A3-A20FHD-K8KX)",Up to 8 h (multimedia),"Black, White",About 230 EUR,,,,Mali-450MP4,,,,,,,,,,,,"Corning Gorilla Glass 4, oleophobic coating",,,
acer,Acer Liquid Jade Z,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-z.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2015, March. Released 2015, April",Discontinued,143.5 x 69.8 x 8 mm (5.65 x 2.75 x 0.31 in),110 g (3.88 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.0 (Lollipop),Mediatek MT6732 (28 nm),Quad-core 1.5 GHz Cortex-A53,microSDHC (uses shared SIM slot),"8GB 1GB RAM (Jade Z), 16GB 2GB RAM (Jade Z+)","13 MP, f/1.8, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Po 2300 mAh, non-removable",Up to 7 h (2G) / Up to 4 h (3G),"Black, White",About 200 EUR,HSDPA 900 / 2100,"1, 3, 7, 20","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T760MP2,"LED flash, HDR, panorama",,,,Up to 410 h (2G) / Up to 400 h (3G),,,,,,,Corning Gorilla Glass 3,,,
acer,Acer Liquid Z520,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z520.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2015, March. Released 2015, April",Discontinued,154 x 86 x 6.4 mm (6.06 x 3.39 x 0.25 in),118 g (4.16 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100,TFT capacitive touchscreen,"5.0 inches, 75.7 cm2 (~57.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~187 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,microSDHC (dedicated slot),"8GB 1GB RAM, 16GB 2GB RAM","8 MP, AF","1080p@30fps, 720p@60fps",2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2000 mAh, removable",,"Black, White",About 130 EUR,HSDPA 900 / 2100,,HSPA,Mali-400MP2,"LED flash, HDR, panorama",,,,,,,,,,,,,Z520,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
