Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality,Triple,Dual_1
energizer,Energizer Hardcase H242,https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h242.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP68 dust/water resistant (up to 1.2m for 30 mins),HSDPA 850 / 900 / 1900 / 2100,Secondary external display,,HSPA,"2019, February","Available. Released 2019, Q3",125.3 x 54 x 14.5 mm (4.93 x 2.13 x 0.57 in),-,Dual SIM (Mini-SIM),"Downloadable applications Facebook, Gmail, Whatsapp, etc.","TFT, 16M colors","2.4 inches, 17.8 cm2 (~26.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,KaiOS,Spreadtrum SC7731E,Quad-core 1.3 GHz Cortex-A53,Mali-820,microSDHC,512MB 256MB RAM,0.3 MP,LED flash,Yes,0.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.1,"Yes, with A-GPS",,,FM radio,microUSB 2.0,,Li-Ion 1500 mAh battery,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energizer,Energizer Energy E241s,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e241-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Downloadable applications Facebook, Gmail, Whatsapp, etc.",HSDPA 900 / 2100,,"3, 7, 20","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, February","Available. Released 2019, September",125.3 x 54 x 14.5 mm (4.93 x 2.13 x 0.57 in),95 g (3.35 oz),Dual SIM (Mini-SIM),,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~26.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,KaiOS,Spreadtrum SC9820E,Dual-core (2x1.3 GHz Cortex-A7),,microSDHC,512MB 512MB RAM,0.3 MP,LED flash,Yes,0.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR","Yes, with A-GPS",,,FM radio,microUSB 2.0,,Li-Ion 1900 mAh battery,"Black, Carbon black, Gray, White, Orange, Bordo Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energizer,Energizer Energy E241,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e241s-1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Downloadable applications Facebook, Gmail, Whatsapp, etc.",HSDPA 900 / 2100,,,HSPA,"2019, February","Available. Released 2019, September",125.3 x 54 x 14.5 mm (4.93 x 2.13 x 0.57 in),72 g (2.54 oz),Dual SIM (Mini-SIM),,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~26.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,KaiOS,Spreadtrum SC7731E,Quad-core 1.3 GHz Cortex-A53,Mali-820,microSDHC,512MB 512MB RAM,0.3 MP,LED flash,Yes,0.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR","Yes, with A-GPS",,,FM radio,microUSB 2.0,,Li-Ion 1900 mAh battery,"Black, Carbon black, Gray, White, Orange, Carbon Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energizer,Energizer Energy E220s,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e220s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,No,HSDPA 900 / 2100,,"1, 3, 7, 8, 20",HSPA,"2019, February","Available. Released 2019, July",119 x 59 x 16.5 mm (4.69 x 2.32 x 0.65 in),112 g (3.95 oz),"Dual SIM (Micro-SIM, dual stand-by)",,"TFT, 16M colors","2.2 inches, 15.0 cm2 (~21.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,KaiOS,Spreadtrum SC9820E,Dual-core (2x1.3 GHz Cortex-A7),,microSDHC,512MB 256MB RAM,0.3 MP,,Yes,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.1,No,,,FM radio,microUSB 2.0,,Li-Ion 1000 mAh battery,"Black, Dark blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energizer,Energizer Energy E220,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e220.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,No,HSDPA 900 / 2100,,,HSPA,"2019, February","Available. Released 2019, July",119 x 59 x 16.5 mm (4.69 x 2.32 x 0.65 in),112 g (3.95 oz),"Dual SIM (Micro-SIM, dual stand-by)",,"TFT, 16M colors","2.2 inches, 15.0 cm2 (~21.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,KaiOS,Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,512MB 256MB RAM,0.3 MP,,Yes,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.1,No,,,FM radio,microUSB 2.0,,Li-Ion 1000 mAh battery,"Black, Dark blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energizer,Energizer Power Max P490S,https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p490s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 900 / 2100,,"1, 3, 7, 8, 20, 28, 38, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, June","Available. Released 2018, August",139 x 65.8 x 12 mm (5.47 x 2.59 x 0.47 in),139 g (4.90 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"TFT capacitive touchscreen, 16M colors","4.95 inches, 63.2 cm2 (~69.1% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~217 ppi density)",,Android 8.1 (Oreo),Mediatek MT6739WA (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSDHC (dedicated slot),16GB 2GB RAM,,"Dual-LED dual-tone flash, panorama",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 4000 mAh, non-removable",Black,About 130 EUR,Up to 400 h (3G),Up to 16 h (3G),,,,,,,,"8 MP, AF 0.3 MP, (depth)",,,,,,,LED flash,,,,,,,,,,,,"5 MP VGA, depth sensor"
energizer,Energizer Power Max P490,https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p490.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 42.2/5.76 Mbps,"2018, June","Available. Released 2018, August",139 x 65.8 x 12 mm (5.47 x 2.59 x 0.47 in),139 g (4.90 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"TFT capacitive touchscreen, 16M colors","4.95 inches, 63.2 cm2 (~69.1% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~217 ppi density)",,Android 8.0 (Oreo Go),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400 MP2,microSDHC (dedicated slot),8GB 1GB RAM,,Dual-LED dual-tone flash,720p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 4000 mAh, non-removable",Black,About 90 EUR,Up to 400 h (3G),Up to 10 h (3G),,,,,,,,"8 MP, AF 0.3 MP, (depth)",,,,,,,LED flash,,,,,,,,,,,,"5 MP VGA, depth sensor"
energizer,Energizer Hardcase H500S,https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h500s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP68 dust/water resistant (up to 1.5m for 30 mins),HSDPA 900 / 2100,eMMC 5.0,"1, 3, 7, 8, 20, 40","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2018, February","Available. Released 2018, February",145.4 x 75 x 10.3 mm (5.72 x 2.95 x 0.41 in),142.5 g (5.04 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~63.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass 3,Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC (uses shared SIM slot),16GB 2GB RAM,"13 MP, AF",LED flash,720p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3000 mAh, non-removable",Black,About 230 EUR,Up to 300 h (3G),Up to 13 h (3G),0.44 W/kg (head)     1.65 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,
energizer,Energizer Energy E500S,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e500s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.0,HSDPA 850 / 900 / 1900 / 2100,,"1, 3, 7, 8, 20, 28","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Exp. announcement 2018, August","Available. Released 2018, August",139.8 x 71.5 x 8.6 mm (5.50 x 2.81 x 0.34 in),127 g (4.48 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 8.0 (Oreo),Mediatek MT6737M (28 nm),Quad-core 1.1 GHz Cortex-A53,Mali-T720MP2,microSDXC (uses shared SIM slot),8GB 1GB RAM,8 MP,LED flash,720p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2000 mAh, removable",Black,About 100 EUR,Up to 200 h (3G),Up to 12 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,
energizer,Energizer Energy E500,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e500.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 42.2/11.5 Mbps,"Exp. announcement 2018, August","Available. Released 2018, August",139.8 x 71.5 x 8.6 mm (5.50 x 2.81 x 0.34 in),127 g (4.48 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android Go,Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (uses shared SIM slot),8GB 1GB RAM,5 MP,LED flash,480p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2000 mAh, removable",Black,About 70 EUR,Up to 200 h (3G),Up to 12 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,
