Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM,Keyboard,Languages
pantech,Pantech Element,https://fdn2.gsmarena.com/vv/bigpic/pantech-element.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,"HSPA, LTE","2012, January. Released 2012, January",Discontinued,212.3 x 155.4 x 10.7 mm (8.36 x 6.12 x 0.42 in),469.8 g (1.03 lb),Micro-SIM,"TFT capacitive touchscreen, 16M colors","8.0 inches, 198.2 cm2 (~60.1% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~160 ppi density)",microSDHC (dedicated slot),,,"5 MP, AF",LED flash,720p,2 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, compass",,,,,IP57 dust/water resistant (up to 1m. and 30 mins),Non-removable Li-Ion 6400 mAh battery,Up to 600 h,Up to 12 h,,Black,About 220 EUR,,,HDMI port MP3/WAV/WMA/eAAC+ player MP4/H.264 player Organizer Document viewer Predictive text input,16GB 1GB RAM,,,,,,Android 4.0 (Ice Cream Sandwich),Dual-core 1.5 GHz Scorpion,,,17,Qualcomm APQ8060 Snapdragon S3,Adreno 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantech,Pantech Hotshot,https://fdn2.gsmarena.com/vv/bigpic/pantech-hotshot.jpg,CDMA / CDMA2000,CDMA 800 / 1900,CDMA2000 1x,"EV-DO Rev.0, 153.2 Kbps","2011, October. Released 2011, October",Discontinued,119 x 60 x 9 mm (4.69 x 2.36 x 0.35 in),91 g (3.21 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.2 inches, 29.1 cm2 (~40.8% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","microSDHC (dedicated slot), 2 GB included","1000, Photocall",Yes,3.15 MP,,Yes,,,Yes,Yes,No,"3.0, A2DP","Yes, with A-GPS, VZ Navigator",No,microUSB 2.0,Proximity,"SMS, MMS, Email, IM",,Yes,No,No,Removable Li-Ion 1000 mAh battery,Up to 342 h,Up to 5 h,,"Black, Red",,,,MP3/WAV/WMA/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input,,,,,,,,,,,,,,,,,,,1.32 W/kg (head)     0.78 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,
pantech,Pantech Link II,https://fdn2.gsmarena.com/vv/bigpic/pantech-link-ii.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900,HSPA,"2011, October. Released 2011, October",Discontinued,114 x 61 x 10 mm (4.49 x 2.40 x 0.39 in),94 g (3.32 oz),Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~25.7% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),"1000 entries, Photocall",Yes,2 MP,,Yes,,,Yes,No,No,"2.1, A2DP","Yes, with A-GPS",No,2.0,,"SMS, MMS, Email, IM",,Yes,Yes,No,Removable Li-Ion 1000 mAh battery,Up to 250 h,Up to 3 h,,Black,,,,MP3/WAV/eAAC+/WMA player MP4/H.263/WMV player Organizer Voice memo Predictive text input,200MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
pantech,Pantech Pocket P9060,https://fdn2.gsmarena.com/vv/bigpic/pantech-pocket.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"2011, October. Released 2011, December",Discontinued,114.7 x 78 x 11.3 mm (4.52 x 3.07 x 0.44 in),132.1 g (4.66 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors","4.0 inches, 49.5 cm2 (~55.4% screen-to-body ratio)","600 x 800 pixels, 4:3 ratio (~250 ppi density)","microSDHC (dedicated slot), 2 GB included",,,"5 MP, AF",,720p,,,Yes,Yes,"Wi-Fi 802.11 b/g, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",No,2.0,"Accelerometer, proximity, compass",,,,,No,Removable Li-Ion 1650 mAh battery,Up to 250 h,Up to 3 h,,Black,About 280 EUR,,,MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input,600MB,,,,,,Android 2.3 (Gingerbread),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantech,Pantech Jest II,https://fdn2.gsmarena.com/vv/bigpic/pantech-jest-ii.jpg,GSM / CDMA / UMTS / CDMA2000,CDMA 800 / 1900,CDMA2000 1x,"EV-DO Rev.0, 153.2 Kbps","2011, October. Released 2011, October",Discontinued,94 x 66 x 15 mm (3.70 x 2.60 x 0.59 in),116 g (4.09 oz),Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~28.8% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),"1000 entries, Photocall",Yes,2 MP,,Yes,,,Yes,No,No,"3.0, A2DP","Yes, VZ Navigator",No,microUSB,,"SMS, MMS, Email, IM",,Yes,No,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 950 mAh battery,Up to 322 h,Up to 4 h 54 min,,Black,,,,UMTS 2100,,,SNS integration MP3/WAV/WMA/eAAC+ player MP4/H.263 player Organizer Voice memo/dial/commands Predictive text input,,,,,,,,,,,,,,,,1.15 W/kg (head)     1.17 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
pantech,Pantech Pursuit II,https://fdn2.gsmarena.com/vv/bigpic/samsung-pantech-pursuit-ii.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900,HSPA 3.6/0.384 Mbps,"2011, July. Released 2011, July",Discontinued,101 x 61 x 15 mm (3.98 x 2.40 x 0.59 in),127 g (4.48 oz),Mini-SIM,"TFT touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~39.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",microSDHC (dedicated slot),"Yes, Photocall",Yes,2 MP,,Yes,,,Yes,No,No,"2.0, A2DP, EDR","Yes, with A-GPS",No,2.0,,"SMS, MMS, Email, IM",,Yes,No,No,Removable Li-Ion 1000 mAh battery,Up to 250 h,Up to 3 h,,"Pink, green, black",About 200 EUR,,,MP3/WAV/WMA player MP4/H.263 player Organizer Voice memo/dial Predictive text input,217MB,,,,,,,230 MHz,,,,Qualcomm QSC6270,,,,,,,0.49 W/kg (head)     0.59 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,QWERTY,
pantech,Pantech Breakout,https://fdn2.gsmarena.com/vv/bigpic/Pantech-Breakout.jpg,CDMA / EVDO / LTE,CDMA 800 / 1900,CDMA2000 1xEV-DO,"EV-DO Rev.A 3.1 Mbps, LTE","2011, July. Released 2011, September",Discontinued,127 x 64 x 12 mm (5.0 x 2.52 x 0.47 in),138 g (4.87 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~56.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","microSDHC (dedicated slot), 8 GB included",,,"5 MP, AF",,720p,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS, VZ Navigator",No,microUSB 2.0,"Accelerometer, proximity",,,,,MP3/WAV/WMA/eAAC+ player MP4/WMV/H.264 player Organizer Voice memo Predictive text input (Swype),Removable Li-Ion 1500 mAh battery,Up to 303 h,Up to 5 h 47 min,,Black,,,,,1GB 512MB RAM,,,,,,Android 2.3 (Gingerbread),1.0 GHz,,,13,,,,,,,,1.46 W/kg (head)     0.77 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,
pantech,Pantech Breeze III,https://fdn2.gsmarena.com/vv/bigpic/pantech-breeze-iii.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900,HSPA 3.6/0.384 Mbps,"2011, July. Released 2011, July",Discontinued,99 x 51 x 19 mm (3.90 x 2.01 x 0.75 in),102 g (3.60 oz),Mini-SIM,"TFT,  256K colors","2.2 inches, 15.0 cm2 (~29.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",microSDHC (dedicated slot),"1000 entries, Photocall",Yes,1.3 MP,,Yes,,,Yes,No,No,Yes,No,No,microUSB,,"SMS, MMS, Email, IM",,Yes,"Yes, MIDP 2.0",Secondary external display,Removable Li-Ion 920 mAh battery,Up to 336 h,Up to 5 h,,Black/Silver,About 150 EUR,,,No,80MB,,MP3/eAAC+/WMA/WAV player MP4/WMV/H.263 player Organizer Voice memo Predictive text input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantech,Pantech Vega Xpress IM-A720L,https://fdn2.gsmarena.com/vv/bigpic/Pantech-Vega-X.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,HSPA,"2010, December. Released 2011, Q2",Discontinued,122.5 x 63.9 x 10.8 mm (4.82 x 2.52 x 0.43 in),119.8 g (4.20 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~58.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","microSDHC (dedicated slot), 8 GB included",,,"5 MP, AF",,Yes,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","2.1, A2DP","Yes, with A-GPS",No,2.0,Accelerometer,,HTML,,,DMB TV tuner TV-out DivX/XviD/MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo/dial Predictive text input,Removable Li-Po 1500 mAh battery,Up to 260 h,Up to 5 h 30 min,,"Black, White, Red",About 200 EUR,,,,512MB DDR2 RAM,,,,,0.93 W/kg (head),Android 2.2 (Froyo),1.0 GHz Scorpion,,,,Qualcomm MSM8255 Snapdragon S2,Adreno 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantech,Pantech S902,https://fdn2.gsmarena.com/vv/bigpic/pantech-s902.jpg,GSM,GSM 900 / 1800 / 1900,,,"2010, November. Released 2010, November",Discontinued,105.2 x 51.8 x 12.9 mm (4.14 x 2.04 x 0.51 in),104.4 g (3.67 oz),Mini-SIM,"TFT,  256K colors","3.0 inches, 25.6 cm2 (~47.0% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",microSD (dedicated slot),"Yes, Photocall",Yes,3.15 MP,LED flash,Yes,,,Yes,No,No,Yes,No,No,Proprietary,,"SMS, MMS, Email","WAP 2.0/xHTML, HTML",Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 314 h,Up to 3 h,,"Gold, White, Black",,Yes,Yes,T-DMB TV tuner MP3/AAC player MP4/H.263 player Organizer Voice memo Predictive text input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
