Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC
icemobile,Icemobile Prime 4.0,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100,HSPA,"2014, May. Released 2014, May",Discontinued,124 x 66 x 9.3 mm (4.88 x 2.60 x 0.37 in),-,,Dual SIM (Mini-SIM),IPS LCD capacitive touchscreen,"3.97 inches, 44.9 cm2 (~54.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~235 ppi density)",Flashlight,Android 4.2.2 (Jelly Bean),Dual-core Cortex-A7,microSDHC,4GB 512MB RAM,2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,Yes,FM radio,microUSB,Accelerometer,,,"Li-Ion 1550 mAh, removable",Up to 120 h,Up to 3 h 20 min,"White, Black, Blue",,Mediatek MT6572M/W,Mali-400,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile Apollo Touch 3G,https://fdn2.gsmarena.com/vv/bigpic/icemobile-apollo-touch-3g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100,HSPA,"2014, February. Released 2014, February",Discontinued,110.5 x 64.5 x 12.4 mm (4.35 x 2.54 x 0.49 in),100 g (3.53 oz),,Dual SIM (Mini-SIM),TFT capacitive touchscreen,"3.5 inches, 36.5 cm2 (~51.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Android 4.0 (Ice Cream Sandwich),1.0 GHz Cortex-A9,microSDHC (dedicated slot),512MB 512MB RAM,2 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR",A-GPS only,FM radio,microUSB 2.0,Accelerometer,,,"Li-Ion 1200 mAh, removable",Up to 240 h,Up to 6 h,"White, Black, Blue",,,,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile Apollo 3G,https://fdn2.gsmarena.com/vv/bigpic/apollo-3g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100,HSPA,"2014, February. Released 2014, February",Discontinued,110.5 x 64.5 x 12.4 mm (4.35 x 2.54 x 0.49 in),100 g (3.53 oz),QWERTY,Dual SIM (Mini-SIM),TFT capacitive touchscreen,"2.6 inches, 20.1 cm2 (~28.2% screen-to-body ratio)","480 x 320 pixels, 3:2 ratio (~222 ppi density)",,Android 4.2.2 (Jelly Bean),1.0 GHz Cortex-A9,microSDHC (dedicated slot),512MB 512MB RAM,2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,A-GPS only,FM radio,microUSB 2.0,Accelerometer,,,"Li-Ion 1200 mAh, removable",Up to 240 h,Up to 6 h,"White, Black, Pink, Blue, Green, Red",,,,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile G7 Pro,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g7-pro.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 2100,HSPA,2014. Released 2014,Discontinued,197.6 x 122.3 x 10.7 mm (7.78 x 4.81 x 0.42 in),307 g (10.83 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~57.1% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,Android 4.2.2 (Jelly Bean),Dual-core 1.2 GHz Cortex-A7,microSDHC (dedicated slot),4GB 512MB RAM,2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",No,No,2.0,Accelerometer,,,"Li-Po 2800 mAh, non-removable",,,"Black, Red, White, Gray",,Mediatek MT6572W,Mali-400,,,,,,,,,,,,,,,
icemobile,Icemobile G3,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g3.jpg,No cellular connectivity,N/A,,,2014. Released 2014,Discontinued,194 x 117 x 10 mm (7.64 x 4.61 x 0.39 in),300 g (10.58 oz),,No,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~60.8% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",HDMI port,Android 4.2.2 (Jelly Bean),Dual-core 1.0 GHz Cotex-A7,microSDHC (dedicated slot),4GB 512MB RAM,1.3 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,3.0,No,No,"2.0, USB On-The-Go",Accelerometer,,,"Li-Ion 2800 mAh, non-removable",,Up to 3 h 30 min (multimedia),"Black, Red, White",,,,LED flash,,,No,No,,,,,,,,,Up to 8 h,
icemobile,Icemobile Prime 4.5,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-45.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100,HSPA,"2014, January. Released 2014, January",Discontinued,133.5 x 67 x 9.5 mm (5.26 x 2.64 x 0.37 in),-,,Dual SIM,IPS LCD capacitive touchscreen,"4.46 inches, 54.8 cm2 (~61.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~247 ppi density)",Flashlight,Android 4.2.2 (Jelly Bean),Dual-core Cortex-A7,microSDHC (dedicated slot),4GB 512MB RAM,2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.1,,FM radio,microUSB,,,,"Li-Ion 1550 mAh, removable",,,"Black, White/Blue",,Mediatek MT6572AW,Mali-400,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile Charm II,https://fdn2.gsmarena.com/vv/bigpic/icemobile-charm2.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2014, January. Released 2014, January",Discontinued,100 x 48.9 x 17.4 mm (3.94 x 1.93 x 0.69 in),-,,Dual SIM,TFT,"2.0 inches, 12.6 cm2 (~25.7% screen-to-body ratio)",220 x 176 pixels (~141 ppi density),No,,,microSDHC (dedicated slot),,VGA,Yes,,,Yes,Yes,No,2.0,No,Stereo FM radio,miniUSB,,,MP3/MP4 player Predictive text input,"Li-Ion 1000 mAh, removable",Up to 150 h,Up to 7 h,"Black, Red, Sliver, Blue, Pink",,,,,,,Class 10,No,,,500 contacts,20 entries,"SMS, MMS",Yes,No,,,
icemobile,Icemobile G10,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g10.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA,"2014, January. Released 2014, January",Discontinued,246 x 175 x 10.2 mm (9.69 x 6.89 x 0.40 in),-,,Micro-SIM,TFT capacitive touchscreen,"10.1 inches, 295.8 cm2 (~68.7% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,Android 4.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,microSD (dedicated slot),,2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"2.1, EDR",Yes,FM radio,2.0,Accelerometer,,,"Li-Ion 6000 mAh, non-removable",Up to 120 h,Up to 8 h,"White, Black",,Mediatek MT8389,PowerVR SGX544,LED flash,,,,,Yes,,,,,,,,,
icemobile,Icemobile Gravity Pro,https://fdn2.gsmarena.com/vv/bigpic/icemobile-gravity-pro.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100,HSPA 7.2/5.76 Mbps,2013. Released 2013,Discontinued,139.7 x 76.4 x 17.6 mm (5.5 x 3.01 x 0.69 in),240 g (8.47 oz),,Yes,IPS LCD capacitive touchscreen,"4.02 inches, 44.5 cm2 (~41.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~244 ppi density)",IP67 dust/water resistant (up to 1m for 30 mins),Android 4.0 (Ice Cream Sandwich),Quad-core 1.2 GHz Cortex-A7,microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",Yes,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,,,,"Li-Ion 2800 mAh, removable",Up to 700 h,Up to 11 h,"Black, White, Orange",,Mediatek MT6589 (28 nm),PowerVR SGX544,LED flash,,,,,,,,,,,,,,
icemobile,Icemobile Sol III,https://fdn2.gsmarena.com/vv/bigpic/icemobile-sol-3.jpg,GSM,GSM 850 / 1900 - SIM 1 & SIM 2,,,"2013, November. Released 2013, November",Discontinued,128 x 68.7 x 10.2 mm (5.04 x 2.70 x 0.40 in),-,,"Dual SIM (Mini-SIM, dual stand-by)",TFT touchscreen,"4.0 inches, 47.6 cm2 (~54.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~144 ppi density)",GSM 900 / 1800 - SIM 1 & SIM 2,,,microSDHC (dedicated slot),,VGA,,,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,Stereo FM radio,Proprietary,,,Flashlight,"Li-Ion 1000 mAh, removable",,,"Black, Red, White, Blue",,,,LED flash,,TV app Organizer MP4 player MP3 player Predictive text input,Yes,No,,,Yes,Yes,"SMS, MMS",Yes,No,,,
