Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages
i_mate,i-mate PDAL,https://fdn2.gsmarena.com/vv/bigpic/imate-pdal.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, November",Discontinued,112 x 56 x 17 mm (4.41 x 2.20 x 0.67 in),116 g (4.09 oz),,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.4 inches, 17.8 cm2 (~28.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",Handwriting recognition,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,Yes,,,Yes,No,Wi-Fi 802.11 b/g,"1.2, A2DP",No,No,1.1,,"WAP 2.0/xHTML, HTML (PocketIE)",No,Removable Li-Ion 1100 mAh battery,Up to 150 h,Up to 4 h,Silver,About 220 EUR,TI OMAP 850,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  Voice memo MP3/AAC player File manager,Class 10,Class 10,,
i_mate,i-mate JAQ3,https://fdn2.gsmarena.com/vv/bigpic/imate-jaq3.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, November",Discontinued,126 x 67.5 x 14.5 mm (4.96 x 2.66 x 0.57 in),160 g (5.64 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.5 inches, 19.4 cm2 (~22.8% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~160 ppi density)",Handwriting recognition,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,Yes,,,Yes,No,Wi-Fi 802.11 b/g,"1.2, A2DP",No,No,1.1,,"WAP 2.0/xHTML, HTML (PocketIE)",No,Removable Li-Ion 1200 mAh battery,Up to 150 h,Up to 4 h,Black,About 240 EUR,TI OMAP 850,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  Voice memo MP3/AAC player File manager,Class 10,Class 10,Yes,
i_mate,i-mate SPL,https://fdn2.gsmarena.com/vv/bigpic/imate-spl.gif,GSM,GSM 900 / 1800 / 1900,,,"2006, September",Discontinued,114.5 x 49 x 12 mm (4.51 x 1.93 x 0.47 in),102 g (3.60 oz),,Mini-SIM,"TFT, 65K colors","2.2 inches, 34 x 45 mm, 15.0 cm2 (~26.7% screen-to-body ratio)","240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)",GSM 850 / 1800 / 1900 - US version,Microsoft Windows Mobile 5.0 Smartphone,200 MHz ARM926EJ-S,miniSD,"64MB RAM, 128MB ROM",2 MP,QCIF,,,Yes,No,No,1.2,No,No,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",5-way navigation,Removable Li-Ion 1100 mAh battery,Up to 150 h,Up to 4 h,Black,About 130 EUR,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Voice memo MP3/AAC player File explorer Predictive text input,Class 10,No,,
i_mate,i-mate JAQ,https://fdn2.gsmarena.com/vv/bigpic/imate-jaq.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, September",Discontinued,122 x 71 x 22 mm (4.80 x 2.80 x 0.87 in),160 g (5.64 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~28.0% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~143 ppi density)",Handwriting recognition,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,miniSD,"64MB RAM, 128MB ROM",,,,,Yes,No,No,1.2,No,No,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",No,Removable Li-Ion 1440 mAh battery,Up to 150 h,Up to 4 h,Silver,About 180 EUR,TI OMAP 850,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  Voice memo MP3/AAC player File manager Predictive text input,Class 10,Class 10,Yes,
i_mate,i-mate JASJAM,https://fdn2.gsmarena.com/vv/bigpic/imate-jasjam.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA 1.8 Mbps,"2006, June",Discontinued,112.5 x 58 x 22 mm (4.43 x 2.28 x 0.87 in),176 g (6.21 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.2% screen-to-body ratio)","240 x 320 pixels, 2.8 inches, 4:3 ratio (~143 ppi density)",Handwriting recognition,Microsoft Windows Mobile 5.0 PocketPC,400 MHz Samsung,microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,Yes,QCIF videocall camera,,Yes,No,Wi-Fi 802.11b/g,2.0,No,No,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",Pocket Office  Voice memo MP3/AAC player,Removable Li-Ion 1300 mAh battery,Up to 200 h,Up to 5 h,Silver,About 220 EUR,,,LED flash,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,Yes,
i_mate,i-mate SPJAS,https://fdn2.gsmarena.com/vv/bigpic/imate-spjas.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2006, August",Discontinued,112.4 x 49 x 14.8 mm (4.43 x 1.93 x 0.58 in),115 g (4.06 oz),,Mini-SIM,"TFT, 65K colors","2.2 inches, 34 x 45 mm, 15.0 cm2 (~27.2% screen-to-body ratio)","240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)",5-way navigation button,Microsoft Windows Mobile 5.0 Smartphone,Samsung 2442 300 MHz,microSD (dedicated slot),"64MB RAM, 128MB ROM",1.3 MP,Yes,CIF videocall camera,,Yes,No,No,1.2,No,No,1.1,,"WAP 2.0/xHTML, HTML (PocketIE)",Windows MPlayer 10 mobile File manager Pocket Office  Predictive text input Organizer Vioce dial/memo,Removable Li-Ion 1190 mAh battery,,,,About 110 EUR,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,Yes,
i_mate,i-mate Smartflip,https://fdn2.gsmarena.com/vv/bigpic/imate-smartflip.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, February",Discontinued,98.5 x 51.4 x 15.8 mm (3.88 x 2.02 x 0.62 in),99 g (3.49 oz),,Mini-SIM,"TFT, 65K colors","2.2 inches, 34 x 45 mm, 15.0 cm2 (~29.6% screen-to-body ratio)","240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)","Second external 1.2-inch TFT display, 65K colors (128 x 128 pixels)",Microsoft Windows Mobile 5.0 Smartphone,200 MHz ARM926EJ-S,microSD (dedicated slot),"64MB RAM, 64MB ROM",1.3 MP,Yes,,,Yes,No,No,1.2,No,No,1.1,,"WAP 2.0/xHTML, HTML (PocketIE)",No,Removable Li-Ion 750 mAh battery,,,Stylish black,About 110 EUR,TI OMAP 850,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Pocket Office  Voice memo/dial MP3/AAC player  Predictive text input,Class 10,Class 10,,
i_mate,i-mate JAMin,https://fdn2.gsmarena.com/vv/bigpic/imate-jamin.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, Q1",Discontinued,108 x 58 x 18.2 mm (4.25 x 2.28 x 0.72 in),150 g (5.29 oz),,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.8% screen-to-body ratio)","240 x 320 pixels, 2.8 inches, 4:3 ratio (~143 ppi density)",Handwriting recognition,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,"SD/MMC, up to 2 GB","64MB RAM, 128MB ROM",2 MP,CIF,,,Yes,No,Wi-Fi 802.11b/g,2.0,No,No,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",No,Removable Li-Po 1200 mAh battery,,,Stylish black,About 220 EUR,TI OMAP 850,,,Vibration; Downloadable polyphonic ringtones,Pocket Office  Voice memo MP3/AAC player,Class 10,Class 10,Yes,
i_mate,i-mate JASJAR,https://fdn2.gsmarena.com/vv/bigpic/imate-jasjar.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2005, August",Discontinued,127.7 x 81 x 25 mm (5.03 x 3.19 x 0.98 in),285 g (10.05 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 65K colors","3.6 inches, 73 x 55 mm, 40.1 cm2 (~38.8% screen-to-body ratio)","640 x 480 pixels, 3.6 inches, 4:3 ratio (~222 ppi density)",180-degree pivot display Handwriting recognition,Microsoft Windows Mobile 5.0 PocketPC,Intel Bulverde 520 MHz,"SDIO/MMC, up to 2 GB","64MB RAM, 128MB ROM",1.3 MP,Yes,VGA videocall camera,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11b,Yes,No,No,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",Dual speakers,Removable Li-Ion 1620 mAh battery,Up to 260 h,Up to 8 h,Stylish black,About 260 EUR,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",Pocket Office  Voice memo MP3/AAC player Predictive text input,,,Yes,
i_mate,i-mate K-JAM,https://fdn2.gsmarena.com/vv/bigpic/imate-k-jam.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2005, September",Discontinued,108 x 58 x 23.7 mm (4.25 x 2.28 x 0.93 in),160 g (5.64 oz),QWERTY,Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.8% screen-to-body ratio)","240 x 320 pixels, 2.8 inches, 4:3 ratio (~143 ppi density)",No,Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,"miniSD, up to 2 GB","64MB RAM, 128MB ROM",1.3 MP,Yes,,,Yes,No,Wi-Fi 802.11b/g,2.0,No,No,miniUSB,,"WAP 2.0/xHTML, HTML (PocketIE)",Microsoft ActiveSync Pocket Office  MP3/AAC player,Removable Li-Po 1250 mAh battery,Up to 200 h,Up to 5 h,Stylish black,About 280 EUR,TI OMAP 850,,LED flash,"Vibration; Downloadable polyphonic, MP3 ringtones",,Class 10,Class 10,Yes,
