Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,256GB 8GB RAM,Quad,Models,128GB 4GB RAM,Dual,64GB 4GB RAM,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,SAR,32GB 3GB RAM,32GB 2GB RAM,Protection,256GB 12GB RAM,SAR EU,Audio quality,Infrared port,Dual_1,Talk time,Stand-by,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Alert types,Languages,Clock,Alarm
mwg,MWg Zinc II,https://fdn2.gsmarena.com/vv/bigpic/mwg-zinc-ii.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 850 / 1900 / 2100,No,,,HSPA 3.6/0.384 Mbps,"2008, May",Discontinued,109.5 x 59 x 18 mm (4.31 x 2.32 x 0.71 in),185 g (6.53 oz),,Mini-SIM,Pocket Office   MP3/WMA/WMV/WAV/MP4 player Voice memo Predictive text input,"TFT resistive touchscreen, 256K colors (65K effective)","2.8 inches, 24.3 cm2 (~37.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 6.1 Professional,,Samsung 2442 500 MHz,,microSD (dedicated slot),"64MB RAM, 256MB ROM",2 MP,,Yes,,,,Yes,No,Wi-Fi 802.11b/g,"2.0, A2DP","Yes, SiRF Star III chipset",,No,miniUSB 1.1,,Removable Li-Po 1530 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Up to 5 h,Up to 250 h,,,QWERTY,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,,
mwg,MWg Atom Life,https://fdn2.gsmarena.com/vv/bigpic/mwg-atom-life.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,Handwriting recognition Stereo speakers,HSDPA 1900 / 2100,Pocket Office   Voice memo MP3/WMA/WMV/WAV/MP4 player Predictive text input,,,HSPA 3.6/0.384 Mbps,"2007, January",Discontinued,106 x 58 x 18 mm (4.17 x 2.28 x 0.71 in),145 g (5.11 oz),,Mini-SIM,,"TFT resistive touchscreen, 256K colors (65K effective)","2.7 inches, 22.6 cm2 (~36.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~148 ppi density)",Microsoft Windows Mobile 6 Professional,,Intel XScale PXA 270 624 MHz,,miniSD,"64MB RAM, 1GB ROM",2 MP,LED flash,Yes,VGA videocall camera,,,Yes,No,Wi-Fi 802.11b/g,1.2,No,,"Stereo FM radio, RDS",miniUSB,,Removable Li-Po 1530 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,Yes,,Up to 4 h,Up to 200 h,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,,
mwg,MWg UBiQUiO 503g,https://fdn2.gsmarena.com/vv/bigpic/mwg-503g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Videocall camera,HSDPA 850 / 1900 / 2100,MP3/AAC/MP4 player Pocket Office  Organizer Voice memo Predictive text input,,,HSPA 3.6/0.384 Mbps,"2007, April. Released 2007, July",Discontinued,123 x 65 x 17 mm (4.84 x 2.56 x 0.67 in),157 g (5.54 oz),,Mini-SIM,,"TFT resistive touchscreen, 256K colors (65K effective)","2.4 inches, 17.8 cm2 (~22.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",Microsoft Windows Mobile 6 Professional,,Intel XScale PXA 270 520 MHz,,microSD (dedicated slot),"96MB RAM, 192MB ROM","2 MP, AF",,Yes,,,,Yes,No,Wi-Fi 802.11b/g,"1.2, A2DP",No,,No,miniUSB 1.1,,Removable Li-Ion 1500 mAh battery,,"Black, Gray",,,,,,,,,,,,,,,,,,,,,,,,Up to 4 h,Up to 250 h,,,QWERTY,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,,
mwg,MWg Atom V,https://fdn2.gsmarena.com/vv/bigpic/atom-v.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Handwriting recognition,HSDPA 2100,No,,,HSPA 7.2/0.384 Mbps,"2008, March",Discontinued,116 x 59 x 15 mm (4.57 x 2.32 x 0.59 in),133 g (4.69 oz),,Mini-SIM,Pocket Office   Voice memo MP3/AAC/MP4 player Predictive text input,"TFT resistive touchscreen, 256K colors (65K effective)","2.8 inches, 24.3 cm2 (~35.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 6 Professional,,Intel XScale PXA 270 520 MHz,,microSDHC (dedicated slot),"64MB RAM, 256MB ROM",2 MP,LED flash,Yes,,,,"Yes, with stereo speakers",No,Wi-Fi 802.11b/g,"2.0, A2DP","Yes, SiRF Star III chipset",,"Stereo FM radio, RDS",miniUSB,,Removable Li-Po 1300 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,Yes,,Up to 3 h 30 min,Up to 150 h,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,,
mwg,MWg UBiQUiO 501,https://fdn2.gsmarena.com/vv/bigpic/mwg-501.jpg,GSM,GSM 900 / 1800 / 1900,No,,MP3/AAC player Pocket Office  Predictive text input Organizer Voice memo,,,,"2008, March",Discontinued,122 x 65 x 13.5 mm (4.80 x 2.56 x 0.53 in),120 g (4.23 oz),,Mini-SIM,,"TFT resistive touchscreen, 65K colors","2.5 inches, 19.4 cm2 (~24.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~160 ppi density)",Microsoft Windows Mobile 6 Professional,TI OMAP 750,200 MHz ARM926EJ-S,,miniSD,"64MB RAM, 128MB ROM",2 MP,,Yes,,,,Yes,No,Wi-Fi 802.11b/g,"1.2, A2DP",No,,No,miniUSB 1.1,,Removable Li-Ion 1250 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Class 10,No,QWERTY,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,,
