Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages,Clock,Alarm
tel_me_,Tel.Me. T939,https://fdn2.gsmarena.com/vv/bigpic/tmt939.gif,GSM,GSM 900 / 1800,No,,,,,"2004, Q1",Cancelled,,,,Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)",,"160 x 240 pixels, 3:2 ratio",Direct print functionality Pocket Office  MP3 player Photo editor,Microsoft Windows PocketPC 2003 Phone edition,,,,No,,,LED flash,Yes,"2 MP, AF",,,No,No,,No,No,No,,No,,,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,HTML,,,,,,,,,,,,,"Vibration; Polyphonic ringtones, composer",,,
tel_me_,Tel.Me. T918,https://fdn2.gsmarena.com/vv/bigpic/tmt918.gif,GSM,GSM 900 / 1800,No,,,,,2003,Discontinued,111 x 50 x 20.5 mm (4.37 x 1.97 x 0.81 in),125 g (4.41 oz),,Mini-SIM,"CSTN touchscreen, 65K colors",,128 x 160 pixels,"Built-in large speaker Audio Formats: SP-MIDI (type 0), I-Melody, Voice Memo",,,,,No,6MB,,,No,VGA,,,No,No,"Attachment Viewer (txt, doc, bmp, jpg, gif, mpg) Organizer",No,No,No,,No,Proprietary,,Removable Li-Ion 720 mAh battery,,,,,,,,,,,,,,,,,,,,,Up to 270 h,,Up to 2 h 30 min,,Yes,Class 10,No,,,"1000 entries, Photo call","20 received, dialed and missed calls","SMS, EMS, MMS, Email","3 - Pipemania, 4 Wins and Elimination",Yes,WAP 1.2.1,,,,,,,,,,,,,"Vibration; Polyphonic(16) ringtones, composer",,,
tel_me_,Tel.Me. T919i,https://fdn2.gsmarena.com/vv/bigpic/tmt919i.gif,GSM,GSM 900 / 1800 / 1900,Portrait and landscape mode,,,,,2003,Discontinued,126 x 56 x 24 mm (4.96 x 2.20 x 0.94 in),134 g (4.73 oz),,Mini-SIM,"CSTN resistive touchscreen, 32K colors",,"128 x 256 pixels, 18:9 ratio",No,,,,,MMC,6MB,,,No,VGA,,,Yes,No,"MPEG 4 Video camcorder MP3 player Attachment Viewer (txt, doc, bmp, jpg, gif) Predictive text input",No,No,No,,No,Proprietary,,Removable Li-Ion 1000 mAh battery,,,,,,,,,,,,,,,,,,,,,Up to 350 h,,Up to 3 h 30 min,,Yes,Class 10,No,,,"1000 entries, Photo call","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS, Email",3,Yes,WAP 1.2.1,,,,,,,,,,,,,"Vibration; Polyphonic ringtones, composer",,,
tel_me_,Tel.Me. T919,https://fdn2.gsmarena.com/vv/bigpic/tmt919.gif,GSM,GSM 900 / 1800,Portrait and landscape mode,,,,,2003,Discontinued,126 x 56 x 24 mm (4.96 x 2.20 x 0.94 in),115 g (4.06 oz),,Mini-SIM,"CSTN resistive touchscreen, 32K colors",,"256 x 128 pixels, 18:9 ratio",No,,,,,MMC,,,,No,CIF,,,Yes,No,"MP3 player Attachment Viewer (txt, doc, bmp, jpg, gif) Predictive text input Organizer",No,No,No,,No,Proprietary,,Removable Li-Ion 900 mAh battery,,,,,,,,,,,,,,,,,,,,,Up to 320 h,,Up to 3 h,,Yes,Yes,No,,,"1000 entries, Photo call","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS, Email",3,Yes,WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Polyphonic(16) ringtones, composer",,Yes,Yes
tel_me_,Tel.Me. T910,https://fdn2.gsmarena.com/vv/bigpic/tmt910.gif,GSM,GSM 900 / 1800,Screensaver,,,,,2002,Discontinued,109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in),80 g (2.82 oz),,Mini-SIM,"CSTN, 4096 colors",,"128 x 126 pixels, 1:1 ratio",No,,,,,No,,,,,,,,No,No,Predictive text input Organizer World clock Voice dial Voice memo User profiles Auto power on/off,No,No,No,,No,,,Removable Li-Ion 600 mAh battery,,,,,,,,,,,,,,,,,,,,,Up to 200 h,,Up to 3 h,,,Yes,No,,,Contact groups,"10 dialed, 10 received, 10 missed calls",SMS,2,No,WAP 1.1,,,,,,,,,,,,,Downloadable monophonic ringtones,,Yes,Yes
tel_me_,Tel.Me. T909c,https://fdn2.gsmarena.com/vv/bigpic/tmt909c.gif,GSM,GSM 900 / 1800,Blue backlight Screensaver,,,,,,Discontinued,129 x 44 x 18 mm (5.08 x 1.73 x 0.71 in),80 g (2.82 oz),,Mini-SIM,Monochrome graphic,,"112 x 64 pixels, 16:9 ratio",No,,,,,No,,,,,,,,No,No,Predictive text input Organizer World clock Voice dial Voice memo User profiles Auto power on/off,No,No,No,,No,,,Removable Li-Ion 600 mAh battery,,,,,,,,,,,,,,,,,,,,,Up to 200 h,,Up to 3 h,,,Yes,No,,,Contact groups,"10 dialed, 10 received, 10 missed calls",SMS,4,No,WAP 1.1,,,,,,,,,,,,,Downloadable monophonic ringtones,,Yes,Yes
tel_me_,Tel.Me. T909,https://fdn2.gsmarena.com/vv/bigpic/tmt909.gif,GSM,GSM 900 / 1800,Analog clock,,,,,,Discontinued,109 x 44 x 22 mm (4.29 x 1.73 x 0.87 in),95 g (3.35 oz),,Mini-SIM,Monochrome graphic,,3 lines,53 SMS templates,,,,,No,,,,,,,,No,No,Organizer World clock User profiles,No,No,No,,No,,,Removable Li-Ion 600 mAh battery,,"3 - Silver/ Grey, Grey/Silver, Silver/Blue",,,,,,,,,,,,,,,,,,,Up to 120 h,,Up to 3 h,,,No,No,,,Contact groups,"20 dialed, 20 received, 20 missed calls",SMS,7,No,,,,,,,,,,,,,,Downloadable monophonic ringtones,,Yes,Yes
