Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad
allview,Allview Soul X6 Xtreme,https://fdn2.gsmarena.com/vv/bigpic/allview-x6-xtr.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 5, 7, 8, 20, 38","HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat7 300/150 Mbps","2019, April","Available. Released 2019, April",157 x 74.3 x 8.9 mm (6.18 x 2.93 x 0.35 in),176.6 g (6.24 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm2 (~85.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Android 9.0 (Pie),Mediatek MT6771 Helio P70 (12nm),Octa-core (4x2.1 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Mali-G72 MP3,microSDXC (uses shared SIM slot),64GB 4GB RAM,eMMC 5.1,,"LED flash, HDR, panorama",1080p@30fps,Motorized pop-up 8 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 3450 mAh, non-removable","Fast charging 18W, 20% in 15 min (advertised) Wireless charging",Urban Violet,,About 360 EUR,,,,,"16 MP, f/1.8, PDAF 5 MP, f/2.4, (depth)",,,,Corning Gorilla Glass 5,,,,,,,,,,,,,,,0.97 W/kg (head),,,,,,,,,,,,,
allview,Allview P10 Pro,https://fdn2.gsmarena.com/vv/bigpic/allview-p10-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 20, 38","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, April","Available. Released 2019, April",161.5 x 76.5 x 8.8 mm (6.36 x 3.01 x 0.35 in),182 g (6.42 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~74.9% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~269 ppi density)",Android 8.1 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,,microSDXC,32GB 3GB RAM,eMMC 5.1,,"LED flash, HDR",1080p@30fps,8 MP,LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Li-Po 3000 mAh battery,,Dark Green,,,,,,,"13 MP, AF QVGA",,,,,,,,,,,,,,,,,,,1.38 W/kg (head),,,,,,,,,,,,,
allview,Allview P10 Max,https://fdn2.gsmarena.com/vv/bigpic/allview-p10-max.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 20, 38","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, April","Available. Released 2019, April",160.7 x 77.7 x 8.3 mm (6.33 x 3.06 x 0.33 in),172 g (6.07 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~74.2% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~179 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,,microSDXC,8GB 1GB RAM,eMMC 5.1,,"LED flash, HDR",1080p@30fps,"13 MP, AF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Li-Po 3200 mAh battery,,Blue Purple,,,,,,,,,13 MP,,,,,,,,,,,,,,,,,0.85 W/kg (head),,,,,,,,,,,,,
allview,Allview P10 Mini,https://fdn2.gsmarena.com/vv/bigpic/allview-p10-mini.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 20, 38","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, April","Available. Released 2019, April",144.2 x 72 x 9.9 mm (5.68 x 2.83 x 0.39 in),152.6 g (5.40 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 8.1 Oreo (Go edition),,Quad-core 1.3 GHz Cortex-A53,,microSDXC,8GB 1GB RAM,,,"LED flash, HDR",1080p@30fps,"8 MP, AF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,Li-Po 2400 mAh battery,,Black,,,,,,,,,2 MP,,,,,,,,,,,,,,,,,0.72 W/kg (head),,,,,,,,,,,,,
allview,Allview P10 Life,https://fdn2.gsmarena.com/vv/bigpic/allview-p10-life.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 20, 38","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, January","Available. Released 2019, January",149.4 x 71.9 x 9.4 mm (5.88 x 2.83 x 0.37 in),177.6 g (6.28 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.34 inches, 73.6 cm2 (~68.5% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~201 ppi density)",Android 8.1 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,,microSDXC,16GB 2GB RAM,eMMC 5.1,,"LED flash, HDR",1080p@30fps,"8 MP, AF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Po 2500 mAh battery,,Blue,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,0.80 W/kg (head),,,,,,,,,,,,,
allview,Allview A10 Lite 2019,https://fdn2.gsmarena.com/vv/bigpic/allview-10-lite-2019.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,"2018, October","Available. Released 2018, October",145.5 x 71.8 x 9.9 mm (5.73 x 2.83 x 0.39 in),152 g (5.36 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.34 inches, 73.6 cm2 (~70.4% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~201 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 1GB RAM,,,"LED flash, HDR",720p,"8 MP, AF",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Ion 2150 mAh battery,,"Black, Gold",,,,,,,,,2 MP,,,,,,,,,,,,,,,,,0.97 W/kg (head),,,,,,,,,,,,,
allview,Allview Allwatch Hybrid T,https://fdn2.gsmarena.com/vv/bigpic/allview-hybrid-t.jpg,No cellular connectivity,N/A,,,,"2018, December","Available. Released 2018, December",50.6 x 44 x 14.6 mm (1.99 x 1.73 x 0.57 in),88 g (3.10 oz),,No,LCD touchscreen,"1.22 inches, 4.8 cm2 (~21.6% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~278 ppi density)",,,,,No,,No,,,,,,,No,No,No,"4.2, A2DP, LE",No,No,No,"Accelerometer, heart rate","Li-Po 200 mAh, non-removable",,Black,,,,,,,,,,,,,No,No,,,,,,,Yes,Yes,"SMS, Email, IM",No,No,,,,,,,,,,,,,,
allview,Allview Allwatch Hybrid S,https://fdn2.gsmarena.com/vv/bigpic/allview-hybrid-s.jpg,No cellular connectivity,N/A,,,,"2018, December","Available. Released 2018, December",50.6 x 44 x 14.6 mm (1.99 x 1.73 x 0.57 in),88 g (3.10 oz),,No,LCD touchscreen,"1.22 inches, 4.8 cm2 (~21.6% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~278 ppi density)",,,,,No,,No,,,,,,,No,No,No,"4.2, A2DP, LE",No,No,No,"Accelerometer, heart rate","Li-Po 200 mAh, non-removable",,Dark Gray,,,,,,,,,,,,,No,No,,,,,,,Yes,Yes,"SMS, Email, IM",No,No,,,,,,,,,,,,,,
allview,Allview A10 Plus,https://fdn2.gsmarena.com/vv/bigpic/allview-a10-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,"2018, November","Available. Released 2018, November",151 x 71.8 x 9.6 mm (5.94 x 2.83 x 0.38 in),150 g (5.29 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.34 inches, 73.6 cm2 (~67.9% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~201 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 1GB RAM,,,"LED flash, HDR",720p,"8 MP, AF",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,Li-Ion 2200 mAh battery,,Gray,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,0.99 W/kg (head),,,,,,,,,,,,,
allview,Allview Soul X5 Style,https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x5-style.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 5, 7, 8, 20, 38, 39, 40, 41","HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat7 300/150 Mbps","2018, November","Available. Released 2018, November",157.2 x 76.3 x 8.1 mm (6.19 x 3.00 x 0.32 in),168 g (5.93 oz),,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.7 cm2 (~80.7% screen-to-body ratio)",720 x 1500 pixels (~268 ppi density),Android 8.1 (Oreo),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),32GB 3GB RAM,eMMC 5.1,,"LED flash, HDR",1080p@30fps,"8 MP, f/2.2",LED flash,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable",,"Blue, Gold",,About 220 EUR,,,,,"13 MP, AF 2 MP, (depth)",,,,Corning Gorilla Glass 3,,,,,,,,,,,,,,,1.21 W/kg (head),,,,,,,,,,,,,
