Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages,Clock,Alarm
t_mobile,T-Mobile Vivacity,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-vivacity.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer Voice memo/dial Predictive text input,HSDPA 900 / 2100,,,HSPA,"2011, November. Released 2011, November",Discontinued,115 x 58 x 10.5 mm (4.53 x 2.28 x 0.41 in),118 g (4.16 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.5 inches, 34.9 cm2 (~52.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)",,Android 2.3 (Gingerbread),,,,"microSDHC (dedicated slot), 2 GB included",512MB,,LED flash,Yes,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 mAh battery,,Black,,About 170 EUR,,,,,,,,,,,,,Yes,,,,Up to 200 h,,Up to 4 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile myTouch 4G Slide,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-4g-slide.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,T-Mobile TV MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer  Voice memo/dial/commands Predictive text input,HSDPA 1700 / 2100,,,HSPA 14.4/5.76 Mbps,"2011, June. Released 2011, July",Discontinued,122 x 66 x 14 mm (4.80 x 2.60 x 0.55 in),184 g (6.49 oz),,Mini-SIM,"S-LCD capacitive touchscreen, 16M colors","3.7 inches, 39.0 cm2 (~48.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)",,Android 2.3.4 (Gingerbread),,Dual-core 1.2 GHz Scorpion,Adreno 220,"microSDHC (dedicated slot), 8 GB included",4GB 768MB RAM,,"Dual-LED flash, HDR",1080p@30fps,"8 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","3.0, A2DP, EDR","Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1520 mAh battery,,"White, Black",,About 350 EUR,,,,,,,,,,,,,Yes,,,,Up to 300 h (2G) / Up to 240 h (3G),,Up to 9 h (2G) / Up to 7 h (3G),,,,,,QWERTY,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile Energy,https://fdn2.gsmarena.com/vv/bigpic/tmobile-energy.jpg,GSM,GSM 850 / 900 / 1800 / 1900,No,,,,,2011. Released 2011,Discontinued,116.5 x 60 x 12 mm (4.59 x 2.36 x 0.47 in),121 g (4.27 oz),,Mini-SIM,"TFT touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~52.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",SNS applications MP3/WAV/AAC+ player MP4/H.263 player Organizer Predictive text input,,,,,"microSD (dedicated slot), 2 GB included",,,,Yes,3.15 MP,,,Yes,Yes,,Wi-Fi 802.11 b/g,Yes,No,,FM radio,microUSB 2.0,,Removable Li-Ion battery,,Black,,,,,,,,,,,,,,,,,,,Up to 200 h,,Up to 4 h 30 min,,,Yes,Yes,,,"500 entries, Photocall","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,Yes,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile SpringBoard,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-springboard.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,T-Mobile TV MP4/H.264 player MP3/WAV/eAAC+ player Organizer Photo/video editor Document editor Predictive text input (Swype),HSDPA 850 / 1700 / 2100,,,HSPA 42.2/5.76 Mbps,"2011, October. Released 2011, December",Discontinued,190 x 129 x 10.4 mm (7.48 x 5.08 x 0.41 in),607.8 (1.34 lb),,Mini-SIM,"TFT capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~58.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,"Android 3.2 (Honeycomb), upgradable to 4.0 (Ice Cream Sandwich)",Qualcomm MSM8260 Snapdragon S3,Dual-core 1.2 GHz Scorpion,Adreno 220,microSDHC (dedicated slot),16GB,,,720p,"5 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP","Yes, with A-GPS",,No,2.0,"Accelerometer, compass",Non-removable Li-Po 7000 mAh battery,,Black,,About 350 EUR,,,,,,,,,,,,,1.3 MP,,,,Up to 288 h,,Up to 7 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile myTouch Q,https://fdn2.gsmarena.com/vv/bigpic/tmobile-mytouch-q.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,No,HSDPA 1700 / 2100,,,HSPA 42.2/5.76 Mbps,"2011, October. Released 2011, November",Discontinued,121 x 64 x 13 mm (4.76 x 2.52 x 0.51 in),160 g (5.64 oz),,Mini-SIM,"TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm2 (~47.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",T-Mobile TV MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer  Voice memo/dial/commands Predictive text input (Swype),Android 2.3 (Gingerbread),Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,"microSDHC (dedicated slot), 2 GB included",2GB 512MB RAM,,LED flash,720p@30fps,"5 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, DLNA, UMA, hotspot","3.0, A2DP, EDR","Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1500 mAh battery,,"Gray, Violet",,About 190 EUR,,,,,,,,,,,,,,,,,Up to 280 h,,Up to 3 h 20 min,,,,,,QWERTY,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile myTouch,https://fdn2.gsmarena.com/vv/bigpic/tmobile-mytouch.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,T-Mobile TV MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer  Voice memo/dial/commands Predictive text input (Swype),HSDPA 1700 / 2100,,,HSPA 42.2/5.76 Mbps,"2011, October. Released 2011, November",Discontinued,122 x 64 x 10 mm (4.80 x 2.52 x 0.39 in),108 g (5.64 oz),,Mini-SIM,"AMOLED capacitive touchscreen, 16M colors","3.8 inches, 41.1 cm2 (~52.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~246 ppi density)",,Android 2.3 (Gingerbread),Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,"microSDHC (dedicated slot), 2 GB included",2GB 512MB RAM,,,720p@30fps,"5 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, DLNA, UMA, hotspot","3.0, A2DP, EDR","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 mAh battery,,"Black, White",,About 190 EUR,,,,,,,,,,,,,Yes,,,,Up to 312 h,,Up to 4 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_mobile,T-Mobile G-Slate,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-g-slate-3d.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HDMI port MP4/DivX/XviD/H.264/WMV player MP3/WAV/WMA/eAAC+ player Document viewer/editor Organizer Voice memo Predictive text input,HSDPA 1700 / 2100,,,HSPA 10.2/2 Mbps,"2011, February. Released 2011, April",Discontinued,243.8 x 150 x 12.7 mm (9.60 x 5.91 x 0.5 in),621 g (1.37 lb),,Mini-SIM,"3D LCD capacitive touchscreen, 16M colors","8.9 inches, 225.5 cm2 (~61.7% screen-to-body ratio)","768 x 1280 pixels, 5:3 ratio (~168 ppi density)",,Android 3.0 (Honeycomb),Nvidia Tegra 2 T20,Dual-core 1.0 GHz Cortex-A9,ULP GeForce,microSDHC (dedicated slot),32GB,,LED flash,"1080p@24fps (2D), 720@30fps (3D)","5 MP, AF 5 MP, AF",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",Non-removable Li-Ion battery,,Black,,About 710 EUR,,,,,,,,,,,,,2 MP,,,,Up to 273 h,,Up to 9 h 20 min,,,,,,,,,,,,"HTML, Adobe Flash",,,,,,,,,,,,,,,,
t_mobile,T-Mobile Move,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-move.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,No,HSDPA 900 / 2100,,,HSPA 7.2/2 Mbps,"2011, June. Released 2011, Q2",Discontinued,110 x 57.4 x 12.5 mm (4.33 x 2.26 x 0.49 in),120 g (4.23 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~38.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",MP3/AAC+/WAV/WMA player MP4/H.264 player Organizer Document viewer Voice memo/dial Predictive text input,"Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",,600 MHz,,microSDHC (dedicated slot),150MB 512MB RAM,,,Yes,2 MP,,,Yes,Yes,,Wi-Fi 802.11 b/g,"3.0, A2DP","Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1300 mAh battery,,"Red, Black, Pink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTML,,,,,,,,,,,,,,,,
t_mobile,T-Mobile G2x,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-g2x.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,T-Mobile TV NVIDIA Tegra Zone  T-Mobile Video Chat HDMI port DivX/Xvid/MP4/H.264/WMV player MP3/WAV/WMA/eAAC+ player Document editor Organizer Voice memo/dial/commands Predictive text input (Swype),HSDPA 1700 / 2100,,,HSPA 21.1/5.76 Mbps,"2011, March. Released 2011, April",Discontinued,124.5 x 63.5 x 10.2 mm (4.90 x 2.5 x 0.40 in),141.8 g (4.97 oz),,Mini-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~57.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",Nvidia Tegra 2 AP20H,Dual-core 1.0 GHz Cortex-A9,ULP GeForce,microSDHC (dedicated slot),8GB 512MB RAM,,LED flash,"1080p@24fps, 720p@30fps","8 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","2.1, A2DP","Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 1500 mAh battery,,Dark Ale,,About 350 EUR,,,,,,,,,,,,,1.3 MP,,,,Up to 400 h,,Up to 7 h 40 min,,,,,,,,,,,,"HTML, Adobe Flash",,,,,,,,,,,,,,,,
t_mobile,T-Mobile Sidekick 4G,https://fdn2.gsmarena.com/vv/bigpic/t-mobile-sidekick-4g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 2100,HSDPA 1700 / 2100,,,HSPA 7.2/5.76 Mbps,"2011, March. Released 2011, April 20",Discontinued,127 x 61 x 15 mm (5.0 x 2.40 x 0.59 in),162 g (5.71 oz),,Mini-SIM,"TFT capacitive touchscreen, 16M colors","3.5 inches, 34.9 cm2 (~45.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)",Optical trackpad,Android 2.2 (Froyo),Hummingbird,1.0 GHz Cortex-A8,PowerVR SGX540,"microSDHC (dedicated slot), 2 GB included",1GB 512MB RAM,,,480p@30fps,"3.15 MP, AF",,,Yes,Yes,"T-Mobile TV MP4/H.264 player MP3/WAV/eAAC+ player Organizer ThinkFree Office document editor , PDF viewer Voice memo Predictive text input","Wi-Fi 802.11 b/g/n, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS",,Nо,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1500 mAh battery,,"Matte black, Pearl magenta",,About 310 EUR,,,,,,,,,,,,,VGA,,,,Up to 456 h,0.34 W/kg (head)     0.96 W/kg (body),Up to 6 h 30 min,,,,,,QWERTY,,,,,,"HTML, Adobe Flash",,,,,,,,,,,,,,,,
