Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Stand-by,Talk time,Colors,SAR EU,Features,Single_1,Video_1,Music play,3G bands,Speed,Price,Keyboard,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1,Browser
spice,Spice Stellar 509 (Mi-509),https://fdn2.gsmarena.com/vv/bigpic/spice-509.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2014, May. Released 2014, May",Discontinued,145 x 79 x 9.5 mm (5.71 x 3.11 x 0.37 in),120 g (4.23 oz),Mini-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~60.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",720p@30fps,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Li-Ion 2000 mAh battery,Up to 170 h,Up to 4 h 30 min,White,0.92 W/kg (head),"LED flash, panorama, HDR",2 MP,,Up to 30 h,HSDPA 2100,HSPA 21.1/5.76 Mbps,,,,,,,,,,
spice,Spice Stellar 600 (Mi-600),https://fdn2.gsmarena.com/vv/bigpic/spice-600.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,,"2014, July. Released 2014, July",Discontinued,,189 g (6.67 oz),Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2","540 x 960 pixels, 16:9 ratio (~184 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,4GB 1GB RAM,"8 MP, AF",720p@30fps,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Li-Po 2500 mAh battery,Up to 100 h,Up to 18 h,White,0.44 W/kg (head),"LED flash, panorama, HDR",3.15 MP,,Up to 35 h,HSDPA 2100,HSPA 21.1/5.76 Mbps,,,,,,,,,,
spice,Spice Stellar 526 (Mi-526),https://fdn2.gsmarena.com/vv/bigpic/spice-526.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,,"2014, July. Released 2014, July",Discontinued,143.6 x 71.7 x 8.3 mm (5.65 x 2.82 x 0.33 in),210 g (7.41 oz),Dual SIM (Mini-SIM/ Micro-SIM),"Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6591,Hexa-core 1.5 GHz Cortex-A7,Mali-450MP4,microSDHC,8GB 1GB RAM,"8 MP, AF",1080p@30fps,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,Li-Po 2500 mAh battery,Up to 280 h,Up to 9 h,"White, Silver",0.44 W/kg (head),"LED flash, panorama, HDR",3.15 MP,,Up to 35 h,HSDPA 2100,HSPA 21.1/5.76 Mbps,,,,,,,,,,
spice,Spice Stellar 520 (Mi-520),https://fdn2.gsmarena.com/vv/bigpic/spice-520.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2014, July. Released 2014, July",Discontinued,145 x 72.8 x 8.5 mm (5.71 x 2.87 x 0.33 in),156 g (5.50 oz),Mini-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Li-Ion 2000 mAh battery,Up to 200 h,Up to 4 h,Red/Yellow,0.82 W/kg (head),"LED flash, panorama, HDR",2 MP,,Up to 20 h,HSDPA 2100,HSPA 21.1/5.76 Mbps,,,,,,,,,,
spice,Spice Stellar 520n (Mi-520n),https://fdn2.gsmarena.com/vv/bigpic/spice-520n.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2014, December. Released 2014, December",Discontinued,145 x 72.8 x 8.5 mm (5.71 x 2.87 x 0.33 in),156 g (5.50 oz),Mini-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, AF",Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Li-Ion 2000 mAh battery,Up to 200 h,Up to 4 h,Red/Yellow,0.82 W/kg (head),"LED flash, panorama, HDR",2 MP,,Up to 20 h,HSDPA 2100,HSPA 21.1/5.76 Mbps,,,,,,,,,,
spice,Spice Stellar 440 (Mi-440),https://fdn2.gsmarena.com/vv/bigpic/spice-440.jpg,GSM / HSPA,GSM 900 / 1800,,,"2014, December. Released 2014, December",Discontinued,127.6 x 63.8 x 11.5 mm (5.02 x 2.51 x 0.45 in),119 g (4.20 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~55.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),4GB 512MB RAM,3.15 MP,480p@25fps,,"Yes, dual speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,Li-Ion 1400 mAh battery,Up to 72 h,Up to 8 h,Gray,0.58 W/kg (head),LED flash,1.3 MP,,Up to 15 h,HSDPA 2100,HSPA 21.1/5.76 Mbps,,,,,,,,,,
spice,Spice Stellar 470 (Mi-470),https://fdn2.gsmarena.com/vv/bigpic/spice-470.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,,"2014, October. Released 2014, October",Discontinued,137.8 x 68.6 x 7.9 mm (5.43 x 2.70 x 0.31 in),140 g (4.94 oz),Dual SIM (Mini-SIM/ Micro-SIM),"Capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~64.4% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,"8 MP, AF",1080p@30fps,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,Li-Ion 1500 mAh battery,Up to 120 h,Up to 4 h,"Black, Blue",0.89 W/kg (head),"LED flash, panorama, HDR",3.2 MP,,Up to 22 h,HSDPA 2100,HSPA 21.1/5.76 Mbps,,,,,,,,,,
spice,Spice Mi-449 3G,https://fdn2.gsmarena.com/vv/bigpic/Mi-449-3G.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,,2014. Released 2014,Discontinued,134.5 x 69.5 x 8.7 mm (5.30 x 2.74 x 0.34 in),156 g (5.50 oz),Dual SIM,Capacitive touchscreen,", -","480 x 854 pixels, 16:9 ratio",Android 4.4 (KitKat),,,,microSDHC,,3.15 MP,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,A-GPS only,FM radio,microUSB,Accelerometer,,Li-Ion 1450 mAh battery,Up to 60 h,Up to 5 h 30 min,"White, Gray",,,1.3 MP,,,HSDPA 2100,HSPA,,,,,,,,,,
spice,Spice Mi-451 3G,https://fdn2.gsmarena.com/vv/bigpic/Mi-451-3G.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,,2014. Released 2014,Discontinued,134.5 x 69.5 x 8.7 mm (5.30 x 2.74 x 0.34 in),156 g (5.50 oz),Dual SIM,Capacitive touchscreen,", -","480 x 854 pixels, 16:9 ratio",Android 4.4 (KitKat),,,,microSDHC,,3.15 MP,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,A-GPS only,FM radio,microUSB,Accelerometer,,Li-Ion 1450 mAh battery,Up to 60 h,Up to 5 h 30 min,"White, Gray",,,1.3 MP,,,HSDPA 2100,HSPA,,,,,,,,,,
spice,Spice Mi-498 Dream Uno,https://fdn2.gsmarena.com/vv/bigpic/spice-498.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2014, September. Released 2014, September",Discontinued,132 x 67 x 9.2 mm (5.20 x 2.64 x 0.36 in),107 g (3.77 oz),Dual SIM,Capacitive touchscreen,"4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","Android 4.4.4 (KitKat), upgradable to 5.1.1 (Lollipop), Android One",Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,4GB 1GB RAM,"5 MP, AF",Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.1,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,"Li-Ion 1700 mAh, removable",Up to 160 h,Up to 17 h,"Black, White",,LED flash,2 MP,,,HSDPA 850 / 2100,HSPA 21.1/5.76 Mbps,About 90 EUR,,,,,,,,,
spice,Spice Mi-506 Stellar Mettle Icon,https://fdn2.gsmarena.com/vv/bigpic/spice-506.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,,"2014, March. Released 2014, March",Discontinued,145 x 72.9 x 9.6 mm (5.71 x 2.87 x 0.38 in),177 g (6.24 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"5.0 inches, 68.9 cm2 (~65.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.2 (Jelly Bean),,,,microSDHC,,8 MP,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",FM radio,microUSB,Accelerometer,,"Li-Ion 1800 mAh, removable",Up to 200 h,Up to 7 h 30 min,White/Silver,,LED flash,1.3 MP,,,HSDPA 2100,HSPA,About 80 EUR,,,,,,,,,
spice,Spice Mi-356 Smart Flo Mettle 3.5X,https://fdn2.gsmarena.com/vv/bigpic/spice-356.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2014, January. Released 2014, January",Discontinued,119.9 x 63 x 11.5 mm (4.72 x 2.48 x 0.45 in),112 g (3.95 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"3.5 inches, 36.5 cm2 (~48.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.2 (Jelly Bean),,,,microSDHC,,2 MP,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,A-GPS only,FM radio,microUSB,Accelerometer,,Li-Ion 1500 mAh battery,Up to 120 h,Up to 7 h 30 min,Silver,,,1.3 MP,,,,,About 40 EUR,,,,,,,,,
spice,Spice Mi-426 Smart Flo Mettle 4.0X,https://fdn2.gsmarena.com/vv/bigpic/spice-426.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2014, January. Released 2014, January",Discontinued,119.9 x 58 x 10.8 mm (4.72 x 2.28 x 0.43 in),122 g (4.30 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~65.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.2 (Jelly Bean),,,,microSDHC,,2 MP,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,"Yes, with A-GPS",FM radio,microUSB,Accelerometer,,Li-Ion 1400 mAh battery,Up to 250 h,Up to 6 h,Silver,,,1.3 MP,,,,,About 50 EUR,,,,,,,,,
spice,Spice Mi-438 Stellar Glide,https://fdn2.gsmarena.com/vv/bigpic/spice-438.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,,"2014, April. Released 2014, June",Discontinued,145 x 79 x 9.5 mm (5.71 x 3.11 x 0.37 in),155 g (5.47 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~39.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.2 (Jelly Bean),,,,microSDHC,,2 MP,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",FM radio,microUSB,Accelerometer,,Li-Ion 1350 mAh battery,Up to 170 h,Up to 4 h 30 min,Black/White,,,1.3 MP,,,HSDPA 2100,HSPA,About 60 EUR,,,,,,,,,
spice,Spice Mi-504 Smart Flo Mettle 5X,https://fdn2.gsmarena.com/vv/bigpic/spice-504.jpg,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2014, February. Released 2014, February",Discontinued,148.5 x 78.9 x 10.4 mm (5.85 x 3.11 x 0.41 in),190 g (6.70 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"5.0 inches, 68.9 cm2 (~58.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.2 (Jelly Bean),,,,microSDHC,,8 MP,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.0,"Yes, with A-GPS",FM radio,microUSB,Accelerometer,,"Li-Ion 1800 mAh, removable",,Up to 5 h 30 min,White,,LED flash,1.3 MP,,,,,About 80 EUR,,,,,,,,,
spice,Spice Mi-451 Smartflo Poise,https://fdn2.gsmarena.com/vv/bigpic/spice-451.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 32,"2014, February. Released 2014, June",Discontinued,134.5 x 69.5 x 8.7 mm (5.30 x 2.74 x 0.34 in),156 g (5.50 oz),Dual SIM (Mini-SIM),IPS LCD capacitive touchscreen,"4.5 inches, 55.8 cm2 (~59.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 4.2 (Jelly Bean),,,,microSDHC,,3.15 MP,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",A-GPS only,FM radio,microUSB,Accelerometer,,"Li-Ion 1450 mAh, removable",,Up to 5 h 30 min,White,,,1.3 MP,,,,,About 60 EUR,,,,,,,,,
spice,Spice Mi-496 Spice Coolpad 2,https://fdn2.gsmarena.com/vv/bigpic/spice-coolpad-2-mi-496.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,,,"2013, November. Released 2013, November",Discontinued,-,-,Dual SIM,TFT capacitive touchscreen,"4.5 inches, 55.8 cm2","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.1 (Jelly Bean),Mediatek MT6589 (28 nm),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,microSDHC (dedicated slot),4GB 1GB RAM,"5 MP, AF",Yes,No,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,A-GPS,FM radio,microUSB,"Accelerometer, proximity",,Li-Ion 1700 mAh battery,,,White,,LED flash,,,,HSDPA 2100,HSPA,About 110 EUR,,,,,,,,,
