Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Type_1,Stand-by,Talk time,Colors,SAR EU,Features,Single_1,Video_1,Music play,3G bands,Speed,Price,Keyboard,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1,Browser,Protection,Camera,Loudspeaker_1,Audio quality,Display,Battery life,Models,Infrared port,Alert types,Clock,Alarm,4G bands,5G bands,Build,Triple,Features_1,NFC,Charging,Performance,Quad,256GB 8GB RAM,128GB 4GB RAM,64GB 3GB RAM,128GB 6GB RAM,64GB 6GB RAM,Dual,64GB 4GB RAM,32GB 3GB RAM,Languages
siemens,Siemens C72,https://fdn2.gsmarena.com/vv/bigpic/siemens-c72.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, August",Discontinued,105 x 47 x 18 mm (4.13 x 1.85 x 0.71 in),86 g (3.03 oz),Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,VGA,Yes,Download assistant for logos,No,No,No,No,No,No,Proprietary,,No,Removable Li-Ion 750 mAh battery,Up to 300 h,Up to 5 h,Liquid Silver,,,,,,,,,,Yes,"100 received, 100 dialed and 100 missed calls","SMS, EMS, MMS, Email, Instant Messaging",2,"Yes, MIDP 2.0",,Predictive text input Stopwatch Organizer,WAP 2.0/xHTML,,,,,,,,Yes,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
siemens,Siemens S75,https://fdn2.gsmarena.com/vv/bigpic/siemens-s75.gif,GSM,GSM 900 / 1800 / 1900,Class 10,Yes,"2005, Q2",Discontinued,"103 x 47 x 18.5 mm, 84 cc (4.06 x 1.85 x 0.73 in)",99 g (3.49 oz),Mini-SIM,"TFT, 256K colors","1.9 inches, 28 x 38 mm, 11.2 cm2 (~23.1% screen-to-body ratio)","132 x 176 pixels, 4:3 ratio (~116 ppi density)",,,,,"RS-MMC, up to 1 GB, 128 MB included",20MB,1.3 MP,Yes,100 short messages,No,No,No,1.2,No,No,Proprietary,,No,Removable Li-Ion 820 mAh battery,Up to 300 h,Up to 5 h,"Piano Black, Zirconia",,LED flash,,,,,,,,"1000 x 43 fields, Photo call","100 dialed, 100 received, 100 missed calls","SMS, MMS, EMail, Instant Messaging",Yes + downloadable,"Yes, MIDP 2.0",,Push to Talk MP3/AAC/MP4 player Predictive text input Organizer SyncML Voice memo,WAP 2.0/xHTML,,,,,,,,Yes,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,,,,,,,,,,,,,,,,,,,
siemens,Siemens SL75,https://fdn2.gsmarena.com/vv/bigpic/siemens-sl75.gif,GSM,GSM 900 / 1800 / 1900,Class 10,Yes,"2005, Q2",Discontinued,"92 x 48 x 23 mm, 78 cc (3.62 x 1.89 x 0.91 in)",99 g (3.49 oz),Mini-SIM,"TFT, 256K colors",,"132 x 176 pixels, 4:3 ratio",,,,,No,52MB,1.3 MP,Yes,No,No,No,No,1.2,No,No,Proprietary,,MP3/AAC/MP4 player Predictive text input Organizer Voice memo,Removable Li-Ion 700 mAh battery,Up to 300 h,Up to 5 h,"Pure Silver, Polar White, Onyx Black",,LED flash,,,,,,,,"1000 x 23 fields, Photo call","100 dialed, 100 received, 100 missed calls","SMS, MMS, Email, Instant Messaging","SeaBattle, Wappo 2, Golf + downloadable","Yes, MIDP 2.0",,,WAP 2.0/xHTML,,,,,,,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,,,,,,,,,,,,,,,,,,,
siemens,Siemens C75,https://fdn2.gsmarena.com/vv/bigpic/siemens-c75.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, May",Discontinued,103 x 44 x 17 mm (4.06 x 1.73 x 0.67 in),85 g (3.00 oz),Mini-SIM,"TFT, 65K colors",,"132 x 176 pixels, 9 lines, 4:3 ratio",,,,,No,10MB,VGA,Yes,5-way joystick Download assistant for logos,Yes,No,No,No,No,No,Proprietary,,100 short messages,Removable Li-Ion 750 mAh battery,Up to 300 h,Up to 5 h 30 min,Palladium and Light Silver,,,,,,,,,,"1000 x 20 fields, Photo call","100 received, 100 dialed and 100 missed calls","SMS, EMS, MMS, Email, Instant Messaging",Yes,Yes,,Predictive text input Stopwatch Organizer Voice memo Clip-it covers User profiles SyncML,WAP 2.0/xHTML,,,,,,,,Yes,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
siemens,Siemens SP65,https://fdn2.gsmarena.com/vv/bigpic/sisp65.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, March",Discontinued,"109 x 48 x 18 mm, 85 cc (4.29 x 1.89 x 0.71 in)",98 g (3.46 oz),Mini-SIM,"TFT, 65K colors","2.1 inches, 32 x 42 mm, 13.7 cm2 (~26.1% screen-to-body ratio)","132 x 176 pixels, 9 lines, 4:3 ratio (~105 ppi density)",,,,,RS-MMC,,,,Download assistant for logos,Yes,No,No,1.2,No,No,Proprietary,,No,Removable Li-Ion 750 mAh battery,Up to 250 h,Up to 5 h,"Steel black, Bordeaux",,,,,,,,,,1000 x 20 fields,"100 dialed, 100 received, 100 missed calls","SMS, EMS, MMS, Email, Instant messaging",Yes + downloadable,"Yes, MIDP 2.0",,Predictive text input Organizer Stopwatch Reminder list Voice memo SyncML,WAP 2.0/xHTML,,,,,,,,Yes,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
siemens,Siemens SXG75,https://fdn2.gsmarena.com/vv/bigpic/siemens-sxg75.gif,GSM / UMTS,GSM 900 / 1800 / 1900,,,"2005, Q1",Discontinued,"111.5 x 53 x 20 mm, 108 cc (4.39 x 2.09 x 0.79 in)",134 g (4.73 oz),Mini-SIM,"TFT, 256K colors","2.2 inches, 33 x 45 mm, 15.0 cm2 (~25.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,RS-MMC,128MB,2 MP,Yes,64 MB free memory,Yes,No,No,1.1,Yes,"Stereo FM radio, RDS",Proprietary,,CIF videocall camera,Removable Li-Ion 1000 mAh battery,Up to 400 h,Up to 6 h,"Metallic White, Metallic Black",,,,,,UMTS 2100,"Yes, 384 kbps",,,250 entries,"10 dialed, 10 received, 10 missed calls","SMS, MMS, EMail, Instant Messaging",Yes + downloadable,"Yes, MIDP 2.0",,Predictive text input Organizer Infrared transfer of data between compatible phones Xpress-on covers Profiles,WAP 2.0/xHTML,,,,,,,,Yes,"Vibration; Downloadable polyphonic ringtones, composer",,,,,,,,,,,,,,,,,,,,
siemens,Siemens M75,https://fdn2.gsmarena.com/vv/bigpic/siemens-m75.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, Q1",Discontinued,"110.5 x 51.5 x 20.8 mm, 104 cc (4.35 x 2.03 x 0.82 in)",110 g (3.88 oz),Mini-SIM,"TFT, 256K colors","1.9 inches, 28 x 38 mm, 11.2 cm2 (~19.6% screen-to-body ratio)","132 x 176 pixels, 4:3 ratio (~116 ppi density)",,,,,"RS-MMC, 32 MB included",14MB,1.3 MP,Yes,"Dust, shock and splash resistant Metal frame",No,No,No,1.2,No,No,Proprietary,,No,Removable Li-Ion 750 mAh battery,Up to 250 h,Up to 5 h,"Safari Green, Volcano Black",,,,,,,,,,"1000 x 20 fields, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, EMail",Yes + downloadable,"Yes, MIDP 2.0",,MP3/AAC player Video player Organizer Voice memo Predictive text input,WAP 2.0/xHTML,,,,,,,,Yes,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,,,,,,,,,,,,,,,,,,,
siemens,Siemens CX75,https://fdn2.gsmarena.com/vv/bigpic/siemens-cx75.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, Q1",Discontinued,"112 x 48 x 19 mm, 90 cc (4.41 x 1.89 x 0.75 in)",98 g (3.46 oz),Mini-SIM,"TFT, 256K colors","1.9 inches, 28 x 38 mm, 11.2 cm2 (~20.8% screen-to-body ratio)","132 x 176 pixels, 4:3 ratio (~116 ppi density)",,,,,RS-MMC,14MB,1.3 MP,QCIF,No,Yes,No,No,1.2,No,No,Proprietary,,Push and Talk MP3/AAC player Predictive text input Organizer SyncML,Removable Li-Ion 750 mAh battery,Up to 250 h,Up to 5 h,"Titan grey, Sand silver",,,,,,,,,,"1000 x 20 fields, Photo call","10 dialed, 10 received, 10 missed calls","SMS, MMS, EMail, Instant Messaging",Yes + downloadable,"Yes, MIDP 2.0",,,WAP 2.0/xHTML,,,,,,,,Yes,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,
siemens,Siemens CF75,https://fdn2.gsmarena.com/vv/bigpic/siemens-cf75.gif,GSM,GSM 900 / 1800 / 1900,Class 10,Yes,"2005, Q1",Discontinued,"94 x 47 x 22 mm, 80 cc (3.70 x 1.85 x 0.87 in)",91 g (3.21 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,,,,,No,10MB,VGA,Yes,"Second external 4K colors display, CSTN (96 x 64 pixels) 5-way navigation key",Yes,No,No,No,No,No,Proprietary,,No,Removable Li-Ion 600 mAh battery,Up to 250 h,Up to 2 h 30 min,"Ocean blue, Pearl black",,,,,,,,,,"1000 x 20 fields, Photo call","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS, EMail",Yes + downloadable,"Yes, MIDP 2.0",,Push to talk Media player Predictive text input Organizer SyncML Voice memo,WAP 2.0/xHTML,,,,,,,,Yes,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
siemens,Siemens CL75,https://fdn2.gsmarena.com/vv/bigpic/siemens-cl75.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, Q1",Discontinued,"87 x 44 x 23 mm, 74 cc (3.43 x 1.73 x 0.91 in)",90 g (3.17 oz),Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,,,,,No,11MB,VGA,Yes,"Second external 65K colors display, CSTN (96 x 64 pixels)",No,No,No,No,No,No,Proprietary,,100 short messages,Removable Li-Ion 780 mAh battery,Up to 220 h,Up to 3 h,"Silk Flower Red,  Pin Striped Black",,,,,,,,,,"500 x 20 fields, Photo call","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS, Instant Messaging","2- Angels&Clouds, C’est La Vie + downloadable","Yes, MIDP 1.0",,Push to talk Predictive text input Organizer Voice memo,WAP 2.0/xHTML,,,,,,,,Yes,Vibration; Downloadable polyphonic ringtones,,,,,,,,,,,,,,,,,,,,
