Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM,5G bands,Triple_1,256GB 8GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,64GB 6GB RAM,128GB 6GB RAM,512GB 8GB RAM,32GB 4GB RAM 
blu,BLU R2,https://fdn2.gsmarena.com/vv/bigpic/blu-r2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2017, July","Available. Released 2017, July",150.3 x 74.3 x 9.6 mm (5.92 x 2.93 x 0.38 in),156 g (5.50 oz),,Dual SIM (Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~66.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 1GB RAM,,,Dual-LED dual-tone flash,1080p@30fps,8 MP,dual-LED dual-tone flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 3000 mAh, non-removable",,"Black, Gold, Rose Gold, Silver",,,,,,,,,8 MP,,,,,,,,,Up to 725 h (2G) / Up to 625 h (3G),Up to 26 h (2G) / Up to 16 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Tank Xtreme Pro,https://fdn2.gsmarena.com/vv/bigpic/blu-tep.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900,"2, 4, 7, 12, 17","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, July","Available. Released 2017, July",146 x 74.8 x 13.9 mm (5.75 x 2.94 x 0.55 in),206 g (7.27 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~63.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.5 GHz Cortex-A53,Mali-T720,microSDXC (dedicated slot),16GB 2GB RAM,IP68 dust/water resistant (up to 1.5m for 30 mins),,LED flash,720p@30fps,8 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 4300 mAh, non-removable",,"Black, Blue, Green, Red",,,,,eMMC 5.0,,,,5 MP,,,,,,,,,Up to 750 h (2G) / Up to 700 h (3G),Up to 48 h (2G) / Up to 40 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Studio J1,https://fdn2.gsmarena.com/vv/bigpic/blu-sj1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2017, June","Available. Released 2017, June",121.5 x 62.5 x 10.3 mm (4.78 x 2.46 x 0.41 in),135 g (4.76 oz),,Dual SIM (Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~60.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6570 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,8GB 512MB RAM,,,LED flash,720p@30fps,5 MP,LED,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,Accelerometer,"Li-Po 1350 mAh, removable",,"Black, Blue, White",,,,,,,,,2 MP,,,,,,,,,Up to 450 h (2G) / Up to 400 h (3G),Up to 17 h (2G) / Up to 13 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Grand X LTE,https://fdn2.gsmarena.com/vv/bigpic/blu-gxlte.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 7, 12, 17, 28","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, June","Available. Released 2017, June",147.2 x 72 x 8.9 mm (5.80 x 2.83 x 0.35 in),168 g (5.93 oz),,"Dual SIM (Micro-SIM/Nano SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC,8GB 1GB RAM,eMMC 5.0,,LED flash,720p@30fps,"8 MP, 1/4.0""",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2400 mAh, non-removable",,"Black, Silver, Gold, Rose Gold",,,,,,,,,5 MP,,,,,,,,,Up to 600 h (2G) / Up to 550 h (3G),Up to 20 h (2G) / Up to 15 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Grand XL,https://fdn2.gsmarena.com/vv/bigpic/blu-gxl.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100 - G150Q,,HSPA 21.1/5.76 Mbps,"2017, June","Available. Released 2017, June",157.5 x 78.6 x 9.1 mm (6.20 x 3.09 x 0.36 in),187 g (6.60 oz),,Dual SIM (Nano-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~67.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 1GB RAM,HSDPA 850 / 900 / 1900 / 2100 - G150EQ,,LED flash,1080p@30fps,"8 MP, AF",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2650 mAh, non-removable",,"Black, Gold, Rose Gold, Silver",,,,,,,,,5 MP,,,,,,,,,Up to 700 h (2G) / Up to 650 h (3G),Up to 22 h (2G) / Up to 16 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Studio J2,https://fdn2.gsmarena.com/vv/bigpic/blu-st-j2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2017, May","Available. Released 2017, May",144.9 x 72.9 x 10.4 mm (5.70 x 2.87 x 0.41 in),143 g (5.04 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6570 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,8GB 512MB RAM,,,LED flash,720p@30fps,5 MP,LED,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,Accelerometer,"Li-Po 2000 mAh, removable",,"Black, Gold, Rose Gold",,,,,,,,,2 MP,,,,,,,,,Up to 650 h (2G) / Up to 550 h (3G),Up to 24 h (2G) / Up to 12 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Studio Mega,https://fdn2.gsmarena.com/vv/bigpic/blu-st-mg.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2017, June","Available. Released 2017, June",166.2 x 83.9 x 9.5 mm (6.54 x 3.30 x 0.37 in),196 g (6.91 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~71.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 1GB RAM,,,LED flash,1080p@30fps,"8 MP, 1/4.0"", AF",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2500 mAh, removable",,"Black, Gold, Rose Gold",Studio Mega,,,,,,,,5 MP,,,,,,,,,Up to 750 h (2G) / Up to 625 h (3G),Up to 22 h (2G) / Up to 16 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU R1 Plus,https://fdn2.gsmarena.com/vv/bigpic/blu-r1-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100,"2, 4, 7, 12, 17","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, April","Available. Released 2017, April",153 x 76.6 x 10.5 mm (6.02 x 3.02 x 0.41 in),191 g (6.74 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC,"16GB 2GB RAM, 32GB 3GB RAM",eMMC 5.0,,"LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0, 1/4.0"", 1.12µm, PDAF",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, proximity","Li-Po 4000 mAh, non-removable",,Black,,,,,,,,,5 MP,,,,,,,,,Up to 750 h (2G) / Up to 650 h (3G),Up to 30 h (2G) / Up to 22 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Studio Selfie LTE,https://fdn2.gsmarena.com/vv/bigpic/blu-ss-lte.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 7, 12, 17, 20","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, March","Available. Released 2017, March",142.7 x 72.9 x 8.8 mm (5.62 x 2.87 x 0.35 in),155 g (5.47 oz),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 5.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSDXC (dedicated slot),8GB 1GB RAM,eMMC 4.5,,LED flash,720p@30fps,"5 MP, AF",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2000 mAh, removable",,"Black, White",,,,,,,,,5 MP,,,,,,,,,Up to 600 h (2G) / Up to 500 h (3G),Up to 24 h (2G) / Up to 14 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Life One X2 Mini,https://fdn2.gsmarena.com/vv/bigpic/blu-life-one-x2-mini.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100,"2, 4, 7, 12, 17","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, January","Available. Released 2017, January",142 x 69.6 x 8.7 mm (5.59 x 2.74 x 0.34 in),152 g (5.36 oz),,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC,64GB 4GB RAM,eMMC 5.1,,"LED flash, panorama, HDR",1080p@30fps,"13 MP, PDAF",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Po 3000 mAh, non-removable",,"Gray, Gold, Rose Gold",,About 170 EUR,,,,,,,8 MP,,Corning Gorilla Glass 3,,,,,,,Up to 725 h (2G) / Up to 625 h (3G),Up to 26 h (2G) / Up to 16 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Dash L3,https://fdn2.gsmarena.com/vv/bigpic/blu-dl3.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 - D930U,,HSPA 21.1/5.76 Mbps,"2017, January","Available. Released 2017, January",127.1 x 64.3 x 11.5 mm (5.00 x 2.53 x 0.45 in),135 g (4.76 oz),,Dual SIM (MIni-SIM),"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~55.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz,Mali-400,microSDXC,4GB 512MB RAM,HSDPA 850 / 1900 / 2100 - D930L,,LED flash,720p@30fps,3.15 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,"Li-Po 1400 mAh, removable",,"Gold, Rose Gold, Grey, Black",,,,,,,,,2 MP,,,,,,,,,Up to 600 h (2G) / Up to 500 h (3G),Up to 20 h (2G) / Up to 16 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Advance 4.0 L3,https://fdn2.gsmarena.com/vv/bigpic/blu-a4-l3.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 - A110U,,HSPA 21.1/5.76 Mbps,"2017, January","Available. Released 2017, January",126.6 x 66.3 x 11.4 mm (4.98 x 2.61 x 0.45 in),127 g (4.48 oz),,Dual SIM (Mini-SIM),TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~54.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 6.0 (Marshmallow),,Quad-core 1.2 GHz,Mali-400,microSDXC,4GB 512MB RAM,HSDPA 850 / 1900 / 2100 - A110L,,LED flash,720@30fps,5 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,"Li-Po 1300 mAh, removable",,"Gray, Silver, Gold, Rose Gold",Advance 4.0 L3,,,,,,,,2 MP,,,,,,,,,Up to 700 h (2G) / Up to 500 h (3G),Up to 17 h (2G) / Up to 12 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Vivo XL2,https://fdn2.gsmarena.com/vv/bigpic/blu-v-xl2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100,"2, 4, 7, 12, 17 - V0070UU","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, January","Available. Released 2017, January",154 x 76.6 x 9.2 mm (6.06 x 3.02 x 0.36 in),175 g (6.17 oz),,Dual SIM (Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6737T (28 nm),Quad-core 1.4 GHz Cortex-A53,Mali-T720,microSDXC,32GB 3GB RAM,HSDPA 900 / 1900 / 2100,,"LED flash, panorama, HDR",1080p@30fps,"13 MP, PDAF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Po 3150 mAh, non-removable",,"Gold, Blue",,,,,"1, 3, 7, 8, 20, 38, 39, 40, 41 - V0070EE",eMMC 5.0,,,8 MP,,Corning Gorilla Glass 3,,,,,,,Up to 750 h (2G) / Up to 650 h (3G),Up to 29 h (2G) / Up to 19 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Vivo 5 Mini,https://fdn2.gsmarena.com/vv/bigpic/blu-v5m.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700 / 1900 / 2100 - V050Q,,HSPA 21.1/5.76 Mbps,"2017, January","Available. Released 2017, January",125.2 x 62 x 8.5 mm (4.93 x 2.44 x 0.33 in),119 g (4.20 oz),,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~58.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 512MB RAM,HSDPA 850 / 900 / 1900 / 2100 - V050EQ,,LED flash,1080p@30fps,5 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,"Li-Po 1500 mAh, non-removable",,"Gray, Gold, Rose Gold, Silver",,,,,,,,,3.15 MP,,,,,,,,,Up to 700 h (2G) / Up to 600 h (3G),Up to 24 h (2G) / Up to 16 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Grand Max,https://fdn2.gsmarena.com/vv/bigpic/blu-gm50.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100 - G110Q,,HSPA 21.1/5.76 Mbps,"2017, January","Available. Released 2017, January",145 x 72.1 x 7.8 mm (5.71 x 2.84 x 0.31 in),154 g (5.43 oz),,Dual SIM (Micro-SIM/Nano-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 1GB RAM,HSDPA 850 / 900 / 1900 / 2100 - G110EQ,,LED flash,1080p@30fps,"8 MP, AF",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity","Li-Po 2200 mAh, non-removable",,"Gold, Gray, Rose Gold",,,,,,,,,8 MP,,,,,,,,,Up to 700 h (2G) / Up to 650 h (3G),Up to 24 h (2G) / Up to 14 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Grand Energy,https://fdn2.gsmarena.com/vv/bigpic/blu-ge.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100 - G130U,,HSPA 21.1/5.76 Mbps,"2017, January","Available. Released 2017, January",145.7 x 72.8 x 11 mm (5.74 x 2.87 x 0.43 in),190 g (6.70 oz),,Dual SIM (Micro-SIM/Nano-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,HSDPA 850 / 900 / 1900 / 2100 - G130L,,LED flash,1080p@30fps,"5 MP, AF",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 4000 mAh, non-removable",,"Gold, Gray, Rose Gold",,,,,,,,,5 MP,,,,,,,,,Up to 800 h (2G) / Up to 720 h (3G),Up to 52 h (2G) / Up to 38 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Grand M,https://fdn2.gsmarena.com/vv/bigpic/blu-gm.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100 - G070Q,,HSPA 21.1/5.76 Mbps,"2017, January","Available. Released 2017, January",144.9 x 72.1 x 9.4 mm (5.70 x 2.84 x 0.37 in),171 g (6.03 oz),,Dual SIM (Nano-SIM/ Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 512MB RAM,HSDPA 850 / 900 / 1900 / 2100 - G070EQ,,LED flash,720p@30fps,5 MP,LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,"Li-Po 2200 mAh, non-removable",,"Gray, Silver, Gold, Rose Gold",,,,,,,,,3.15 MP,,,,,,,,,Up to 900 h (2G) / Up to 750 h (3G),Up to 24 h (2G) / Up to 12 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Grand X,https://fdn2.gsmarena.com/vv/bigpic/blu-gx5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100 - G090Q,,HSPA 21.1/5.76 Mbps,"2017, January","Available. Released 2017, January",145.8 x 72.9 x 9.1 mm (5.74 x 2.87 x 0.36 in),165 g (5.82 oz),,Dual SIM (Nano-SIM/ Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,HSDPA 850 / 900 / 1900 / 2100 - G090EQ,,LED flash,1080p@30fps,"5 MP, AF",LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2200 mAh, non-removable",,"Grey, Gold, Rose Gold",,,,,,,,,5 MP,,,,,,,,,Up to 900 h (2G) / Up to 750 h (3G),Up to 24 h (2G) / Up to 15 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blu,BLU Studio J5,https://fdn2.gsmarena.com/vv/bigpic/blu-sj5.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100,"2, 4, 7, 12, 17","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2016, November","Available. Released 2016, November",142.8 x 73 x 9.6 mm (5.62 x 2.87 x 0.38 in),130 g (4.59 oz),,Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6735 (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,microSDXC,8GB 1GB RAM,,,LED flash,1080p@30fps,"5 MP, AF",,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go",Accelerometer,"Li-Po 2300 mAh, non-removable",,"Grey, Gold, Rose Gold",,,,,,,,,2 MP,,,,,,,,,Up to 725 h (2G) / Up to 625 h (3G),Up to 26 h (2G) / Up to 16 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
