Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Chipset,GPU,Quad,Features_1,Charging,Triple,Models,SAR,128GB 6GB RAM,128GB 8GB RAM,NFC,64GB 6GB RAM,5G bands,32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM,Build,Dual,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 12GB RAM,128GB 12GB RAM,RMA161,128GB 4GB RAM,Audio quality,256GB 8GB RAM,16GB 2GB RAM
realme,Realme C12,https://fdn2.gsmarena.com/vv/bigpic/realme-c12.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE-A","2020, August 14","Available. Released 2020, August 14",164.5 x 75.9 x 9.8 mm (6.48 x 2.99 x 0.39 in),209 g (7.37 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.7 cm2 (~83.1% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)",microSDXC (dedicated slot),,,"5 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,eMMC 5.1,"Li-Po 6000 mAh, non-removable",,,,"Marine Blue, Coral Red, Silver","$ 159.99 / ₹ 9,640",,,,32GB 3GB RAM,,,Corning Gorilla Glass,,,"Android 10, realme UI 1.0",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,,"1, 3, 5, 8, 38, 40, 41",MediaTek Helio G35 (12 nm),PowerVR GE8320,,"HDR, panorama",Charging 10W,"13 MP, f/2.2, (wide), PDAF 2 MP B/W, f/2.4 2 MP, f/2.4",,,,,,,,$ 159.99,,,,,,,,,,,,,,,,,
realme,Realme V5 5G,https://fdn2.gsmarena.com/vv/bigpic/realme-v5.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G 2.3 Gbps DL","2020, August 03","Available. Released 2020, August 07",162.1 x 75 x 9.1 mm (6.38 x 2.95 x 0.36 in),194 g (6.84 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~83.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",microSDXC (uses shared SIM slot),,,"16 MP, f/2.1, 26mm (wide), 1/3.06"", 1.0µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps; gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Unspecified,"2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,CDMA 800 & TD-SCDMA,"Li-Po 5000 mAh, non-removable",,,,"Blue, Silver, Mint",$ 175.99,,,CDMA2000 1xEV-DO,"128GB 6GB RAM, 128GB 8GB RAM",,24-bit/192kHz audio,Corning Gorilla Glass,,,"Android 10, Realme UI 1.0",Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,"1, 2, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41",MediaTek Dimensity 720 5G (7 nm),Mali-G57 MC3,"48 MP, f/1.8, 25mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.3, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",HDR,"Fast charging 30W, 100% in 65 min (advertised)",,,,$ 175.99,$ 269.99,,,"1, 41, 77, 78, 79 SA/NSA",,,,,,,,,,,,,,,,,,
realme,Realme C15,https://fdn2.gsmarena.com/vv/bigpic/realme-c15-r1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE-A","2020, July 28","Available. Released 2020, July 28",164.5 x 75.9 x 9.8 mm (6.48 x 2.99 x 0.39 in),209 g (7.37 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~81.7% screen-to-body ratio)","720 x 1560 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),,,"8 MP, f/2.0, (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,eMMC 5.1,"Li-Po 6000 mAh, non-removable",,,,"Marine Blue, Seagull Silver","$ 135.91 / ₹ 11,949",,,,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",,,Corning Gorilla Glass,,,"Android 10, realme UI 1.0",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,,"1, 3, 5, 8, 38, 40, 41",MediaTek Helio G35 (12 nm),PowerVR GE8320,"13 MP, f/2.2, (wide), PDAF 8 MP, f/2.3, 119˚ (ultrawide) 2 MP B/W, f/2.4 2 MP, f/2.4","HDR, panorama",Fast charging 18W,,RMX2180,,,,,,,,$ 135.91,$ 169.99,,,,,,,,,,,,,,,
realme,Realme 6i (India),https://fdn2.gsmarena.com/vv/bigpic/realme-6i-india.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/75 Mbps","2020, July 24","Available. Released 2020, July 31",162.1 x 74.8 x 8.9 mm (6.38 x 2.94 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~84.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",microSDXC (dedicated slot),,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,Weather-sealed ports & loudspeaker,"Li-Po 4300 mAh, non-removable",,,,"Eclipse Black, Lunar White","₹ 14,599",,,480 nits typ. brightness (advertised) 90Hz refresh rate,"64GB 4GB RAM, 64GB 6GB RAM",,UFS 2.1,Corning Gorilla Glass 3,,,"Android 10, Realme UI",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,"1, 3, 5, 8, 38, 40, 41",Mediatek MT6785 Helio G90T (12 nm),Mali-G76 MC4,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.3, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP B/W, f/2.4, (depth)","HDR, panorama","Fast charging 30W, 100% in 55 min (advertised) USB Power Delivery",,RMX2002,,,,,"₹ 14,790",,,"₹ 14,599",,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,,,,,,,,,,,,,
realme,Realme X50 5G,https://fdn2.gsmarena.com/vv/bigpic/realme-x50-5g-eu.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, July 08","Available. Released 2020, July 08",163.8 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in),194 g (6.84 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm2 (~83.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)",No,,,,"LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps; gyro-EIS",,1080p@30/120fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Unspecified,"2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,CDMA 800 & TD-SCDMA,"Li-Po 4200 mAh, non-removable",,,,"Jungle Green, Ice Silver",€ 305.79 / $ 241.86 / £ 278.95,,,CDMA2000 1xEV-DO,"128GB 6GB RAM, 128GB 8GB RAM",,24-bit/192kHz audio,,,,"Android 10, Realme UI 1.0",Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),,,"1, 2, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41",Qualcomm SDM765 Snapdragon 765G (7 nm),Adreno 620,"48 MP, f/1.8, 25mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.3, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",HDR,"Fast charging 30W, 70% in 30 min (advertised)",,,,€ 305.79,€ 664.08,Yes,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA",,,,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm 2 MP, f/2.4, (depth)",,,,,,,,,,,,,
realme,Realme C11,https://fdn2.gsmarena.com/vv/bigpic/realme-c11.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE-A","2020, June 30","Available. Released 2020, July 07",164.4 x 75.9 x 9.1 mm (6.47 x 2.99 x 0.36 in),196 g (6.91 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~81.7% screen-to-body ratio)","720 x 1560 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),,,"5 MP, f/2.4, 27mm (wide)","LED flash, HDR, panorama",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",,,,,eMMC 5.1,"Li-Po 5000 mAh, non-removable",,,,"Mint Green, Pepper Grey","€ 120.25 / $ 94.54 / £ 149.99 / ₹ 8,199",,,,32GB 2GB RAM,,,,,,"Android 10, realme UI 1.0",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - International",MediaTek Helio G35 (12 nm),PowerVR GE8320,,"HDR, panorama",Charging 10W,,RMX2185,,,,,,,,,,,"13 MP, f/2.2, (wide), PDAF 2 MP, f/2.4, (depth)",€ 120.25,,,,,,,,,,,,
realme,Realme X3,https://fdn2.gsmarena.com/vv/bigpic/realme-x3.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, June 25","Available. Released 2020, June 30",163.8 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in),202 g (7.13 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~84.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~399 ppi density)",No,,,,"LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS",,"1080p@30fps, gyro-EIS",Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,120Hz refresh rate,"Li-Po 4200 mAh, non-removable",,,,"Glacier Blue, Arctic White","$ 399.99 / ₹ 26,499",,,UFS 3.0,"128GB 6GB RAM, 128GB 8GB RAM",,24-bit/192kHz audio,Corning Gorilla Glass 5,,,"Android 10, Realme UI",Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),,,"1, 3, 5, 8, 38, 39, 40, 41",Qualcomm SM8150 Snapdragon 855+ (7 nm),Adreno 640 (700 MHz),"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 12 MP, f/2.5, 51mm (telephoto), PDAF, 2x optical zoom 8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro)",Panorama,"Fast charging 30W, 100% in 55 min (advertised)",,"RMX2142, RMX2081, RMX2085",,$ 459.99,$ 399.99,,,,,,,"Glass front (Gorilla Glass 5), glass back, plastic frame","16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm 8 MP, f/2.2, 105˚ (ultrawide), 1/4.0"", 1.12µm",,,,,,,,,,,,,
realme,Realme C3i,https://fdn2.gsmarena.com/vv/bigpic/realme-c3-2020.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/75 Mbps","2020, June 24","Available. Released 2020, July 03",164.4 x 75 x 9 mm (6.47 x 2.95 x 0.35 in),195 g (6.88 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~82.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),,,"5 MP, f/2.4, 27mm (wide), 1/5"", 1.12µm","LED flash, HDR, panorama","1080p@30fps, 720p@120fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",,,,,Weather-sealed ports & loudspeaker,"Li-Po 5000 mAh, non-removable",,,,"Frozen Blue, Blazing Red",About 100 EUR,,,480 nits max brightness (advertised),32GB 2GB RAM,,eMMC 5.1,Corning Gorilla Glass 3,,,"Android 10, realme UI 1.0",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),,,"1, 3, 5, 8, 38, 40, 41",Mediatek Helio G70 (12 nm),Mali-G52 2EEMC2,,"HDR, panorama",Charging 10W,,"RMX2027, RMX2020",,,,,,,,,,"Glass front (Gorilla Glass 3), plastic back, plastic frame","12 MP, f/1.8, 28mm (wide), 1/2.8"", 1.25µm, PDAF 2 MP, f/2.4, (depth)",,AnTuTu: 192223 (v8) GeekBench: 1262 (v5.1) GFXBench: 15fps (ES 3.1 onscreen),,,,,,,,,,,
realme,Realme Narzo,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-indonesia.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100 - Indonesia,"HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/75 Mbps","2020, June 23","Available. Released 2020, June 23",162.1 x 74.8 x 8.9 mm (6.38 x 2.94 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~84.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",microSDXC (dedicated slot),,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,Weather-sealed ports & loudspeaker,"Li-Po 4300 mAh, non-removable",,,,"Just Black, Just White",About 190 EUR,,,480 nits typ. brightness (advertised) 90Hz refresh rate,128GB 4GB RAM,,UFS 2.1,Corning Gorilla Glass 3,,,"Android 10, Realme UI",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,"1, 3, 5, 8, 38, 40, 41 - Indonesia",Mediatek MT6785 Helio G90T (12 nm),Mali-G76 MC4,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.3, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP B/W, f/2.4, (depth)","HDR, panorama","Fast charging 30W, 100% in 55 min (advertised)",,,,,,,,,,,,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,,,,,,,,,,,,,
realme,Realme X3 SuperZoom,https://fdn2.gsmarena.com/vv/bigpic/realme-x3-superzoom.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","2020, May 26","Available. Released 2020, June 02",163.8 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in),202 g (7.13 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches, 105.2 cm2 (~84.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~399 ppi density)",No,,,,"LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS",,"1080p@30fps, gyro-EIS",Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,120Hz refresh rate,"Li-Po 4200 mAh, non-removable",,,,"Glacier Blue, Arctic White","€ 429.90 / $ 399.49 / £ 461.00 / ₹ 33,699",,,UFS 3.0,"128GB 8GB RAM, 256GB 12GB RAM",,24-bit/192kHz audio,Corning Gorilla Glass 5,,,"Android 10, Realme UI",Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),,,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41",Qualcomm SM8150 Snapdragon 855+ (7 nm),Adreno 640 (700 MHz),"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/3.4, 124mm (periscope telephoto), PDAF, OIS, 5x optical zoom 8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro)",Panorama,"Fast charging 30W, 100% in 55 min (advertised)",,RMX2086,,,$ 399.49,,,,,,,"Glass front (Gorilla Glass 5), glass back, plastic frame","32 MP, f/2.5, 26mm (wide), 1/2.8"", 0.8µm 8 MP, f/2.2, 105˚ (ultrawide), 1/4.0"", 1.12µm",,AnTuTu: 477905 (v8) GeekBench: 2579 (v5.1) GFXBench: 35fps (ES 3.1 onscreen),Contrast ratio: 1316:1 (nominal),Photo / Video,-28.0 LUFS (Good),Endurance rating 103h,€ 429.90,,,,,,
realme,Realme 6S,https://fdn2.gsmarena.com/vv/bigpic/realme-6s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - International,"HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/75 Mbps","2020, May 26","Available. Released 2020, June 02",162.1 x 74.8 x 8.9 mm (6.38 x 2.94 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm2 (~84.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",microSDXC (dedicated slot),,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,Weather-sealed ports & loudspeaker,"Li-Po 4300 mAh, non-removable",,,,"Eclipse Black, Lunar White",€ 181.90 / $ 202.24 / £ 169.99,,,480 nits typ. brightness (advertised) 90Hz refresh rate,"64GB 4GB RAM, 128GB 6GB RAM",,UFS 2.1,Corning Gorilla Glass 3,,,"Android 10, Realme UI",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41 - International",Mediatek MT6785 Helio G90T (12 nm),Mali-G76 MC4,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.3, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP B/W, f/2.4, (depth)","HDR, panorama","Fast charging 30W, 100% in 55 min (advertised)",,,,$ 202.24,,,,,,€ 181.90,,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,,,,,,,,,,,,,
realme,Realme X50 Pro Player,https://fdn2.gsmarena.com/vv/bigpic/realme-x50-pro-player-edition.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, May 25","Available. Released 2020, June 01",159 x 74.2 x 8.9 mm (6.26 x 2.92 x 0.35 in),209 g (7.37 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.44 inches, 100.1 cm2 (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",No,,,,"LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240/960fps; gyro-EIS",,"1080p@30/120fps, gyro-EIS","Yes, with dual speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Yes, A-GPS, GLONASS, BDS, NavIC",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,CDMA 800 & TD-SCDMA,"Li-Po 4200 mAh, non-removable",,,,"Light Speed Silver, Phantom Black",$ 479.99,,,CDMA2000 1xEV-DO,"128GB 6GB RAM, 128GB 8GB RAM, 128GB 12GB RAM",,24-bit/192kHz audio,Unspecified,,,"Android 10, realme UI 1.0",Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41",Qualcomm SM8250 Snapdragon 865 (7 nm+),Adreno 650,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.3, 119˚, 16mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",HDR,"Fast charging 65W, 100% in 35 min (advertised) SuperDart Flash Charge Power Delivery",,RMX2072,,$ 479.99,$ 509.68,Yes,,"1, 3, 41, 77, 78, 79 SA/NSA",,,,"Glass front (Unspecified), glass back (Unspecified), aluminum frame","16 MP, f/2.5, 29mm (standard), 1/3.06"", 1.0µm 2 MP, f/2.4, (depth)",,,,,,,,$ 539.92,,,,,
realme,Realme Watch,https://fdn2.gsmarena.com/vv/bigpic/realme-watch.jpg,No cellular connectivity,N/A,N/A,No,"2020, May 25","Available. Released 2020, June 05",36.5 x 25.6 x 11.8 mm (1.44 x 1.01 x 0.46 in),31 g (1.09 oz),No,"IPS LCD capacitive touchscreen, 16M colors","1.4 inches, 6.3 cm2 (~67.7% screen-to-body ratio)","320 x 320 pixels, 1:1 ratio (~323 ppi density)",No,No,No,,,,,,No,No,No,"5.0, A2DP, LE",No,No,No,"Accelerometer, heart rate, SpO2","Email, IM",,No,No,IP68 dust/water resistant (up to 1.5m),"Li-Ion 160 mAh, non-removable",,,,Black,€ 50.15 / $ 59.99,No,No,380 nits typ. brightness,,,No,,,,,,,,N/A,,,,,Wireless charging,,RMA161,,,,,,,,,,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,,,,,,,,,€ 50.15,,,,
