Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types
xcute,XCute DV80,https://fdn2.gsmarena.com/vv/bigpic/xcute-dv80.gif,GSM,GSM 900 / 1800 / 1900,No,,,,,"2006, February",Cancelled,103 x 48 x 23 mm (4.06 x 1.89 x 0.91 in),135 g (4.76 oz),,Mini-SIM,"TFT, 16M colors",,640 x 240 pixels,MP3 player Video player TV-out Predictive text input Voice memo Organizer,,,,,miniSD,,,LED flash,480p@30fps,"5 MP, AF",,,No,No,,No,Yes,No,,No,No,,Removable Li-Ion battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3, MIDI, WAV ringtones"
xcute,XCute DV50,https://fdn2.gsmarena.com/vv/bigpic/xcute-dv50.gif,GSM,GSM 900 / 1800 / 1900,No,,,,,"2006, February",Cancelled,104 x 46 x 19 mm (4.09 x 1.81 x 0.75 in),100 g (3.53 oz),,Mini-SIM,"TFT, 16M colors",,640 x 240 pixels,MP3 player Video player TV-out Predictive text input Voice memo Organizer,,,,,miniSD,,,LED flash,480p@30fps,"5 MP, AF",,,No,No,,No,No,No,,No,Proprietary,,Removable Li-Ion battery,,Silver,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",5,No,WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3, MIDI, WAV ringtones"
xcute,XCute DV2,https://fdn2.gsmarena.com/vv/bigpic/xcute-dv2.gif,GSM,GSM 900 / 1800 / 1900,"Second external OLED display, 65K colors (96 x 65 pixels)",,,,,"2005, Q4",Discontinued,87 x 46.6 x 22 mm (3.43 x 1.83 x 0.87 in),118 g (4.16 oz),,Mini-SIM,"TFT, 16M colors",,640 x 240 pixels,No,,,,,miniSD,18MB,,"rotating lens, LED flash",480p@30fps,3.15 MP,,,Yes,No,MP3 player Video player TV-out Predictive text input Language learning Voice memo Organizer,No,No,No,,No,Proprietary,,Removable Li-Ion battery,,Black & White,,,,,,,,,,,,,,,,,,,Up to 150 h,,Up to 4 h,,,Class 10,No,,,500 entries,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS","F1 Race, Color ball, Ninja",No,WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones, composer"
xcute,XCute DV1,https://fdn2.gsmarena.com/vv/bigpic/xcute-dv1.gif,GSM,GSM 900 / 1800 / 1900,"Second external OLED display, 65K colors (96 x 65 pixels)",,,,,"2005, Q1",Discontinued,87 x 46.6 x 23.5 mm (3.43 x 1.83 x 0.93 in),118 g (4.16 oz),,Mini-SIM,"TFT, 16M colors",,640 x 240 pixels,No,,,,,miniSD,20MB,,"rotating lens, LED flash",480p@30fps,3.15 MP,,,Yes,No,MP3 player Video player TV-out Predictive text input Language learning Voice memo Organizer,No,No,No,,No,Proprietary,,Removable Li-Ion battery,,"Cool Blue, Titanic Silver, Sunny Orange",,,,,,,,,,,,,,,,,,,Up to 150 h,,Up to 4 h,,,Class 10,No,,,500 entries,"10 dialed, 10 received, 10 missed calls","SMS, MMS",,No,WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones, composer"
