Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM,5G bands,Triple_1,256GB 8GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,64GB 6GB RAM,128GB 6GB RAM,512GB 8GB RAM
bird,Bird D515,https://fdn2.gsmarena.com/vv/bigpic/bird-d515.gif,GSM,GSM 900 / 1800,,,,2007,Cancelled,106.7 x 46.3 x 10.3 mm (4.20 x 1.82 x 0.41 in),75 g (2.65 oz),,Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~20.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSD,,No,,,Yes,VGA,,,Yes,No,No,Optional,No,FM radio (optional),Proprietary,,Removable Li-Ion 650 mAh battery,,Black,,,,,"MP3/ MP4 player Audio Recorder Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi",,,,,,,,Class 12,No,,,,Up to 120 h,Up to 3 h 20 min,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird D612,https://fdn2.gsmarena.com/vv/bigpic/bird-d612.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,105.5 x 44 x 12.2 mm (4.15 x 1.73 x 0.48 in),71.4 g (2.50 oz),,Mini-SIM,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~22.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSD (dedicated slot),,No,,,Yes,VGA,,,Yes,No,No,No,No,No,Proprietary,,Removable Li-Ion 650 mAh battery,,"Blue, Silver",,,,,"Data/ Fax Modem MP3/ MP4 player Audio Recorder FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi",,,,,,,,Class 12,No,,,,Up to 140 h,Up to 4 h,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird M29,https://fdn2.gsmarena.com/vv/bigpic/bird-M29.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,107 x 44 x 15.2 mm (4.21 x 1.73 x 0.60 in),90 g (3.17 oz),,Mini-SIM,"TFT, 65K colors","1.6 inches, 8.1 cm2 (~17.1% screen-to-body ratio)",128 x 160 pixels (~128 ppi density),,,,,microSD (dedicated slot),37MB,No,,,No,VGA,,,Yes,No,No,No,No,No,Proprietary,,Removable Li-Ion 700 mAh battery,,"Black, Silver",,,,,"Data/ Fax Modem MP3 player Audio Recorder FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Arabic, Spanish, Portuguese",,,,,,,,Class 10,No,,,,Up to 150 h,Up to 3 h,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird M01,https://fdn2.gsmarena.com/vv/bigpic/bird-M01.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,89.5 x 44 x 18.2 mm (3.52 x 1.73 x 0.72 in),75 g (2.65 oz),,Mini-SIM,"OLED, 260K colors","1.5 inches, 7.3 cm2 (~18.4% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,62MB,No,,,,,,,Yes,No,No,No,No,No,Proprietary,,Removable Li-Ion 650 mAh battery,,"Black, White",,,,,"MP3 Player Audio Recorder FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese",,,,,,,,No,No,,,,Up to 140 h,Up to 4 h,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird M07,https://fdn2.gsmarena.com/vv/bigpic/bird-M07.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,105 x 44 x 15.3 mm (4.13 x 1.73 x 0.60 in),80 g (2.82 oz),,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~15.7% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,57MB,No,,,,,,,Yes,No,No,No,No,No,Proprietary,,Removable Li-Ion 700 mAh battery,,"Black, White Blue, Pink",,,,,"MP3 Player FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese",,,,,,,,No,No,,,,Up to 150 h,Up to 3 h,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird S1130,https://fdn2.gsmarena.com/vv/bigpic/bird-s1130.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,89.5 x 44 x 18.2 mm (3.52 x 1.73 x 0.72 in),75 g (2.65 oz),,Mini-SIM,"OLED, 260K colors","1.5 inches, 7.3 cm2 (~18.4% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,,No,,,,,,,Yes,No,No,No,No,No,No,,Removable Li-Ion 650 mAh battery,,"Black, White",,,,,"FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese",,,,,,,,No,No,,,,Up to 140 h,Up to 4 h,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird V5518+,https://fdn2.gsmarena.com/vv/bigpic/bird-V5518+.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,87.8 x 43.8 x 21.9 mm (3.46 x 1.72 x 0.86 in),80 g (2.82 oz),,Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~26.5% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,No,,"Second external LCD, monochrome display, 1.1 inches",,,,,,,Yes,No,No,No,No,No,No,,Removable Li-Ion 700 mAh battery,,Silver,,,,,No,"FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese",,,,,,,No,No,,,,Up to 120 h,Up to 3 h,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird S663,https://fdn2.gsmarena.com/vv/bigpic/bird-s663.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,105.3 x 44 x 15.8 mm (4.15 x 1.73 x 0.62 in),80 g (2.82 oz),,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~15.7% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,,No,,,,,,,Yes,No,No,No,No,No,No,,Removable Li-Ion 700 mAh battery,,"Black, White",,,,,"FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Hindi",,,,,,,,No,No,,,,Up to 140 h,Up to 3 h,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird S661,https://fdn2.gsmarena.com/vv/bigpic/bird-s661.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,105.3 x 44 x 15.8 mm (4.15 x 1.73 x 0.62 in),80 g (2.82 oz),,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~15.7% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,,No,,,,,,,No,No,No,No,No,No,No,,Removable Li-Ion 700 mAh battery,,"Black, Pink",,,,,"FR,HR,EFR voice codecs Languages: Chinese, English, French, Arabic",,,,,,,,No,No,,,,Up to 140 h,Up to 3 h,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MIDI ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
bird,Bird S669,https://fdn2.gsmarena.com/vv/bigpic/bird-s669.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,104 x 45.5 x 15.7 mm (4.09 x 1.79 x 0.62 in),75 g (2.65 oz),,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~15.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,,No,,,,,,,No,No,No,No,No,No,No,,Removable Li-Ion 500 mAh battery,,"Silver, Blue, Red",,,,,"FR,HR,EFR voice codecs Languages: Chinese, English, French, Arabic",,,,,,,,No,No,,,,Up to 140 h,Up to 3 h,,Yes,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MIDI ringtones",,,,,,,,,,,,,,,,,,,,,,,,,
