Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,256GB 8GB RAM,Quad,Models,128GB 4GB RAM,Dual,64GB 4GB RAM,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,SAR,32GB 3GB RAM,32GB 2GB RAM,Protection,256GB 12GB RAM,SAR EU,Audio quality,Infrared port,Dual_1,Talk time,Stand-by,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Alert types,Languages,Clock,Alarm
niu,NIU Niutek 3.5D2,https://fdn2.gsmarena.com/vv/bigpic/niutek-35d2.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM35D2H043,,,,HSPA 21.1/5.76 Mbps,"2014, August. Released 2014, October",Discontinued,116 x 61 x 11.5 mm (4.57 x 2.40 x 0.45 in),98 g (3.46 oz),,Dual SIM (Mini-SIM/ Micro-SIM),,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~51.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.2 (Jelly Bean),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDXC,2GB 256MB RAM,2 MP,"LED flash, panorama",480p@30fps,VGA,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,Accelerometer,"Li-Ion 1200 mAh, removable",,"Black, White, Blue, Green, Red",,,,,,,,,,,,,,,,,,,,,,,,Up to 8 h (2G) / Up to 6 h (3G),Up to 400 h (2G) / Up to 320 h (3G),,,,,,,,,,,,,,
niu,NIU GO 21,https://fdn2.gsmarena.com/vv/bigpic/niu-go-21.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,No,,Whatsapp messenger Video/music player Organizer Predictive text input,,,,"2014, May. Released 2014, June",Discontinued,105 x 44.9 x 14.2 mm (4.13 x 1.77 x 0.56 in),66 g (2.33 oz),,Dual SIM (Mini-SIM),,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~21.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSDHC,32Mb 32Mb RAM,VGA,,,,,,Yes,Yes,No,"2.1, EDR",No,,Stereo FM radio,microUSB 2.0,,"Li-Ion 650 mAh, removable",,"Black, Orange, Gray, Red, Green, Blue",,,,,,,,,,,,,,,,,,,,,,,,Up to 6 h,Up to 200 h,Up to 48 kbps,No,,Yes,Yes,"SMS, MMS, IM",Yes,No,,,,,,
niu,NIU Niutek 4.5D,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-45d.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 - SIM 1 or SIM 2,,,,HSPA 21.1/5.76 Mbps,"2013, December. Released 2014, January",Discontinued,137.6 x 68 x 10.4 mm (5.42 x 2.68 x 0.41 in),139 g (4.90 oz),,Dual SIM (Mini-SIM),,"TFT capacitive touchscreen, 256K colors","4.5 inches, 55.8 cm2 (~59.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 4.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.2 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),512MB 256MB RAM,5 MP,"LED flash, panorama",720p@30fps,1.3 MP,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1650 mAh, removable",,Black,,,,,,,,,,,,,,,,,,,,,,,,Up to 16 h (2G) / Up to 9 h (3G),Up to 640 h (2G) / Up to 420 h (3G),,,,,,,,,,,,,,
niu,NIU Niutek 4.0D,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-4d-.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 - SIM 1 or SIM 2,,,,HSPA 21.1/5.76 Mbps,"2013, December. Released 2014, January",Discontinued,127 x 62.9 x 9.9 mm (5.0 x 2.48 x 0.39 in),131 g (4.62 oz),,Dual SIM (Mini-SIM),,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~57.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.2 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),512MB 256MB RAM,3.15 MP,LED flash,720p@30fps,1.3 MP,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1500 mAh, removable",,"Black, Blue, Green, White, Yellow",,,,,,,,,,,,,,,,,,,,,,,,Up to 15 h (2G) / Up to 8 h 30 min (3G),Up to 630 h (2G) / Up to 415 h (3G),,,,,,,,,,,,,,
niu,NIU Niutek 3.5D,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-35d.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 - SIM 1 or SIM 2,,,,HSPA 21.1/5.76 Mbps,"2013, December. Released 2014, January",Discontinued,118 x 62.5 x 13.5 mm (4.65 x 2.46 x 0.53 in),108 g (3.81 oz),,Dual SIM (Mini-SIM),,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~49.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),512MB 256MB RAM,2 MP,"LED flash, panorama, HDR",480p@30fps,VGA,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1400 mAh, removable",,"Black, Blue, Green, White, Yellow",,,,,,,,,,,,,,,,,,,,,,,,Up to 15 h (2G) / Up to 8 h (3G),Up to 620 h (2G) / Up to 410 h (3G),,,,,,,,,,,,,,
niu,NIU GO 20,https://fdn2.gsmarena.com/vv/bigpic/niu-go-20.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Flashlight,,No,,,,"2013, November. Released 2013, November",Discontinued,101 x 43.8 x 14 mm (3.98 x 1.72 x 0.55 in),60 g (2.12 oz),,Dual SIM (Mini-SIM),Whatsapp messenger Video/music player Organizer Predictive text input,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~23.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,,,,microSDHC (dedicated slot),32Mb 32Mb RAM,VGA,,,,,,Yes,No,No,2.1,No,,Stereo FM radio,Proprietary,,"Li-Ion 500 mAh, removable",,"Black, White, Silver, Purple, Blue, Red",,,,,,,,,,,,,,,,,,,,,,,,Up to 6 h,Up to 200 h,Up to 48 kbps,No,,Yes,Yes,"SMS, MMS, IM",Yes,No,,,,,,
niu,NIU Niutek 3.5B,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-3.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,No,,Analog TV,,,,"2013, March. Released 2013, July",Discontinued,113.6 x 62 x 13.8 mm (4.47 x 2.44 x 0.54 in),92 g without battery (3.25 oz),,Dual SIM (Mini-SIM),,"TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm2 (~51.8% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 2.3 (Gingerbread),Spreadtrum SC6820,1.0 GHz Cortex-A5,Mali-400,microSDHC (dedicated slot),512MB 256MB RAM,3.15 MP,,@30fps,,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",3.0,A-GPS only,,"Stereo FM radio, recording",microUSB 2.0,Accelerometer,"Li-Ion 1300 mAh, removable",,"Black, White",,,,,,,,,,,,,,,,,,,,,,,,Up to 17 h,Up to 850 h,Up to 48 kbps,Class 10,,,,,,,,,,,,
niu,NIU LIV 10,https://fdn2.gsmarena.com/vv/bigpic/niu-liv-10.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,Flashlight,,No,,,,"2013, March. Released 2013, May",Discontinued,102 x 58 x 13.3 mm (4.02 x 2.28 x 0.52 in),73 g without battery (2.57 oz),,Triple SIM (Mini-SIM),Whatsapp messenger Video/music player Organizer,"TFT, 65K colors","1.8 inches, 10.2 cm2 (~17.2% screen-to-body ratio)",160 x 128 pixels (~114 ppi density),,,,,microSDHC (dedicated slot),32Mb 16Mb RAM,VGA,LED flash,Yes,,,,Yes,Yes,No,"2.1, A2DP",No,,Stereo FM radio,microUSB,,"Li-Ion 860 mAh, removable",,"Black, White, Blue, red",,,,,,,,,,,,,,,,,,,,,,,,Up to 7 h,Up to 660 h,Up to 48 kbps,No,QWERTY,Yes,Yes,SMS,Yes,No,,,,,,
niu,NIU GO 50,https://fdn2.gsmarena.com/vv/bigpic/niu-go-50.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Flashlight,,No,,,,"2013, March. Released 2013, June",Discontinued,108 x 46 x 13.7 mm (4.25 x 1.81 x 0.54 in),57 g without battery (2.01 oz),,Dual SIM (Mini-SIM),Whatsapp messenger Video/music player Organizer,"TFT, 65K colors","2.0 inches, 12.6 cm2 (~25.3% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSDHC (dedicated slot),32Mb 32Mb RAM,VGA,,Yes,,,,Yes,Yes,No,2.1,No,,Stereo FM radio,microUSB,,"Li-Ion 800 mAh, removable",,"Blue, Black, White, Red, Silver, Dark Grey",,,,,,,,,,,,,,,,,,,,,,,,Up to 6 h,Up to 200 h,Up to 48 kbps,No,,Yes,Yes,SMS,Yes,No,,,,,,
niu,NIU Niutek 3G 3.5 N209,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-3g-35.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Analog TV MP4/WMV/H.264 player MP3/WAV/eAAC+ player Photo/video editor Document viewer,HSDPA 850 / 1900 - SIM 1 only,,,,HSPA 14.4/5.76 Mbps,"2012, June. Released 2012, November",Discontinued,117 x 63 x 12 mm (4.61 x 2.48 x 0.47 in),71 g without battery (2.50 oz),,Dual SIM (Mini-SIM),,"TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm2 (~49.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.0 (Ice Cream Sandwich),Mediatek MT6575 (40 nm),1.0 GHz Cortex-A9,PowerVR SGX531,microSDHC (dedicated slot),256MB 512MB RAM,3.2 MP,LED flash,Yes,VGA,,,Yes,Yes,"Wi-Fi 802.11 b/g, hotspot",2.1,Yes,,Stereo FM radio,microUSB,"Accelerometer, proximity","Li-Ion 1200 mAh, removable",,"Black, White",About 100 EUR,,,,,,,,,,,,,,,,,,,,,,,Up to 15 h (2G) / Up to 6 h 30 min (3G),Up to 713 h (2G) / Up to 428 h (3G),,,,,,,,,,,,,,
