Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad,Performance,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,256GB 4GB RAM,512GB 4GB RAM,Dual_1,128GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM,5G bands,Triple_1,256GB 8GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,64GB 6GB RAM,128GB 6GB RAM,512GB 8GB RAM,32GB 4GB RAM
blackview,Blackview S6,https://fdn2.gsmarena.com/vv/bigpic/blackview-s6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE","2018, January","Available. Released 2018, January",155 x 73.4 x 9.7 mm (6.10 x 2.89 x 0.38 in),-,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~73.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 7.0 (Nougat),Mediatek MT6737VWH,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP1,microSDXC (dedicated slot),16GB 2GB RAM,eMMC 5.0,,Dual-LED dual-tone flash,1080p@30fps,5 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP","Yes, with A-GPS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Ion 4180 mAh, non-removable",,"Black, Gold, Silver",,About 100 EUR,,,,,"8 MP, AF 0.3 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackview,Blackview S8,https://fdn2.gsmarena.com/vv/bigpic/blackview-s8.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE","2017, September","Available. Released 2017, October",154 x 71.9 x 8.5 mm (6.06 x 2.83 x 0.33 in),190 g (6.70 oz),"Glass front, aluminum back, aluminum frame","Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 7.0 (Nougat),Mediatek MT6750T (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC,64GB 4GB RAM,eMMC 5.1,,"Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,,LED flash,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3180 mAh, non-removable",Charging 10W,"Black, Gold, Blue",,About 170 EUR,,,,,"13 MP, f/2.0, AF 0.3 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13 MP, AF, f/2.0 VGA, depth sensor",,,,,,,,,,,,,,,
blackview,Blackview P6000,https://fdn2.gsmarena.com/vv/bigpic/blackview-p6000.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE",2017,Available. Released 2017,154.5 x 76.5 x 10.2 mm (6.08 x 3.01 x 0.40 in),230 g (8.11 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 7.1.1 (Nougat),Mediatek MT6757CD Helio P25 (16 nm),Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),Mali-T880MP2,microSDXC,64GB 6GB RAM,,,"Dual-LED flash, HDR, panorama",1080p@30fps,8 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Ion 6180 mAh, non-removable",Charging 10W,"Black, Blue",,About 250 EUR,,,,,"21 MP, f/2.0, AF 0.3 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackview,Blackview A10,https://fdn2.gsmarena.com/vv/bigpic/blackview-a10.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA,2017,Available. Released 2017,143.2 x 70.3 x 8.8 mm (5.64 x 2.77 x 0.35 in),169 g (5.96 oz),,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 7.0 (Nougat),Mediatek MT6580A (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (uses shared SIM slot),16GB 2GB RAM,,,LED flash,1080p@30fps,5 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer","Li-Po 2800 mAh, non-removable",,"Olive Black, Lily White, Barley Golden, Coral Blue",,About 70 EUR,,,,,"8 MP, AF 5 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackview,Blackview A7 Pro,https://fdn2.gsmarena.com/vv/bigpic/blackview-a7-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 8, 20",HSPA,2017,Available. Released 2017,143 x 71 x 9.5 mm (5.63 x 2.80 x 0.37 in),176 g (6.21 oz),,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDHC,16GB 2GB RAM,eMMC 5.0,,LED flash,1080p@30fps,5 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer","Li-Po 2800 mAh, removable",,"Champagne Gold, Chocolate Black, Cream White, Jelly Blue",,About 80 EUR,,,,,"8 MP, AF 0.3 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackview,Blackview A7,https://fdn2.gsmarena.com/vv/bigpic/blackview-a7.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA,2017,Available. Released 2017,143 x 71 x 9.5 mm (5.63 x 2.80 x 0.37 in),176 g (6.21 oz),,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 7.0 (Nougat),Mediatek MT6580A (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,8GB 1GB RAM,,,LED flash,1080p@30fps,2 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,Accelerometer,"Li-Po 2800 mAh, removable",,"Champagne Gold, Chocolate Black, Cream White, Jelly Blue",,About 60 EUR,,,,,"5 MP, AF 0.3 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
