Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java
i_mobile,i-mobile TV 630,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-630.jpg,GSM,GSM 900 / 1800 / 1900,,,"2009, July. Released 2009, Q4",Discontinued,115 x 52.5 x 13 mm (4.53 x 2.07 x 0.51 in),102 g (3.60 oz),,Dual SIM (Mini-SIM),"TFT, 256K colors","2.4 inches, 17.8 cm2 (~29.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",No,,,microSDHC (dedicated slot),,"8 MP, AF",480p,,,Yes,No,No,Yes,No,FM radio,miniUSB,,WAP 2.0/xHTML,TV tuner/recorder MP3 player MP4/3GP player Organizer Predictive text input,Removable Li-Ion 1100 mAh battery,Up to 420 h,Up to 8 h,Black,,,,,,,Class 10,Class 10,,,"1000 entries, Photocall",Yes,"SMS(threaded view), EMS, MMS",Yes,Yes
i_mobile,i-mobile TV 628,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-628.jpg,GSM,GSM 900 / 1800 / 1900,,,"2009, July. Released 2009, Q4",Discontinued,113 x 51 x 17 mm (4.45 x 2.01 x 0.67 in),109.5 g (3.84 oz),,Dual SIM (Mini-SIM),"TFT, 256K colors","2.4 inches, 17.8 cm2 (~31.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",No,,,microSDHC (dedicated slot),10MB,3.15 MP,Yes,,,Yes,No,No,Yes,No,FM radio,miniUSB,,WAP 2.0/xHTML,TV tuner MP3 player MP4/3GP player Organizer Predictive text input,Removable Li-Ion 950 mAh battery,Up to 380 h,Up to 7 h,Black,,,,,,,Class 12,No,,,"1000 entries, Photocall",Yes,"SMS(threaded view), EMS, MMS",Yes,Yes
i_mobile,i-mobile TV 620,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-620.jpg,GSM,GSM 900 / 1800 / 1900,,,"2009, July",Discontinued,114 x 51.5 x 14.6 mm (4.49 x 2.03 x 0.57 in),98 g (3.46 oz),,Dual SIM (Mini-SIM),"TFT, 256K colors","2.4 inches, 17.8 cm2 (~30.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",No,,,microSDHC (dedicated slot),14MB,3.15 MP,Yes,,,Yes,No,No,"1.2, A2DP",No,FM radio,miniUSB,,WAP 2.0/xHTML,TV tuner MP3 player MP4/3GP player Organizer Predictive text input,Removable Li-Ion 1050 mAh battery,Up to 420 h,Up to 8 h,Black,,,,,,,Class 10,,,,"1000 entries, Photocall",Yes,"SMS(threaded view), EMS, MMS",Yes,Yes
i_mobile,i-mobile TV 536,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-536.jpg,GSM,GSM 900 / 1800 / 1900,,,"2009, July. Released 2009, Q4",Discontinued,112 x 51 x 13.7 mm (4.41 x 2.01 x 0.54 in),,,Dual SIM (Mini-SIM),"TFT, 256K colors","2.4 inches, 17.8 cm2 (~31.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",No,,,microSDHC (dedicated slot),,VGA,Yes,,,Yes,No,No,"1.2, A2DP",No,FM radio,miniUSB,,WAP 2.0/xHTML,TV tuner MP3 player MP4/3GP player Organizer Predictive text input,Removable Li-Ion 1000 mAh battery,Up to 250 h,Up to 3 h,"Black, Silver",,,,,,,Class 10,No,,,"1000 entries, Photocall",Yes,"SMS(threaded view), EMS, MMS",Yes,No
i_mobile,i-mobile 638CG,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-638cg.jpg,GSM,GSM 900 / 1800 / 1900,,,"2009, July. Released 2009, Q4",Discontinued,113 x 51 x 14.5 mm (4.45 x 2.01 x 0.57 in),,,Dual SIM (Mini-SIM),"TFT, 256K colors","2.4 inches, 17.8 cm2 (~31.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",CDMA 800,,,microSDHC (dedicated slot),25MB,3.15 MP,Yes,,,Yes,No,No,Yes,No,FM radio,microUSB,,WAP 2.0/xHTML,No,Removable Li-Ion 1050 mAh battery,Up to 400 h,Up to 8 h 30 min,Black,,,,,,TV tuner MP3 player MP4/3GP player Organizer Predictive text input,Class 12,No,,,"1000 entries, Photocall",Yes,"SMS(threaded view), EMS, MMS",Yes,No
i_mobile,i-mobile Hitz 232CG,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-232cg.jpg,GSM,GSM 900 / 1800 / 1900,,,"2009, July. Released 2009, Q4",Discontinued,109.5 x 47.8 x 11.1 mm (4.31 x 1.88 x 0.44 in),-,,Mini-SIM,"TFT, 65K colors","2.0 inches, 12.6 cm2 (~24.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),CDMA 800,,,microSDHC (dedicated slot),,CIF,No,,,Yes,No,No,Yes,No,FM radio,microUSB (charging and headset only),,WAP 2.0/xHTML,No,Removable Li-Ion 1050 mAh battery,Up to 850 h,Up to 9 h,"Black, Silver",,,,,,MP3 player Organizer Predictive text input,Class 10,No,,,"1000 entries, Photocall",Yes,"SMS(threaded view), EMS, MMS",Yes,No
i_mobile,i-mobile TV 535,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-535.jpg,GSM,GSM 900 / 1800 / 1900,,,"2009, January. Released 2009, January",Discontinued,108 x 48 x 13.8 mm (4.25 x 1.89 x 0.54 in),90 g (3.17 oz),,Dual SIM (Mini-SIM),"TFT, 256K colors","2.2 inches, 15.0 cm2 (~28.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",No,,,microSD (dedicated slot),,1.3 MP,Yes,,,No,No,No,"1.2, A2DP",No,FM radio; built-in antenna,miniUSB,,WAP 2.0/xHTML,TV tuner Yamaha audio amplifier MP3 player MP4/3GP player Organizer Stop watch Private menu Predictive text input,Removable Li-Ion 1000 mAh battery,Up to 250 h,Up to 3 h,"Black, Silver",,,,,,,Class 10,No,,,1000 entries,Yes,"SMS, MMS",Yes,No
i_mobile,i-mobile 627,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-627.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, October. Released 2008, October",Discontinued,109 x 46 x 15.2 mm (4.29 x 1.81 x 0.60 in),90 g (3.17 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2 (~24.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",No,,,microSD (dedicated slot),63MB,"3.15 MP, Casio-Hitachi module, AF",Yes,,,"Yes, with stereo speakers",No,No,"1.2, A2DP",No,FM radio; built-in antenna,miniUSB,Accelerometer,WAP 2.0/xHTML,Yamaha audio amplifier MP3 player MP4/3GP player Organizer Stop watch Talking disctionary Private menu Predictive text input,Removable Li-Ion 830 mAh battery,Up to 250 h,Up to 3 h,"Black, Silver",,,,LED flash,,,Class 10,Class 10,,,1000 entries,Yes,"SMS, MMS",Yes,"Yes, MIDP 2.0"
i_mobile,i-mobile TV 533,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-533.jpg,GSM,GSM 900 / 1800,,,"2009, January. Released 2009, January",Discontinued,112.7 x 50 x 14.5 mm (4.44 x 1.97 x 0.57 in),105 g (3.70 oz),,"Dual SIM (Mini-SIM, dual stand-by)","TFT, 256K colors","2.4 inches, 17.8 cm2 (~31.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",No,,,microSD (dedicated slot),,VGA,Yes,,,No,No,No,"1.2, A2DP",No,FM radio,miniUSB,,WAP 2.0/xHTML,TV tuner Yamaha Audio Amplifier MP3 player MP4/3GP player Organizer Stop watch Predictive text input,Removable Li-Ion 1100 mAh battery,Up to 250 h,Up to 3 h,"Black, Silver",,,,,,,Class 10,No,,,500 entries,Yes,"SMS, MMS",Yes,No
i_mobile,i-mobile TV 530,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-530.jpg,GSM,GSM 900 / 1800,,,"2008, September. Released 2008, October",Discontinued,112 x 50 x 16.4 mm (4.41 x 1.97 x 0.65 in),105 g (3.70 oz),,Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~31.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",No,,,microSD (dedicated slot),,VGA,Yes,,,No,No,No,"1.2, A2DP",No,No,miniUSB,,WAP 2.0/xHTML,TV tuner Yamaha Audio Amplifier MP3 player MP4/3GP player Organizer Stop watch Predictive text input,Removable Li-Ion 1100 mAh battery,Up to 300 h,Up to 3 h 30 min,Black,,,,,,,Class 10,No,,,500 entries,Yes,"SMS, MMS",Yes,No
