Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,64GB 4GB RAM,32GB 3GB RAM,_1,_1_1,Dual,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,NFC,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Quad
amoi,Amoi A102,https://fdn2.gsmarena.com/vv/bigpic/amoi-a102.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,85.5 x 45 x 18 mm (3.37 x 1.77 x 0.71 in),,,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~18.9% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,,No,,,,,,,No,No,No,No,No,No,No,,Removable Li-Ion 750 mAh battery,,Black,,,,,,,,,,,,,No,No,,,,,,,300 entries,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MIDI ringtones",,,,
amoi,Amoi A100,https://fdn2.gsmarena.com/vv/bigpic/amoi-a100.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,85.5 x 45 x 18 mm (3.37 x 1.77 x 0.71 in),75 g (2.65 oz),,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~18.9% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,,No,,,,,,,No,No,No,No,No,No,No,,Removable Li-Ion 750 mAh battery,,Black,,,,,,,,,,,,,No,No,,,,Up to 350 h,Up to 7 h,,300 entries,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MIDI ringtones",,,,
amoi,Amoi A10,https://fdn2.gsmarena.com/vv/bigpic/amoi-a10.gif,GSM,GSM 900 / 1800,,,,2007,Discontinued,102.4 x 44 x 15 mm (4.03 x 1.73 x 0.59 in),,,Mini-SIM,"CSTN, mono","1.5 inches, 7.3 cm2 (~16.1% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,,5-way wavigation key,,,,,,,No,No,No,No,No,No,No,,Removable Li-Ion 1100 mAh battery,,Black,,,,,No,,,,,,,,No,No,,,,Up to 500 h,Up to 9 h,,Yes,"10 dialed, 10 received, 10 missed calls",SMS,Yes,No,,,,,,,,,No,"Vibration; Downloadable polyphonic, MIDI, AMR ringtones",,,,
amoi,Amoi E850,https://fdn2.gsmarena.com/vv/bigpic/amoi-e850.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, Q2",Discontinued,102 x 54 x 20 mm (4.02 x 2.13 x 0.79 in),108 g (3.81 oz),,Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.4 inches, 16.8 cm2 (~30.6% screen-to-body ratio)",204 x 320 pixels (~158 ppi density),Microsoft Windows Mobile 5.0 for PocketPC Phone Edition,,Intel XScale PXA 272 312 MHz,,microSD (dedicated slot),"64MB RAM, 128MB ROM",Handwriting recognition,,LED flash,Yes,2 MP,,,No,No,No,1.2,No,No,1.1,,Removable Li-Ion 1100 mAh battery,,Black,,,,,No,Pocket Office  Media player PC Sync Voice memo Organizer World Time,,,,,,,Class 10,No,,,Yes,Up to 150 h,Up to 4 h,,,,,,,,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi V810,https://fdn2.gsmarena.com/vv/bigpic/amoi-v810.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,94 x 50 x 28 mm (3.70 x 1.97 x 1.10 in),128g (4.52 oz),,Mini-SIM,"TFT, 256Kcolors","2.0 inches, 12.6 cm2 (~26.8% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),35MB,"Second external OLED display,  96 x 64 pixels, 1.0 inches",,180 deg rotating lens,CIF,1.3 MP,,,No,No,No,Yes,"Yes, with A-GPS",No,Proprietary,,Removable Li-Ion 720 mAh battery,,Silver,,,,,No,Audio & Video streaming (MP3 & MP4) BREW PC Sync Voice memo Organizer Stop Watch World Time,,,,,,,,,,,,Up to 120 h,Up to 3 h,,Yes,"20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,No,,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi H815,https://fdn2.gsmarena.com/vv/bigpic/amoi-h815.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,90 x 45 x 25 mm (3.54 x 1.77 x 0.98 in),106 g (3.74 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~31.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,No,36MB,"Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches",,180 deg rotating lens,Yes,1.3 MP,,,No,No,No,No,No,No,Proprietary,,Removable Li-Ion 720 mAh battery,,Silver,,,,,No,"Media player (H324M,MP3,H.263,MP4,AAC ) PC Sync Voice memo Organizer Stop Watch World Time",,,,,,,,,,,,Up to 200 h,Up to 8 h,,"Yes, Photo/Video call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,Yes,,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi H812,https://fdn2.gsmarena.com/vv/bigpic/amoi-h812.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,90 x 45 x 25 mm (3.54 x 1.77 x 0.98 in),106 g (3.74 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~31.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,No,36MB,"Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches",,180 deg rotating lens,Yes,1.3 MP,,,No,No,No,No,No,No,Proprietary,,Removable Li-Ion 720 mAh battery,,Silver black,,,,,No,"Media player (H324M,MP3,H.263,MP4,AAC ) PC Sync Voice memo Organizer Stop Watch World Time",,,,,,,,,,,,Up to 200 h,Up to 8 h,,"Yes, Photo/Video call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,Yes,,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi H810,https://fdn2.gsmarena.com/vv/bigpic/amoi-h810.gif,GSM / UMTS,GSM 900 / 1800,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,90 x 45 x 25 mm (3.54 x 1.77 x 0.98 in),106g (3.74 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~31.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,No,36MB,"Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches",,180 deg rotating lens,QCIF,1.3 MP,,,No,No,No,No,No,No,Proprietary,,Removable Li-Ion 720 mAh battery,,Silver black,,,,,No,"Media player (H324M,MP3,H.263,MP4,AAC ) PC Sync Voice memo Organizer Stop Watch World Time",,,,,,,,,,,,Up to 200 h,Up to 8 h,,"Yes, Photo/Video call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,Yes,,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi H802,https://fdn2.gsmarena.com/vv/bigpic/amoi-h802.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,93.5 x 50 x 26.3 mm (3.68 x 1.97 x 1.04 in),130g (4.59 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~26.9% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),7MB,"Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches",,180 deg rotating lens,QCIF,1.3 MP,,,No,No,No,Optional,No,No,Proprietary,,Removable Li-Ion 720 mAh battery,,Silver black,,,,,No,"Media player (H324M,MP3,H.263,MP4,AAC ) PC Sync Voice memo Organizer Stop Watch World Time",,,,,,,,,,,,Up to 200 h,Up to 10 h,,"Yes, Photo/Video call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
amoi,Amoi H801,https://fdn2.gsmarena.com/vv/bigpic/amoi-h801.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,,"Yes, 384 kbps","2006, Q2",Discontinued,93 x 50 x 26 mm (3.66 x 1.97 x 1.02 in),129g (4.55 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~27.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),7MB,"Second external OLED display, 96 x 64 pixels, 1.0 inches",,180 deg rotating lens,QCIF,1.3 MP,,,No,No,No,Optional,No,No,Proprietary,,Removable Li-Ion 720 mAh battery,,Silver,,,,,No,"Media player (H324M,MP3,H.263,MP4,AAC ) PC Sync Voice memo Organizer Stop Watch World Time",,,,,,,,,,,,Up to 200 h,Up to 10 h,,"Yes, Photo/Video call","20 dialed, 20 received, 20 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,,,WAP 2.0,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,
