Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Price,Chipset,,Triple,Stand-by,Talk time,Features_1,Dual,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,NFC,Music play,Infrared port,Keyboard,Browser,SAR EU
bq,BQ Aquaris X2 Pro,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x2-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 7, 20","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2018, May","Available. Released 2018, June",150.7 x 72.3 x 8.4 mm (5.93 x 2.85 x 0.33 in),168 g (5.93 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.65 inches, 82.4 cm2 (~75.6% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~427 ppi density)","Android 8.1 (Oreo), Android One",Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 6GB RAM","8 MP, f/2.0, 1/4"", 1.12µm","Dual-LED dual-tone flash, auto-HDR, panorama","4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, GALILEO",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3100 mAh, non-removable",Fast charging 18W Quick Charge 4,"Midnight Black, Glaze White, Deep Silver",About 390 EUR,Qualcomm SDM660 Snapdragon 660 (14 nm),eMMC 5.1,,,,LED flash,"12 MP, f/1.8, 1/2.8"", 1.29µm, dual pixel PDAF 5 MP, f/2.4, (depth)",Corning Gorilla Glass (unspecified version),24-bit/192kHz audio,,,"Glass front (Gorilla Glass), glass back, aluminum frame",,,,,,,,,Yes,,,,,
bq,BQ Aquaris X2,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 7, 20","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2018, May","Available. Released 2018, June",150.7 x 72.3 x 8.3 mm (5.93 x 2.85 x 0.33 in),163 g (5.75 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.65 inches, 82.4 cm2 (~75.6% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~427 ppi density)","Android 8.1 (Oreo), Android One",Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 4GB RAM","8 MP, f/2.0, 1/4"", 1.12µm","Dual-LED dual-tone flash, auto-HDR, panorama","4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, GALILEO",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3100 mAh, non-removable",Fast charging 18W Quick Charge 4,"Carbon Black, Sand Gold",About 310 EUR,Qualcomm SDM636 Snapdragon 636 (14 nm),eMMC 5.1,,,,LED flash,"12 MP, f/1.8, 1/2.8"", 1.29µm, dual pixel PDAF 5 MP, f/2.4, (depth)",Corning Gorilla Glass (unspecified version),24-bit/192kHz audio,,,"Glass front (Gorilla Glass), plastic back, aluminum frame",,,,,,,,,Yes,,,,,
bq,BQ Aquaris VS Plus,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-vs-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 20","HSPA 42.2/5.76 Mbps, LTE","2018, February","Available. Released 2018, March",152.3 x 76.7 x 8.4 mm (6.00 x 3.02 x 0.33 in),183 g (6.46 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),64GB 4GB RAM,"12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF","LED flash, HDR, panorama","1080p@30fps, 480p@120fps","8 MP, f/2.0, 1/4"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3400 mAh, non-removable",Fast charging 18W Quick Charge 3.0,Mist Gold,About 230 EUR,Qualcomm MSM8937 Snapdragon 430 (28 nm),eMMC 5.1,,,,LED flash,,Dinorex glass,,,,,,,,,,,,,Yes,,,,,
bq,BQ Aquaris VS,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-vs.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 20","HSPA 42.2/5.76 Mbps, LTE","2018, February","Available. Released 2018, March",148.1 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in),165 g (5.82 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~68.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF","LED flash, HDR, panorama","1080p@30fps, 480p@120fps","8 MP, f/2.0, 1/4"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3100 mAh, non-removable",Fast charging 18W Quick Charge 3.0,Mist Gold,About 190 EUR,Qualcomm MSM8937 Snapdragon 430 (28 nm),eMMC 5.1,,,,LED flash,,Dinorex glass,,,,,,,,,,,,,Yes,,,,,
bq,BQ Aquaris U2 Lite,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u2-lite.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 4, 7, 8, 20, 28","HSPA 42.2/5.76 Mbps, LTE","2017, September","Available. Released 2017, October",148.1 x 72.9 x 8.4 mm (5.83 x 2.87 x 0.33 in),155 g (5.47 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Quad-core 1.4 GHz,Adreno 308,microSDXC (uses shared SIM slot),16GB 2GB RAM,"8 MP, f/2.0, 1/4.0"", 1.12µm, PDAF","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.0, 1/5"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","Li-Po 3100 mAh, non-removable",Fast charging 18W Quick Charge 3.0,"Black, White",About 170 EUR,Qualcomm MSM8917 Snapdragon 425 (28 nm),eMMC 5.1,,,,LED flash,,Dinorex glass,,,,,,,,,,,,,,,,,,
bq,BQ Aquaris U2,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 4, 7, 8, 20, 28","HSPA 42.2/5.76 Mbps, LTE","2017, September","Available. Released 2017, October",148.1 x 72.9 x 8.4 mm (5.83 x 2.87 x 0.33 in),155 g (5.47 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF","LED flash, HDR, panorama","1080p@30fps, 480p@120fps","5 MP, f/2.0, 1/5"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","Li-Po 3100 mAh, non-removable",Fast charging 18W Quick Charge 3.0,Black,About 190 EUR,Qualcomm MSM8940 Snapdragon 435 (28 nm),eMMC 5.1,,,,LED flash,,Dinorex glass,,,Aquaris U2,,,,,,,,,,Yes,,,,,
bq,BQ Aquaris V Plus,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-v.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 4, 7, 8, 20, 28","HSPA 42.2/5.76 Mbps, LTE","2017, September","Available. Released 2017, October",152.3 x 76.7 x 8.4 mm (6.00 x 3.02 x 0.33 in),183 g (6.46 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1.12µm, PDAF","LED flash, HDR, panorama","1080p@30fps, 480p@120fps","8 MP, f/2.0, 1/4"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3400 mAh, non-removable",Fast charging 18W Quick Charge 3.0,Black,About 260 EUR,Qualcomm MSM8940 Snapdragon 435 (28 nm),eMMC 5.1,,,,LED flash,,Dinorex glass,,,,,,,,,,,,,Yes,,,,,
bq,BQ Aquaris V,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-v.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 4, 7, 8, 20, 28","HSPA 42.2/5.76 Mbps, LTE","2017, September","Available. Released 2017, October",148.1 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in),165 g (5.82 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~68.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1.12µm, PDAF","LED flash, HDR, panorama","1080p@30fps, 480p@120fps","8 MP, f/2.0, 1/4"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3100 mAh, non-removable",Fast charging 18W Quick Charge 3.0,Black,About 210 EUR,Qualcomm MSM8940 Snapdragon 435 (28 nm),eMMC 5.1,,,,LED flash,,Dinorex glass,,,,,,,,,,,,,Yes,,,,,
bq,BQ Aquaris X Pro,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-xpro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 20","HSPA 42.2/5.76 Mbps, LTE","2017, April","Available. Released 2017, June",146.5 x 72.7 x 7.8 mm (5.77 x 2.86 x 0.31 in),158 g (5.57 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Android 7.1.1 (Nougat),Octa-core 2.2 GHz Cortex-A53,Adreno 506,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM","12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF","Dual-LED dual-tone flash, auto-HDR, panorama","4K@30fps, 720p@120fps","8 MP, f/2.0",1080p@60fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, GALILEO",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3100 mAh, non-removable",Fast charging 18W Quick Charge 3.0,"Midnight Black, Glaze White",About 370 EUR,Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),eMMC 5.1,,,,LED flash,,Dinorex glass,24-bit/192kHz audio,,Aquaris X Pro,,,,,,,,,,Yes,,,,,
bq,BQ Aquaris X,https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 20","HSPA 42.2/5.76 Mbps, LTE","2017, April","Available. Released 2017, June",146.5 x 72.7 x 7.9 mm (5.77 x 2.86 x 0.31 in),153 g (5.40 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Android 7.1.1 (Nougat),Octa-core 2.2 GHz Cortex-A53,Adreno 506,microSDXC (uses shared SIM slot),32GB 3GB RAM,"16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF","Dual-LED dual-tone flash, auto-HDR, panorama","4K@30fps, 720p@120fps","8 MP, f/2.0",1080p@60fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, GALILEO",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3100 mAh, non-removable",Fast charging 18W Quick Charge 3.0,"Mineral Black, Pearl Rose",About 290 EUR,Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),eMMC 5.1,,,,LED flash,,Dinorex glass,24-bit/192kHz audio,,Aquaris X,,,,,,,,,,Yes,,,,,
